player,player_id,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,year,avg_dist,fg3_heave,fg3a_heave,fg_dunk,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_corner3,fg_pct_fg2a,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fg3a_corner3,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_dunk,pct_fga_fg2a,pct_fga_fg3a,and1s,astd_pts,drawn_shooting,fouls_offensive,fouls_shooting,own_shots_blk,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_net,plus_minus_on,tov_bad_pass,tov_lost_ball,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,gs,off_rtg,orb_per_poss,pf_per_poss,pts_per_poss,stl_per_poss,tov_per_poss,trb_per_poss
Mahmoud Abdul-Rauf 1998,abdulma02,PG,28,SAC,31,530,10.5,.405,.114,.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,-0.5,0.2,-0.3,-0.025,-3.1,-1.5,-4.6,-0.4,1998,17.2,0,0,0,.377,.500,.250,.360,.422,,.405,.161,.633,.600,.000,.051,.044,.183,.608,.000,.886,.114,3,124,5,0,16,12,98%,2%,,,,-2.0,-8.0,9,7,5.7,0.1,110,3.0,.405,9.6,23.8,.161,0.5,3.0,10.1,26.8,1.000,1.6,1.6,0,90,0.6,3.0,22.3,1.6,1.9,3.6
Tariq Abdul-Wahad 1998,abdulta01,SG,23,SAC,59,959,10.1,.456,.053,.350,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.8,0.6,-0.2,-0.008,-3.6,-1.2,-4.8,-0.7,1998,10.4,0,1,35,.403,.607,.302,.279,.336,.200,.414,.211,.636,.750,.263,.328,.148,.171,.300,.106,.947,.053,11,112,60,3,41,19,,54%,46%,,,-2.6,-8.3,27,18,2.8,0.7,108,3.9,.414,7.6,18.4,.211,0.2,1.0,7.8,19.4,.672,4.6,6.8,16,91,2.4,4.4,20.4,1.9,3.5,6.3
Shareef Abdur-Rahim 1998,abdursh01,SF,21,VAN,82,2950,21.1,.562,.038,.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,6.3,0.6,6.9,.113,3.4,-1.8,1.6,2.6,1998,7.0,0,0,147,.485,.624,.356,.368,.386,.474,.488,.412,.581,.952,.745,.450,.252,.101,.160,.115,.962,.038,73,460,273,20,83,182,,,82%,18%,,-0.6,-7.9,94,85,3.8,1.3,112,6.3,.488,11.2,22.9,.412,0.4,0.9,11.5,23.8,.784,8.9,11.3,82,109,4.0,3.6,32.3,1.6,4.5,10.3
Cory Alexander 1998,alexaco01,PG,24,TOT,60,1298,15.2,.548,.440,.255,1.5,11.7,6.6,28.7,2.9,0.6,20.1,19.8,1.0,1.2,2.2,.081,0.4,0.0,0.4,0.8,1998,18.0,0,0,5,.428,.621,.313,.333,.450,.286,.469,.375,.305,.712,.119,.145,.040,.075,.300,.013,.560,.440,3,454,28,6,42,15,50%,50%,,,,-2.4,-6.0,79,19,8.7,0.5,106,5.3,.469,4.4,9.3,.375,2.7,7.3,7.1,16.6,.784,3.3,4.2,22,103,0.7,4.1,20.2,2.9,4.6,6.1
Ray Allen* 1998,allenra02,SG,22,MIL,82,3287,16.2,.539,.280,.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,4.7,2.3,7.0,.102,1.9,-0.9,1.0,2.5,1998,14.9,1,14,35,.428,.605,.289,.410,.437,.386,.453,.364,.385,.761,.155,.189,.097,.211,.223,.030,.720,.280,23,739,129,18,129,54,8%,87%,5%,,,4.2,-1.0,135,81,5.8,0.2,108,4.5,.453,6.9,15.3,.364,2.2,6.0,9.1,21.3,.875,5.5,6.3,82,106,2.1,4.0,25.9,1.8,4.3,6.6
Derek Anderson 1998,anderde01,SF,23,CLE,66,1839,15.3,.531,.143,.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,2.6,2.8,5.3,.139,0.3,1.4,1.7,1.7,1998,11.7,0,5,29,.408,.575,.313,.364,.396,.455,.442,.202,.486,.647,.131,.305,.109,.188,.254,.051,.857,.143,16,488,97,11,48,32,1%,43%,56%,1%,,0.8,3.7,59,31,6.6,0.4,101,3.8,.442,6.4,14.6,.202,0.5,2.4,6.9,17.0,.873,8.0,9.1,13,107,1.6,4.0,22.4,2.5,3.7,5.4
Greg Anderson 1998,andergr01,C,33,ATL,50,398,10.4,.444,.062,.506,12.0,22.6,17.4,5.9,2.6,1.8,14.7,13.5,0.0,0.7,0.7,.090,-4.3,0.9,-3.4,-0.1,1998,3.9,0,0,4,.444,.492,.444,.333,.000,,.474,.000,.556,,.000,.778,.111,.037,.012,.049,.938,.062,3,30,15,1,59,8,,,,8%,92%,-13.4,-6.2,9,3,2.1,1.4,99,10.9,.474,5.0,10.5,.000,0.0,0.7,5.0,11.1,.390,2.2,5.6,0,98,5.4,11.7,12.1,2.6,2.3,16.2
Kenny Anderson 1998,anderke01,PG,27,TOT,61,1858,14.8,.491,.237,.288,2.5,8.4,5.4,31.4,2.5,0.0,15.8,21.8,1.7,2.0,3.7,.096,0.3,0.0,0.3,1.1,1998,13.3,0,0,0,.398,.503,.345,.427,.326,.417,.411,.356,.280,.632,.075,.274,.086,.142,.260,.000,.763,.237,12,730,69,8,46,45,100%,,,,,0.9,-1.7,94,23,9.8,0.0,105,3.8,.411,6.0,14.6,.356,1.6,4.6,7.6,19.2,.789,4.4,5.5,56,103,1.1,3.8,21.3,2.5,4.1,4.9
Nick Anderson 1998,anderni01,SF,30,ORL,58,1701,19.6,.529,.284,.264,6.6,14.1,10.3,14.1,2.3,1.0,9.2,25.0,3.1,2.1,5.3,.149,4.0,0.7,4.8,2.9,1998,13.5,0,3,13,.455,.614,.479,.312,.459,.385,.493,.360,.504,.909,.121,.227,.194,.102,.194,.019,.716,.284,21,254,81,6,61,32,,70%,30%,,,5.7,1.2,46,22,3.9,0.7,103,6.4,.493,8.6,17.5,.360,2.5,6.9,11.1,24.4,.638,4.1,6.4,44,109,3.2,3.2,28.8,2.3,2.8,9.6
Shandon Anderson 1998,andersh01,SG,24,UTA,82,1602,15.7,.586,.064,.370,7.1,10.3,8.8,9.4,2.2,0.8,13.5,19.5,2.9,1.4,4.2,.127,0.8,-0.1,0.7,1.1,1998,6.2,0,1,30,.538,.660,.377,.333,.396,.125,.560,.219,.802,1.000,.250,.606,.138,.084,.106,.062,.936,.064,22,188,77,10,60,46,,86%,14%,,,-9.5,-0.1,38,22,3.0,0.6,106,4.7,.560,8.8,15.7,.219,0.2,1.1,9.0,16.8,.735,4.6,6.2,2,112,2.9,4.9,22.9,2.2,3.1,7.6
