player,pos,age,team_id,g,mp,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_on,plus_minus_net,tov_bad_pass,tov_lost_ball,fouls_shooting,fouls_offensive,drawn_shooting,astd_pts,and1s,own_shots_blk,player_id,year
Shareef Abdur-Rahim 2005,PF,28,POR,54,1867,,,23%,64%,13%,-5.9,-2.4,36,39,71,26,103,247,23,62,abdursh01,2005
Cory Alexander 2005,SG,31,CHA,16,201,83%,17%,,,,-14.5,-8.6,13,4,12,2,3,80,0,4,alexaco01,2005
Malik Allen 2005,PF,26,TOT,36,519,,,,70%,30%,-5.9,-6.8,6,8,38,2,10,41,2,7,allenma01,2005
Ray Allen* 2005,SG,29,SEA,78,3064,,75%,25%,,,4.1,6.3,79,56,70,25,141,678,21,71,allenra02,2005
Tony Allen 2005,SG,23,BOS,77,1262,4%,93%,4%,,,7.0,8.8,31,25,77,13,68,143,11,31,allento01,2005
Rafer Alston 2005,PG,28,TOR,80,2717,100%,,,,,-1.5,0.1,115,29,86,17,85,1172,18,42,alstora01,2005
Chris Andersen 2005,C,26,NOH,67,1430,,,,3%,97%,-2.1,9.5,23,17,81,14,85,148,18,24,anderch01,2005
Derek Anderson 2005,SG,30,POR,47,1239,,91%,9%,,,-5.7,-1.5,41,16,35,6,31,318,7,10,anderde01,2005
Kenny Anderson 2005,PG,34,TOT,43,743,100%,,,,,-12.0,-6.8,35,9,37,5,12,223,4,14,anderke01,2005
Shandon Anderson 2005,SF-SG,31,TOT,66,1171,,10%,77%,13%,,9.4,8.4,30,12,71,7,28,156,4,11,andersh01,2005
Carmelo Anthony 2005,SF,20,DEN,75,2608,,3%,86%,12%,,2.7,1.8,65,60,85,58,203,402,40,120,anthoca01,2005
Rafael Araújo 2005,C,24,TOR,59,736,,,,1%,99%,-2.1,-0.6,10,11,81,17,24,34,4,12,araujra01,2005
Gilbert Arenas 2005,PG,23,WAS,80,3274,88%,12%,,,,1.3,9.3,112,65,96,43,254,903,59,69,arenagi01,2005
Trevor Ariza 2005,SF,19,NYK,80,1382,,19%,80%,1%,,-0.6,3.5,27,21,36,16,77,188,12,32,arizatr01,2005
Darrell Armstrong 2005,PG,36,TOT,66,988,100%,,,,,-2.3,-1.6,42,17,27,3,13,398,0,17,armstda01,2005
Carlos Arroyo 2005,PG,25,TOT,70,1448,94%,6%,,,,-7.6,-8.9,55,25,48,14,49,592,7,32,arroyca01,2005
Chucky Atkins 2005,PG,30,LAL,82,2903,100%,,,,,-3.1,1.8,98,27,47,22,52,804,9,33,atkinch01,2005
Stacey Augmon 2005,SF,36,ORL,55,663,,44%,54%,1%,,-5.3,-3.1,11,6,42,11,31,78,3,12,augmost01,2005
Maurice Baker 2005,PG,25,TOT,5,19,85%,15%,,,,19.9,22.7,1,0,0,0,0,3,0,0,bakerma01,2005
Vin Baker 2005,PF-C,33,TOT,27,204,,,1%,39%,61%,-19.0,-20.5,3,6,19,4,5,22,1,4,bakervi01,2005
Marcus Banks 2005,PG,23,BOS,81,1145,100%,,,,,1.6,0.9,30,23,43,12,54,335,10,19,banksma01,2005
Leandro Barbosa 2005,PG,22,PHO,63,1087,98%,2%,,,,-1.3,-12.1,47,23,45,8,30,298,9,15,barbole01,2005
Matt Barnes 2005,SF,24,SAC,43,715,,15%,82%,4%,,4.4,2.3,26,9,37,2,27,122,4,12,barnema02,2005
Andre Barrett 2005,PG,22,TOT,38,483,100%,,,,,2.6,1.8,18,9,13,0,4,153,1,8,barrean01,2005
Brent Barry 2005,SG,33,SAS,81,1742,1%,96%,4%,,,7.1,-3.4,42,11,66,8,42,398,13,16,barrybr01,2005
Jon Barry 2005,SG,35,TOT,69,1505,4%,73%,22%,,,7.8,13.3,49,16,43,0,16,362,1,8,barryjo01,2005
Tony Battie 2005,C,28,ORL,81,1894,,,,13%,87%,-3.8,-2.1,34,18,162,14,34,90,6,20,battito01,2005
Shane Battier 2005,SG,26,MEM,80,2516,,59%,39%,1%,,6.8,10.8,29,18,119,14,84,293,11,51,battish01,2005
Lonny Baxter 2005,PF,26,NOH,4,36,,,50%,50%,,-30.1,-22.0,1,1,5,2,1,0,0,2,baxtelo01,2005
Raja Bell 2005,SG,28,UTA,63,1790,,97%,3%,,,-6.3,-2.2,42,15,91,16,43,189,7,25,bellra01,2005
Jonathan Bender 2005,SF,24,IND,7,93,,,38%,62%,1%,-18.5,-19.8,2,6,5,1,3,9,0,5,bendejo01,2005
Travis Best 2005,PG,32,NJN,76,1461,100%,,,,,-6.8,-8.0,40,17,68,3,48,322,6,21,besttr01,2005
Mike Bibby 2005,PG,26,SAC,80,3084,98%,2%,,,,2.8,1.6,122,60,76,15,145,1184,30,29,bibbymi01,2005
Andris Biedriņš 2005,C,18,GSW,30,384,,,,,100%,6.1,9.5,3,6,56,1,16,31,2,15,biedran01,2005
Chauncey Billups 2005,PG,28,DET,80,2866,92%,8%,,,,6.6,7.0,117,37,68,23,126,1010,18,36,billuch01,2005
Steve Blake 2005,PG,24,WAS,44,648,100%,,,,,-7.2,-8.3,21,15,17,2,7,153,1,7,blakest01,2005
Mark Blount 2005,C,29,BOS,82,2130,,,,,100%,-0.5,-3.2,50,52,125,17,74,277,16,31,blounma01,2005
Tony Bobbitt 2005,SG,25,LAL,2,12,5%,95%,,,,-14.4,-10.9,0,0,1,0,0,0,0,0,bobbito01,2005
Keith Bogans 2005,SG,24,CHA,74,1791,7%,89%,4%,,,-6.5,-0.2,63,32,58,13,84,282,23,57,boganke01,2005
Matt Bonner 2005,C,24,TOR,82,1553,,,2%,16%,82%,-1.6,-0.1,6,15,115,14,30,118,8,18,bonnema01,2005
Calvin Booth 2005,C,28,TOT,51,451,,,1%,25%,75%,-7.1,-9.1,9,3,47,1,12,22,0,6,boothca01,2005
Carlos Boozer 2005,PF,23,UTA,51,1772,,,,90%,11%,-3.2,3.5,54,42,81,30,123,309,26,67,boozeca01,2005
Curtis Borchardt 2005,C,24,UTA,67,859,,,,,100%,-9.3,-5.3,10,14,79,18,27,108,7,22,borchcu01,2005
Chris Bosh 2005,PF,20,TOR,81,3017,,,3%,69%,29%,-0.3,5.4,61,71,135,24,235,373,45,76,boshch01,2005
Bruce Bowen 2005,SF,33,SAS,82,2627,,2%,91%,7%,,9.1,0.4,31,15,62,7,43,296,4,34,bowenbr01,2005
Ryan Bowen 2005,SF,29,HOU,66,604,,21%,78%,2%,,10.5,6.7,6,1,24,0,11,43,3,12,bowenry01,2005
Earl Boykins 2005,PG,28,DEN,82,2162,100%,,,,,1.3,-1.8,62,41,40,3,68,824,8,45,boykiea01,2005
Michael Bradley 2005,PF,25,TOT,18,119,,,,56%,44%,1.7,2.1,3,1,7,1,2,12,0,1,bradlmi01,2005
Shawn Bradley 2005,C,32,DAL,77,885,,,,,100%,12.8,8.5,9,9,88,9,22,38,5,9,bradlsh01,2005
Torraye Braggs 2005,PF,28,HOU,7,24,,,32%,68%,,-17.0,-21.9,1,1,2,0,0,0,0,1,braggto01,2005
Elton Brand 2005,PF,25,LAC,81,3001,,,2%,94%,4%,2.4,13.0,34,63,127,36,225,441,70,81,brandel01,2005
Jamison Brewer 2005,PG,24,NYK,18,185,63%,37%,,,,-20.0,-18.0,9,3,7,0,2,26,1,3,breweja01,2005
Primož Brezec 2005,C,25,CHA,72,2276,,,,,100%,-8.0,-3.9,41,35,116,10,87,186,23,51,brezepr01,2005
Damone Brown 2005,SF,25,WAS,14,152,,,62%,38%,,-0.6,-0.4,7,7,7,0,3,31,1,4,brownda02,2005
Devin Brown 2005,SG,26,SAS,67,1238,,60%,38%,2%,,2.8,-9.1,26,17,45,6,47,209,12,30,brownde02,2005
Kedrick Brown 2005,SF,23,PHI,8,55,,,100%,,,-24.8,-24.3,4,1,2,0,1,8,0,0,brownke01,2005
Kwame Brown 2005,PF,22,WAS,42,908,,,2%,80%,18%,-7.2,-9.0,16,28,58,11,55,88,8,22,brownkw01,2005
P.J. Brown 2005,PF,35,NOH,82,2817,,,,61%,39%,-8.4,-0.4,27,33,106,20,100,390,15,58,brownpj01,2005
Tierre Brown 2005,PG,25,LAL,76,1066,86%,14%,,,,-4.4,-1.1,35,21,20,6,32,382,7,31,brownti01,2005
Rick Brunson 2005,PG,32,LAC,80,1945,95%,5%,,,,-1.1,-0.6,87,21,40,11,12,850,1,19,brunsri01,2005
Kobe Bryant* 2005,SG,26,LAL,66,2689,3%,96%,1%,,,-2.8,2.5,144,76,55,31,239,950,55,66,bryanko01,2005
Greg Buckner 2005,SG,28,DEN,70,1522,,91%,8%,,,1.9,-0.3,23,8,82,4,31,279,13,19,buckngr01,2005
Rodney Buford 2005,SF,27,NJN,64,1313,,67%,33%,1%,,-9.7,-11.9,18,5,41,6,20,140,1,20,buforro01,2005
Antonio Burks 2005,PG,24,MEM,24,219,92%,8%,,,,-7.9,-11.4,7,3,3,2,3,64,1,8,burksan01,2005
Caron Butler 2005,SF,24,LAL,77,2746,,24%,76%,,,-4.7,-3.9,49,24,60,38,140,345,33,71,butleca01,2005
Jackie Butler 2005,C,19,NYK,3,5,,,,100%,,25.6,28.5,0,0,0,0,2,0,2,0,butleja01,2005
Rasual Butler 2005,SF,25,MIA,65,1203,,1%,85%,14%,,5.8,-2.2,26,4,49,1,16,130,2,12,butlera01,2005
Žarko Čabarkapa 2005,PF,23,TOT,40,475,,,4%,90%,7%,4.0,1.5,11,7,27,2,29,57,5,10,cabarza01,2005
Marcus Camby 2005,C,30,DEN,66,2015,,,,30%,70%,3.1,2.0,61,19,99,13,73,324,11,16,cambyma01,2005
Elden Campbell 2005,C,36,TOT,40,390,,,,12%,88%,-1.5,-3.1,9,7,29,8,23,39,1,12,campbel01,2005
Brian Cardinal 2005,PF,27,MEM,58,1433,,,,92%,7%,5.2,3.6,49,18,95,8,61,254,7,33,cardibr01,2005
Geno Carlisle 2005,SG,28,POR,6,16,,100%,,,,-31.5,-26.9,0,0,0,1,3,2,1,0,carlige01,2005
Matt Carroll 2005,SG,24,CHA,25,430,,54%,45%,1%,,2.1,9.5,5,16,16,3,30,37,6,12,carroma01,2005
Anthony Carter 2005,PG,29,MIN,66,742,97%,3%,,,,3.0,1.7,45,8,32,6,18,339,5,7,cartean01,2005
Vince Carter 2005,SF-SG,28,TOT,77,2828,,37%,56%,7%,,0.1,2.7,74,57,112,28,182,741,36,51,cartevi01,2005
Sam Cassell 2005,PG,35,MIN,59,1522,99%,1%,,,,3.2,2.7,59,25,39,17,50,643,6,23,cassesa01,2005
Kelvin Cato 2005,C,30,ORL,62,1525,,,,1%,99%,1.9,7.4,32,12,105,13,57,83,4,21,catoke01,2005
Lionel Chalmers 2005,PG,24,LAC,36,433,99%,1%,,,,-5.5,-5.2,15,4,15,1,7,108,2,10,chalmli01,2005
Tyson Chandler 2005,C,22,CHI,80,2189,,,,35%,66%,2.6,3.1,27,37,122,35,145,148,34,46,chandty01,2005
