player,pos,age,team_id,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,player_id,year
Shareef Abdur-Rahim 2006,PF,29,SAC,72,1961,.525,7.9,.965,.392,.290,.071,.212,.035,.536,.657,.464,.400,.455,.227,.535,1.000,.111,65,.182,.250,0,0,abdursh01,2006
Alex Acker 2006,SG,23,DET,5,35,.250,16.1,.688,.188,.000,.313,.188,.313,.273,.000,,.400,.333,.200,.333,.000,.000,0,.200,.000,0,0,ackeral01,2006
Malik Allen 2006,PF,27,CHI,54,701,.490,11.5,.996,.186,.186,.291,.332,.004,.488,.435,.522,.472,.512,1.000,.725,.000,.028,6,.000,,0,0,allenma01,2006
Ray Allen* 2006,SG,30,SEA,78,3022,.454,17.2,.565,.145,.100,.123,.197,.435,.486,.628,.400,.451,.447,.412,.337,.751,.011,16,.170,.432,4,0,allenra02,2006
Tony Allen 2006,PG,24,BOS,51,978,.471,7.4,.876,.544,.153,.058,.120,.124,.492,.617,.310,.250,.273,.324,.466,.909,.044,12,.471,.438,0,0,allento01,2006
Rafer Alston 2006,PG,29,HOU,63,2431,.379,15.7,.577,.225,.117,.041,.195,.423,.418,.530,.419,.233,.326,.327,.174,.912,.000,0,.212,.439,1,0,alstora01,2006
Chris Andersen 2006,C,27,NOK,32,570,.571,2.7,1.000,.827,.031,.051,.092,.000,.571,.617,.333,.400,.333,,.536,,.245,20,,,0,0,anderch01,2006
Alan Anderson 2006,SF,23,CHA,36,564,.414,12.6,.680,.370,.083,.044,.182,.320,.415,.537,.267,.375,.242,.414,.569,.875,.066,11,.621,.472,0,0,anderal01,2006
Derek Anderson 2006,SG,31,TOT,43,1047,.356,17.9,.558,.125,.059,.109,.264,.442,.402,.579,.278,.394,.350,.299,.382,.875,.007,2,.291,.385,0,0,anderde01,2006
Shandon Anderson 2006,SF,32,MIA,48,638,.429,13.3,.849,.246,.087,.135,.381,.151,.458,.548,.455,.294,.458,.263,.816,1.000,.000,0,.474,.333,0,0,andersh01,2006
Martynas Andriuškevičius 2006,C,19,CLE,6,9,.000,7.0,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,.000,0,,,0,0,andrima01,2006
Carmelo Anthony 2006,SF,21,DEN,80,2941,.481,10.5,.903,.429,.059,.077,.339,.097,.506,.620,.315,.364,.428,.243,.613,.919,.109,165,.151,.261,5,0,anthoca01,2006
Rafael Araújo 2006,C,25,TOR,52,601,.366,6.8,.993,.386,.290,.214,.103,.007,.368,.464,.262,.355,.333,.000,.792,,.055,8,1.000,.000,0,0,araujra01,2006
Gilbert Arenas 2006,PG,24,WAS,80,3384,.447,15.3,.676,.231,.079,.100,.266,.324,.485,.637,.318,.407,.431,.369,.282,.603,.016,24,.102,.345,2,0,arenagi01,2006
Trevor Ariza 2006,SF,20,TOT,57,999,.412,6.0,.978,.606,.106,.080,.186,.022,.416,.540,.250,.222,.190,.200,.511,.000,.133,26,.600,.000,1,0,arizatr01,2006
Darrell Armstrong 2006,PG,37,DAL,62,622,.336,16.4,.625,.227,.070,.047,.281,.375,.400,.483,.444,.333,.333,.229,.375,.818,.000,0,.333,.438,2,0,armstda01,2006
Carlos Arroyo 2006,PG-SG,26,TOT,77,1194,.444,12.3,.947,.246,.095,.204,.402,.053,.450,.516,.333,.455,.434,.350,.273,.429,.000,0,.100,.000,0,0,arroyca01,2006
Chucky Atkins 2006,PG-SG,31,TOT,71,1713,.394,17.6,.522,.187,.072,.038,.225,.478,.431,.533,.244,.273,.434,.354,.217,.742,.000,0,.164,.378,3,0,atkinch01,2006
Stacey Augmon 2006,SF,37,ORL,36,385,.342,6.9,1.000,.342,.342,.233,.082,.000,.342,.560,.240,.176,.333,,.560,,.041,3,,,0,0,augmost01,2006
Vin Baker 2006,C,34,LAC,8,85,.467,4.8,1.000,.467,.400,.067,.067,.000,.467,.429,.500,1.000,.000,,.429,,.067,1,,,0,0,bakervi01,2006
Marcus Banks 2006,PG,24,TOT,58,1497,.468,13.0,.865,.346,.041,.047,.432,.135,.486,.617,.316,.273,.421,.349,.345,.545,.009,4,.048,.333,2,0,banksma01,2006
