player,player_id,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,year,avg_dist,fg3_heave,fg3a_heave,fg_dunk,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_corner3,fg_pct_fg2a,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fg3a_corner3,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_dunk,pct_fga_fg2a,pct_fga_fg3a,and1s,astd_pts,drawn_offensive,drawn_shooting,fouls_offensive,fouls_shooting,own_shots_blk,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_net,plus_minus_on,tov_bad_pass,tov_lost_ball,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,gs,off_rtg,orb_per_poss,pf_per_poss,pts_per_poss,stl_per_poss,tov_per_poss,trb_per_poss
Jeff Adrien 2012,adrieje01,PF,25,HOU,8,63,11.2,.493,.000,.750,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,0.1,0.1,0.1,.106,-4.0,-0.2,-4.3,0.0,2012,8.4,0,0,1,.438,.600,.200,1.000,.250,,.438,,.429,,,.313,.313,.125,.250,.125,1.000,.000,0,2,1,5,0,3,2,,,,100%,,-13.2,-12.6,2,0,0.8,1.7,103,14.1,.438,5.8,13.3,,0.0,0.0,5.8,13.3,.583,5.8,10.0,0,106,4.2,10.8,17.5,0.0,1.7,18.3
Arron Afflalo 2012,afflaar01,SG,26,DEN,62,2086,14.7,.584,.316,.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,.121,1.4,-1.2,0.1,1.1,2012,13.5,0,0,6,.471,.684,.323,.373,.447,.450,.504,.398,.689,.966,.493,.272,.142,.107,.163,.009,.684,.316,17,357,6,86,18,67,62,2%,71%,26%,1%,,-6.2,1.1,24,24,3.6,0.3,111,3.8,.504,5.9,11.7,.398,2.1,5.4,8.0,17.1,.798,4.8,6.0,62,116,1.0,3.3,23.0,0.9,2.1,4.8
Blake Ahearn 2012,ahearbl01,PG,27,UTA,4,30,-7.3,.357,.643,.000,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,-0.2,0.0,-0.2,-0.315,-12.7,-6.8,-19.5,-0.1,2012,21.0,0,0,0,.286,,,.333,.500,.000,.400,.222,.500,.500,.556,.000,.000,.214,.143,.000,.357,.643,0,2,0,0,0,2,0,100%,,,,,-20.5,-19.7,4,1,1.7,0.0,113,3.5,.400,3.5,8.7,.222,3.5,15.7,7.0,24.5,,0.0,0.0,0,57,0.0,7.0,17.5,0.0,8.7,3.5
Solomon Alabi 2012,alabiso01,C,23,TOR,14,122,14.2,.418,.000,.222,14.6,30.4,22.6,4.1,0.9,6.0,11.2,17.2,0.0,0.2,0.2,.083,-2.9,0.7,-2.2,0.0,2012,6.8,0,0,6,.361,.579,.000,.200,.000,,.361,,.462,,,.528,.111,.278,.083,.222,1.000,.000,0,7,0,4,1,6,4,,,,,100%,5.7,1.7,3,0,1.3,4.0,98,14.1,.361,5.7,15.9,,0.0,0.0,5.7,15.9,.875,3.1,3.5,0,95,6.6,4.8,14.5,0.9,2.2,20.7
Cole Aldrich 2012,aldrico01,C,23,OKC,26,173,17.7,.592,.000,.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,0.3,0.4,0.6,.176,-1.3,2.2,1.0,0.1,2012,3.6,0,0,13,.524,.696,.333,.000,,,.524,,.773,,,.548,.429,.024,.000,.333,1.000,.000,0,6,1,4,0,13,2,,,,,100%,-14.4,-6.9,3,5,0.9,4.8,96,10.4,.524,6.6,12.5,,0.0,0.0,6.6,12.5,.929,3.9,4.2,0,113,3.9,6.6,17.0,2.4,2.7,14.3
LaMarcus Aldridge 2012,aldrila01,PF,26,POR,55,1994,22.7,.560,.012,.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,5.4,1.6,7.0,.169,3.4,-0.4,3.0,2.5,2012,10.6,0,1,54,.512,.687,.523,.404,.434,.000,.516,.182,.536,.500,.364,.281,.182,.205,.320,.062,.988,.012,30,340,6,125,21,88,28,,,,68%,33%,12.4,3.5,22,52,3.5,1.2,106,7.7,.516,12.7,24.6,.182,0.1,0.3,12.7,24.9,.814,5.9,7.2,55,113,4.0,4.0,31.4,1.3,2.9,11.7
Lavoy Allen 2012,allenla01,PF,22,PHI,41,624,12.7,.488,.000,.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,0.4,1.2,1.6,.124,-2.8,1.0,-1.7,0.0,2012,10.8,0,0,7,.473,.676,.600,.400,.309,,.473,,.848,,,.222,.210,.240,.329,.048,1.000,.000,2,72,2,7,3,47,10,,,,64%,36%,1.9,6.3,11,2,2.9,1.5,98,10.6,.473,6.8,14.3,,0.0,0.0,6.8,14.3,.786,0.9,1.2,15,104,4.0,6.3,14.5,1.1,1.7,14.7
Ray Allen* 2012,allenra02,SG,36,BOS,46,1565,14.8,.607,.475,.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,.145,1.5,0.7,2.2,1.6,2012,17.4,0,0,2,.458,.685,.405,.373,.366,.500,.463,.453,.642,.934,.368,.148,.085,.103,.189,.006,.525,.475,9,229,4,34,11,42,18,,94%,6%,,,-0.3,2.8,36,19,3.7,0.3,101,4.3,.463,4.1,8.8,.453,3.6,7.9,7.7,16.7,.915,3.3,3.6,42,111,0.5,2.8,22.2,1.7,2.3,4.8
Tony Allen 2012,allento01,SG,30,MEM,58,1525,15.7,.541,.058,.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,1.7,2.5,4.2,.131,-0.6,2.3,1.7,1.4,2012,7.4,0,0,13,.469,.582,.347,.250,.382,.467,.479,.308,.619,1.000,.577,.533,.167,.071,.170,.033,.942,.058,16,167,6,77,11,60,49,8%,92%,,,,8.3,6.6,40,33,2.7,1.1,100,4.7,.479,7.0,14.6,.308,0.3,0.9,7.3,15.5,.800,4.9,6.1,57,106,3.4,4.9,19.7,3.6,3.3,8.1
Morris Almond 2012,almonmo01,SG,26,WAS,4,67,8.7,.382,.176,.176,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,-0.1,0.1,0.0,.032,-6.0,4.2,-1.8,0.0,2012,16.0,0,0,0,.353,.667,.000,.000,.375,.000,.357,.333,1.000,1.000,.333,.176,.059,.118,.471,.000,.824,.176,1,4,0,2,1,1,0,,92%,8%,,,34.0,27.2,0,0,1.5,0.0,101,5.4,.357,3.9,10.8,.333,0.8,2.3,4.6,13.2,.333,0.8,2.3,0,85,0.8,4.6,10.8,5.4,0.8,6.2
