player,pos,age,team_id,g,mp,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_on,plus_minus_net,tov_bad_pass,tov_lost_ball,fouls_shooting,fouls_offensive,drawn_shooting,drawn_offensive,astd_pts,and1s,own_shots_blk,player_id,year
Quincy Acy 2013,PF,22,TOR,29,342,,,,88%,12%,13.9,16.9,4,5,22,6,14,0,29,2,5,acyqu01,2013
Jeff Adrien 2013,PF,26,CHA,52,713,,,1%,96%,3%,-7.1,3.6,9,6,40,7,41,4,80,5,17,adrieje01,2013
Arron Afflalo 2013,SF,27,ORL,64,2307,1%,48%,49%,3%,,-7.8,-0.1,45,50,67,20,93,5,474,23,59,afflaar01,2013
Josh Akognon 2013,PG,26,DAL,3,9,69%,31%,,,,-31.3,-30.6,0,0,0,0,0,0,2,0,0,akognjo01,2013
Cole Aldrich 2013,C,24,TOT,45,388,,,,,100%,1.5,2.5,8,6,28,6,7,0,22,2,8,aldrico01,2013
LaMarcus Aldridge 2013,PF,27,POR,74,2790,,,,84%,16%,-0.8,9.4,38,54,112,30,165,10,474,38,35,aldrila01,2013
Lavoy Allen 2013,C,23,PHI,79,1669,,,,28%,72%,-2.8,1.4,16,18,105,18,27,4,159,4,20,allenla01,2013
Ray Allen* 2013,SG,37,MIA,79,2035,2%,68%,30%,,,5.0,-8.3,54,29,69,12,45,6,319,11,21,allenra02,2013
Tony Allen 2013,SG,31,MEM,79,2109,1%,89%,10%,,,7.5,5.9,39,31,90,9,84,6,217,18,64,allento01,2013
Al-Farouq Aminu 2013,SF,22,NOH,76,2066,,,94%,5%,1%,-1.2,7.4,42,43,65,16,59,5,239,13,38,aminual01,2013
Lou Amundson 2013,PF,30,TOT,39,372,,,3%,67%,31%,-11.8,-10.1,3,6,27,7,15,4,22,4,11,amundlo01,2013
Chris Andersen 2013,C,34,MIA,42,624,,,,10%,91%,9.0,-0.2,5,8,45,10,40,1,42,8,13,anderch01,2013
Alan Anderson 2013,SF,30,TOR,65,1495,,9%,80%,11%,,-3.5,-3.1,38,19,52,10,51,9,231,13,30,anderal01,2013
James Anderson 2013,SG-SF,23,TOT,39,401,,48%,46%,5%,,12.8,8.0,7,12,13,3,12,0,106,1,5,anderja01,2013
Ryan Anderson 2013,PF,24,NOH,81,2503,,,2%,89%,10%,-6.5,-5.0,28,35,75,17,75,9,217,9,58,anderry01,2013
Carmelo Anthony 2013,PF,28,NYK,67,2482,,,18%,78%,3%,5.7,3.4,55,59,79,35,208,15,442,39,88,anthoca01,2013
Joel Anthony 2013,C,30,MIA,62,566,,,,15%,85%,4.6,-5.2,3,7,20,8,14,2,36,2,5,anthojo01,2013
Trevor Ariza 2013,SF,27,WAS,56,1471,,,92%,8%,,-1.1,3.0,45,14,26,8,40,3,254,10,19,arizatr01,2013
Darrell Arthur 2013,PF,24,MEM,59,970,,,8%,92%,1%,-5.6,-13.7,15,9,53,14,25,4,72,6,20,arthuda01,2013
