player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,player_id,year
Álex Abrines 2018,SG,24,OKC,75,8,1134,5.0,12.7,.395,3.7,9.7,.380,1.4,3.1,.443,1.7,2.0,.848,1.1,3.9,5.0,1.2,1.7,0.4,1.1,5.4,15.4,116,110,abrinal01,2018
Quincy Acy 2018,PF,27,BRK,70,8,1359,4.6,13.0,.356,3.6,10.4,.349,1.0,2.6,.384,1.8,2.1,.817,1.4,7.8,9.2,2.0,1.2,1.0,2.1,5.3,14.7,99,110,acyqu01,2018
Steven Adams 2018,C,24,OKC,76,76,2487,8.9,14.2,.629,0.0,0.0,.000,8.9,14.2,.631,3.2,5.7,.559,7.7,6.0,13.7,1.8,1.8,1.6,2.6,4.3,21.1,125,107,adamsst01,2018
Bam Adebayo 2018,C,20,MIA,69,19,1368,6.4,12.5,.512,0.0,0.3,.000,6.4,12.2,.523,4.7,6.6,.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,116,105,adebaba01,2018
Arron Afflalo 2018,SG,32,ORL,53,3,682,4.7,11.6,.401,1.9,5.0,.386,2.7,6.6,.413,1.6,1.9,.846,0.3,4.5,4.7,2.2,0.3,0.6,1.5,4.0,12.8,98,115,afflaar01,2018
Cole Aldrich 2018,C,29,MIN,21,0,49,5.1,15.3,.333,0.0,0.0,,5.1,15.3,.333,2.0,6.1,.333,3.1,12.2,15.3,3.1,2.0,1.0,1.0,11.2,12.2,85,107,aldrico01,2018
LaMarcus Aldridge 2018,C,32,SAS,75,75,2509,13.8,27.1,.510,0.5,1.9,.293,13.3,25.3,.526,6.7,8.0,.837,5.0,7.8,12.8,3.1,0.9,1.8,2.2,3.2,34.9,118,105,aldrila01,2018
Jarrett Allen 2018,C,19,BRK,72,31,1441,7.9,13.4,.589,0.2,0.5,.333,7.7,12.9,.599,3.8,5.0,.776,4.9,8.2,13.1,1.7,0.9,3.0,2.8,5.0,19.8,119,108,allenja01,2018
Kadeem Allen 2018,PG,25,BOS,18,1,107,2.8,10.3,.273,0.0,5.1,.000,2.8,5.1,.545,3.3,4.2,.778,1.9,3.3,5.1,5.6,1.4,0.9,4.2,7.0,8.9,78,106,allenka01,2018
Tony Allen 2018,SF,36,NOP,22,0,273,7.7,15.9,.484,0.7,2.1,.333,7.0,13.8,.506,1.9,3.7,.524,3.5,4.7,8.2,1.6,1.9,0.5,3.3,8.6,18.0,95,110,allento01,2018
Al-Farouq Aminu 2018,PF,27,POR,69,67,2072,5.5,14.0,.395,3.0,8.1,.369,2.5,5.8,.432,1.4,1.9,.738,2.3,10.3,12.6,2.0,1.9,1.0,1.9,3.3,15.5,105,104,aminual01,2018
Justin Anderson 2018,SF,24,PHI,38,0,519,8.1,18.7,.431,3.2,9.5,.330,4.9,9.2,.535,2.6,3.5,.737,2.3,6.3,8.6,2.3,1.4,0.6,1.5,5.0,21.9,110,107,anderju01,2018
Kyle Anderson 2018,SF,24,SAS,74,67,1978,5.9,11.2,.527,0.5,1.5,.333,5.4,9.7,.556,2.7,3.7,.712,2.1,8.0,10.1,5.2,2.9,1.5,2.4,2.9,14.9,114,101,anderky01,2018
Ryan Anderson 2018,PF,29,HOU,66,50,1725,5.9,13.7,.431,3.7,9.7,.386,2.2,4.0,.539,2.1,2.7,.774,2.7,6.8,9.4,1.7,0.7,0.6,1.2,3.6,17.6,121,109,anderry01,2018
Ike Anigbogu 2018,C,19,IND,11,0,30,6.7,15.0,.444,0.0,0.0,,6.7,15.0,.444,8.3,10.0,.833,8.3,6.7,15.0,0.0,1.7,5.0,3.3,1.7,21.7,114,104,anigbik01,2018
Giannis Antetokounmpo 2018,PF,23,MIL,75,75,2756,13.4,25.4,.529,0.8,2.5,.307,12.6,22.8,.554,8.8,11.6,.760,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,116,106,antetgi01,2018
Carmelo Anthony 2018,PF,33,OKC,78,78,2501,9.4,23.2,.404,3.4,9.4,.357,6.0,13.8,.437,2.9,3.8,.767,1.3,7.7,9.0,2.0,0.9,1.0,2.0,3.9,25.0,104,109,anthoca01,2018
