lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
T. Day | R. Fox | A. Walker | D. Wesley | E. Williams BOS 1997,385.15,-13.7,-7.5,4.3,-0.11699999999999999,-1.3,1.1,-0.10400000000000001,-0.127,2.5,2.1,0.032,-0.5,-9.9,-11.9,-9.9,-6.2,-15.9,-6.4,6.2,-3.4,-6.2,-0.8,"dayto01, foxri01, walkean02, wesleda01, willier01",5,1997,BOS
R. Fox | B. Szabo | A. Walker | D. Wesley | E. Williams BOS 1997,237.68333333333334,-16.9,-10.4,-3.8,-0.10099999999999999,-0.9,-0.1,-0.055999999999999994,-0.10400000000000001,4.8,3.5,0.107,0.8,-1.4,-4.1,-1.4,-1.4,-3.6,-8.4,-1.4,-2.2,3.0,1.1,"foxri01, szabobr01, walkean02, wesleda01, willier01",5,1997,BOS
M. Conlon | T. Day | R. Fox | A. Walker | D. Wesley BOS 1997,191.45,-2.0,-1.0,8.5,-0.062,5.6,6.4,0.192,-0.032,-5.6,-7.3,-0.009000000000000001,2.7,-0.6,-7.1,-0.6,-2.4,-5.7,-2.9,3.3,-3.9,-3.4,1.4,"conloma01, dayto01, foxri01, walkean02, wesleda01",5,1997,BOS
M. Conlon | R. Fox | A. Walker | D. Wesley | E. Williams BOS 1997,156.28333333333333,-11.4,-8.1,4.2,-0.11599999999999999,-0.5,0.9,-0.045,-0.121,4.1,4.1,0.034,1.8,-4.7,-10.2,-4.7,-4.1,-9.6,-4.9,-0.1,-4.8,-3.8,0.8,"conloma01, foxri01, walkean02, wesleda01, willier01",5,1997,BOS
R. Fox | G. Minor | D. Radja | D. Wesley | E. Williams BOS 1997,140.43333333333334,-0.9,-0.6,-2.7,0.006999999999999999,0.3,-1.3,0.07,0.009000000000000001,0.1,-1.5,0.07,-1.1,-5.4,-5.4,-5.4,-2.4,-5.6,-1.3,-2.2,0.1,0.5,3.0,"foxri01, minorgr01, radjadi01, wesleda01, willier01",5,1997,BOS
M. Conlon | T. Day | A. Walker | D. Wesley | E. Williams BOS 1997,129.9,-5.5,-4.8,1.7,-0.062,-0.5,-1.0,-0.006999999999999999,-0.066,4.6,5.6,0.017,-0.2,-5.5,-7.9,-5.5,-4.2,-8.9,-6.8,-0.3,-3.3,-5.1,-0.8,"conloma01, dayto01, walkean02, wesleda01, willier01",5,1997,BOS
D. Barros | R. Fox | D. Radja | A. Walker | E. Williams BOS 1997,93.55,-1.3,-2.2,-2.5,-0.011000000000000001,-0.9,-7.3,0.18600000000000003,-0.015,4.1,3.8,0.063,1.3,2.9,0.6,2.9,1.3,3.3,-4.9,-0.8,-3.2,0.5,1.5,"barroda01, foxri01, radjadi01, walkean02, willier01",5,1997,BOS
M. Conlon | T. Day | B. Szabo | A. Walker | D. Wesley BOS 1997,70.1,-2.5,-2.0,-3.1,-0.006999999999999999,1.6,0.0,0.075,0.003,0.0,0.2,-0.006999999999999999,0.5,0.0,-1.0,0.0,0.0,0.0,1.0,1.1,-2.3,3.9,3.4,"conloma01, dayto01, szabobr01, walkean02, wesleda01",5,1997,BOS
M. Conlon | T. Day | R. Fox | D. Wesley | E. Williams BOS 1997,68.21666666666667,-3.7,-4.3,4.5,-0.08199999999999999,-2.4,-4.2,-0.055999999999999994,-0.099,4.3,1.8,0.095,-0.4,-6.0,-7.1,-6.0,-4.1,-10.1,-0.9,-0.3,-4.9,-5.2,-2.6,"conloma01, dayto01, foxri01, wesleda01, willier01",5,1997,BOS
M. Conlon | T. Day | S. Hamer | A. Walker | D. Wesley BOS 1997,61.81666666666667,9.4,2.6,1.2,0.023,2.1,0.1,0.095,0.034,2.0,-0.6,0.136,2.1,7.6,5.9,7.6,3.7,9.1,9.7,-2.2,-6.4,1.2,-2.9,"conloma01, dayto01, hamerst01, walkean02, wesleda01",5,1997,BOS
R. Fox | D. Radja | A. Walker | D. Wesley | E. Williams BOS 1997,58.983333333333334,17.5,10.8,3.2,0.107,-3.1,-10.1,-0.051,0.08800000000000001,-1.0,-6.3,0.11800000000000001,1.7,9.4,11.1,9.4,7.2,16.2,2.9,-0.5,1.3,2.6,1.7,"foxri01, radjadi01, walkean02, wesleda01, willier01",5,1997,BOS
