lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
K. Gill | K. Kittles | R. Pack | J. Williams NJN 1997,522.0166666666667,-1.1,-0.7,6.6,-0.042,-1.6,-1.5,-0.071,-0.053,1.8,1.9,0.013999999999999999,6.3,8.3,-0.8,8.3,2.8,5.8,-1.1,0.5,0.1,-1.3,-1.4,"gillke01, kittlke01, packro01, willija01",4,1997,NJN
S. Bradley | K. Gill | K. Kittles | J. Williams NJN 1997,419.6,-5.0,-2.7,8.6,-0.069,0.6,3.9,-0.054000000000000006,-0.068,-0.1,-0.6,0.015,8.9,9.5,-3.1,9.5,3.0,5.9,-1.7,-1.0,3.8,-0.2,1.0,"bradlsh01, gillke01, kittlke01, willija01",4,1997,NJN
K. Gill | K. Kittles | T. Massenburg | R. Pack NJN 1997,404.6666666666667,-1.9,-1.3,3.6,-0.034,-1.7,-3.5,-0.028999999999999998,-0.045,2.4,4.1,-0.025,4.3,5.4,-1.0,5.4,1.8,3.9,-0.4,0.3,-1.5,-1.0,-0.4,"gillke01, kittlke01, masseto01, packro01",4,1997,NJN
K. Gill | K. Kittles | T. Massenburg | J. Williams NJN 1997,401.9166666666667,-4.7,-3.2,4.2,-0.057,-0.7,-0.7,-0.026000000000000002,-0.062,2.3,3.3,-0.005,5.5,7.5,-0.1,7.5,2.8,5.9,-2.3,-0.6,-4.8,-0.5,-0.6,"gillke01, kittlke01, masseto01, willija01",4,1997,NJN
K. Gill | J. Jackson | T. Massenburg | E. Montross NJN 1997,372.25,0.5,1.0,3.3,-0.005,-1.4,-4.8,0.038,-0.013999999999999999,-0.1,-0.5,0.015,4.9,8.9,3.5,8.9,4.3,8.8,-4.6,-1.1,-1.3,0.4,0.6,"gillke01, jacksji01, masseto01, montrer01",4,1997,NJN
S. Bradley | K. Gill | K. Kittles | R. Pack NJN 1997,362.1333333333333,2.9,-1.1,5.4,-0.038,0.0,2.8,-0.073,-0.04,5.0,8.1,-0.03,4.9,3.9,-3.9,3.9,0.6,1.2,1.4,2.6,4.1,-4.2,-2.1,"bradlsh01, gillke01, kittlke01, packro01",4,1997,NJN
S. Bradley | K. Gill | K. Kittles | K. Reeves NJN 1997,308.85,-6.8,-3.0,9.4,-0.08,0.8,3.1,-0.026000000000000002,-0.08,-2.2,-1.2,-0.054000000000000006,6.3,4.4,-6.4,4.4,-0.2,-0.4,-4.0,-0.1,4.1,-3.7,0.4,"bradlsh01, gillke01, kittlke01, reevekh01",4,1997,NJN
K. Gill | K. Kittles | K. Reeves | J. Williams NJN 1997,305.5,-12.1,-5.4,5.4,-0.084,2.1,4.6,0.023,-0.07400000000000001,-4.8,-5.7,-0.034,3.2,0.9,-5.6,0.9,-1.0,-1.9,-4.4,-1.4,-0.2,-0.6,3.4,"gillke01, kittlke01, reevekh01, willija01",4,1997,NJN
S. Cassell | K. Gill | J. Jackson | E. Montross NJN 1997,304.46666666666664,-3.5,-0.7,4.7,-0.028999999999999998,-2.6,-3.5,-0.054000000000000006,-0.045,0.5,0.7,-0.003,4.6,4.9,-2.1,4.9,1.4,2.8,-6.4,0.3,-0.9,-1.5,0.5,"cassesa01, gillke01, jacksji01, montrer01",4,1997,NJN
K. Gill | T. Massenburg | R. Pack | J. Williams NJN 1997,270.28333333333336,-1.8,-2.0,0.2,-0.024,-2.0,-4.6,-0.035,-0.035,4.1,6.1,-0.02,4.3,7.7,2.0,7.7,3.1,6.8,-1.4,-2.0,-2.1,1.1,-2.7,"gillke01, masseto01, packro01, willija01",4,1997,NJN
S. Cassell | K. Gill | T. Massenburg | E. Montross NJN 1997,267.78333333333336,4.4,2.2,4.6,0.001,-1.6,-3.8,0.006999999999999999,-0.01,1.8,1.8,0.018000000000000002,4.3,5.8,0.1,5.8,2.3,4.7,-6.3,1.9,-0.9,-2.0,0.2,"cassesa01, gillke01, masseto01, montrer01",4,1997,NJN
