lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
M. Bogues | D. Curry | V. Divac | A. Mason | G. Rice CHH 1997,519.8333333333334,9.3,2.4,-3.3,0.045,1.0,-3.5,0.131,0.052000000000000005,3.7,2.5,0.07,-3.3,-5.4,0.2,-5.4,-1.6,-3.6,6.7,1.8,0.6,-1.5,-0.4,"boguemu01, curryde01, divacvl01, masonan01, ricegl01",5,1997,CHH
M. Bogues | V. Divac | A. Mason | G. Rice | T. Smith CHH 1997,349.18333333333334,11.0,2.8,-1.2,0.037000000000000005,2.7,5.5,0.017,0.052000000000000005,2.7,4.5,-0.045,-2.6,-5.3,-1.8,-5.3,-2.0,-4.5,6.4,2.1,3.0,-3.4,-1.5,"boguemu01, divacvl01, masonan01, ricegl01, smithto02",5,1997,CHH
D. Curry | V. Divac | A. Mason | G. Rice | T. Smith CHH 1997,247.43333333333334,11.7,4.5,3.3,0.035,5.0,4.9,0.154,0.062,-2.2,-3.3,0.009000000000000001,0.8,1.9,0.9,1.9,0.9,1.9,6.2,2.8,-0.6,-1.8,-0.3,"curryde01, divacvl01, masonan01, ricegl01, smithto02",5,1997,CHH
D. Curry | V. Divac | A. Goldwire | A. Mason | G. Rice CHH 1997,141.56666666666666,0.0,-6.0,-15.2,0.006,3.0,1.8,0.10800000000000001,0.034,7.4,9.7,0.026000000000000002,-3.2,-6.4,-1.9,-6.4,-2.1,-4.6,-5.3,-2.6,-2.8,6.8,-0.2,"curryde01, divacvl01, goldwan01, masonan01, ricegl01",5,1997,CHH
D. Curry | T. Delk | V. Divac | A. Mason | G. Rice CHH 1997,118.2,-1.1,-5.5,-10.2,-0.009000000000000001,-2.0,-5.5,0.002,-0.015,11.8,11.3,0.12300000000000001,-8.0,-16.9,-7.4,-16.9,-7.9,-17.1,0.8,1.5,1.0,-3.0,-4.8,"curryde01, delkto01, divacvl01, masonan01, ricegl01",5,1997,CHH
M. Bogues | V. Divac | A. Mason | R. Pierce | G. Rice CHH 1997,116.38333333333334,15.8,5.4,-3.3,0.078,4.3,1.3,0.255,0.10300000000000001,0.8,0.3,0.027999999999999997,-8.3,-13.5,1.3,-13.5,-3.6,-8.6,5.0,4.4,2.0,-5.9,-1.0,"boguemu01, divacvl01, masonan01, piercri01, ricegl01",5,1997,CHH
M. Bogues | D. Curry | M. Geiger | A. Mason | G. Rice CHH 1997,91.23333333333333,-12.8,-6.5,-1.1,-0.065,-1.9,-0.2,-0.1,-0.075,2.2,4.5,-0.05,-1.4,-4.8,-3.8,-4.8,-2.7,-6.0,-2.1,2.5,-1.2,-2.6,1.5,"boguemu01, curryde01, geigema01, masonan01, ricegl01",5,1997,CHH
V. Divac | A. Mason | R. Pierce | G. Rice | T. Smith CHH 1997,85.53333333333333,-17.4,-12.3,-11.6,-0.07400000000000001,0.5,2.3,-0.03,-0.066,6.6,5.9,0.096,-4.5,-8.5,-3.3,-8.5,-4.0,-8.3,-4.0,-1.7,1.9,0.5,-4.3,"divacvl01, masonan01, piercri01, ricegl01, smithto02",5,1997,CHH
T. Delk | V. Divac | A. Mason | R. Pierce | G. Rice CHH 1997,68.2,-10.5,-4.9,-3.3,-0.038,-4.1,-6.2,-0.086,-0.059000000000000004,3.5,0.2,0.11699999999999999,-2.1,-5.1,-2.4,-5.1,-2.6,-6.1,-2.7,-0.4,2.4,1.0,-3.0,"delkto01, divacvl01, masonan01, piercri01, ricegl01",5,1997,CHH
M. Bogues | D. Curry | V. Divac | M. Geiger | G. Rice CHH 1997,58.43333333333333,10.0,-2.9,-20.7,0.091,-3.6,-4.2,-0.08900000000000001,0.08199999999999999,19.4,27.9,-0.107,-5.6,-7.2,7.2,-7.2,0.0,0.0,6.9,2.4,2.3,-0.9,-8.0,"boguemu01, curryde01, divacvl01, geigema01, ricegl01",5,1997,CHH
V. Divac | M. Geiger | A. Goldwire | A. Mason | G. Rice CHH 1997,57.016666666666666,0.8,-2.4,-16.9,0.051,1.2,-10.2,0.273,0.061,4.5,8.6,-0.083,-9.2,-10.0,3.6,-10.0,-2.5,-4.9,-1.9,-5.2,1.7,1.6,5.9,"divacvl01, geigema01, goldwan01, masonan01, ricegl01",5,1997,CHH
