lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
T. Brandon | D. Ferry | T. Hill | C. Mills CLE 1997,1100.4166666666667,6.4,3.3,6.5,0.002,1.2,3.6,-0.013000000000000001,0.006,-1.4,-1.3,-0.013999999999999999,1.3,1.0,-1.8,1.0,-0.4,-1.1,1.7,2.7,-0.6,-4.5,-0.1,"brandte01, ferryda01, hillty01, millsch01",4,1997,CLE
T. Brandon | T. Hill | C. Mills | B. Phills CLE 1997,1080.3833333333334,9.3,6.0,5.1,0.043,0.3,0.4,0.008,0.043,-3.1,-2.5,-0.048,-0.3,0.1,0.8,0.1,0.3,0.7,3.8,2.6,-0.2,-3.6,1.6,"brandte01, hillty01, millsch01, phillbo01",4,1997,CLE
T. Brandon | D. Ferry | C. Mills | B. Phills CLE 1997,910.1833333333333,2.5,3.9,7.3,0.004,0.3,1.2,-0.011000000000000001,0.002,-5.5,-5.7,-0.046,0.0,-2.1,-3.2,-2.1,-1.8,-4.2,1.0,2.4,-0.3,-4.6,1.3,"brandte01, ferryda01, millsch01, phillbo01",4,1997,CLE
D. Ferry | T. Hill | C. Mills | B. Phills CLE 1997,831.2833333333333,5.6,3.9,5.6,0.013999999999999999,0.5,1.9,-0.012,0.013999999999999999,-2.8,-1.1,-0.08,0.5,0.0,-1.3,0.0,-0.5,-1.2,1.9,2.0,-1.1,-3.8,-0.4,"ferryda01, hillty01, millsch01, phillbo01",4,1997,CLE
T. Brandon | T. Hill | C. Mills | B. Sura CLE 1997,699.7,10.4,3.3,3.7,0.02,0.9,2.6,-0.004,0.023,2.6,1.0,0.057,1.9,4.0,1.5,4.0,1.6,3.7,1.0,1.9,-0.9,-2.9,0.1,"brandte01, hillty01, millsch01, surabo01",4,1997,CLE
T. Brandon | D. Ferry | C. Mills | B. Sura CLE 1997,687.1166666666667,1.7,1.1,4.8,-0.013000000000000001,0.5,2.9,-0.033,-0.013000000000000001,-1.1,-3.4,0.048,1.1,0.4,-2.1,0.4,-0.8,-1.8,0.3,1.7,0.5,-3.0,0.2,"brandte01, ferryda01, millsch01, surabo01",4,1997,CLE
D. Ferry | T. Hill | C. Mills | B. Sura CLE 1997,683.5833333333334,6.8,1.4,4.5,-0.006999999999999999,1.2,3.9,-0.013999999999999999,-0.002,2.6,2.8,0.017,2.2,2.8,-1.0,2.8,0.5,1.1,0.5,2.0,-0.2,-3.5,-1.2,"ferryda01, hillty01, millsch01, surabo01",4,1997,CLE
T. Brandon | D. Ferry | T. Hill | B. Phills CLE 1997,672.1833333333333,4.7,4.5,7.9,0.008,0.8,2.0,0.001,0.009000000000000001,-5.2,-4.7,-0.066,1.0,0.1,-2.4,0.1,-0.9,-2.2,2.1,2.0,-0.9,-4.1,0.5,"brandte01, ferryda01, hillty01, phillbo01",4,1997,CLE
T. Brandon | D. Ferry | T. Hill | B. Sura CLE 1997,526.7,4.5,1.4,7.1,-0.023,1.4,5.1,-0.032,-0.018000000000000002,0.4,-1.6,0.048,3.4,4.3,-2.0,4.3,0.4,1.0,0.2,1.7,0.2,-3.5,0.0,"brandte01, ferryda01, hillty01, surabo01",4,1997,CLE
T. Brandon | C. Mills | B. Phills | M. West CLE 1997,481.6166666666667,5.7,4.2,1.1,0.042,-0.8,-2.9,0.013999999999999999,0.037000000000000005,-1.9,-2.1,-0.016,-1.2,-1.4,0.9,-1.4,0.2,0.4,1.9,1.7,-0.1,-1.8,3.0,"brandte01, millsch01, phillbo01, westma01",4,1997,CLE
T. Brandon | T. Hill | C. Mills | M. West CLE 1997,407.03333333333336,9.0,5.8,2.7,0.052000000000000005,-1.0,-2.4,-0.008,0.046,-1.5,-2.2,0.002,0.5,2.7,3.3,2.7,2.2,4.7,3.4,1.5,-2.4,-1.1,3.2,"brandte01, hillty01, millsch01, westma01",4,1997,CLE
T. Brandon | T. Hill | B. Phills | M. West CLE 1997,361.78333333333336,12.1,7.1,2.4,0.069,-0.8,-2.9,0.01,0.064,-1.4,-1.1,-0.031,-0.1,1.9,3.9,1.9,2.2,4.5,5.0,2.2,-0.5,-1.8,3.0,"brandte01, hillty01, phillbo01, westma01",4,1997,CLE
D. Ferry | C. Mills | B. Phills | B. Sura CLE 1997,352.26666666666665,-2.8,-0.7,1.4,-0.015,-0.2,0.7,-0.025,-0.017,-1.5,2.7,-0.114,2.1,3.5,0.2,3.5,1.3,2.8,-0.8,2.0,-0.1,-0.8,-1.6,"ferryda01, millsch01, phillbo01, surabo01",4,1997,CLE
T. Hill | C. Mills | B. Phills | B. Sura CLE 1997,342.8666666666667,9.4,3.2,4.3,0.016,0.3,0.6,0.004,0.016,2.4,5.2,-0.044000000000000004,4.5,8.4,2.0,8.4,3.6,8.2,1.4,1.0,-0.4,-1.9,-1.4,"hillty01, millsch01, phillbo01, surabo01",4,1997,CLE
T. Hill | C. Mills | B. Phills | M. West CLE 1997,341.18333333333334,13.8,7.4,2.1,0.076,0.3,-2.3,0.068,0.076,-1.3,-1.4,-0.013000000000000001,0.0,1.8,3.3,1.8,2.2,4.7,5.6,1.0,0.2,-1.1,3.1,"hillty01, millsch01, phillbo01, westma01",4,1997,CLE
D. Ferry | T. Hill | B. Phills | B. Sura CLE 1997,308.71666666666664,1.4,0.4,4.4,-0.018000000000000002,-0.7,1.6,-0.068,-0.025,0.9,4.7,-0.085,2.5,2.3,-2.6,2.3,0.1,0.2,0.7,1.2,-1.2,-3.4,-2.4,"ferryda01, hillty01, phillbo01, surabo01",4,1997,CLE
T. Brandon | D. Ferry | C. Mills | V. Potapenko CLE 1997,259.0,-1.5,4.5,11.6,-0.01,-0.2,-1.2,0.013999999999999999,-0.016,-10.3,-14.4,0.04,2.0,0.5,-3.6,0.5,-0.8,-1.8,0.3,0.6,0.4,-3.6,3.9,"brandte01, ferryda01, millsch01, potapvi01",4,1997,CLE
D. Ferry | C. Mills | V. Potapenko | B. Sura CLE 1997,257.65,8.3,6.3,4.9,0.048,1.6,-2.0,0.12,0.055999999999999994,-6.0,-7.9,-0.002,-1.2,-1.9,0.2,-1.9,-0.1,-0.3,3.9,1.4,1.4,-2.8,1.5,"ferryda01, millsch01, potapvi01, surabo01",4,1997,CLE
T. Brandon | C. Mills | V. Potapenko | B. Sura CLE 1997,257.48333333333335,1.4,3.3,-1.7,0.046,-1.7,-7.2,0.071,0.037000000000000005,-4.1,-6.0,0.013000000000000001,-2.6,-3.3,1.1,-3.3,-0.7,-1.5,2.5,-0.1,0.2,0.6,2.8,"brandte01, millsch01, potapvi01, surabo01",4,1997,CLE
