lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
S. Bradley | M. Finley | A. Green | K. Reeves | E. Strickland DAL 1997,153.08333333333334,-10.5,-3.4,0.1,-0.039,-2.4,-4.4,-0.039,-0.052000000000000005,-1.2,-1.4,-0.008,2.3,4.0,0.7,4.0,1.0,2.3,-4.2,-2.7,-1.2,2.4,0.2,"bradlsh01, finlemi01, greenac01, reevekh01, stricer01",5,1997,DAL
J. Jackson | J. Kidd | G. McCloud | L. Meyer | E. Montross DAL 1997,144.6,-3.7,2.5,-0.5,0.03,-0.6,4.4,-0.136,0.027000000000000003,-8.0,-9.8,-0.019,-5.4,-9.3,-1.9,-9.3,-3.5,-7.8,4.1,0.6,-3.1,-1.2,6.3,"jacksji01, kiddja01, mccloge01, meyerlo01, montrer01",5,1997,DAL
S. Bradley | S. Danilović | M. Finley | A. Green | R. Pack DAL 1997,131.55,-7.4,0.5,2.9,-0.009000000000000001,-0.9,-2.6,0.002,-0.015,-7.4,-8.3,-0.040999999999999995,-3.0,-8.8,-7.0,-8.8,-5.1,-10.8,-1.8,-0.8,-0.4,-2.1,0.4,"bradlsh01, danilsa01, finlemi01, greenac01, packro01",5,1997,DAL
S. Bradley | M. Finley | A. Green | D. Harper | R. Pack DAL 1997,119.76666666666667,-2.4,-4.7,-4.4,-0.031,-1.7,-2.3,-0.047,-0.039,8.7,8.0,0.107,-1.8,-2.7,-0.5,-2.7,-1.5,-3.1,-5.6,-2.6,0.8,-1.3,-2.0,"bradlsh01, finlemi01, greenac01, harpede01, packro01",5,1997,DAL
S. Bradley | M. Finley | A. Green | D. Harper | J. Watson DAL 1997,118.8,-8.4,-2.0,-9.4,0.021,-2.0,-8.9,0.065,0.013999999999999999,-2.5,-2.5,-0.036000000000000004,-5.4,-5.9,1.5,-5.9,-2.0,-4.0,-1.5,-2.0,3.0,3.0,1.2,"bradlsh01, finlemi01, greenac01, harpede01, watsoja01",5,1997,DAL
S. Bradley | M. Finley | A. Green | D. Harper | E. Strickland DAL 1997,117.55,-4.6,-2.0,-4.7,0.002,-5.5,-8.5,-0.15,-0.027999999999999997,4.9,5.0,0.048,-1.1,2.4,5.1,2.4,1.7,3.8,-0.4,-0.9,1.1,2.4,-2.0,"bradlsh01, finlemi01, greenac01, harpede01, stricer01",5,1997,DAL
S. Cassell | A. Green | J. Jackson | J. Mashburn | E. Montross DAL 1997,103.76666666666667,-11.5,-4.5,-10.0,0.003,-2.5,-6.5,0.025,-0.006,0.0,-2.0,0.075,-1.0,3.0,8.0,3.0,3.5,8.0,-4.0,-6.0,-3.0,8.0,0.0,"cassesa01, greenac01, jacksji01, mashbja01, montrer01",5,1997,DAL
J. Jackson | J. Kidd | G. McCloud | E. Montross | S. Walker DAL 1997,81.31666666666666,-5.0,0.5,8.5,-0.04,0.9,-1.5,0.073,-0.039,-7.0,-11.5,0.09300000000000001,1.7,1.1,-2.2,1.1,0.0,0.0,-1.2,-1.5,-3.5,-0.9,3.7,"jacksji01, kiddja01, mccloge01, montrer01, walkesa01",5,1997,DAL
C. Gatling | D. Harper | J. Jackson | G. McCloud | O. Miller DAL 1997,67.2,15.8,0.0,-17.4,0.08900000000000001,0.2,-10.0,0.156,0.09699999999999999,12.4,8.9,0.20800000000000002,-9.4,-8.0,7.2,-8.0,-0.8,-1.6,1.0,2.0,2.9,1.3,0.4,"gatlich01, harpede01, jacksji01, mccloge01, milleol01",5,1997,DAL
A. Green | D. Harper | J. Jackson | J. Mashburn | E. Montross DAL 1997,67.05,5.0,6.2,5.0,0.044000000000000004,-2.5,-13.2,0.11,0.028999999999999998,-4.9,-4.9,-0.10099999999999999,0.1,-1.4,-2.8,-1.4,-1.3,-2.3,1.0,-4.3,-5.9,-1.6,-1.3,"greenac01, harpede01, jacksji01, mashbja01, montrer01",5,1997,DAL
J. Jackson | J. Kidd | J. Mashburn | L. Meyer | E. Montross DAL 1997,54.86666666666667,-23.6,-5.3,3.6,-0.07400000000000001,-3.7,7.7,-0.321,-0.096,-11.2,-11.0,-0.14800000000000002,-1.3,-5.6,-6.3,-5.6,-3.4,-6.7,-13.7,-3.2,-4.2,2.6,2.5,"jacksji01, kiddja01, mashbja01, meyerlo01, montrer01",5,1997,DAL
