lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Ellis | M. Jackson | E. Johnson | B. Stith DEN 1997,627.1333333333333,-6.2,-4.1,-3.4,-0.03,0.7,3.7,-0.04,-0.024,1.6,1.6,0.015,0.6,1.4,0.7,1.4,0.6,1.3,3.3,-1.8,0.2,2.6,0.9,"ellisda01, jacksma01, johnser02, stithbr01",4,1997,DEN
M. Jackson | E. Johnson | A. McDyess | B. Stith DEN 1997,574.25,-2.6,-1.4,-2.4,-0.003,0.5,2.5,-0.031,0.001,0.2,-0.5,0.027000000000000003,-0.4,0.1,1.2,0.1,0.5,1.1,5.3,-1.3,0.2,2.2,0.8,"jacksma01, johnser02, mcdyean01, stithbr01",4,1997,DEN
D. Ellis | M. Jackson | A. McDyess | B. Stith DEN 1997,533.8166666666667,-3.3,-2.6,-2.9,-0.015,0.8,3.3,-0.024,-0.01,1.9,1.7,0.028999999999999998,0.1,0.6,0.9,0.6,0.4,0.8,4.4,-1.6,0.3,1.9,0.2,"ellisda01, jacksma01, mcdyean01, stithbr01",4,1997,DEN
D. Ellis | M. Jackson | E. Johnson | A. McDyess DEN 1997,432.01666666666665,-7.5,-2.6,-2.9,-0.016,-0.9,1.5,-0.087,-0.019,0.1,-0.7,0.032,-0.5,-1.1,-0.7,-1.1,-0.5,-1.0,4.3,-0.9,0.2,2.7,1.6,"ellisda01, jacksma01, johnser02, mcdyean01",4,1997,DEN
D. Ellis | E. Johnson | A. McDyess | B. Stith DEN 1997,416.2,-4.7,-2.4,-2.7,-0.013999999999999999,-0.6,2.3,-0.09300000000000001,-0.016,0.8,0.6,0.019,-0.7,-1.7,-1.2,-1.7,-0.9,-1.9,4.6,-1.3,0.4,1.6,1.4,"ellisda01, johnser02, mcdyean01, stithbr01",4,1997,DEN
L. Ellis | M. Jackson | E. Johnson | B. Stith DEN 1997,406.1666666666667,-0.9,-3.2,-4.4,-0.012,2.6,6.1,0.01,0.004,3.2,3.4,0.02,0.7,3.7,3.5,3.7,2.0,4.7,2.9,-3.0,0.6,3.0,-1.0,"ellisla01, jacksma01, johnser02, stithbr01",4,1997,DEN
L. Ellis | E. Johnson | A. McDyess | B. Stith DEN 1997,384.96666666666664,4.9,0.8,-4.4,0.031,1.3,1.9,0.032,0.039,2.1,2.4,0.012,0.3,3.8,5.4,3.8,3.1,6.6,5.2,-3.5,0.9,4.4,-1.3,"ellisla01, johnser02, mcdyean01, stithbr01",4,1997,DEN
D. Ellis | L. Ellis | M. Jackson | E. Johnson DEN 1997,331.43333333333334,5.0,-3.3,-8.0,0.003,4.7,8.0,0.1,0.032,7.0,6.9,0.057,-3.8,-3.9,2.1,-3.9,-0.9,-2.1,3.6,-2.0,1.9,-0.2,-1.1,"ellisda01, ellisla01, jacksma01, johnser02",4,1997,DEN
L. Ellis | M. Jackson | E. Johnson | A. McDyess DEN 1997,309.3666666666667,-4.2,-2.3,-2.7,-0.011000000000000001,-0.9,0.7,-0.08,-0.015,1.2,2.2,-0.019,1.3,2.9,1.3,2.9,1.5,3.4,0.5,-2.8,2.5,3.1,-0.1,"ellisla01, jacksma01, johnser02, mcdyean01",4,1997,DEN
D. Ellis | T. Hammonds | M. Jackson | B. Stith DEN 1997,289.31666666666666,-11.4,-8.2,-6.1,-0.064,1.1,5.4,-0.046,-0.055,3.5,3.4,0.03,0.0,-0.5,-0.8,-0.5,-0.3,-0.8,-3.0,-3.3,0.7,3.3,-0.5,"ellisda01, hammoto01, jacksma01, stithbr01",4,1997,DEN
D. Ellis | L. Ellis | M. Jackson | B. Stith DEN 1997,277.0833333333333,-8.5,-5.6,1.7,-0.073,2.5,8.6,-0.023,-0.06,0.2,2.1,-0.052000000000000005,3.1,2.4,-2.6,2.4,0.0,0.0,2.4,-2.2,0.0,-0.5,-1.7,"ellisda01, ellisla01, jacksma01, stithbr01",4,1997,DEN
L. Ellis | M. Jackson | A. McDyess | B. Stith DEN 1997,256.71666666666664,-0.3,-1.5,-2.0,-0.006999999999999999,1.7,2.0,0.06,0.003,1.1,3.2,-0.057999999999999996,1.0,2.5,1.3,2.5,1.3,2.9,5.0,-2.3,1.1,1.0,-1.7,"ellisla01, jacksma01, mcdyean01, stithbr01",4,1997,DEN
D. Ellis | A. Goldwire | E. Johnson | A. McDyess DEN 1997,251.65,-5.1,-4.5,-6.2,-0.02,0.6,4.3,-0.069,-0.013999999999999999,1.9,7.0,-0.162,-1.1,-2.4,-1.6,-2.4,-1.4,-2.8,0.5,-4.2,-0.8,2.1,-0.5,"ellisda01, goldwan01, johnser02, mcdyean01",4,1997,DEN
D. Ellis | T. Hammonds | E. Johnson | A. McDyess DEN 1997,238.5,-3.8,-4.7,-10.7,0.001,0.4,1.2,-0.009000000000000001,0.008,3.8,6.5,-0.048,-3.4,-4.6,1.3,-4.6,-1.1,-2.2,1.2,-4.6,-1.9,4.2,-1.9,"ellisda01, hammoto01, johnser02, mcdyean01",4,1997,DEN
L. Ellis | M. Jackson | E. Johnson | R. Pierce DEN 1997,234.18333333333334,1.8,-2.1,-10.2,0.027000000000000003,1.0,1.0,0.036000000000000004,0.036000000000000004,5.1,4.1,0.087,-6.6,-7.8,2.8,-7.8,-2.1,-4.4,-0.7,-3.5,4.9,1.5,-2.5,"ellisla01, jacksma01, johnser02, piercri01",4,1997,DEN
D. Ellis | L. Ellis | E. Johnson | A. McDyess DEN 1997,226.73333333333332,-15.5,-10.3,-5.8,-0.08800000000000001,0.7,10.3,-0.163,-0.08199999999999999,4.5,5.8,-0.006,3.4,2.9,-4.4,2.9,-0.1,-0.2,-6.2,-4.8,1.5,6.8,1.2,"ellisda01, ellisla01, johnser02, mcdyean01",4,1997,DEN
L. Ellis | A. Goldwire | E. Johnson | A. McDyess DEN 1997,215.58333333333334,2.9,0.5,-1.8,0.013999999999999999,1.0,2.1,0.013000000000000001,0.02,0.9,3.3,-0.07400000000000001,4.0,8.5,4.8,8.5,4.5,9.1,4.0,-3.4,0.4,5.9,-1.0,"ellisla01, goldwan01, johnser02, mcdyean01",4,1997,DEN
D. Ellis | A. Goldwire | T. Hammonds | A. McDyess DEN 1997,204.05,-9.3,-5.4,-7.3,-0.024,0.9,1.1,0.023,-0.017,-1.6,2.8,-0.184,-1.6,-3.0,-1.4,-3.0,-1.8,-3.5,1.3,-5.6,-2.1,4.2,-0.1,"ellisda01, goldwan01, hammoto01, mcdyean01",4,1997,DEN
D. Ellis | E. Johnson | A. McDyess | B. Thompson DEN 1997,203.48333333333332,-10.0,-6.2,-6.8,-0.033,-0.2,10.5,-0.214,-0.031,2.6,0.6,0.105,-3.4,-7.6,-3.0,-7.6,-2.8,-6.5,1.0,-2.6,3.9,3.6,1.8,"ellisda01, johnser02, mcdyean01, thompbr01",4,1997,DEN
D. Ellis | L. Ellis | E. Johnson | B. Stith DEN 1997,200.7,-7.7,-6.0,-3.9,-0.047,3.2,9.6,0.002,-0.027000000000000003,1.0,2.0,-0.028999999999999998,-0.5,-1.0,-0.3,-1.0,-0.5,-1.2,4.7,-2.6,-0.7,2.0,0.8,"ellisda01, ellisla01, johnser02, stithbr01",4,1997,DEN
L. Ellis | D. Garrett | B. Jackson | E. Washington DEN 1998,591.8833333333333,-18.3,-5.6,-1.7,-0.054000000000000006,-3.3,-4.0,-0.133,-0.071,-5.0,-6.5,-0.004,1.3,2.1,0.4,2.1,0.8,1.8,-6.4,-2.5,-0.2,5.2,3.1,"ellisla01, garrede01, jacksbo01, washier01",4,1998,DEN
T. Battie | L. Ellis | D. Garrett | B. Jackson DEN 1998,543.0,-12.6,-2.3,1.3,-0.032,-4.4,-5.9,-0.18100000000000002,-0.055999999999999994,-4.8,-6.9,0.016,-0.2,-2.0,-2.4,-2.0,-1.3,-2.8,-4.3,0.6,-0.2,0.9,2.9,"battito01, ellisla01, garrede01, jacksbo01",4,1998,DEN
L. Ellis | D. Garrett | A. Goldwire | J. Newman DEN 1998,443.05,-10.0,-6.2,-5.8,-0.044000000000000004,0.4,-1.8,0.065,-0.039,1.6,2.2,-0.002,-4.9,-9.7,-3.1,-9.7,-4.3,-9.5,-2.8,0.2,-0.2,-0.4,-1.7,"ellisla01, garrede01, goldwan01, newmajo01",4,1998,DEN
T. Battie | D. Garrett | B. Jackson | E. Washington DEN 1998,416.05,-12.3,-2.5,-0.9,-0.023,-3.8,-5.9,-0.122,-0.043,-5.0,-7.5,0.032,-0.8,-1.6,-0.8,-1.6,-0.8,-1.5,-4.4,-0.8,0.5,2.9,3.8,"battito01, garrede01, jacksbo01, washier01",4,1998,DEN
T. Battie | L. Ellis | D. Garrett | E. Washington DEN 1998,407.51666666666665,-13.1,-2.9,0.2,-0.032,-4.2,-5.9,-0.16,-0.055,-4.7,-6.8,0.022000000000000002,0.9,0.5,-0.9,0.5,-0.1,-0.1,-5.1,-0.7,-0.2,3.1,2.8,"battito01, ellisla01, garrede01, washier01",4,1998,DEN
T. Battie | L. Ellis | B. Jackson | E. Washington DEN 1998,403.3,-10.6,-2.1,0.6,-0.026000000000000002,-4.6,-6.9,-0.16,-0.052000000000000005,-3.3,-5.0,0.018000000000000002,1.0,0.8,-0.7,0.8,0.1,0.3,-3.6,0.1,0.1,2.0,2.4,"battito01, ellisla01, jacksbo01, washier01",4,1998,DEN
L. Ellis | D. Fortson | D. Garrett | A. Goldwire DEN 1998,400.8833333333333,-14.6,-5.9,0.1,-0.067,-0.7,-0.9,-0.027999999999999997,-0.071,-2.1,-3.1,0.008,-0.3,-1.7,-1.8,-1.7,-1.1,-2.4,-7.8,0.7,-2.9,1.3,1.5,"ellisla01, fortsda01, garrede01, goldwan01",4,1998,DEN
