lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
J. Dumars | G. Hill | L. Hunter | O. Thorpe DET 1997,1574.0166666666667,5.0,-0.5,-2.0,0.005,2.1,3.0,0.046,0.017,4.0,4.3,0.037000000000000005,-2.6,-4.9,-1.5,-4.9,-2.1,-4.5,-3.7,1.9,-0.5,-2.7,-1.3,"dumarjo01, hillgr01, hunteli01, thorpot01",4,1997,DET
J. Dumars | G. Hill | L. Hunter | T. Mills DET 1997,691.25,13.1,0.4,-2.7,0.019,5.5,10.0,0.073,0.051,6.9,6.3,0.08,-4.5,-7.8,-0.9,-7.8,-3.1,-6.8,-3.6,2.9,-1.3,-4.7,-1.8,"dumarjo01, hillgr01, hunteli01, millste01",4,1997,DET
J. Dumars | G. Hill | L. Hunter | T. Ratliff DET 1997,688.0,-0.9,-1.0,-3.1,0.005,1.8,3.5,0.018000000000000002,0.016,-0.7,0.4,-0.046,-3.6,-6.6,-1.5,-6.6,-2.5,-5.7,-4.3,1.3,0.9,-0.6,-0.3,"dumarjo01, hillgr01, hunteli01, ratlith01",4,1997,DET
G. Hill | L. Hunter | T. Mills | O. Thorpe DET 1997,638.4666666666667,16.5,2.7,-1.0,0.036000000000000004,4.6,7.9,0.078,0.063,6.4,6.9,0.04,-3.3,-4.3,1.2,-4.3,-1.2,-2.6,-1.4,3.3,-1.3,-5.0,-2.7,"hillgr01, hunteli01, millste01, thorpot01",4,1997,DET
G. Hill | L. Hunter | T. Ratliff | O. Thorpe DET 1997,610.1833333333333,0.5,0.0,-3.3,0.017,1.0,1.3,0.025,0.024,-0.5,0.7,-0.05,-2.6,-4.0,0.3,-4.0,-1.1,-2.5,-3.2,1.0,1.6,0.2,0.2,"hillgr01, hunteli01, ratlith01, thorpot01",4,1997,DET
J. Dumars | G. Hill | T. Mills | O. Thorpe DET 1997,607.35,17.6,3.3,-0.7,0.040999999999999995,4.9,8.3,0.081,0.069,6.0,6.0,0.059000000000000004,-3.2,-3.7,2.0,-3.7,-0.9,-2.0,-1.2,3.0,-2.2,-5.5,-2.5,"dumarjo01, hillgr01, millste01, thorpot01",4,1997,DET
J. Dumars | L. Hunter | T. Ratliff | O. Thorpe DET 1997,595.45,-0.8,-0.8,-3.9,0.012,0.7,1.8,-0.005,0.017,0.2,2.0,-0.063,-3.0,-5.8,-1.4,-5.8,-2.2,-5.0,-3.2,1.6,1.1,-0.1,-0.5,"dumarjo01, hunteli01, ratlith01, thorpot01",4,1997,DET
J. Dumars | G. Hill | T. Ratliff | O. Thorpe DET 1997,559.7166666666667,0.1,-0.3,-4.1,0.018000000000000002,1.3,2.3,0.022000000000000002,0.027000000000000003,-0.5,1.0,-0.063,-3.4,-5.3,0.3,-5.3,-1.5,-3.5,-2.7,1.4,1.2,0.3,-0.3,"dumarjo01, hillgr01, ratlith01, thorpot01",4,1997,DET
J. Dumars | L. Hunter | T. Mills | O. Thorpe DET 1997,558.8333333333334,16.7,2.5,-3.1,0.044000000000000004,5.3,8.5,0.09300000000000001,0.075,6.6,6.2,0.067,-3.9,-4.8,2.1,-4.8,-1.0,-2.3,-2.0,2.4,-1.2,-4.2,-2.3,"dumarjo01, hunteli01, millste01, thorpot01",4,1997,DET
J. Dumars | G. Hill | G. Long | O. Thorpe DET 1997,461.46666666666664,5.1,-0.1,0.8,-0.006,1.2,-0.2,0.065,0.001,4.1,5.0,0.025,-0.7,-2.7,-2.4,-2.7,-1.7,-3.8,-5.5,1.8,-2.2,-3.8,-2.1,"dumarjo01, hillgr01, longgr01, thorpot01",4,1997,DET
J. Dumars | G. Hill | L. Hunter | G. Long DET 1997,452.56666666666666,3.4,-1.2,0.2,-0.015,0.3,0.6,0.002,-0.013000000000000001,5.5,5.9,0.052000000000000005,-1.0,-4.4,-4.3,-4.4,-2.6,-5.8,-6.8,1.5,-2.3,-3.8,-1.9,"dumarjo01, hillgr01, hunteli01, longgr01",4,1997,DET
