lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
J. Dumars | G. Hill | L. Hunter | T. Ratliff | O. Thorpe DET 1997,537.05,-0.7,-0.8,-4.1,0.013000000000000001,1.6,2.5,0.031,0.023,-0.7,0.5,-0.059000000000000004,-3.7,-6.6,-0.9,-6.6,-2.3,-5.1,-3.0,1.4,0.8,0.0,-0.1,"dumarjo01, hillgr01, hunteli01, ratlith01, thorpot01",5,1997,DET
J. Dumars | G. Hill | L. Hunter | T. Mills | O. Thorpe DET 1997,433.96666666666664,19.1,2.3,-2.3,0.038,6.1,10.3,0.096,0.073,8.4,8.0,0.08900000000000001,-4.9,-6.6,1.1,-6.6,-2.1,-4.5,-2.0,3.4,-2.2,-6.3,-2.7,"dumarjo01, hillgr01, hunteli01, millste01, thorpot01",5,1997,DET
J. Dumars | G. Hill | L. Hunter | G. Long | O. Thorpe DET 1997,343.1333333333333,2.8,-0.7,0.5,-0.01,-0.7,-1.5,0.001,-0.013999999999999999,4.8,5.2,0.047,-1.1,-3.8,-3.2,-3.8,-2.3,-5.1,-6.5,2.0,-2.3,-3.8,-2.5,"dumarjo01, hillgr01, hunteli01, longgr01, thorpot01",5,1997,DET
J. Dumars | G. Hill | L. Hunter | D. Reid | O. Thorpe DET 1997,138.55,-8.5,-3.6,-1.8,-0.031,2.9,1.1,0.163,-0.015,-4.1,-9.3,0.11,-3.0,-4.3,0.1,-4.3,-1.2,-2.4,-3.1,-0.2,2.3,1.9,4.8,"dumarjo01, hillgr01, hunteli01, reiddo01, thorpot01",5,1997,DET
M. Curry | G. Hill | L. Hunter | T. Mills | O. Thorpe DET 1997,117.95,7.9,4.1,4.1,0.027000000000000003,-0.1,2.8,-0.035,0.025,-0.3,6.2,-0.146,2.9,4.4,0.9,4.4,1.8,3.4,1.3,4.1,-0.5,-2.1,-3.3,"currymi01, hillgr01, hunteli01, millste01, thorpot01",5,1997,DET
J. Dumars | G. Hill | L. Hunter | T. Mills | T. Ratliff DET 1997,80.31666666666666,13.8,3.6,0.9,0.033,8.6,13.0,0.158,0.078,-2.1,-3.1,0.002,-6.2,-9.8,-1.4,-9.8,-4.2,-8.7,-0.5,2.3,2.3,-3.9,-3.1,"dumarjo01, hillgr01, hunteli01, millste01, ratlith01",5,1997,DET
J. Dumars | G. Hill | L. Hunter | R. Mahorn | O. Thorpe DET 1997,69.96666666666667,4.9,0.8,17.9,-0.068,-0.8,0.8,-0.057999999999999996,-0.079,4.1,6.5,-0.018000000000000002,11.4,7.4,-13.0,7.4,-0.8,-1.4,-4.9,4.1,1.6,-9.8,-4.9,"dumarjo01, hillgr01, hunteli01, mahorri01, thorpot01",5,1997,DET
J. Dumars | G. Hill | A. McKie | T. Mills | O. Thorpe DET 1997,68.01666666666667,6.2,8.4,5.3,0.07200000000000001,-4.9,-5.9,-0.157,0.040999999999999995,-5.8,-4.6,-0.081,-0.4,-0.9,-0.6,-0.9,0.0,0.0,6.9,0.4,-2.0,-2.9,3.0,"dumarjo01, hillgr01, mckieaa01, millste01, thorpot01",5,1997,DET
J. Dumars | G. Hill | L. Hunter | G. Long | T. Mills DET 1997,67.81666666666666,-6.7,-8.0,-12.6,-0.015,2.8,6.6,-0.006,0.011000000000000001,6.6,7.6,0.037000000000000005,-8.7,-26.0,-12.0,-26.0,-10.2,-27.7,-8.4,-0.2,0.0,0.2,-1.3,"dumarjo01, hillgr01, hunteli01, longgr01, millste01",5,1997,DET
G. Hill | L. Hunter | A. McKie | T. Mills | O. Thorpe DET 1997,61.05,15.7,6.6,-2.0,0.09300000000000001,4.0,4.5,0.11199999999999999,0.11900000000000001,-1.5,-1.7,-0.006,-7.7,-11.4,5.9,-11.4,-1.2,-2.8,1.2,3.5,3.4,-2.8,-1.2,"hillgr01, hunteli01, mckieaa01, millste01, thorpot01",5,1997,DET
J. Dumars | G. Hill | G. Long | T. Mills | O. Thorpe DET 1997,55.05,9.1,0.4,3.9,-0.017,11.1,15.6,0.375,0.042,-2.8,1.1,-0.3,1.1,4.4,3.7,4.4,1.6,3.8,-2.6,4.8,-2.8,-6.6,-3.7,"dumarjo01, hillgr01, longgr01, millste01, thorpot01",5,1997,DET
M. Curry | J. Dumars | L. Hunter | T. Mills | O. Thorpe DET 1997,54.6,3.9,3.7,-0.4,0.045,2.4,6.1,0.0,0.059000000000000004,-5.8,-7.8,0.008,-0.8,0.2,2.3,0.2,1.1,2.8,-2.5,-1.3,4.3,1.5,2.7,"currymi01, dumarjo01, hunteli01, millste01, thorpot01",5,1997,DET
M. Curry | J. Dumars | G. Hill | L. Hunter | T. Mills DET 1997,41.53333333333333,11.1,-1.4,-14.1,0.069,-0.1,0.1,-0.006999999999999999,0.078,14.0,7.8,0.205,-2.7,3.1,13.1,3.1,3.6,9.7,-9.7,2.3,-1.6,7.4,-3.0,"currymi01, dumarjo01, hillgr01, hunteli01, millste01",5,1997,DET
J. Dumars | L. Hunter | A. McKie | T. Mills | O. Thorpe DET 1997,41.483333333333334,30.1,6.0,-11.2,0.147,8.3,11.2,0.201,0.207,9.9,10.0,0.066,-4.0,-3.6,7.7,-3.6,2.0,4.9,4.4,-0.1,2.7,1.6,-4.1,"dumarjo01, hunteli01, mckieaa01, millste01, thorpot01",5,1997,DET
