lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
C. Mullin | M. Price | J. Smith | L. Sprewell GSW 1997,1017.4166666666666,-4.2,-4.2,-5.8,-0.017,0.4,-0.7,0.035,-0.012,4.2,2.6,0.078,-3.1,-5.4,-0.5,-5.4,-1.8,-4.4,-3.8,-3.1,-0.3,1.7,-1.4,"mullich01, pricema01, smithjo02, sprewla01",4,1997,GSW
C. Mullin | J. Smith | F. Spencer | L. Sprewell GSW 1997,930.15,1.6,-0.6,-2.3,0.006,-0.9,-0.7,-0.039,0.002,3.8,2.8,0.067,-0.4,0.8,1.8,0.8,0.8,2.0,-2.9,-2.3,0.0,0.5,-0.7,"mullich01, smithjo02, spencfe01, sprewla01",4,1997,GSW
M. Price | J. Smith | F. Spencer | L. Sprewell GSW 1997,675.65,1.8,-0.8,-2.9,0.006999999999999999,0.4,-0.4,0.03,0.011000000000000001,2.9,2.0,0.055999999999999994,0.6,3.6,3.4,3.6,2.0,4.8,-2.4,-4.0,-0.3,2.5,-0.6,"pricema01, smithjo02, spencfe01, sprewla01",4,1997,GSW
B. Coles | C. Mullin | J. Smith | L. Sprewell GSW 1997,474.76666666666665,-3.3,-1.2,-5.6,0.018000000000000002,-2.1,-5.0,-0.027999999999999997,0.008,3.2,2.4,0.044000000000000004,-2.9,-2.0,3.3,-2.0,0.2,0.4,-2.9,-1.7,0.3,0.8,-0.8,"colesbi01, mullich01, smithjo02, sprewla01",4,1997,GSW
C. Mullin | M. Price | F. Spencer | L. Sprewell GSW 1997,461.55,0.9,-1.7,-5.5,0.012,0.1,0.5,-0.003,0.015,4.8,2.5,0.107,-1.2,0.9,3.8,0.9,1.3,3.2,-2.7,-4.5,0.0,3.1,-0.5,"mullich01, pricema01, spencfe01, sprewla01",4,1997,GSW
C. Mullin | M. Price | J. Smith | F. Spencer GSW 1997,445.31666666666666,5.0,-0.8,-4.6,0.018000000000000002,1.2,1.6,0.032,0.027000000000000003,5.3,3.0,0.11800000000000001,-0.7,2.3,4.5,2.3,2.0,4.8,-1.1,-4.6,-0.2,2.6,0.1,"mullich01, pricema01, smithjo02, spencfe01",4,1997,GSW
B. Armstrong | C. Mullin | J. Smith | L. Sprewell GSW 1997,438.78333333333336,1.9,1.3,-0.3,0.017,-1.1,-2.1,-0.017,0.011000000000000001,1.4,0.4,0.043,-2.6,-4.7,-0.5,-4.7,-1.5,-3.6,-1.8,0.4,0.5,-2.0,-1.2,"armstbj01, mullich01, smithjo02, sprewla01",4,1997,GSW
T. Fuller | C. Mullin | J. Smith | L. Sprewell GSW 1997,395.51666666666665,-9.6,-7.4,-8.2,-0.039,0.1,-3.4,0.085,-0.034,5.4,5.3,0.049,-2.8,-5.6,-1.5,-5.6,-2.2,-5.2,-5.7,-2.8,-0.5,2.7,-2.8,"fulleto02, mullich01, smithjo02, sprewla01",4,1997,GSW
A. DeClercq | C. Mullin | J. Smith | L. Sprewell GSW 1997,367.1333333333333,-7.9,1.0,-1.7,0.021,-2.5,-5.3,-0.042,0.006999999999999999,-1.9,-2.6,0.003,-2.2,-2.3,1.2,-2.3,-0.6,-1.5,0.2,-1.2,-1.9,0.4,-1.1,"declean01, mullich01, smithjo02, sprewla01",4,1997,GSW
D. Marshall | M. Price | J. Smith | L. Sprewell GSW 1997,344.18333333333334,-7.9,-3.5,-1.1,-0.035,-2.4,-3.7,-0.057999999999999996,-0.048,1.6,2.7,-0.016,2.2,2.3,-1.5,2.3,0.4,0.9,-7.6,-4.2,0.3,2.9,-1.2,"marshdo01, pricema01, smithjo02, sprewla01",4,1997,GSW
T. Fuller | C. Mullin | M. Price | L. Sprewell GSW 1997,314.76666666666665,-10.2,-9.7,-7.8,-0.068,2.0,-1.3,0.15,-0.053,7.2,6.3,0.098,-2.5,-7.2,-3.9,-7.2,-3.2,-7.7,-7.8,-1.8,-1.1,2.6,-3.5,"fulleto02, mullich01, pricema01, sprewla01",4,1997,GSW
T. Fuller | M. Price | J. Smith | L. Sprewell GSW 1997,311.5,-11.5,-9.3,-5.7,-0.07400000000000001,0.3,-1.1,0.05,-0.069,6.6,6.6,0.057,-1.9,-7.1,-5.0,-7.1,-3.6,-8.4,-8.4,-0.9,-1.2,0.5,-3.4,"fulleto02, pricema01, smithjo02, sprewla01",4,1997,GSW
B. Coles | J. Smith | F. Spencer | L. Sprewell GSW 1997,291.98333333333335,1.4,1.5,1.9,0.008,-2.1,-4.9,-0.027000000000000003,-0.005,0.4,-0.3,0.023,0.2,0.9,0.8,0.9,0.5,1.3,-1.3,-0.8,-0.2,-2.4,0.4,"colesbi01, smithjo02, spencfe01, sprewla01",4,1997,GSW
