lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
C. Mullin | M. Price | J. Smith | F. Spencer | L. Sprewell GSW 1997,428.85,4.0,-1.3,-5.6,0.016,1.1,1.1,0.036000000000000004,0.026000000000000002,5.6,3.5,0.113,-1.1,1.5,4.4,1.5,1.7,4.2,-1.9,-4.7,0.0,2.9,-0.4,"mullich01, pricema01, smithjo02, spencfe01, sprewla01",5,1997,GSW
T. Fuller | C. Mullin | M. Price | J. Smith | L. Sprewell GSW 1997,262.51666666666665,-13.4,-10.8,-6.0,-0.08900000000000001,1.2,-1.1,0.10300000000000001,-0.08,6.9,6.1,0.087,-2.2,-8.6,-6.1,-8.6,-4.2,-10.0,-8.6,-0.8,-1.1,1.1,-3.8,"fulleto02, mullich01, pricema01, smithjo02, sprewla01",5,1997,GSW
B. Coles | C. Mullin | J. Smith | F. Spencer | L. Sprewell GSW 1997,240.56666666666666,-2.3,0.0,0.5,-0.003,-4.1,-5.6,-0.14,-0.027000000000000003,1.8,2.3,0.0,1.5,4.0,1.9,4.0,1.8,4.3,-3.0,-1.2,-0.5,-1.1,0.2,"colesbi01, mullich01, smithjo02, spencfe01, sprewla01",5,1997,GSW
B. Armstrong | C. Mullin | J. Smith | F. Spencer | L. Sprewell GSW 1997,223.01666666666668,0.9,0.7,0.4,0.005,-0.6,1.5,-0.064,0.002,0.1,-0.7,0.031,-3.3,-8.9,-4.6,-8.9,-3.7,-9.1,-2.9,0.5,0.8,-2.7,-1.8,"armstbj01, mullich01, smithjo02, spencfe01, sprewla01",5,1997,GSW
D. Marshall | M. Price | J. Smith | F. Spencer | L. Sprewell GSW 1997,205.08333333333334,-3.0,0.2,1.0,-0.003,-2.5,-3.9,-0.051,-0.017,-0.9,1.6,-0.106,5.1,9.7,2.9,9.7,4.0,9.0,-3.4,-3.1,-0.8,3.6,-1.9,"marshdo01, pricema01, smithjo02, spencfe01, sprewla01",5,1997,GSW
A. DeClercq | C. Mullin | M. Price | J. Smith | L. Sprewell GSW 1997,163.28333333333333,-16.0,-1.2,-4.5,0.01,-2.3,-1.7,-0.091,-0.002,-6.7,-5.6,-0.087,-5.6,-11.6,-3.9,-11.6,-4.9,-11.3,-1.5,-2.8,-2.3,1.7,-0.9,"declean01, mullich01, pricema01, smithjo02, sprewla01",5,1997,GSW
B. Coles | A. DeClercq | C. Mullin | J. Smith | L. Sprewell GSW 1997,63.63333333333333,0.0,11.3,4.4,0.11599999999999999,2.2,4.9,0.027000000000000003,0.128,-9.9,-13.6,0.022000000000000002,-3.1,2.1,7.8,2.1,2.1,5.7,8.7,4.8,-0.6,-2.5,2.5,"colesbi01, declean01, mullich01, smithjo02, sprewla01",5,1997,GSW
B. Coles | T. Fuller | C. Mullin | J. Smith | L. Sprewell GSW 1997,61.6,-4.4,-6.4,-23.1,0.045,-4.3,-15.6,0.008,0.03,12.6,11.7,0.098,-11.3,-10.4,6.3,-10.4,-2.6,-5.6,-1.1,-5.1,1.8,4.2,-3.4,"colesbi01, fulleto02, mullich01, smithjo02, sprewla01",5,1997,GSW
B. Armstrong | T. Fuller | C. Mullin | J. Smith | L. Sprewell GSW 1997,57.53333333333333,7.1,6.8,-4.5,0.10099999999999999,-2.5,-4.1,-0.05,0.08900000000000001,-1.4,2.1,-0.132,2.0,14.2,12.5,14.2,7.3,18.3,7.4,-6.1,-1.0,5.4,-0.9,"armstbj01, fulleto02, mullich01, smithjo02, sprewla01",5,1997,GSW
B. Armstrong | C. Mullin | D. Royal | J. Smith | L. Sprewell GSW 1997,54.36666666666667,19.7,2.8,-4.2,0.06,3.1,3.3,0.09699999999999999,0.08199999999999999,11.2,7.5,0.17,-11.4,-20.6,-2.5,-20.6,-6.8,-16.3,-1.4,7.6,4.8,-9.4,-1.9,"armstbj01, mullich01, royaldo01, smithjo02, sprewla01",5,1997,GSW
B. Armstrong | A. DeClercq | C. Mullin | J. Smith | L. Sprewell GSW 1997,51.93333333333333,-26.0,-6.7,1.0,-0.081,-6.7,-18.3,-0.094,-0.12,0.0,-1.9,0.047,3.8,9.1,4.8,9.1,4.3,9.5,-5.8,-1.0,-1.0,1.9,3.8,"armstbj01, declean01, mullich01, smithjo02, sprewla01",5,1997,GSW
