lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
C. Drexler | M. Elie | M. Maloney | H. Olajuwon HOU 1997,1121.1,9.3,2.1,-2.9,0.039,3.8,6.7,0.055999999999999994,0.062,1.4,1.4,0.018000000000000002,-0.6,1.5,4.0,1.5,1.7,3.8,2.6,-0.7,0.1,1.7,-0.9,"drexlcl01, eliema01, malonma01, olajuha01",4,1997,HOU
C. Barkley | C. Drexler | M. Elie | M. Maloney HOU 1997,929.1833333333333,12.4,1.8,-4.1,0.043,3.5,8.6,0.013999999999999999,0.065,5.3,6.2,0.024,0.1,3.5,5.2,3.5,2.7,6.0,3.0,-0.4,0.4,1.5,-1.1,"barklch01, drexlcl01, eliema01, malonma01",4,1997,HOU
C. Barkley | M. Elie | M. Maloney | H. Olajuwon HOU 1997,917.9833333333333,11.1,2.7,-4.2,0.052000000000000005,4.3,8.9,0.043,0.079,1.5,2.3,-0.009000000000000001,-1.2,1.1,4.8,1.1,1.8,4.1,4.0,-1.2,0.6,2.2,-0.4,"barklch01, eliema01, malonma01, olajuha01",4,1997,HOU
C. Barkley | C. Drexler | M. Maloney | H. Olajuwon HOU 1997,907.35,12.4,1.9,-5.8,0.051,3.9,7.3,0.052000000000000005,0.076,4.7,5.4,0.03,-1.7,0.7,5.5,0.7,1.9,4.2,3.5,-0.9,0.4,1.9,-1.5,"barklch01, drexlcl01, malonma01, olajuha01",4,1997,HOU
C. Barkley | C. Drexler | M. Elie | H. Olajuwon HOU 1997,770.95,12.1,2.5,-4.1,0.05,3.8,8.2,0.027000000000000003,0.073,3.3,3.8,0.022000000000000002,-0.2,3.5,6.0,3.5,2.9,6.6,4.0,-1.1,0.6,2.3,-1.0,"barklch01, drexlcl01, eliema01, olajuha01",4,1997,HOU
M. Elie | M. Maloney | H. Olajuwon | K. Willis HOU 1997,608.2666666666667,2.6,0.3,-2.5,0.017,1.7,2.0,0.045,0.027999999999999997,0.2,-1.3,0.057999999999999996,-2.0,-2.6,1.3,-2.6,-0.3,-0.8,2.9,0.2,-0.3,1.0,-0.6,"eliema01, malonma01, olajuha01, willike02",4,1997,HOU
C. Drexler | M. Elie | M. Maloney | K. Willis HOU 1997,504.5,1.6,-2.4,-3.2,-0.011000000000000001,1.4,5.1,-0.021,-0.001,5.0,5.3,0.049,0.8,2.5,1.8,2.5,1.2,2.7,-1.1,0.2,0.1,1.3,-1.1,"drexlcl01, eliema01, malonma01, willike02",4,1997,HOU
C. Drexler | M. Maloney | H. Olajuwon | K. Willis HOU 1997,392.81666666666666,4.3,1.1,-2.5,0.025,2.5,3.1,0.062,0.040999999999999995,-0.5,-1.0,0.018000000000000002,-0.4,1.4,3.8,1.4,1.5,3.3,2.2,-0.3,0.2,2.1,-1.3,"drexlcl01, malonma01, olajuha01, willike02",4,1997,HOU
C. Drexler | M. Elie | H. Olajuwon | K. Willis HOU 1997,368.18333333333334,-0.3,-0.7,-1.0,-0.003,1.9,3.3,0.028999999999999998,0.008,-0.7,-2.0,0.042,0.6,1.8,1.4,1.8,0.9,2.1,-0.8,-0.1,0.0,2.4,-0.6,"drexlcl01, eliema01, olajuha01, willike02",4,1997,HOU
C. Barkley | C. Drexler | M. Elie | K. Willis HOU 1997,253.15,10.5,-2.7,-2.3,-0.018000000000000002,1.2,8.2,-0.064,-0.01,13.9,15.6,0.11199999999999999,3.4,6.4,0.8,6.4,2.0,4.9,-3.0,1.1,-0.4,-1.5,-1.7,"barklch01, drexlcl01, eliema01, willike02",4,1997,HOU
M. Bullard | M. Elie | M. Maloney | H. Olajuwon HOU 1997,234.93333333333334,3.8,3.3,-3.9,0.06,0.9,4.8,-0.049,0.068,-3.7,-7.3,0.1,-4.4,-5.9,4.0,-5.9,-0.4,-1.1,5.8,-2.0,0.5,3.0,1.2,"bullama01, eliema01, malonma01, olajuha01",4,1997,HOU
C. Barkley | C. Drexler | M. Maloney | K. Willis HOU 1997,229.56666666666666,6.8,-3.8,-3.8,-0.023,0.6,8.5,-0.09300000000000001,-0.018000000000000002,13.9,16.4,0.079,2.6,4.6,0.7,4.6,1.6,3.7,-1.9,2.4,-0.7,-1.5,-1.5,"barklch01, drexlcl01, malonma01, willike02",4,1997,HOU
C. Barkley | M. Elie | M. Maloney | K. Willis HOU 1997,210.25,8.0,-1.1,-3.5,0.006999999999999999,1.3,7.6,-0.055,0.016,9.1,10.8,0.042,0.5,1.6,0.9,1.6,0.8,1.9,-0.9,1.7,-1.3,-1.5,-0.9,"barklch01, eliema01, malonma01, willike02",4,1997,HOU
M. Bullard | M. Elie | H. Olajuwon | K. Willis HOU 1997,175.26666666666668,11.7,5.0,-2.7,0.078,0.3,3.9,-0.079,0.081,-0.4,-4.9,0.149,-4.6,-6.1,5.2,-6.1,0.3,0.8,11.7,0.0,1.5,0.9,0.9,"bullama01, eliema01, olajuha01, willike02",4,1997,HOU
M. Elie | S. Mack | M. Maloney | H. Olajuwon HOU 1997,164.68333333333334,-12.6,-4.9,-2.4,-0.042,1.5,5.4,-0.008,-0.033,-4.2,-4.3,-0.068,-0.8,-3.9,-4.6,-3.9,-2.8,-6.2,1.2,-0.5,-3.7,3.0,0.8,"eliema01, macksa01, malonma01, olajuha01",4,1997,HOU
M. Bullard | M. Elie | M. Maloney | K. Willis HOU 1997,160.0,10.5,6.6,-1.5,0.08800000000000001,0.6,3.8,-0.053,0.09300000000000001,-3.4,-7.4,0.109,-5.3,-7.8,4.5,-7.8,-0.5,-1.2,11.3,0.4,-0.3,-0.1,0.8,"bullama01, eliema01, malonma01, willike02",4,1997,HOU
M. Bullard | M. Maloney | H. Olajuwon | K. Willis HOU 1997,152.21666666666667,2.7,3.1,-3.0,0.053,-1.2,4.0,-0.154,0.048,-2.3,-6.6,0.13699999999999998,-4.0,-4.2,4.2,-4.2,0.0,0.0,7.9,-0.6,1.8,2.7,-0.2,"bullama01, malonma01, olajuha01, willike02",4,1997,HOU
C. Barkley | M. Bullard | M. Maloney | H. Olajuwon HOU 1997,142.55,-6.8,-5.1,-10.3,-0.006999999999999999,1.0,4.2,-0.02,0.004,2.4,2.4,0.027999999999999997,-3.9,-6.3,0.1,-6.3,-2.0,-4.2,-3.3,-3.2,-2.5,4.6,-0.7,"barklch01, bullama01, malonma01, olajuha01",4,1997,HOU
C. Drexler | E. Johnson | M. Maloney | H. Olajuwon HOU 1997,135.56666666666666,9.1,2.0,-11.0,0.07400000000000001,2.5,1.5,0.076,0.09300000000000001,2.7,1.8,0.049,-7.6,-6.3,6.5,-6.3,-0.7,-1.4,4.8,-2.1,-1.4,2.0,-2.8,"drexlcl01, johnsed03, malonma01, olajuha01",4,1997,HOU
C. Barkley | S. Mack | M. Maloney | H. Olajuwon HOU 1997,132.25,-15.7,-8.0,-7.2,-0.057,0.6,8.5,-0.102,-0.05,-0.2,0.4,-0.021,0.4,0.4,-0.5,0.4,-0.4,-0.8,-1.1,-2.3,-0.2,7.2,-1.0,"barklch01, macksa01, malonma01, olajuha01",4,1997,HOU
C. Drexler | M. Elie | M. Maloney | K. Willis HOU 1998,773.1333333333333,6.3,0.3,-2.0,0.013999999999999999,3.1,10.6,-0.027000000000000003,0.032,2.6,1.9,0.055,-1.6,-2.0,0.9,-2.0,-0.3,-0.6,1.5,0.9,0.0,-0.5,0.4,"drexlcl01, eliema01, malonma01, willike02",4,1998,HOU
C. Barkley | C. Drexler | M. Maloney | K. Willis HOU 1998,629.85,-0.7,-3.3,1.9,-0.048,2.7,9.9,-0.036000000000000004,-0.033,3.2,3.3,0.03,0.7,-0.9,-3.0,-0.9,-1.0,-2.4,-3.4,2.4,-1.9,-3.0,0.4,"barklch01, drexlcl01, malonma01, willike02",4,1998,HOU
C. Barkley | C. Drexler | M. Elie | M. Maloney HOU 1998,571.2833333333333,2.3,-1.3,0.0,-0.015,1.4,7.5,-0.07400000000000001,-0.006999999999999999,3.5,3.8,0.024,0.7,0.7,-0.6,0.7,0.2,0.5,-1.0,1.7,0.3,-1.4,-0.4,"barklch01, drexlcl01, eliema01, malonma01",4,1998,HOU
C. Drexler | M. Maloney | H. Olajuwon | K. Willis HOU 1998,542.4,7.7,1.3,-5.7,0.042,3.1,8.2,0.018000000000000002,0.062,2.0,2.2,0.017,-5.4,-7.5,1.4,-7.5,-2.1,-4.3,7.0,0.4,1.1,-0.5,0.5,"drexlcl01, malonma01, olajuha01, willike02",4,1998,HOU
C. Drexler | M. Elie | M. Maloney | H. Olajuwon HOU 1998,532.75,8.6,0.5,-5.5,0.034,3.8,11.1,-0.015,0.057999999999999996,3.8,4.0,0.037000000000000005,-3.2,-3.6,2.2,-3.6,-0.5,-1.0,4.5,0.0,1.8,0.4,-0.8,"drexlcl01, eliema01, malonma01, olajuha01",4,1998,HOU
C. Barkley | C. Drexler | M. Elie | K. Willis HOU 1998,482.75,-2.7,-2.9,3.0,-0.05,0.2,6.3,-0.10099999999999999,-0.05,2.9,3.6,0.006,3.2,2.9,-3.2,2.9,0.2,0.4,-2.9,1.3,-1.9,-1.3,0.1,"barklch01, drexlcl01, eliema01, willike02",4,1998,HOU
C. Barkley | M. Elie | M. Maloney | K. Willis HOU 1998,453.75,1.0,-2.1,2.1,-0.035,1.4,7.9,-0.075,-0.027999999999999997,3.7,4.3,0.018000000000000002,2.8,3.8,-1.4,3.8,0.7,1.7,-3.3,0.2,-1.7,-1.3,-0.7,"barklch01, eliema01, malonma01, willike02",4,1998,HOU
M. Elie | M. Maloney | H. Olajuwon | K. Willis HOU 1998,453.4,6.4,-0.3,-6.5,0.03,3.3,10.7,-0.01,0.051,3.6,4.0,0.028999999999999998,-3.6,-3.9,3.3,-3.9,-0.3,-0.7,2.9,0.1,0.9,1.1,-0.9,"eliema01, malonma01, olajuha01, willike02",4,1998,HOU
