lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
C. Barkley | C. Drexler | M. Elie | M. Maloney | H. Olajuwon HOU 1997,724.6333333333333,13.7,3.2,-4.4,0.059000000000000004,4.3,8.4,0.05,0.086,2.9,3.7,0.001,-0.9,2.2,5.9,2.2,2.6,5.7,4.5,-0.9,0.7,1.9,-0.8,"barklch01, drexlcl01, eliema01, malonma01, olajuha01",5,1997,HOU
C. Drexler | M. Elie | M. Maloney | H. Olajuwon | K. Willis HOU 1997,312.71666666666664,2.3,-0.3,0.2,-0.004,2.6,4.5,0.039,0.01,0.2,-0.9,0.054000000000000006,1.4,3.2,1.4,3.2,1.3,3.0,0.3,0.1,0.0,1.5,-1.0,"drexlcl01, eliema01, malonma01, olajuha01, willike02",5,1997,HOU
C. Barkley | C. Drexler | M. Elie | M. Maloney | K. Willis HOU 1997,176.53333333333333,4.6,-3.9,-4.9,-0.018000000000000002,0.5,8.4,-0.096,-0.012,11.9,14.2,0.063,1.4,3.0,0.8,3.0,1.0,2.6,-2.9,1.6,-0.3,-0.4,-1.2,"barklch01, drexlcl01, eliema01, malonma01, willike02",5,1997,HOU
M. Bullard | M. Elie | M. Maloney | H. Olajuwon | K. Willis HOU 1997,129.23333333333332,8.5,6.0,-3.9,0.096,-0.5,3.5,-0.11199999999999999,0.095,-3.1,-7.6,0.142,-5.9,-8.0,5.7,-8.0,-0.2,-0.5,10.8,-0.3,1.7,2.2,1.2,"bullama01, eliema01, malonma01, olajuha01, willike02",5,1997,HOU
C. Barkley | M. Bullard | M. Elie | M. Maloney | H. Olajuwon HOU 1997,86.55,0.0,-0.5,-7.6,0.033,2.3,5.6,0.015,0.05,-1.3,-2.0,0.011000000000000001,-4.3,-6.1,2.2,-6.1,-1.2,-2.7,-0.3,-3.4,-1.7,4.0,0.6,"barklch01, bullama01, eliema01, malonma01, olajuha01",5,1997,HOU
C. Barkley | M. Elie | S. Mack | M. Maloney | H. Olajuwon HOU 1997,75.96666666666667,-11.3,-3.5,-1.7,-0.03,1.8,15.8,-0.20199999999999999,-0.019,-6.1,-2.2,-0.193,2.3,1.4,-3.7,1.4,-1.0,-2.4,2.4,-1.7,0.9,5.8,0.0,"barklch01, eliema01, macksa01, malonma01, olajuha01",5,1997,HOU
C. Barkley | C. Drexler | E. Johnson | M. Maloney | H. Olajuwon HOU 1997,74.15,10.4,-4.2,-11.9,0.006,4.4,7.1,0.09699999999999999,0.034,14.5,14.7,0.132,-4.9,-5.0,1.5,-5.0,-1.4,-2.5,-2.7,-1.6,-0.8,1.8,-4.8,"barklch01, drexlcl01, johnsed03, malonma01, olajuha01",5,1997,HOU
M. Elie | S. Mack | M. Maloney | H. Olajuwon | K. Willis HOU 1997,74.05,-13.9,-5.8,-2.0,-0.053,2.7,-2.2,0.139,-0.037000000000000005,-4.9,-9.1,0.053,-4.2,-10.2,-5.3,-10.2,-4.8,-10.9,-0.2,-0.6,-5.5,-0.1,3.1,"eliema01, macksa01, malonma01, olajuha01, willike02",5,1997,HOU
C. Drexler | M. Elie | O. Harrington | M. Maloney | H. Olajuwon HOU 1997,65.41666666666667,5.5,2.5,-3.0,0.044000000000000004,5.5,5.3,0.213,0.076,-5.1,-6.8,0.022000000000000002,-5.0,-9.1,-1.9,-9.1,-3.6,-7.8,-4.4,0.1,-3.1,-0.2,0.0,"drexlcl01, eliema01, harriot01, malonma01, olajuha01",5,1997,HOU
R. Livingston | S. Mack | H. Olajuwon | B. Price | K. Willis HOU 1997,47.25,-0.1,-1.8,-5.4,0.008,2.8,-3.1,0.152,0.026000000000000002,0.7,-2.5,0.156,0.7,6.1,11.6,6.1,7.1,15.0,12.8,-1.7,-2.8,5.7,6.0,"livinra01, macksa01, olajuha01, pricebr01, willike02",5,1997,HOU
M. Elie | E. Johnson | M. Maloney | H. Olajuwon | K. Willis HOU 1997,46.13333333333333,12.7,2.5,-8.2,0.065,1.4,-1.5,0.08900000000000001,0.076,6.4,5.5,0.076,-3.9,0.0,7.9,0.0,2.3,4.4,4.1,-0.3,-0.1,-0.7,-0.6,"eliema01, johnsed03, malonma01, olajuha01, willike02",5,1997,HOU
C. Barkley | C. Drexler | S. Mack | M. Maloney | H. Olajuwon HOU 1997,41.28333333333333,-7.4,-10.8,-12.2,-0.078,-0.4,1.0,-0.03,-0.073,14.6,11.9,0.19399999999999998,-0.5,1.5,5.4,1.5,1.7,3.8,-3.2,-1.4,-0.8,5.6,-5.1,"barklch01, drexlcl01, macksa01, malonma01, olajuha01",5,1997,HOU
C. Barkley | M. Bullard | C. Drexler | M. Maloney | H. Olajuwon HOU 1997,37.733333333333334,-14.9,-12.4,-14.8,-0.061,-1.7,0.4,-0.11,-0.062,11.6,15.1,0.02,-4.4,-9.4,-4.5,-9.4,-5.1,-10.8,-8.0,-2.2,-2.3,3.3,-6.4,"barklch01, bullama01, drexlcl01, malonma01, olajuha01",5,1997,HOU
C. Drexler | M. Elie | R. Livingston | H. Olajuwon | K. Willis HOU 1997,35.13333333333333,-10.1,-6.3,-24.9,0.034,-0.1,-6.1,0.267,0.045,2.6,2.5,0.027000000000000003,-7.6,-8.9,9.4,-8.9,0.7,1.6,-3.2,-8.8,3.1,14.6,-0.7,"drexlcl01, eliema01, livinra01, olajuha01, willike02",5,1997,HOU
O. Harrington | E. Johnson | R. Livingston | S. Mack | H. Olajuwon HOU 1997,33.4,15.3,9.0,8.5,0.061,1.5,-5.8,0.159,0.068,-4.1,0.6,-0.3,5.4,8.5,2.4,8.5,3.2,6.1,13.3,2.1,2.3,-1.1,-3.2,"harriot01, johnsed03, livinra01, macksa01, olajuha01",5,1997,HOU
C. Barkley | C. Drexler | M. Elie | R. Livingston | K. Willis HOU 1997,31.533333333333335,28.8,3.0,-6.7,0.079,3.1,5.2,0.08199999999999999,0.102,19.6,16.9,0.22699999999999998,0.2,3.9,8.8,3.9,5.0,14.9,-6.4,-1.9,1.2,-0.8,-2.9,"barklch01, drexlcl01, eliema01, livinra01, willike02",5,1997,HOU
C. Drexler | S. Mack | M. Maloney | H. Olajuwon | K. Willis HOU 1997,30.516666666666666,31.3,15.2,-14.4,0.239,3.0,-7.4,0.20600000000000002,0.263,-2.0,-3.8,0.05,-8.5,-7.5,19.4,-7.5,4.9,9.7,18.9,1.9,6.7,6.1,-1.6,"drexlcl01, macksa01, malonma01, olajuha01, willike02",5,1997,HOU
C. Drexler | E. Johnson | M. Maloney | H. Olajuwon | K. Willis HOU 1997,29.516666666666666,11.2,8.2,-13.7,0.171,5.9,4.8,0.19399999999999998,0.213,-11.2,-6.7,-0.312,-9.2,-8.3,14.5,-8.3,1.7,3.6,12.6,-4.2,-4.8,3.7,-0.8,"drexlcl01, johnsed03, malonma01, olajuha01, willike02",5,1997,HOU
C. Barkley | E. Davis | C. Drexler | M. Elie | K. Willis HOU 1997,27.233333333333334,20.0,-7.2,10.4,-0.131,1.8,7.0,0.009000000000000001,-0.124,24.7,32.0,0.209,21.0,31.4,-0.6,31.4,9.8,20.0,-2.7,0.2,-5.8,-4.5,-1.0,"barklch01, davisem01, drexlcl01, eliema01, willike02",5,1997,HOU
C. Drexler | O. Harrington | R. Livingston | S. Mack | H. Olajuwon HOU 1997,27.116666666666667,26.3,19.0,1.7,0.214,4.2,-1.7,0.278,0.23800000000000002,-15.9,-15.8,-0.369,-1.9,2.8,17.4,2.8,8.1,18.2,24.8,3.8,-0.1,4.4,10.1,"drexlcl01, harriot01, livinra01, macksa01, olajuha01",5,1997,HOU
C. Barkley | C. Drexler | M. Elie | M. Maloney | K. Willis HOU 1998,355.75,2.4,-0.5,4.1,-0.027000000000000003,1.3,8.9,-0.091,-0.022000000000000002,2.1,2.3,0.013000000000000001,3.1,4.4,-1.1,4.4,1.2,2.6,-1.7,1.6,-1.7,-2.2,0.5,"barklch01, drexlcl01, eliema01, malonma01, willike02",5,1998,HOU
C. Drexler | M. Elie | M. Maloney | H. Olajuwon | K. Willis HOU 1998,333.7,14.4,2.7,-5.1,0.055999999999999994,4.7,13.7,0.018000000000000002,0.084,4.3,4.2,0.062,-3.4,-3.2,3.7,-3.2,0.1,0.2,7.2,0.1,1.1,-0.3,-0.8,"drexlcl01, eliema01, malonma01, olajuha01, willike02",5,1998,HOU
C. Barkley | C. Drexler | M. Elie | M. Maloney | H. Olajuwon HOU 1998,193.2,-0.1,-3.0,-6.2,-0.001,2.2,6.3,-0.026000000000000002,0.015,3.7,3.5,0.036000000000000004,-3.2,-4.8,0.3,-4.8,-1.3,-3.0,0.6,0.4,2.8,1.0,-0.8,"barklch01, drexlcl01, eliema01, malonma01, olajuha01",5,1998,HOU
M. Bullard | C. Drexler | M. Maloney | H. Olajuwon | K. Willis HOU 1998,124.9,2.5,2.1,-4.6,0.044000000000000004,0.8,0.8,0.026000000000000002,0.051,-2.5,-1.7,-0.084,-7.1,-12.0,-2.1,-12.0,-4.6,-9.5,6.2,-0.4,-0.8,-1.7,3.1,"bullama01, drexlcl01, malonma01, olajuha01, willike02",5,1998,HOU
C. Barkley | C. Drexler | M. Maloney | R. Rhodes | K. Willis HOU 1998,104.01666666666667,-6.3,-5.9,1.1,-0.073,3.1,1.5,0.146,-0.055999999999999994,2.5,1.9,0.042,-4.2,-11.3,-6.6,-11.3,-5.4,-12.6,-4.3,7.3,-3.1,-7.3,1.0,"barklch01, drexlcl01, malonma01, rhodero01, willike02",5,1998,HOU
M. Bullard | M. Elie | M. Maloney | H. Olajuwon | K. Willis HOU 1998,102.58333333333333,-21.8,-9.4,-10.9,-0.048,-1.7,2.8,-0.142,-0.053,-1.3,1.8,-0.195,-5.0,-9.0,-0.9,-9.0,-3.2,-7.2,-11.7,-0.3,0.1,5.5,-0.5,"bullama01, eliema01, malonma01, olajuha01, willike02",5,1998,HOU
C. Barkley | M. Bullard | C. Drexler | M. Maloney | K. Willis HOU 1998,91.81666666666666,-0.4,-6.2,1.0,-0.07400000000000001,6.8,18.8,-0.011000000000000001,-0.037000000000000005,5.2,7.0,0.002,-1.0,-7.0,-8.2,-7.0,-4.5,-10.5,-3.1,3.9,-1.2,-5.5,1.4,"barklch01, bullama01, drexlcl01, malonma01, willike02",5,1998,HOU
C. Barkley | C. Drexler | E. Johnson | M. Maloney | K. Willis HOU 1998,68.35,-14.5,-10.7,-6.1,-0.087,1.5,11.5,-0.09300000000000001,-0.076,5.3,3.1,0.096,-1.5,-3.4,-1.5,-3.4,-1.5,-3.4,-11.5,-1.5,-3.1,3.1,-1.5,"barklch01, drexlcl01, johnsed03, malonma01, willike02",5,1998,HOU
C. Barkley | C. Drexler | M. Elie | B. Price | K. Willis HOU 1998,68.08333333333333,-28.6,-15.1,-1.8,-0.168,-0.5,5.4,-0.154,-0.171,2.1,6.6,-0.08,1.1,-9.1,-14.9,-9.1,-6.7,-15.2,-6.4,-0.2,-2.3,1.1,0.0,"barklch01, drexlcl01, eliema01, pricebr01, willike02",5,1998,HOU
C. Barkley | C. Drexler | E. Johnson | B. Price | K. Willis HOU 1998,66.28333333333333,10.3,-3.2,0.2,-0.035,-3.6,4.5,-0.28600000000000003,-0.055,20.3,25.2,-0.03,10.5,23.1,10.3,23.1,10.2,22.6,-1.8,4.4,-1.6,-1.2,-6.8,"barklch01, drexlcl01, johnsed03, pricebr01, willike02",5,1998,HOU
C. Barkley | M. Bullard | M. Elie | M. Maloney | K. Willis HOU 1998,48.53333333333333,-10.0,-7.8,-0.7,-0.083,-0.3,3.6,-0.09,-0.084,5.9,4.6,0.11599999999999999,0.7,-1.4,-4.3,-1.4,-2.1,-5.0,-10.6,-5.1,-3.1,0.7,-2.1,"barklch01, bullama01, eliema01, malonma01, willike02",5,1998,HOU
C. Barkley | C. Drexler | E. Johnson | H. Olajuwon | B. Price HOU 1998,48.233333333333334,13.7,1.6,-4.8,0.044000000000000004,2.3,9.0,-0.033,0.059000000000000004,8.2,7.6,0.091,1.5,8.2,11.0,8.2,6.8,14.6,0.9,-0.3,3.0,3.7,-1.0,"barklch01, drexlcl01, johnsed03, olajuha01, pricebr01",5,1998,HOU
C. Barkley | O. Harrington | E. Johnson | B. Price | R. Rhodes HOU 1998,47.333333333333336,-21.9,-13.0,-19.0,-0.04,-1.1,0.3,-0.1,-0.043,5.1,2.9,0.11599999999999999,-0.8,10.4,12.2,10.4,5.8,14.7,-9.9,-14.3,-7.1,17.9,2.3,"barklch01, harriot01, johnsed03, pricebr01, rhodero01",5,1998,HOU
C. Drexler | M. Elie | O. Harrington | M. Maloney | K. Willis HOU 1998,45.016666666666666,-10.7,-11.4,-20.5,-0.018000000000000002,4.8,2.6,0.262,0.015,7.3,3.8,0.265,-13.0,-24.9,-6.3,-24.9,-9.6,-22.2,-15.3,2.3,2.4,6.2,6.0,"drexlcl01, eliema01, harriot01, malonma01, willike02",5,1998,HOU
C. Barkley | M. Bullard | C. Drexler | M. Maloney | H. Olajuwon HOU 1998,44.266666666666666,32.4,13.8,-1.8,0.17,7.9,10.0,0.213,0.217,-3.0,-3.2,-0.018000000000000002,-3.9,1.1,12.8,1.1,4.1,9.6,3.9,1.4,1.3,0.7,1.8,"barklch01, bullama01, drexlcl01, malonma01, olajuha01",5,1998,HOU
M. Elie | O. Harrington | E. Johnson | H. Olajuwon | B. Price HOU 1998,43.96666666666667,13.5,-5.1,-37.7,0.134,7.4,8.9,0.24600000000000002,0.195,16.4,29.8,-0.25,-16.5,-18.4,11.4,-18.4,-2.4,-6.1,7.8,-0.1,4.7,7.5,-7.8,"eliema01, harriot01, johnsed03, olajuha01, pricebr01",5,1998,HOU
