lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
T. Best | D. Davis | D. McKey | R. Miller IND 1997,662.8166666666667,7.9,2.7,-1.8,0.039,0.4,-4.5,0.111,0.042,2.1,3.8,-0.026000000000000002,-0.5,2.4,4.7,2.4,1.9,4.0,0.5,-1.1,1.4,-0.6,-0.1,"besttr01, davisda01, mckeyde01, millere01",4,1997,IND
D. Davis | M. Jackson | R. Miller | R. Smits IND 1997,514.6666666666666,1.6,1.0,-2.0,0.022000000000000002,0.4,-2.1,0.076,0.026000000000000002,-1.7,-0.1,-0.06,1.0,4.8,4.4,4.8,2.5,5.6,1.1,-4.3,0.2,3.5,-0.1,"davisda01, jacksma01, millere01, smitsri01",4,1997,IND
T. Best | A. Davis | D. Davis | R. Miller IND 1997,455.0833333333333,2.6,3.7,5.9,0.013999999999999999,1.7,-1.1,0.11599999999999999,0.021,-6.5,-4.1,-0.113,2.3,4.0,1.0,4.0,1.4,3.0,4.4,1.6,-1.2,-2.5,-0.3,"besttr01, davisan01, davisda01, millere01",4,1997,IND
T. Best | A. Davis | D. McKey | R. Miller IND 1997,388.81666666666666,11.4,5.6,3.0,0.051,1.0,-0.9,0.067,0.055,-0.8,0.1,-0.031,0.2,2.3,3.0,2.3,1.4,3.1,4.2,1.0,0.8,-3.7,-0.5,"besttr01, davisan01, mckeyde01, millere01",4,1997,IND
A. Davis | M. Jackson | R. Miller | R. Smits IND 1997,331.26666666666665,-0.8,1.0,-1.3,0.018000000000000002,-1.9,-4.9,-0.001,0.008,-0.9,1.7,-0.08199999999999999,3.9,8.5,3.8,8.5,3.7,8.3,1.5,-4.1,1.8,5.0,-1.5,"davisan01, jacksma01, millere01, smitsri01",4,1997,IND
A. Davis | D. Davis | D. McKey | R. Miller IND 1997,326.9,11.7,2.5,-1.1,0.035,1.6,-0.5,0.092,0.045,5.1,10.2,-0.07200000000000001,2.4,6.2,4.0,6.2,3.0,6.4,2.2,0.0,0.8,-1.5,-1.2,"davisan01, davisda01, mckeyde01, millere01",4,1997,IND
T. Best | D. Davis | R. Miller | R. Smits IND 1997,324.5833333333333,4.6,2.4,3.2,0.01,-1.7,-4.7,0.006999999999999999,-0.001,1.5,2.2,-0.005,1.9,3.7,1.3,3.7,1.3,2.9,0.4,-0.4,1.3,-2.4,-0.2,"besttr01, davisda01, millere01, smitsri01",4,1997,IND
T. Best | E. Dampier | D. Davis | R. Miller IND 1997,298.8833333333333,-2.6,-1.0,-1.8,-0.003,-0.7,-4.6,0.071,-0.006,0.2,-0.1,0.012,-2.0,-2.4,0.7,-2.4,-0.6,-1.1,-1.9,-0.5,0.3,0.0,3.7,"besttr01, dampier01, davisda01, millere01",4,1997,IND
D. Ferrell | M. Jackson | R. Miller | R. Smits IND 1997,296.8666666666667,6.7,3.7,-5.2,0.071,0.0,-2.2,0.057999999999999996,0.07400000000000001,-2.1,-1.3,-0.047,-3.1,0.1,7.0,0.1,1.7,4.2,2.8,-4.0,1.8,2.9,0.3,"ferredu01, jacksma01, millere01, smitsri01",4,1997,IND
T. Best | E. Dampier | D. McKey | R. Miller IND 1997,292.5833333333333,0.0,0.3,-7.0,0.037000000000000005,-1.3,-6.3,0.079,0.033,0.7,1.2,-0.006,-5.9,-6.4,2.9,-6.4,-1.4,-3.0,-0.3,-1.2,2.6,0.6,2.5,"besttr01, dampier01, mckeyde01, millere01",4,1997,IND
A. Davis | D. Davis | M. Jackson | R. Miller IND 1997,292.4166666666667,-3.8,-0.4,4.8,-0.032,-0.6,-1.3,-0.002,-0.037000000000000005,-2.4,1.6,-0.113,7.3,10.8,-0.7,10.8,3.5,7.9,-1.8,-2.9,-2.1,2.0,-1.9,"davisan01, davisda01, jacksma01, millere01",4,1997,IND
