lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
T. Best | E. Dampier | D. Davis | D. McKey | R. Miller IND 1997,256.8666666666667,-2.6,-0.9,-5.4,0.017,-1.3,-5.8,0.062,0.012,0.4,0.4,0.006,-4.3,-4.5,2.6,-4.5,-0.9,-1.8,-1.5,-1.3,1.3,1.3,2.4,"besttr01, dampier01, davisda01, mckeyde01, millere01",5,1997,IND
T. Best | A. Davis | D. Davis | D. McKey | R. Miller IND 1997,226.16666666666666,19.4,7.6,4.2,0.067,2.9,-0.6,0.154,0.08199999999999999,1.4,6.5,-0.11900000000000001,2.6,6.9,4.7,6.9,3.2,7.0,5.3,1.7,0.9,-4.7,-2.0,"besttr01, davisan01, davisda01, mckeyde01, millere01",5,1997,IND
D. Davis | D. Ferrell | M. Jackson | R. Miller | R. Smits IND 1997,189.0,13.3,5.5,-3.8,0.086,0.9,-0.9,0.083,0.09300000000000001,-1.0,0.2,-0.048,-3.4,0.1,7.8,0.1,1.9,4.6,2.7,-3.1,0.8,0.8,0.4,"davisda01, ferredu01, jacksma01, millere01, smitsri01",5,1997,IND
A. Davis | D. Davis | M. Jackson | R. Miller | R. Smits IND 1997,155.11666666666667,-7.7,-3.2,-0.1,-0.035,-1.4,-7.0,0.10300000000000001,-0.042,0.1,5.5,-0.156,10.1,15.5,1.9,15.5,6.0,13.0,-3.0,-6.1,-1.5,7.9,-3.2,"davisan01, davisda01, jacksma01, millere01, smitsri01",5,1997,IND
T. Best | D. Davis | D. McKey | R. Miller | R. Smits IND 1997,146.2,12.4,2.6,-4.5,0.05,0.2,-4.8,0.11199999999999999,0.053,7.1,8.1,0.046,0.7,6.5,7.7,6.5,4.0,8.3,-1.3,-4.5,2.7,0.7,-1.8,"besttr01, davisda01, mckeyde01, millere01, smitsri01",5,1997,IND
A. Davis | D. Ferrell | M. Jackson | R. Miller | R. Smits IND 1997,105.28333333333333,-4.0,1.0,-7.3,0.051,-1.5,-4.5,0.018000000000000002,0.045,-4.5,-3.9,-0.07,-1.9,0.9,5.4,0.9,1.8,4.1,3.4,-5.3,4.1,6.9,0.3,"davisan01, ferredu01, jacksma01, millere01, smitsri01",5,1997,IND
T. Best | A. Davis | D. McKey | R. Miller | R. Smits IND 1997,61.733333333333334,-4.6,-1.5,3.8,-0.033,-1.1,6.4,-0.175,-0.04,-0.6,-6.1,0.20800000000000002,6.6,12.3,5.7,12.3,5.8,11.3,-2.6,-5.9,-0.7,4.9,-1.8,"besttr01, davisan01, mckeyde01, millere01, smitsri01",5,1997,IND
A. Davis | D. Davis | D. Ferrell | M. Jackson | R. Miller IND 1997,57.28333333333333,19.3,0.5,-1.7,0.018000000000000002,3.6,3.1,0.10400000000000001,0.044000000000000004,14.6,18.2,0.027999999999999997,-1.2,-1.4,1.2,-1.4,0.5,1.3,-0.4,-0.7,-0.3,-6.5,-2.9,"davisan01, davisda01, ferredu01, jacksma01, millere01",5,1997,IND
D. Davis | M. Jackson | D. McKey | R. Miller | R. Smits IND 1997,56.31666666666667,-19.8,-4.9,3.7,-0.067,-0.8,-2.4,-0.004,-0.073,-9.2,-11.1,0.032,3.2,0.6,-5.4,0.6,-0.9,-1.8,-3.2,-4.0,-2.0,5.0,4.2,"davisda01, jacksma01, mckeyde01, millere01, smitsri01",5,1997,IND
V. Askew | T. Best | A. Davis | D. Davis | R. Miller IND 1997,54.833333333333336,-4.8,-1.6,-5.7,0.009000000000000001,1.2,-9.2,0.25,0.02,-2.8,-2.4,-0.025,-2.4,-3.8,-0.2,-3.8,-1.0,-2.2,1.8,0.6,-2.3,3.6,-4.5,"askewvi01, besttr01, davisan01, davisda01, millere01",5,1997,IND
T. Best | D. Davis | R. Miller | J. Rose | R. Smits IND 1997,51.916666666666664,-8.6,-1.5,7.5,-0.057999999999999996,-3.2,-4.4,-0.128,-0.079,-2.3,-1.3,-0.051,4.1,1.2,-6.0,1.2,-1.1,-2.3,-3.4,-0.9,1.1,-1.3,-0.5,"besttr01, davisda01, millere01, roseja01, smitsri01",5,1997,IND
T. Best | A. Davis | D. Davis | D. Ferrell | R. Miller IND 1997,50.766666666666666,-18.4,-3.4,22.1,-0.156,1.0,5.0,-0.048,-0.156,-12.6,-14.0,-0.09699999999999999,10.2,6.2,-8.8,6.2,0.5,1.1,6.9,3.5,-3.1,-8.2,3.2,"besttr01, davisan01, davisda01, ferredu01, millere01",5,1997,IND
J. Allen | A. Davis | D. Davis | D. McKey | R. Miller IND 1997,42.333333333333336,5.9,-9.4,-21.2,-0.016,-3.5,-4.7,-0.087,-0.026000000000000002,28.2,38.8,0.08199999999999999,0.0,2.3,3.5,2.3,1.8,3.3,1.2,-4.7,0.0,2.4,-7.1,"allenje01, davisan01, davisda01, mckeyde01, millere01",5,1997,IND
A. Davis | D. Davis | M. Jackson | R. Miller | J. Rose IND 1997,41.46666666666667,1.3,5.2,13.0,-0.008,-1.3,2.6,-0.11900000000000001,-0.02,-7.8,-6.5,-0.083,2.6,-0.7,-6.5,-0.7,-1.9,-4.3,-2.6,5.2,-9.1,-9.1,0.6,"davisan01, davisda01, jacksma01, millere01, roseja01",5,1997,IND
D. Davis | M. Jackson | R. Miller | J. Rose | R. Smits IND 1997,41.1,5.5,6.7,6.4,0.042,1.1,-5.0,0.193,0.047,-9.1,-15.2,0.065,-0.9,4.5,9.0,4.5,3.4,7.5,10.6,-2.4,-1.0,2.1,5.4,"davisda01, jacksma01, millere01, roseja01, smitsri01",5,1997,IND
D. Davis | F. Hoiberg | M. Jackson | R. Miller | R. Smits IND 1997,40.4,-8.6,-10.8,-16.5,-0.036000000000000004,5.8,10.2,0.045,0.017,7.2,11.6,-0.03,-5.9,-11.5,1.1,-11.5,-3.3,-8.5,-1.9,-7.2,2.8,3.9,-5.3,"davisda01, hoibefr01, jacksma01, millere01, smitsri01",5,1997,IND
V. Askew | T. Best | E. Dampier | A. Davis | R. Miller IND 1997,39.666666666666664,4.7,3.4,-3.7,0.061,3.1,-4.5,0.314,0.081,-5.1,-11.4,0.098,-6.0,-9.6,-0.2,-9.6,-2.7,-6.3,1.3,3.8,3.8,0.7,2.0,"askewvi01, besttr01, dampier01, davisan01, millere01",5,1997,IND
T. Best | E. Dampier | A. Davis | R. Miller | J. Rose IND 1997,35.55,15.7,7.4,8.3,0.043,5.7,4.8,0.198,0.073,-11.0,-10.0,-0.14300000000000002,3.6,0.3,-7.6,0.3,-0.8,-1.8,2.4,-1.4,2.6,-1.7,6.2,"besttr01, dampier01, davisan01, millere01, roseja01",5,1997,IND
T. Best | A. Davis | D. Ferrell | R. Miller | R. Smits IND 1997,33.46666666666667,13.7,11.7,-2.8,0.151,-4.7,-12.5,-0.02,0.125,-5.0,-3.5,-0.064,-3.3,-1.4,5.1,-1.4,0.8,1.5,4.2,-1.4,1.6,1.3,2.3,"besttr01, davisan01, ferredu01, millere01, smitsri01",5,1997,IND
V. Askew | T. Best | A. Davis | D. McKey | R. Miller IND 1997,32.1,-8.5,1.7,11.9,-0.037000000000000005,-6.8,-5.1,-0.33299999999999996,-0.08800000000000001,-5.1,-15.3,0.141,-1.7,-7.3,-11.9,-7.3,-6.8,-17.4,0.0,5.1,-3.4,-11.9,5.1,"askewvi01, besttr01, davisan01, mckeyde01, millere01",5,1997,IND
D. Davis | M. Jackson | R. Miller | C. Mullin | R. Smits IND 1998,1047.5833333333333,14.7,4.3,-1.5,0.054000000000000006,2.7,4.1,0.095,0.07,3.1,2.1,0.079,-2.3,-1.3,3.7,-1.3,0.7,1.4,6.8,-0.6,0.6,-1.5,-0.2,"davisda01, jacksma01, millere01, mullich01, smitsri01",5,1998,IND
A. Davis | D. Davis | M. Jackson | R. Miller | C. Mullin IND 1998,342.85,11.6,1.9,-0.7,0.024,4.0,9.4,0.021,0.047,3.7,2.4,0.083,-0.8,0.3,1.9,0.3,0.5,1.0,3.8,-1.3,-0.4,-2.1,-2.8,"davisan01, davisda01, jacksma01, millere01, mullich01",5,1998,IND
T. Best | A. Davis | F. Hoiberg | D. McKey | J. Rose IND 1998,247.8,-0.9,0.1,0.9,-0.003,-0.9,-0.5,-0.094,-0.009000000000000001,-0.3,1.1,-0.038,-1.9,-5.3,-3.6,-5.3,-2.7,-6.1,0.6,4.1,-1.1,-3.5,-0.3,"besttr01, davisan01, hoibefr01, mckeyde01, roseja01",5,1998,IND
