lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
S. Abdur-Rahim | G. Lynch | L. Mayberry | A. Peeler | B. Reeves VAN 1997,364.85,-1.3,-1.6,1.4,-0.025,-0.3,-0.9,0.006,-0.027000000000000003,0.4,1.8,-0.045,-0.8,-3.5,-3.5,-3.5,-2.1,-4.5,-1.5,3.2,-2.8,-4.6,2.1,"abdursh01, lynchge01, maybele01, peelean01, reevebr01",5,1997,VAN
S. Abdur-Rahim | G. Anthony | A. Peeler | B. Reeves | R. Rogers VAN 1997,237.1,-7.3,-3.0,-10.6,0.023,-1.3,-4.1,0.009000000000000001,0.02,-0.1,1.1,-0.044000000000000004,-3.9,-2.9,4.0,-2.9,0.1,0.2,0.5,-5.0,0.6,4.4,-0.9,"abdursh01, anthogr01, peelean01, reevebr01, rogerro02",5,1997,VAN
S. Abdur-Rahim | L. Mayberry | A. Peeler | B. Reeves | R. Rogers VAN 1997,140.05,-24.1,-8.3,-4.5,-0.069,0.1,-3.0,0.086,-0.067,-7.6,-7.5,-0.129,-0.4,-4.1,-5.0,-4.1,-2.5,-5.5,-6.5,-6.7,2.5,5.0,2.1,"abdursh01, maybele01, peelean01, reevebr01, rogerro02",5,1997,VAN
G. Anthony | B. Edwards | L. Moten | B. Reeves | R. Rogers VAN 1997,122.73333333333333,6.6,4.9,5.7,0.026000000000000002,1.5,-0.4,0.099,0.032,-4.7,-7.6,0.049,-1.8,-4.3,-2.6,-4.3,-1.9,-4.1,2.0,1.1,0.6,-5.2,2.6,"anthogr01, edwarbl01, motenla01, reevebr01, rogerro02",5,1997,VAN
S. Abdur-Rahim | G. Anthony | L. Moten | B. Reeves | R. Rogers VAN 1997,117.08333333333333,-16.9,-8.8,-7.4,-0.057,-4.2,-6.2,-0.155,-0.078,4.9,3.9,0.079,-5.3,-11.7,-6.2,-11.7,-5.8,-12.1,-4.0,0.5,-4.1,-0.6,-2.3,"abdursh01, anthogr01, motenla01, reevebr01, rogerro02",5,1997,VAN
S. Abdur-Rahim | G. Anthony | B. Edwards | A. Peeler | B. Reeves VAN 1997,116.85,-15.6,-6.7,2.8,-0.09,-0.8,4.3,-0.11599999999999999,-0.095,-1.5,-4.5,0.061,0.1,-7.6,-11.9,-7.6,-6.3,-12.8,-2.1,-3.1,-1.5,1.0,1.3,"abdursh01, anthogr01, edwarbl01, peelean01, reevebr01",5,1997,VAN
S. Abdur-Rahim | L. Mayberry | B. Reeves | C. Robinson | R. Rogers VAN 1997,113.46666666666667,-18.8,-7.3,-0.8,-0.073,-1.9,-8.0,0.066,-0.08199999999999999,-2.2,-6.5,0.11199999999999999,1.5,3.9,2.7,3.9,1.7,3.4,-4.5,-3.0,-3.5,2.7,0.2,"abdursh01, maybele01, reevebr01, robinch01, rogerro02",5,1997,VAN
S. Abdur-Rahim | G. Anthony | B. Edwards | L. Moten | B. Reeves VAN 1997,91.88333333333334,-18.5,-2.6,-3.9,-0.008,0.5,-6.1,0.18100000000000002,-0.004,-13.9,-13.5,-0.14300000000000002,-8.6,-19.4,-6.7,-19.4,-7.9,-19.1,1.6,0.9,-2.4,-1.2,1.3,"abdursh01, anthogr01, edwarbl01, motenla01, reevebr01",5,1997,VAN
S. Abdur-Rahim | G. Anthony | A. Peeler | B. Reeves | A. Williams VAN 1997,91.76666666666667,14.1,7.7,-8.4,0.132,-1.1,-7.2,0.034,0.128,-0.2,4.1,-0.094,-2.6,4.3,9.4,4.3,3.5,7.5,3.9,-2.5,0.5,2.1,0.0,"abdursh01, anthogr01, peelean01, reevebr01, williaa01",5,1997,VAN
G. Anthony | B. Edwards | A. Peeler | B. Reeves | R. Rogers VAN 1997,88.4,2.3,-0.8,-1.7,-0.001,-4.3,-5.7,-0.17,-0.025,8.4,7.4,0.124,-5.6,-12.3,-6.9,-12.3,-5.8,-11.9,3.8,6.4,2.0,-6.6,0.6,"anthogr01, edwarbl01, peelean01, reevebr01, rogerro02",5,1997,VAN
S. Abdur-Rahim | G. Anthony | G. Lynch | A. Peeler | B. Reeves VAN 1997,76.7,-12.9,-7.6,1.8,-0.09,-3.9,-9.7,-0.059000000000000004,-0.111,6.1,6.4,0.057,4.0,5.6,0.8,5.6,2.7,5.1,-10.0,1.1,-7.0,-1.7,0.0,"abdursh01, anthogr01, lynchge01, peelean01, reevebr01",5,1997,VAN
