lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
P. Brown | T. Hardaway | V. Lenard | A. Mourning MIA 1997,682.85,16.6,5.8,-1.0,0.07200000000000001,4.5,10.9,0.013999999999999999,0.098,0.5,1.1,-0.013000000000000001,-1.6,-0.2,4.0,-0.2,1.2,2.7,8.4,1.6,2.7,-1.9,0.3,"brownpj01, hardati01, lenarvo01, mournal01",4,1997,MIA
P. Brown | T. Hardaway | V. Lenard | J. Mashburn MIA 1997,581.95,8.1,2.5,3.0,0.013000000000000001,4.2,12.8,-0.031,0.035,-1.0,-1.9,0.017,-0.9,-0.9,0.9,-0.9,-0.1,-0.2,5.0,2.2,-0.2,-4.1,1.3,"brownpj01, hardati01, lenarvo01, mashbja01",4,1997,MIA
K. Askins | P. Brown | T. Hardaway | A. Mourning MIA 1997,554.4666666666667,12.4,3.4,-0.4,0.042,2.9,8.3,-0.018000000000000002,0.06,2.6,4.7,-0.031,-0.4,0.0,1.0,0.0,0.2,0.5,5.3,2.6,2.5,-2.8,-1.2,"askinke01, brownpj01, hardati01, mournal01",4,1997,MIA
K. Askins | P. Brown | T. Hardaway | V. Lenard MIA 1997,526.1333333333333,11.6,4.1,-0.1,0.048,5.0,11.1,0.031,0.077,-1.5,-0.8,-0.034,-1.9,-2.3,1.2,-2.3,-0.4,-0.8,8.1,1.1,1.6,-2.1,0.1,"askinke01, brownpj01, hardati01, lenarvo01",4,1997,MIA
I. Austin | P. Brown | T. Hardaway | V. Lenard MIA 1997,510.6666666666667,2.5,-1.7,-1.3,-0.013000000000000001,3.2,10.4,-0.042,0.006,2.6,0.8,0.086,-2.8,-4.7,-0.6,-4.7,-1.9,-4.1,3.8,0.9,0.0,-2.6,1.3,"austiis01, brownpj01, hardati01, lenarvo01",4,1997,MIA
S. Danilović | T. Hardaway | D. Majerle | A. Mourning MIA 1997,478.2,6.1,0.6,-5.4,0.034,3.7,9.3,0.027999999999999997,0.057999999999999996,1.1,5.2,-0.09699999999999999,-2.5,-3.0,1.3,-3.0,-0.7,-1.6,2.9,-0.8,0.6,0.8,-1.6,"danilsa01, hardati01, majerda01, mournal01",4,1997,MIA
P. Brown | S. Danilović | T. Hardaway | A. Mourning MIA 1997,463.75,8.7,2.0,-6.8,0.055999999999999994,1.3,7.6,-0.061,0.067,3.3,5.4,-0.02,-3.3,-2.4,4.0,-2.4,0.2,0.5,2.5,-0.7,4.1,1.0,-1.4,"brownpj01, danilsa01, hardati01, mournal01",4,1997,MIA
K. Askins | T. Hardaway | V. Lenard | A. Mourning MIA 1997,409.05,14.2,3.0,-4.7,0.062,4.5,9.2,0.042,0.092,3.7,6.0,-0.017,-2.8,-2.8,3.4,-2.8,0.3,0.6,5.6,1.8,3.2,-1.7,-0.8,"askinke01, hardati01, lenarvo01, mournal01",4,1997,MIA
P. Brown | T. Hardaway | D. Majerle | A. Mourning MIA 1997,395.71666666666664,14.1,2.4,-7.9,0.067,3.9,7.1,0.067,0.09300000000000001,5.3,9.5,-0.061,-3.0,-2.0,3.6,-2.0,0.1,0.3,1.3,-0.4,2.1,0.3,-3.3,"brownpj01, hardati01, majerda01, mournal01",4,1997,MIA
I. Austin | T. Hardaway | V. Lenard | J. Mashburn MIA 1997,360.51666666666665,1.3,-1.7,1.7,-0.027999999999999997,5.2,14.7,-0.023,0.0,-0.4,-3.2,0.08,-1.1,-2.1,-0.7,-2.1,-1.1,-2.4,2.4,1.0,-1.7,-2.0,1.9,"austiis01, hardati01, lenarvo01, mashbja01",4,1997,MIA
P. Brown | S. Danilović | T. Hardaway | D. Majerle MIA 1997,351.8833333333333,4.4,-0.5,-8.1,0.034,4.2,7.9,0.071,0.062,0.9,4.9,-0.10400000000000001,-3.2,-2.9,2.7,-2.9,-0.3,-0.6,2.2,-1.4,2.4,2.4,-2.3,"brownpj01, danilsa01, hardati01, majerda01",4,1997,MIA
T. Hardaway | V. Lenard | J. Mashburn | A. Mourning MIA 1997,339.8,17.5,4.8,-0.5,0.057,5.6,14.0,0.0,0.08800000000000001,2.3,5.6,-0.08900000000000001,-0.4,1.9,3.9,1.9,1.8,3.9,5.7,1.1,1.1,-3.1,-0.6,"hardati01, lenarvo01, mashbja01, mournal01",4,1997,MIA
K. Askins | I. Austin | T. Hardaway | V. Lenard MIA 1997,311.76666666666665,5.8,1.6,1.2,0.011000000000000001,7.6,15.7,0.036000000000000004,0.054000000000000006,-4.9,-6.9,0.003,-2.3,-3.9,-0.5,-3.9,-1.6,-3.5,4.3,-1.8,-0.3,-1.3,1.9,"askinke01, austiis01, hardati01, lenarvo01",4,1997,MIA
