lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
R. Allen | V. Baker | S. Douglas | G. Robinson MIL 1997,1467.8166666666666,-2.3,-0.3,-1.9,0.006999999999999999,-0.7,-2.0,0.005,0.004,-1.0,-1.3,-0.003,-1.1,-1.6,0.2,-1.6,-0.5,-1.2,-3.0,-0.9,-1.5,1.3,0.6,"allenra02, bakervi01, douglsh01, robingl01",4,1997,MIL
V. Baker | S. Douglas | A. Lang | G. Robinson MIL 1997,822.9666666666667,2.4,1.4,-2.0,0.026000000000000002,-0.7,-3.1,0.035,0.023,0.4,0.0,0.015,-1.5,-2.3,0.0,-2.3,-0.7,-1.4,-2.4,-0.4,-1.5,0.8,0.9,"bakervi01, douglsh01, langan01, robingl01",4,1997,MIL
R. Allen | V. Baker | S. Douglas | A. Lang MIL 1997,811.3,5.4,2.9,-2.6,0.046,-0.5,-3.0,0.054000000000000006,0.044000000000000004,0.1,0.3,-0.005,-2.0,-2.1,1.4,-2.1,-0.2,-0.4,-1.1,-0.2,-0.8,0.7,1.0,"allenra02, bakervi01, douglsh01, langan01",4,1997,MIL
R. Allen | V. Baker | A. Lang | G. Robinson MIL 1997,797.5,4.4,2.5,-0.8,0.032,-0.2,-2.6,0.06,0.031,-0.4,-0.9,0.012,-1.5,-2.2,0.1,-2.2,-0.6,-1.3,-1.8,0.1,-1.6,0.1,1.0,"allenra02, bakervi01, langan01, robingl01",4,1997,MIL
R. Allen | S. Douglas | A. Lang | G. Robinson MIL 1997,788.9833333333333,2.7,2.2,-0.7,0.028999999999999998,-0.3,-2.0,0.038,0.027000000000000003,-1.5,-1.9,-0.003,-1.9,-3.1,-0.4,-3.1,-1.0,-2.2,-2.0,0.3,-1.6,0.0,1.6,"allenra02, douglsh01, langan01, robingl01",4,1997,MIL
V. Baker | S. Douglas | A. Gilliam | G. Robinson MIL 1997,764.1,-3.7,-2.1,-5.8,0.008,-0.8,-3.4,0.027999999999999997,0.005,1.3,0.5,0.035,-1.5,0.5,4.3,0.5,1.2,2.8,-4.2,-3.4,-0.5,3.5,-0.7,"bakervi01, douglsh01, gilliar01, robingl01",4,1997,MIL
R. Allen | V. Baker | A. Gilliam | G. Robinson MIL 1997,648.7,-6.4,-4.6,-5.2,-0.024,-0.5,-1.0,-0.015,-0.026000000000000002,3.3,2.7,0.048,-2.3,-3.0,1.3,-3.0,-0.8,-1.9,-4.2,-0.8,-1.0,1.0,-1.4,"allenra02, bakervi01, gilliar01, robingl01",4,1997,MIL
R. Allen | S. Douglas | A. Gilliam | G. Robinson MIL 1997,643.4333333333333,-11.0,-4.7,-4.2,-0.031,-1.2,-1.6,-0.048,-0.037000000000000005,-0.4,0.0,-0.016,-1.2,-2.2,-0.3,-2.2,-0.9,-2.0,-4.9,-1.4,-1.7,2.2,-0.4,"allenra02, douglsh01, gilliar01, robingl01",4,1997,MIL
R. Allen | V. Baker | S. Douglas | A. Gilliam MIL 1997,608.1833333333333,-8.0,-3.7,-5.0,-0.016,-1.3,-2.0,-0.046,-0.022000000000000002,0.8,0.8,0.008,-2.2,-3.1,0.9,-3.1,-0.8,-1.8,-5.3,-1.7,-1.3,1.8,-1.3,"allenra02, bakervi01, douglsh01, gilliar01",4,1997,MIL
V. Baker | J. Newman | E. Perry | G. Robinson MIL 1997,512.15,-2.6,0.4,0.1,0.005,-0.5,-2.3,0.021,0.002,-3.0,-4.3,0.003,-1.0,-2.6,-1.1,-2.6,-1.1,-2.6,0.9,-0.6,-0.6,1.8,1.1,"bakervi01, newmajo01, perryel01, robingl01",4,1997,MIL
V. Baker | A. Gilliam | J. Newman | G. Robinson MIL 1997,494.05,2.9,0.7,-6.2,0.046,-1.0,-4.6,0.039,0.040999999999999995,2.5,0.7,0.065,-1.9,0.5,4.9,0.5,1.5,3.7,-0.9,-3.9,1.4,4.3,-0.3,"bakervi01, gilliar01, newmajo01, robingl01",4,1997,MIL
