lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
K. Garnett | T. Gugliotta | S. Marbury | D. West MIN 1997,882.5166666666667,0.8,2.3,-2.6,0.040999999999999995,-1.6,-5.8,0.05,0.032,-2.1,-3.2,0.01,-3.2,-4.3,1.3,-4.3,-0.9,-2.1,5.3,-0.2,2.9,0.5,0.4,"garneke01, guglito01, marbust01, westdo01",4,1997,MIN
K. Garnett | D. Garrett | T. Gugliotta | S. Marbury MIN 1997,740.2333333333333,4.6,3.9,-0.3,0.046,-1.9,-4.4,-0.019,0.035,-1.5,-1.0,-0.031,-1.7,-1.6,1.6,-1.6,0.0,-0.1,8.0,0.0,2.1,-0.7,-1.0,"garneke01, garrede01, guglito01, marbust01",4,1997,MIN
K. Garnett | D. Garrett | T. Gugliotta | D. West MIN 1997,667.25,6.0,4.5,0.4,0.05,-2.1,-5.9,0.004,0.038,-0.9,-1.4,0.006999999999999999,-0.8,-0.1,2.0,-0.1,0.6,1.4,8.8,-0.4,1.6,-0.8,-0.4,"garneke01, garrede01, guglito01, westdo01",4,1997,MIN
D. Garrett | T. Gugliotta | S. Marbury | D. West MIN 1997,577.7166666666667,4.1,5.0,1.1,0.05,-1.7,-5.7,0.040999999999999995,0.040999999999999995,-4.2,-4.9,-0.019,-1.8,-2.3,1.0,-2.3,-0.4,-1.0,8.0,0.1,1.6,-0.9,0.1,"garrede01, guglito01, marbust01, westdo01",4,1997,MIN
K. Garnett | D. Garrett | S. Marbury | D. West MIN 1997,507.48333333333335,5.7,5.4,-0.4,0.063,-1.5,-6.2,0.069,0.055,-3.7,-4.3,-0.024,-2.5,-2.8,2.0,-2.8,-0.3,-0.6,9.7,-0.2,2.2,-0.4,-0.2,"garneke01, garrede01, marbust01, westdo01",4,1997,MIN
K. Garnett | T. Gugliotta | T. Porter | D. West MIN 1997,392.8833333333333,3.4,1.8,1.4,0.013999999999999999,-4.5,-9.8,-0.10300000000000001,-0.013999999999999999,4.3,3.5,0.066,1.2,1.1,-1.7,1.1,-0.1,-0.2,3.0,0.9,0.9,-1.8,0.3,"garneke01, guglito01, portete01, westdo01",4,1997,MIN
K. Garnett | T. Gugliotta | S. Vranković | D. West MIN 1997,370.25,-0.1,1.2,-3.7,0.034,-2.8,-10.2,0.098,0.019,0.3,-1.5,0.057999999999999996,-3.9,-6.8,-0.9,-6.8,-2.1,-4.8,0.9,-0.1,3.5,-0.3,2.4,"garneke01, guglito01, vrankst01, westdo01",4,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | S. Mitchell MIN 1997,334.06666666666666,0.1,-2.8,-6.3,0.0,0.4,-0.8,0.035,0.005,5.0,8.3,-0.033,-3.3,-6.0,-0.7,-6.0,-2.1,-5.0,0.8,-0.2,3.1,-1.0,-1.5,"garneke01, guglito01, marbust01, mitchsa01",4,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | J. Robinson MIN 1997,319.85,-8.5,-3.6,-4.3,-0.019,1.1,6.6,-0.084,-0.01,-2.5,-1.3,-0.052000000000000005,-6.8,-12.3,-2.6,-12.3,-4.9,-11.1,-0.6,-1.6,0.3,-1.8,0.6,"garneke01, guglito01, marbust01, robinja02",4,1997,MIN
K. Garnett | T. Gugliotta | S. Marbury | S. Vranković MIN 1997,317.98333333333335,-7.6,-2.5,-8.2,0.015,-0.1,-3.7,0.109,0.018000000000000002,-2.4,-4.3,0.039,-6.9,-11.2,-0.7,-11.2,-3.6,-8.1,-0.5,-0.5,2.7,2.1,2.3,"garneke01, guglito01, marbust01, vrankst01",4,1997,MIN
K. Garnett | D. Garrett | T. Gugliotta | T. Porter MIN 1997,284.96666666666664,12.5,3.3,-2.6,0.053,-3.8,-5.7,-0.106,0.031,9.6,11.0,0.055,2.9,8.5,6.3,8.5,4.3,9.9,6.4,-1.1,0.5,0.5,-4.8,"garneke01, garrede01, guglito01, portete01",4,1997,MIN
T. Gugliotta | S. Marbury | S. Vranković | D. West MIN 1997,265.98333333333335,-9.5,-0.5,-6.3,0.028999999999999998,-2.8,-6.8,0.001,0.015,-5.7,-6.7,-0.031,-5.0,-5.4,2.6,-5.4,-1.0,-2.3,0.0,-2.9,3.8,3.5,1.7,"guglito01, marbust01, vrankst01, westdo01",4,1997,MIN
T. Gugliotta | S. Marbury | S. Mitchell | D. West MIN 1997,265.26666666666665,-7.5,0.1,4.4,-0.024,-2.3,-4.1,-0.071,-0.039,-5.5,-6.7,-0.012,1.2,-1.4,-4.3,-1.4,-1.5,-3.5,-0.1,0.7,1.3,-0.4,1.3,"guglito01, marbust01, mitchsa01, westdo01",4,1997,MIN
K. Garnett | T. Gugliotta | S. Mitchell | J. Robinson MIN 1997,264.53333333333336,0.9,-1.9,-7.6,0.018000000000000002,0.5,-0.7,0.039,0.024,4.1,8.1,-0.049,-4.3,-7.1,-0.8,-7.1,-2.6,-5.8,-1.8,-1.8,3.3,-1.0,0.0,"garneke01, guglito01, mitchsa01, robinja02",4,1997,MIN
K. Garnett | T. Gugliotta | S. Mitchell | T. Porter MIN 1997,250.21666666666667,13.9,0.1,-6.8,0.037000000000000005,-1.3,-8.2,0.053,0.031,14.5,19.4,-0.006,-0.3,0.5,1.5,0.5,0.9,2.0,1.4,0.7,3.7,-3.0,-3.0,"garneke01, guglito01, mitchsa01, portete01",4,1997,MIN
K. Garnett | S. Marbury | S. Vranković | D. West MIN 1997,223.21666666666667,-6.1,-0.6,-6.7,0.028999999999999998,-2.5,-6.5,0.012,0.017,-2.3,-3.9,0.023,-5.5,-5.5,3.3,-5.5,-1.0,-2.2,1.0,-1.9,3.5,2.2,1.8,"garneke01, marbust01, vrankst01, westdo01",4,1997,MIN
C. Carr | K. Garnett | T. Gugliotta | S. Marbury MIN 1997,221.6,9.4,1.9,-1.1,0.027000000000000003,2.5,3.6,0.094,0.042,2.7,2.9,0.016,-1.7,-2.0,0.8,-2.0,-0.5,-1.0,4.9,1.4,1.9,-3.5,-0.7,"carrch01, garneke01, guglito01, marbust01",4,1997,MIN
D. Garrett | T. Gugliotta | T. Porter | D. West MIN 1997,212.56666666666666,0.7,0.1,-3.0,0.017,-2.8,-5.3,-0.069,0.001,3.4,4.8,-0.024,0.3,2.3,3.1,2.3,1.5,3.5,4.8,-1.9,-0.4,0.7,-1.4,"garrede01, guglito01, portete01, westdo01",4,1997,MIN
K. Garnett | S. Marbury | S. Mitchell | J. Robinson MIN 1997,204.66666666666666,-11.9,-6.0,-6.1,-0.038,0.6,3.8,-0.025,-0.032,-0.4,1.4,-0.046,-3.3,-5.7,-1.2,-5.7,-2.5,-5.4,-5.3,-2.9,1.5,1.7,0.4,"garneke01, marbust01, mitchsa01, robinja02",4,1997,MIN
K. Garnett | S. Mitchell | T. Porter | J. Robinson MIN 1997,204.06666666666666,9.1,0.8,-8.0,0.053,-0.4,-6.5,0.09699999999999999,0.054000000000000006,7.9,11.5,-0.034,-1.8,1.4,5.3,1.4,1.9,4.3,5.3,-1.6,2.9,-1.0,0.6,"garneke01, mitchsa01, portete01, robinja02",4,1997,MIN
C. Carr | K. Garnett | T. Gugliotta | S. Marbury MIN 1998,768.15,1.0,0.8,0.0,0.009000000000000001,-2.4,-5.9,-0.027000000000000003,-0.005,1.9,0.9,0.05,-0.2,0.9,1.8,0.9,0.8,1.8,4.2,-0.9,1.4,-0.3,-0.4,"carrch01, garneke01, guglito01, marbust01",4,1998,MIN
K. Garnett | S. Marbury | S. Mitchell | A. Peeler MIN 1998,504.6,1.2,3.2,3.5,0.018000000000000002,0.8,1.1,0.03,0.021,-6.1,-7.5,-0.016,-2.0,-4.2,-1.8,-4.2,-2.0,-4.2,5.4,2.2,1.9,-2.2,2.2,"garneke01, marbust01, mitchsa01, peelean01",4,1998,MIN
K. Garnett | S. Marbury | S. Mitchell | T. Porter MIN 1998,493.85,6.5,2.4,3.6,0.008,0.4,0.6,0.01,0.009000000000000001,1.5,0.8,0.024,0.4,0.2,-0.5,0.2,-0.2,-0.3,3.5,2.8,0.3,-4.1,-1.5,"garneke01, marbust01, mitchsa01, portete01",4,1998,MIN
K. Garnett | S. Marbury | S. Mitchell | C. Parks MIN 1998,483.8666666666667,-2.1,0.9,-2.4,0.022000000000000002,-2.5,-4.8,-0.040999999999999995,0.01,-1.5,-0.3,-0.05,-4.3,-7.8,-2.3,-7.8,-3.3,-7.1,3.9,1.5,2.4,-1.7,1.5,"garneke01, marbust01, mitchsa01, parksch02",4,1998,MIN
K. Garnett | T. Gugliotta | S. Marbury | C. Parks MIN 1998,458.71666666666664,2.0,0.6,-1.4,0.013999999999999999,-0.9,-5.4,0.085,0.009000000000000001,1.8,1.0,0.044000000000000004,-2.2,-2.8,0.9,-2.8,-0.7,-1.5,6.3,1.1,1.7,-1.7,0.2,"garneke01, guglito01, marbust01, parksch02",4,1998,MIN
C. Carr | K. Garnett | S. Marbury | C. Parks MIN 1998,406.18333333333334,7.3,2.4,-1.9,0.036000000000000004,-0.9,-5.8,0.07200000000000001,0.032,3.4,2.3,0.081,-2.8,-3.6,1.1,-3.6,-0.7,-1.7,7.8,0.1,2.0,-2.0,0.4,"carrch01, garneke01, marbust01, parksch02",4,1998,MIN
C. Carr | T. Gugliotta | S. Marbury | C. Parks MIN 1998,396.5833333333333,5.3,0.7,-2.8,0.022000000000000002,-0.1,-3.4,0.081,0.022000000000000002,4.0,2.8,0.09,-3.0,-3.5,1.4,-3.5,-0.7,-1.5,6.9,1.2,1.4,-1.7,0.3,"carrch01, guglito01, marbust01, parksch02",4,1998,MIN
K. Garnett | T. Gugliotta | S. Marbury | S. Roberts MIN 1998,377.9166666666667,-1.1,1.0,2.7,-0.002,-4.6,-9.6,-0.078,-0.028999999999999998,1.5,0.5,0.046,2.7,6.1,3.4,6.1,3.1,6.6,1.5,-0.7,0.2,0.2,-0.2,"garneke01, guglito01, marbust01, roberst01",4,1998,MIN
K. Garnett | S. Marbury | S. Mitchell | S. Roberts MIN 1998,371.85,-2.6,0.1,3.5,-0.016,0.2,-2.3,0.09,-0.016,-3.0,-3.9,-0.013000000000000001,0.2,-1.4,-2.8,-1.4,-1.2,-2.7,2.1,0.8,-0.9,-1.7,0.7,"garneke01, marbust01, mitchsa01, roberst01",4,1998,MIN
C. Carr | K. Garnett | T. Gugliotta | C. Parks MIN 1998,371.1166666666667,4.1,0.6,-2.5,0.02,-0.2,-3.8,0.075,0.019,3.0,2.1,0.066,-2.9,-4.0,0.6,-4.0,-1.1,-2.4,6.7,0.4,2.0,-1.5,0.3,"carrch01, garneke01, guglito01, parksch02",4,1998,MIN
C. Carr | K. Garnett | S. Marbury | S. Roberts MIN 1998,340.48333333333335,-2.7,0.1,1.0,-0.004,-3.9,-6.9,-0.10300000000000001,-0.027000000000000003,1.0,-0.3,0.054000000000000006,2.5,6.5,4.3,6.5,3.5,7.7,2.6,-2.0,0.1,2.2,0.5,"carrch01, garneke01, marbust01, roberst01",4,1998,MIN
C. Carr | T. Gugliotta | S. Marbury | S. Roberts MIN 1998,321.1166666666667,0.2,1.2,0.4,0.012,-4.3,-8.2,-0.10400000000000001,-0.013000000000000001,2.0,1.4,0.046,3.1,8.9,6.4,8.9,4.8,10.9,3.1,-2.1,0.9,2.7,0.1,"carrch01, guglito01, marbust01, roberst01",4,1998,MIN
C. Carr | K. Garnett | T. Gugliotta | S. Roberts MIN 1998,316.3666666666667,-3.7,0.2,0.7,-0.002,-4.9,-8.9,-0.12300000000000001,-0.03,0.8,0.8,0.008,3.0,8.0,5.1,8.0,4.2,9.3,2.5,-1.5,0.8,2.4,0.6,"carrch01, garneke01, guglito01, roberst01",4,1998,MIN
K. Garnett | S. Marbury | C. Parks | T. Porter MIN 1998,295.5,-3.4,-0.3,-3.3,0.015,-4.0,-7.1,-0.10099999999999999,-0.006999999999999999,1.1,4.5,-0.077,-2.8,-4.7,-0.3,-4.7,-1.8,-4.3,-0.5,2.1,0.6,-1.9,-2.3,"garneke01, marbust01, parksch02, portete01",4,1998,MIN
K. Garnett | T. Hammonds | S. Marbury | T. Porter MIN 1998,282.28333333333336,-2.5,-1.5,-0.9,-0.013000000000000001,-3.6,-4.7,-0.131,-0.033,4.1,6.6,-0.026000000000000002,1.8,3.6,0.7,3.6,1.4,3.3,-4.0,-0.3,-2.6,-0.2,-2.6,"garneke01, hammoto01, marbust01, portete01",4,1998,MIN
K. Garnett | S. Marbury | C. Parks | A. Peeler MIN 1998,274.5,-11.9,-1.9,-5.1,0.004,-1.3,-2.9,0.008,-0.001,-6.8,-5.8,-0.107,-6.0,-11.2,-4.4,-11.2,-5.1,-10.4,5.2,-0.6,2.4,1.6,3.3,"garneke01, marbust01, parksch02, peelean01",4,1998,MIN
K. Garnett | S. Mitchell | C. Parks | A. Peeler MIN 1998,259.43333333333334,-5.3,0.4,-1.1,0.01,0.1,-0.8,0.038,0.01,-6.1,-5.3,-0.105,-4.6,-9.0,-4.3,-9.0,-4.3,-8.6,5.4,1.5,4.1,-1.0,3.0,"garneke01, mitchsa01, parksch02, peelean01",4,1998,MIN
K. Garnett | S. Marbury | T. Porter | S. Roberts MIN 1998,241.1,-2.4,0.4,0.6,0.001,-3.3,-8.1,0.009000000000000001,-0.017,0.1,0.4,-0.006999999999999999,1.9,4.8,2.9,4.8,2.2,4.8,-0.2,-1.1,0.1,1.0,-1.3,"garneke01, marbust01, portete01, roberst01",4,1998,MIN
