lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
P. Brown | J. Magloire | J. Mashburn | D. Wesley NOH 2003,1465.15,3.4,0.4,2.3,-0.006999999999999999,1.4,3.0,0.019,0.0,1.2,0.5,0.035,2.9,6.2,2.6,6.2,2.7,5.9,2.2,0.2,-1.2,0.5,0.4,"brownpj01, magloja01, mashbja01, wesleda01",4,2003,NOH
P. Brown | B. Davis | J. Magloire | J. Mashburn NOH 2003,983.2166666666667,6.4,1.6,2.5,0.005,2.7,5.1,0.05,0.019,0.5,0.1,0.021,3.2,6.7,2.7,6.7,2.9,6.4,2.5,-0.2,-1.4,0.4,0.5,"brownpj01, davisba01, magloja01, mashbja01",4,2003,NOH
P. Brown | B. Davis | J. Mashburn | D. Wesley NOH 2003,887.7166666666667,5.7,1.3,2.8,0.001,1.8,4.5,0.013000000000000001,0.011000000000000001,1.2,1.0,0.016,2.0,3.8,1.0,3.8,1.4,3.1,2.1,1.1,-1.7,-1.5,0.0,"brownpj01, davisba01, mashbja01, wesleda01",4,2003,NOH
B. Davis | J. Magloire | J. Mashburn | D. Wesley NOH 2003,844.7,5.7,0.9,2.7,-0.003,2.2,4.7,0.033,0.009000000000000001,1.5,1.4,0.02,1.9,3.7,1.1,3.7,1.5,3.2,2.1,0.9,-2.0,-1.2,0.0,"davisba01, magloja01, mashbja01, wesleda01",4,2003,NOH
P. Brown | B. Davis | J. Magloire | D. Wesley NOH 2003,758.0666666666667,8.7,2.3,3.4,0.009000000000000001,2.5,5.0,0.040999999999999995,0.022000000000000002,1.5,1.1,0.028999999999999998,2.1,4.5,1.9,4.5,1.9,4.2,3.0,1.4,-1.8,-1.8,0.2,"brownpj01, davisba01, magloja01, wesleda01",4,2003,NOH
P. Brown | G. Lynch | J. Magloire | J. Mashburn NOH 2003,541.7166666666667,9.9,2.6,4.8,0.004,1.4,3.4,0.004,0.01,3.3,3.9,0.009000000000000001,8.3,15.6,5.1,15.6,6.7,14.2,4.5,-1.0,-0.8,1.5,-1.0,"brownpj01, lynchge01, magloja01, mashbja01",4,2003,NOH
G. Lynch | J. Magloire | J. Mashburn | D. Wesley NOH 2003,529.7,4.5,0.1,1.7,-0.006999999999999999,-0.3,2.5,-0.086,-0.009000000000000001,4.6,5.7,0.006999999999999999,5.6,10.8,3.9,10.8,4.8,10.0,3.2,0.4,-0.9,1.6,-1.4,"lynchge01, magloja01, mashbja01, wesleda01",4,2003,NOH
P. Brown | G. Lynch | J. Mashburn | D. Wesley NOH 2003,433.8333333333333,6.7,0.6,3.5,-0.01,0.5,2.1,-0.021,-0.008,5.0,5.5,0.027000000000000003,8.1,15.2,4.8,15.2,6.5,13.9,4.2,0.6,-0.4,2.0,-0.8,"brownpj01, lynchge01, mashbja01, wesleda01",4,2003,NOH
P. Brown | G. Lynch | J. Magloire | D. Wesley NOH 2003,378.53333333333336,8.2,0.9,1.4,0.003,0.8,2.9,-0.023,0.006999999999999999,5.6,6.2,0.040999999999999995,5.8,11.8,4.9,11.8,5.3,11.3,3.9,0.6,-0.1,1.1,-1.5,"brownpj01, lynchge01, magloja01, wesleda01",4,2003,NOH
C. Alexander | P. Brown | J. Mashburn | D. Wesley NOH 2003,279.1166666666667,-8.5,-2.8,1.1,-0.038,-0.1,-1.0,0.02,-0.039,-2.9,-4.3,0.015,-1.8,-2.7,0.3,-2.7,-0.9,-2.2,-0.5,-1.7,-0.6,0.9,0.5,"alexaco02, brownpj01, mashbja01, wesleda01",4,2003,NOH
C. Alexander | P. Brown | J. Magloire | J. Mashburn NOH 2003,275.18333333333334,-3.2,-1.3,-2.3,-0.003,0.9,1.9,0.021,0.003,-1.5,-1.0,-0.027000000000000003,-1.5,1.0,4.8,1.0,1.6,3.6,2.4,-1.9,0.4,2.0,0.4,"alexaco02, brownpj01, magloja01, mashbja01",4,2003,NOH
C. Alexander | J. Magloire | J. Mashburn | D. Wesley NOH 2003,240.75,-11.9,-3.7,1.4,-0.048,-0.1,0.6,-0.025,-0.049,-4.4,-4.1,-0.039,-1.4,-2.7,-0.6,-2.7,-1.2,-2.8,-1.5,-3.4,0.6,1.9,0.3,"alexaco02, magloja01, mashbja01, wesleda01",4,2003,NOH
B. Davis | G. Lynch | J. Magloire | J. Mashburn NOH 2003,237.21666666666667,3.0,-1.2,-0.4,-0.011000000000000001,2.7,3.5,0.084,0.004,2.6,3.2,0.009000000000000001,3.3,5.6,1.1,5.6,2.1,4.5,3.7,-1.5,-1.8,2.8,0.4,"davisba01, lynchge01, magloja01, mashbja01",4,2003,NOH
P. Brown | B. Davis | G. Lynch | J. Mashburn NOH 2003,192.01666666666668,7.0,1.6,2.0,0.006999999999999999,2.6,5.0,0.046,0.02,1.2,3.0,-0.048,8.1,16.1,6.0,16.1,7.1,15.5,5.6,-2.9,0.0,2.9,-0.3,"brownpj01, davisba01, lynchge01, mashbja01",4,2003,NOH
C. Alexander | P. Brown | J. Magloire | D. Wesley NOH 2003,186.58333333333334,-3.8,-1.5,1.5,-0.024,0.7,0.5,0.04,-0.021,-1.5,-1.8,-0.006999999999999999,-1.5,-0.5,2.9,-0.5,0.4,1.0,3.0,-1.0,1.3,0.8,0.7,"alexaco02, brownpj01, magloja01, wesleda01",4,2003,NOH
C. Alexander | P. Brown | B. Davis | J. Mashburn NOH 2003,180.35,-4.3,-7.8,-9.9,-0.045,2.5,8.7,-0.013000000000000001,-0.027999999999999997,8.8,7.1,0.11800000000000001,-2.0,-4.2,-2.3,-4.2,-2.0,-4.1,-5.3,-1.6,-0.1,1.7,-2.4,"alexaco02, brownpj01, davisba01, mashbja01",4,2003,NOH
P. Brown | J. Mashburn | R. Traylor | D. Wesley NOH 2003,175.93333333333334,-4.2,0.3,8.5,-0.039,-2.2,-5.5,-0.034,-0.054000000000000006,-2.5,-2.1,-0.027999999999999997,7.8,12.2,0.6,12.2,4.4,9.9,1.0,-1.7,-0.1,2.2,0.3,"brownpj01, mashbja01, traylro01, wesleda01",4,2003,NOH
S. Augmon | J. Magloire | J. Mashburn | D. Wesley NOH 2003,164.31666666666666,5.6,4.0,0.9,0.040999999999999995,1.4,-1.8,0.125,0.048,-3.8,-3.4,-0.049,0.1,2.1,3.3,2.1,1.8,3.9,6.2,-1.7,1.6,-1.2,-0.2,"augmost01, magloja01, mashbja01, wesleda01",4,2003,NOH
P. Brown | B. Davis | G. Lynch | J. Magloire NOH 2003,159.4,4.9,1.7,3.8,-0.001,3.1,5.2,0.073,0.015,-1.7,-1.4,-0.031,7.3,13.3,3.5,13.3,5.4,12.0,4.5,-3.5,-0.7,4.2,0.9,"brownpj01, davisba01, lynchge01, magloja01",4,2003,NOH
P. Brown | E. Campbell | J. Mashburn | D. Wesley NOH 2003,156.41666666666666,-6.1,-4.3,-4.3,-0.027000000000000003,0.1,-0.8,0.021,-0.025,2.4,0.4,0.067,-2.6,-7.0,-4.5,-7.0,-3.4,-7.6,1.7,0.9,-2.5,-1.9,1.0,"brownpj01, campbel01, mashbja01, wesleda01",4,2003,NOH
P. Brown | B. Davis | J. Magloire | D. Wesley NOH 2004,1032.5833333333333,-2.5,-1.5,-0.1,-0.016,-0.2,2.1,-0.042,-0.017,0.6,2.6,-0.059000000000000004,0.3,0.1,-0.7,0.1,-0.3,-0.6,-1.6,2.5,-1.4,-1.0,-0.4,"brownpj01, davisba01, magloja01, wesleda01",4,2004,NOH
P. Brown | B. Davis | G. Lynch | J. Magloire NOH 2004,921.8666666666667,-0.5,-0.7,1.3,-0.013999999999999999,0.1,3.3,-0.045,-0.013999999999999999,0.8,3.1,-0.073,0.9,0.3,-1.8,0.3,-0.4,-0.8,-1.1,2.8,-1.9,-2.8,-0.7,"brownpj01, davisba01, lynchge01, magloja01",4,2004,NOH
P. Brown | G. Lynch | J. Magloire | D. Wesley NOH 2004,810.3333333333334,-1.5,-0.7,0.7,-0.011000000000000001,-0.9,1.2,-0.065,-0.016,0.8,2.6,-0.054000000000000006,0.4,-0.1,-1.4,-0.1,-0.4,-0.9,-1.4,2.8,-1.6,-1.8,-0.6,"brownpj01, lynchge01, magloja01, wesleda01",4,2004,NOH
P. Brown | B. Davis | G. Lynch | D. Wesley NOH 2004,791.55,0.0,0.1,0.6,-0.002,-0.1,2.1,-0.036000000000000004,-0.003,-0.1,2.2,-0.083,0.1,-0.4,-0.8,-0.4,-0.4,-0.8,-1.0,3.3,-1.9,-2.1,-0.8,"brownpj01, davisba01, lynchge01, wesleda01",4,2004,NOH
B. Davis | G. Lynch | J. Magloire | D. Wesley NOH 2004,780.05,-3.8,-1.6,0.9,-0.021,-0.6,2.3,-0.07,-0.025,0.0,2.5,-0.096,0.3,-1.3,-3.0,-1.3,-1.4,-2.8,-2.0,3.0,-2.0,-2.2,-0.5,"davisba01, lynchge01, magloja01, wesleda01",4,2004,NOH
D. Armstrong | P. Brown | B. Davis | J. Magloire NOH 2004,596.7666666666667,1.2,-0.7,3.3,-0.024,3.1,9.2,0.008,-0.008,-0.5,-0.7,0.001,0.6,-0.1,-1.5,-0.1,-0.6,-1.2,0.8,0.2,-2.0,-1.7,0.0,"armstda01, brownpj01, davisba01, magloja01",4,2004,NOH
S. Augmon | P. Brown | B. Davis | J. Magloire NOH 2004,360.6166666666667,-8.4,-5.2,-5.7,-0.028999999999999998,-1.4,-2.6,-0.027000000000000003,-0.035,3.4,4.8,-0.009000000000000001,0.9,2.8,2.2,2.8,1.7,3.8,-4.6,-1.7,0.2,4.7,-0.5,"augmost01, brownpj01, davisba01, magloja01",4,2004,NOH
D. Armstrong | S. Augmon | P. Brown | J. Magloire NOH 2004,359.1666666666667,-4.1,-8.1,-5.2,-0.067,1.1,1.8,0.031,-0.059000000000000004,10.9,10.2,0.127,-0.5,-2.0,-2.1,-2.0,-1.1,-2.5,-4.1,0.5,0.5,0.2,-3.2,"armstda01, augmost01, brownpj01, magloja01",4,2004,NOH
P. Brown | B. Davis | J. Magloire | J. Mashburn NOH 2004,358.1666666666667,4.9,0.6,-0.3,0.008,2.4,4.4,0.037000000000000005,0.021,1.3,2.8,-0.040999999999999995,-0.4,0.4,1.6,0.4,0.4,0.8,-3.6,-0.3,-2.8,-0.8,-0.9,"brownpj01, davisba01, magloja01, mashbja01",4,2004,NOH
