lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
P. Brown | B. Davis | J. Magloire | J. Mashburn | D. Wesley NOH 2003,725.0166666666667,6.9,1.6,3.1,0.001,2.4,5.0,0.036000000000000004,0.013999999999999999,1.4,0.9,0.03,2.6,5.2,1.8,5.2,2.1,4.7,1.9,0.8,-2.2,-1.1,0.4,"brownpj01, davisba01, magloja01, mashbja01, wesleda01",5,2003,NOH
P. Brown | G. Lynch | J. Magloire | J. Mashburn | D. Wesley NOH 2003,349.73333333333335,10.4,2.3,3.5,0.008,0.8,3.7,-0.053,0.011000000000000001,5.1,5.5,0.036000000000000004,7.5,14.8,5.7,14.8,6.6,13.9,4.6,0.5,-0.3,1.2,-1.4,"brownpj01, lynchge01, magloja01, mashbja01, wesleda01",5,2003,NOH
C. Alexander | P. Brown | J. Magloire | J. Mashburn | D. Wesley NOH 2003,174.0,-8.2,-2.2,0.3,-0.026000000000000002,0.1,-0.1,0.013999999999999999,-0.026000000000000002,-3.8,-4.1,-0.024,-2.3,-1.5,3.1,-1.5,0.2,0.4,2.0,-2.0,1.1,2.1,1.4,"alexaco02, brownpj01, magloja01, mashbja01, wesleda01",5,2003,NOH
P. Brown | B. Davis | G. Lynch | J. Magloire | J. Mashburn NOH 2003,151.53333333333333,6.5,1.6,3.8,-0.002,2.9,4.2,0.077,0.012,0.5,1.2,-0.022000000000000002,8.3,15.5,4.5,15.5,6.3,13.9,4.1,-3.9,-0.3,3.8,0.2,"brownpj01, davisba01, lynchge01, magloja01, mashbja01",5,2003,NOH
S. Augmon | P. Brown | J. Magloire | J. Mashburn | D. Wesley NOH 2003,88.43333333333334,4.3,5.5,6.7,0.033,0.0,-6.7,0.131,0.03,-6.7,-12.9,0.158,0.0,1.2,2.5,1.2,1.2,2.6,4.9,-0.6,0.0,-3.7,3.4,"augmost01, brownpj01, magloja01, mashbja01, wesleda01",5,2003,NOH
P. Brown | J. Magloire | J. Mashburn | R. Pack | D. Wesley NOH 2003,86.81666666666666,-23.9,-14.1,-6.7,-0.122,2.5,3.1,0.073,-0.106,1.8,-0.6,0.094,0.6,-0.7,-2.5,-0.7,-0.9,-1.9,-5.5,-1.2,-3.1,8.0,3.4,"brownpj01, magloja01, mashbja01, packro01, wesleda01",5,2003,NOH
C. Alexander | P. Brown | B. Davis | J. Magloire | J. Mashburn NOH 2003,72.6,-10.5,-6.1,-10.8,-0.017,3.9,8.0,0.114,0.006999999999999999,-2.3,-0.5,-0.076,-2.5,0.2,6.2,0.2,2.2,4.7,0.7,-3.4,-0.9,5.8,-0.4,"alexaco02, brownpj01, davisba01, magloja01, mashbja01",5,2003,NOH
P. Brown | E. Campbell | B. Davis | J. Mashburn | D. Wesley NOH 2003,63.93333333333333,7.7,-1.8,-6.8,0.01,0.7,6.5,-0.054000000000000006,0.016,10.6,7.8,0.126,-5.7,-9.3,-2.6,-9.3,-4.4,-8.8,6.4,3.7,1.9,-5.6,-0.4,"brownpj01, campbel01, davisba01, mashbja01, wesleda01",5,2003,NOH
P. Brown | B. Davis | J. Mashburn | R. Traylor | D. Wesley NOH 2003,50.88333333333333,1.7,10.9,13.1,0.055,-2.8,-2.1,-0.122,0.035,-17.5,-13.8,-0.282,7.4,10.6,1.2,10.6,4.7,9.7,2.4,-0.4,-0.1,-0.3,1.0,"brownpj01, davisba01, mashbja01, traylro01, wesleda01",5,2003,NOH
S. Augmon | G. Lynch | J. Magloire | J. Mashburn | D. Wesley NOH 2003,50.63333333333333,16.6,5.6,-0.1,0.062,2.1,9.5,-0.111,0.07400000000000001,3.2,11.6,-0.263,1.2,5.3,5.9,5.3,3.6,7.5,9.6,2.0,2.0,-3.0,-5.2,"augmost01, lynchge01, magloja01, mashbja01, wesleda01",5,2003,NOH
B. Davis | G. Lynch | J. Magloire | J. Mashburn | D. Wesley NOH 2003,50.583333333333336,-2.0,-8.1,-6.1,-0.063,0.9,-0.4,0.053,-0.055,13.3,15.2,0.091,-0.3,0.0,0.8,0.0,0.0,0.0,3.8,6.5,-5.1,-0.3,-1.1,"davisba01, lynchge01, magloja01, mashbja01, wesleda01",5,2003,NOH
