lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
C. Childs | P. Ewing | A. Houston | L. Johnson | C. Oakley NYK 1997,916.25,4.1,2.8,-2.9,0.047,-0.1,-3.6,0.081,0.048,-1.4,-3.1,0.044000000000000004,-0.3,2.9,5.6,2.9,2.7,6.0,2.3,-2.5,2.0,3.2,1.5,"childch01, ewingpa01, houstal01, johnsla02, oaklech01",5,1997,NYK
P. Ewing | A. Houston | L. Johnson | C. Oakley | C. Ward NYK 1997,328.98333333333335,-1.7,3.9,1.1,0.04,-2.2,-0.8,-0.127,0.026000000000000002,-7.3,-7.9,-0.054000000000000006,-0.1,2.9,4.5,2.9,2.0,4.8,6.1,-0.1,2.0,1.0,1.1,"ewingpa01, houstal01, johnsla02, oaklech01, wardch01",5,1997,NYK
C. Childs | P. Ewing | L. Johnson | C. Oakley | J. Starks NYK 1997,135.36666666666667,7.4,2.6,4.7,0.005,0.6,2.2,-0.009000000000000001,0.006999999999999999,1.6,3.2,-0.017,4.9,9.9,2.1,9.9,3.9,9.3,5.8,-1.9,0.6,-1.7,1.1,"childch01, ewingpa01, johnsla02, oaklech01, starkjo01",5,1997,NYK
P. Ewing | L. Johnson | C. Oakley | J. Starks | C. Ward NYK 1997,122.98333333333333,7.4,-0.2,-7.7,0.038,-1.9,-7.7,-0.006999999999999999,0.027999999999999997,9.7,12.9,-0.002,-0.4,1.1,3.4,1.1,1.9,4.0,3.6,2.6,-1.4,0.4,-3.7,"ewingpa01, johnsla02, oaklech01, starkjo01, wardch01",5,1997,NYK
P. Ewing | A. Houston | J. Starks | C. Ward | B. Williams NYK 1997,115.86666666666666,-4.5,-3.8,-5.1,-0.018000000000000002,0.3,3.4,-0.061,-0.013999999999999999,2.4,2.2,0.023,-1.7,-4.7,-3.0,-4.7,-2.6,-6.2,-2.1,-1.0,3.6,0.8,-0.7,"ewingpa01, houstal01, starkjo01, wardch01, willibu01",5,1997,NYK
L. Johnson | C. Oakley | J. Starks | C. Ward | B. Williams NYK 1997,94.98333333333333,13.5,7.7,4.1,0.069,4.6,4.5,0.122,0.09300000000000001,-6.6,-11.2,0.067,0.7,3.3,3.5,3.3,2.8,6.6,6.5,-1.6,-2.5,0.9,4.5,"johnsla02, oaklech01, starkjo01, wardch01, willibu01",5,1997,NYK
C. Childs | P. Ewing | A. Houston | C. Oakley | J. Starks NYK 1997,86.81666666666666,5.3,2.2,-9.8,0.085,0.1,-5.3,0.11199999999999999,0.09,0.7,-2.6,0.065,0.4,6.1,11.3,6.1,4.8,11.0,4.6,-4.4,3.7,12.8,-1.1,"childch01, ewingpa01, houstal01, oaklech01, starkjo01",5,1997,NYK
C. Childs | P. Ewing | A. Houston | C. Oakley | J. Wallace NYK 1997,83.66666666666667,-24.7,-10.8,-12.7,-0.057,-4.8,-7.8,-0.10800000000000001,-0.08,1.8,-1.2,0.132,-3.0,-3.6,2.4,-3.6,-0.3,-0.8,-3.0,-4.2,4.8,9.6,1.5,"childch01, ewingpa01, houstal01, oaklech01, wallajo01",5,1997,NYK
C. Childs | A. Houston | L. Johnson | C. Oakley | B. Williams NYK 1997,78.48333333333333,2.9,-3.7,2.0,-0.053,-2.5,-3.0,-0.068,-0.068,12.8,14.1,0.153,9.9,19.5,4.0,19.5,6.6,15.8,-9.6,2.5,-2.8,0.1,-3.3,"childch01, houstal01, johnsla02, oaklech01, willibu01",5,1997,NYK
P. Ewing | J. Starks | J. Wallace | C. Ward | B. Williams NYK 1997,73.81666666666666,18.7,9.8,1.4,0.11,2.4,-2.7,0.17300000000000001,0.12300000000000001,-3.2,-7.8,0.106,-0.8,5.1,10.4,5.1,5.2,11.1,4.4,-1.9,8.6,1.4,2.4,"ewingpa01, starkjo01, wallajo01, wardch01, willibu01",5,1997,NYK
A. Houston | C. Oakley | J. Starks | C. Ward | B. Williams NYK 1997,72.05,-22.3,-1.2,-0.8,-0.011000000000000001,2.2,2.3,0.076,0.002,-21.3,-20.6,-0.141,0.1,-0.8,-1.7,-0.8,-0.7,-1.4,5.8,-3.6,1.4,7.3,5.0,"houstal01, oaklech01, starkjo01, wardch01, willibu01",5,1997,NYK
