lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
H. Hawkins | S. Kemp | G. Payton | D. Schrempf SEA 1997,1355.3166666666666,9.9,3.1,-0.3,0.038,-0.3,-0.6,-0.001,0.037000000000000005,3.9,5.6,-0.009000000000000001,0.3,1.7,1.9,1.7,1.1,2.5,2.3,1.1,0.3,-2.4,-2.1,"hawkihe01, kempsh01, paytoga01, schrede01",4,1997,SEA
H. Hawkins | S. Kemp | J. McIlvaine | G. Payton SEA 1997,1109.2666666666667,9.6,4.5,3.5,0.033,0.0,-0.6,0.011000000000000001,0.031,0.6,1.3,-0.013999999999999999,1.1,2.2,0.9,2.2,1.0,2.2,2.1,2.7,1.4,-3.4,-1.1,"hawkihe01, kempsh01, mcilvji01, paytoga01",4,1997,SEA
H. Hawkins | J. McIlvaine | G. Payton | D. Schrempf SEA 1997,889.3833333333333,10.3,3.6,2.0,0.031,-0.2,0.2,-0.013999999999999999,0.027999999999999997,3.3,4.9,-0.013000000000000001,1.2,2.4,1.0,2.4,1.1,2.4,2.4,1.7,2.1,-3.1,-2.1,"hawkihe01, mcilvji01, paytoga01, schrede01",4,1997,SEA
H. Hawkins | S. Kemp | J. McIlvaine | D. Schrempf SEA 1997,837.1333333333333,7.1,2.6,0.5,0.027000000000000003,-1.2,-1.1,-0.04,0.02,3.0,4.7,-0.018000000000000002,0.9,2.1,1.2,2.1,1.1,2.3,1.9,1.0,2.0,-1.9,-2.2,"hawkihe01, kempsh01, mcilvji01, schrede01",4,1997,SEA
S. Kemp | J. McIlvaine | G. Payton | D. Schrempf SEA 1997,827.5833333333334,8.4,3.2,0.6,0.033,-1.0,-1.5,-0.022000000000000002,0.027000000000000003,3.1,4.8,-0.019,1.0,2.5,1.7,2.5,1.4,2.9,1.9,1.3,2.2,-2.0,-2.0,"kempsh01, mcilvji01, paytoga01, schrede01",4,1997,SEA
H. Hawkins | G. Payton | S. Perkins | D. Schrempf SEA 1997,587.6,20.1,5.6,-2.5,0.085,1.7,2.7,0.033,0.09699999999999999,6.4,7.1,0.03,-1.8,0.1,4.7,0.1,1.5,3.7,2.5,1.2,-0.8,-3.8,-1.5,"hawkihe01, paytoga01, perkisa01, schrede01",4,1997,SEA
H. Hawkins | S. Kemp | G. Payton | S. Perkins SEA 1997,581.8833333333333,12.5,2.8,-4.2,0.059000000000000004,-0.8,-1.5,-0.01,0.057,7.4,10.0,-0.006999999999999999,-1.3,0.4,3.8,0.4,1.1,2.8,1.1,1.2,-1.1,-2.7,-2.1,"hawkihe01, kempsh01, paytoga01, perkisa01",4,1997,SEA
S. Kemp | G. Payton | S. Perkins | D. Schrempf SEA 1997,466.8833333333333,13.2,2.1,-5.8,0.061,1.2,0.6,0.044000000000000004,0.07200000000000001,7.4,10.0,-0.006,-2.0,-0.7,4.0,-0.7,0.9,2.4,1.2,0.6,-1.2,-1.9,-1.8,"kempsh01, paytoga01, perkisa01, schrede01",4,1997,SEA
H. Hawkins | S. Kemp | S. Perkins | D. Schrempf SEA 1997,417.25,16.0,2.9,-5.4,0.069,1.5,0.8,0.054000000000000006,0.083,8.1,10.1,0.009000000000000001,-1.7,0.8,5.0,0.8,1.6,4.1,1.3,0.4,-1.3,-2.1,-2.0,"hawkihe01, kempsh01, perkisa01, schrede01",4,1997,SEA
H. Hawkins | S. Kemp | G. Payton | L. Stewart SEA 1997,358.7,13.2,9.4,8.7,0.062,0.6,-3.3,0.09300000000000001,0.06,-6.2,-5.7,-0.08800000000000001,2.1,3.9,1.1,3.9,1.8,4.1,3.6,4.9,-1.2,-4.7,2.8,"hawkihe01, kempsh01, paytoga01, stewala01",4,1997,SEA
H. Hawkins | J. McIlvaine | G. Payton | L. Stewart SEA 1997,292.78333333333336,13.0,7.8,8.5,0.045,2.5,-0.4,0.127,0.054000000000000006,-4.9,-6.4,-0.013999999999999999,2.2,4.2,1.3,4.2,1.9,4.1,3.1,4.8,-0.8,-4.7,2.6,"hawkihe01, mcilvji01, paytoga01, stewala01",4,1997,SEA
S. Kemp | J. McIlvaine | G. Payton | L. Stewart SEA 1997,259.4,15.2,9.3,8.9,0.06,2.7,-1.2,0.154,0.07,-6.0,-7.1,-0.042,0.9,1.8,0.5,1.8,0.9,2.1,3.2,6.1,-0.8,-5.9,3.1,"kempsh01, mcilvji01, paytoga01, stewala01",4,1997,SEA
H. Hawkins | S. Kemp | J. McIlvaine | L. Stewart SEA 1997,258.4166666666667,14.3,8.8,7.4,0.062,2.9,-0.8,0.16,0.07400000000000001,-6.2,-7.6,-0.034,0.0,0.2,0.3,0.2,0.4,0.9,3.8,5.2,-0.8,-5.4,3.5,"hawkihe01, kempsh01, mcilvji01, stewala01",4,1997,SEA
