lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Coleman | A. Iverson | J. Stackhouse | C. Weatherspoon PHI 1997,1159.6833333333334,-4.4,-3.4,-3.0,-0.024,-2.0,-3.6,-0.044000000000000004,-0.034,4.4,7.0,-0.031,4.1,6.8,1.2,6.8,2.6,5.6,-3.7,-1.9,-0.4,3.5,-2.3,"colemde01, iversal01, stackje01, weathcl01",4,1997,PHI
A. Iverson | J. Stackhouse | C. Weatherspoon | S. Williams PHI 1997,844.7166666666667,-2.0,-2.3,-3.8,-0.006999999999999999,-2.7,-4.7,-0.055999999999999994,-0.021,5.3,7.0,0.008,3.5,7.2,2.9,7.2,3.2,6.9,-4.0,-2.5,-0.6,3.9,-2.5,"iversal01, stackje01, weathcl01, willisc01",4,1997,PHI
D. Coleman | J. Stackhouse | C. Weatherspoon | S. Williams PHI 1997,820.1333333333333,-2.9,-3.0,-4.2,-0.012,-2.2,-3.8,-0.05,-0.023,5.2,7.1,-0.005,3.8,8.1,3.6,8.1,3.6,7.8,-4.7,-2.5,0.1,4.8,-2.5,"colemde01, stackje01, weathcl01, willisc01",4,1997,PHI
D. Coleman | A. Iverson | J. Stackhouse | S. Williams PHI 1997,797.2333333333333,-3.4,-2.5,-2.4,-0.016,-1.7,-3.0,-0.037000000000000005,-0.024,3.3,5.1,-0.024,4.0,8.0,3.0,8.0,3.4,7.4,-3.6,-2.2,-0.7,4.0,-2.1,"colemde01, iversal01, stackje01, willisc01",4,1997,PHI
D. Coleman | A. Iverson | C. Weatherspoon | S. Williams PHI 1997,732.15,-2.2,-2.5,-3.4,-0.012,-2.1,-4.3,-0.034,-0.023,5.1,6.5,0.008,4.0,8.3,3.7,8.3,3.7,7.9,-4.0,-2.4,-0.1,4.2,-2.6,"colemde01, iversal01, weathcl01, willisc01",4,1997,PHI
M. Cage | A. Iverson | J. Stackhouse | C. Weatherspoon PHI 1997,603.8333333333334,-17.6,-10.6,-4.2,-0.096,-1.3,-1.5,-0.040999999999999995,-0.102,4.9,7.2,-0.015,1.6,-1.8,-5.4,-1.8,-1.9,-4.1,-7.4,-3.2,-3.3,2.2,-2.7,"cagemi01, iversal01, stackje01, weathcl01",4,1997,PHI
M. Davis | A. Iverson | J. Stackhouse | C. Weatherspoon PHI 1997,560.7166666666667,-12.1,-4.8,-5.1,-0.027999999999999997,-2.5,-3.4,-0.07400000000000001,-0.04,0.0,2.2,-0.054000000000000006,-2.0,-5.6,-3.7,-5.6,-2.7,-5.9,-3.6,-3.1,-2.9,2.8,-1.3,"davisma02, iversal01, stackje01, weathcl01",4,1997,PHI
D. Coleman | M. Davis | A. Iverson | J. Stackhouse PHI 1997,329.73333333333335,-11.6,-4.9,-3.8,-0.038,0.4,1.2,0.002,-0.034,-2.2,-1.7,-0.027999999999999997,-1.4,-4.2,-2.6,-4.2,-2.0,-4.6,-2.2,-2.1,-1.3,3.1,-0.1,"colemde01, davisma02, iversal01, stackje01",4,1997,PHI
A. Iverson | J. Stackhouse | R. Walters | C. Weatherspoon PHI 1997,296.46666666666664,-12.5,-4.7,-5.7,-0.024,-1.7,-0.5,-0.08,-0.031,-1.3,-0.3,-0.039,-2.7,-3.8,0.4,-3.8,-1.2,-2.7,-6.8,-1.6,-1.8,3.2,-0.7,"iversal01, stackje01, waltere01, weathcl01",4,1997,PHI
M. Cage | M. Davis | A. Iverson | J. Stackhouse PHI 1997,277.73333333333335,-16.2,-9.0,-6.0,-0.073,0.0,-2.0,0.035,-0.071,1.8,6.1,-0.10300000000000001,-2.1,-8.9,-7.5,-8.9,-4.8,-10.8,-6.4,-2.7,-3.5,0.9,-3.9,"cagemi01, davisma02, iversal01, stackje01",4,1997,PHI
M. Cage | M. Davis | A. Iverson | C. Weatherspoon PHI 1997,261.3333333333333,-23.9,-10.9,-2.6,-0.107,-2.2,-3.4,-0.059000000000000004,-0.11900000000000001,0.1,4.5,-0.131,1.2,-4.0,-7.7,-4.0,-3.2,-6.8,-7.5,-2.4,-4.8,2.0,-3.9,"cagemi01, davisma02, iversal01, weathcl01",4,1997,PHI
