lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
R. Chapman | K. Johnson | J. Kidd | H. Williams PHO 1997,404.03333333333336,10.2,-0.2,-3.9,0.019,3.7,8.0,0.031,0.042,6.9,7.7,0.049,-4.0,-7.5,-1.4,-7.5,-2.4,-5.6,4.4,-0.4,2.0,-3.3,-4.2,"chapmre01, johnske02, kiddja01, williho01",4,1997,PHO
C. Ceballos | K. Johnson | W. Person | H. Williams PHO 1997,358.71666666666664,2.9,-2.6,-0.7,-0.026000000000000002,-2.3,-3.3,-0.068,-0.038,10.4,12.0,0.051,2.3,5.1,2.4,5.1,2.5,5.4,-1.9,2.0,-3.7,-2.9,-3.1,"cebalce01, johnske02, persowe01, williho01",4,1997,PHO
R. Chapman | K. Johnson | D. Manning | H. Williams PHO 1997,355.9,5.7,-1.7,-7.7,0.023,1.6,1.4,0.048,0.036000000000000004,7.5,7.9,0.053,-4.1,-5.5,1.4,-5.5,-1.2,-2.8,2.1,-1.0,-0.1,-0.1,-3.9,"chapmre01, johnske02, mannida01, williho01",4,1997,PHO
K. Johnson | D. Manning | W. Person | H. Williams PHO 1997,306.98333333333335,5.1,1.0,-0.1,0.013000000000000001,-2.0,0.2,-0.11699999999999999,0.001,5.0,6.3,0.006999999999999999,0.4,1.4,1.3,1.4,1.1,2.5,1.1,0.5,1.8,-1.9,-1.9,"johnske02, mannida01, persowe01, williho01",4,1997,PHO
M. Finley | K. Johnson | W. Person | H. Williams PHO 1997,266.73333333333335,-4.6,-4.1,-6.3,-0.013000000000000001,0.2,-0.6,0.034,-0.01,3.4,6.3,-0.064,-0.8,-1.8,-1.1,-1.8,-1.0,-2.0,1.1,-1.3,-2.3,3.1,-1.4,"finlemi01, johnske02, persowe01, williho01",4,1997,PHO
A. Green | K. Johnson | W. Person | H. Williams PHO 1997,245.83333333333334,-6.6,-5.2,-7.6,-0.018000000000000002,-0.1,-1.2,0.037000000000000005,-0.016,4.0,6.8,-0.055999999999999994,-1.6,-3.1,-0.9,-3.1,-1.5,-3.1,1.1,-1.2,-3.3,3.6,-1.9,"greenac01, johnske02, persowe01, williho01",4,1997,PHO
M. Finley | A. Green | K. Johnson | W. Person PHO 1997,244.41666666666666,-4.7,-4.4,-6.4,-0.015,0.8,-0.5,0.084,-0.009000000000000001,3.4,5.3,-0.015,-1.4,-2.3,-0.3,-2.3,-0.9,-2.0,2.0,-1.6,-3.3,3.7,-1.2,"finlemi01, greenac01, johnske02, persowe01",4,1997,PHO
M. Finley | A. Green | K. Johnson | H. Williams PHO 1997,243.01666666666668,-5.1,-4.4,-6.7,-0.013999999999999999,0.6,-1.1,0.086,-0.009000000000000001,3.2,5.7,-0.051,-1.7,-3.2,-1.1,-3.2,-1.4,-2.9,1.9,-1.3,-2.7,3.4,-1.6,"finlemi01, greenac01, johnske02, williho01",4,1997,PHO
K. Johnson | J. Kidd | D. Manning | H. Williams PHO 1997,241.13333333333333,15.8,1.7,-9.2,0.073,1.6,0.6,0.063,0.08800000000000001,10.8,10.0,0.11800000000000001,-5.2,-7.1,2.9,-7.1,-0.7,-1.8,4.4,0.4,3.2,-0.9,-3.9,"johnske02, kiddja01, mannida01, williho01",4,1997,PHO
M. Finley | A. Green | W. Person | H. Williams PHO 1997,240.5,-5.8,-5.1,-7.2,-0.018000000000000002,0.6,-0.1,0.054000000000000006,-0.013000000000000001,3.7,6.1,-0.034,-1.2,-2.1,-0.6,-2.1,-1.0,-2.0,1.7,-1.9,-3.0,4.0,-1.8,"finlemi01, greenac01, persowe01, williho01",4,1997,PHO
R. Chapman | K. Johnson | W. Tisdale | H. Williams PHO 1997,218.0,2.7,-2.0,-5.7,0.009000000000000001,1.9,0.6,0.086,0.021,4.8,5.4,0.033,-3.7,-8.2,-3.4,-8.2,-3.2,-7.3,6.2,-2.1,0.1,-0.6,-3.7,"chapmre01, johnske02, tisdawa01, williho01",4,1997,PHO
