lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
M. Finley | A. Green | K. Johnson | W. Person | H. Williams PHO 1997,235.01666666666668,-6.0,-5.2,-7.6,-0.018000000000000002,0.6,-0.3,0.063,-0.012,3.8,6.4,-0.045,-1.4,-2.5,-0.6,-2.5,-1.1,-2.3,1.5,-1.7,-3.0,4.1,-1.8,"finlemi01, greenac01, johnske02, persowe01, williho01",5,1997,PHO
C. Ceballos | K. Johnson | L. Meyer | W. Person | H. Williams PHO 1997,165.95,0.0,-4.4,-2.3,-0.038,-2.7,-4.6,-0.08,-0.052000000000000005,11.6,14.9,0.001,1.7,2.0,-1.3,2.0,0.2,0.3,1.0,0.9,-6.6,-2.8,-3.8,"cebalce01, johnske02, meyerlo01, persowe01, williho01",5,1997,PHO
R. Chapman | K. Johnson | J. Kidd | W. Tisdale | H. Williams PHO 1997,154.98333333333332,6.1,-2.1,-7.4,0.016,5.1,6.6,0.134,0.047,5.2,7.3,-0.005,-4.4,-8.8,-2.3,-8.8,-3.1,-7.2,5.5,-3.4,1.2,-0.8,-4.3,"chapmre01, johnske02, kiddja01, tisdawa01, williho01",5,1997,PHO
R. Chapman | K. Johnson | J. Kidd | D. Manning | H. Williams PHO 1997,119.1,13.2,1.4,-6.2,0.053,4.3,5.0,0.094,0.08199999999999999,6.2,2.7,0.142,-6.6,-11.7,-0.2,-11.7,-3.0,-7.1,4.9,1.6,2.8,-1.9,-3.6,"chapmre01, johnske02, kiddja01, mannida01, williho01",5,1997,PHO
R. Chapman | K. Johnson | D. Manning | W. Person | H. Williams PHO 1997,75.78333333333333,8.3,4.9,-4.9,0.084,2.1,6.3,-0.043,0.099,-3.5,-3.5,-0.027999999999999997,-7.6,-14.6,-1.4,-14.6,-4.5,-11.1,7.6,-2.1,2.8,0.7,-2.1,"chapmre01, johnske02, mannida01, persowe01, williho01",5,1997,PHO
M. Bryant | C. Ceballos | K. Johnson | W. Person | H. Williams PHO 1997,72.7,-15.3,-9.5,3.6,-0.124,-2.2,-1.5,-0.128,-0.13699999999999998,5.8,9.5,-0.077,8.0,11.3,-1.5,11.3,3.3,7.3,-13.1,2.2,-5.1,-2.2,-3.6,"bryanma01, cebalce01, johnske02, persowe01, williho01",5,1997,PHO
K. Johnson | J. Kidd | D. Manning | W. Person | H. Williams PHO 1997,71.36666666666666,3.5,-6.7,-10.6,-0.019,-0.1,4.1,-0.071,-0.013999999999999999,16.9,21.2,0.022000000000000002,-1.5,-2.0,0.9,-2.0,-0.4,-0.8,-2.3,-2.1,1.5,-1.5,-5.7,"johnske02, kiddja01, mannida01, persowe01, williho01",5,1997,PHO
M. Bryant | S. Cassell | R. Chapman | R. Horry | D. Manning PHO 1997,69.41666666666667,8.6,1.7,9.5,-0.037000000000000005,-4.4,-4.3,-0.214,-0.069,5.1,6.0,0.027000000000000003,11.7,23.0,2.4,23.0,7.2,18.4,4.3,-1.7,-3.1,1.2,1.1,"bryanma01, cassesa01, chapmre01, horryro01, mannida01",5,1997,PHO
M. Bryant | C. Ceballos | K. Johnson | D. Manning | W. Person PHO 1997,69.23333333333333,11.1,9.2,18.1,0.006999999999999999,3.6,7.6,0.049,0.019,-10.9,-11.0,-0.07200000000000001,10.2,17.2,1.7,17.2,5.8,14.6,7.5,2.7,2.5,-2.9,1.5,"bryanma01, cebalce01, johnske02, mannida01, persowe01",5,1997,PHO
C. Ceballos | R. Chapman | K. Johnson | D. Manning | H. Williams PHO 1997,67.61666666666666,1.2,-7.0,-3.6,-0.055999999999999994,2.8,2.6,0.08900000000000001,-0.039,12.4,13.8,0.053,2.7,3.3,-0.8,3.3,0.7,1.6,-2.1,1.7,-2.8,-0.3,-2.6,"cebalce01, chapmre01, johnske02, mannida01, williho01",5,1997,PHO
S. Cassell | R. Horry | J. Kleine | D. Manning | W. Person PHO 1997,61.983333333333334,-16.5,-3.2,-4.6,-0.013000000000000001,-6.8,-8.7,-0.213,-0.052000000000000005,-3.3,-7.8,0.14,-3.4,-7.5,-2.7,-7.5,-2.7,-6.4,-2.9,-5.9,-1.8,4.7,1.6,"cassesa01, horryro01, kleinjo01, mannida01, persowe01",5,1997,PHO
R. Chapman | K. Johnson | J. Kidd | W. Person | H. Williams PHO 1997,59.0,17.5,1.2,8.5,-0.032,3.5,17.5,-0.111,-0.017,11.5,12.4,0.064,2.7,-0.6,-6.3,-0.6,-1.7,-3.8,0.2,2.5,1.7,-6.8,-4.8,"chapmre01, johnske02, kiddja01, persowe01, williho01",5,1997,PHO
M. Bryant | C. Ceballos | K. Johnson | J. Kidd | H. Williams PHO 1997,58.18333333333333,1.0,0.0,-14.4,0.07400000000000001,1.9,-3.8,0.225,0.09300000000000001,-1.0,-3.8,0.14400000000000002,-12.5,-14.7,3.8,-14.7,-4.3,-9.7,3.8,-4.8,-1.9,2.9,2.9,"bryanma01, cebalce01, johnske02, kiddja01, williho01",5,1997,PHO
M. Bryant | R. Chapman | R. Horry | K. Johnson | H. Williams PHO 1997,53.53333333333333,18.4,6.4,-6.7,0.115,-0.1,4.7,-0.147,0.11699999999999999,5.7,6.6,0.015,-5.0,-4.9,7.1,-4.9,1.0,2.3,2.7,0.1,3.9,0.8,-3.9,"bryanma01, chapmre01, horryro01, johnske02, williho01",5,1997,PHO
C. Ceballos | K. Johnson | D. Manning | W. Person | H. Williams PHO 1997,49.833333333333336,10.3,4.8,7.1,0.018000000000000002,-3.6,-3.2,-0.171,-0.006,4.3,-0.3,0.183,3.8,11.7,9.6,11.7,7.5,16.5,-2.1,4.3,0.8,-3.1,3.0,"cebalce01, johnske02, mannida01, persowe01, williho01",5,1997,PHO
M. Bryant | C. Ceballos | K. Johnson | W. Person | W. Tisdale PHO 1997,42.35,2.8,1.1,0.4,0.011000000000000001,2.6,3.6,0.087,0.026000000000000002,-2.0,-8.9,0.207,-1.7,-3.3,-0.4,-3.3,-0.6,-1.5,1.4,-1.6,-0.1,0.7,2.3,"bryanma01, cebalce01, johnske02, persowe01, tisdawa01",5,1997,PHO
C. Ceballos | R. Chapman | K. Johnson | W. Tisdale | H. Williams PHO 1997,39.11666666666667,-17.2,-4.1,1.2,-0.051,-8.0,-13.3,-0.063,-0.095,-1.0,-3.6,0.08199999999999999,0.3,-6.4,-10.4,-6.4,-4.8,-11.1,5.2,2.5,-2.9,0.3,-1.4,"cebalce01, chapmre01, johnske02, tisdawa01, williho01",5,1997,PHO
M. Bryant | R. Chapman | K. Johnson | D. Manning | W. Person PHO 1997,35.3,28.6,18.1,7.5,0.17600000000000002,-0.1,1.1,-0.024,0.171,-7.5,-0.4,-0.23800000000000002,-10.2,-19.6,-1.1,-19.6,-5.8,-15.4,12.6,11.7,2.9,-16.1,0.7,"bryanma01, chapmre01, johnske02, mannida01, persowe01",5,1997,PHO
M. Bryant | R. Chapman | K. Johnson | D. Manning | H. Williams PHO 1997,34.166666666666664,-8.7,-9.0,-13.8,-0.03,1.2,-2.4,0.16699999999999998,-0.019,8.0,20.3,-0.308,3.6,18.7,14.3,18.7,8.7,20.0,-7.9,-4.0,-7.7,3.9,-11.9,"bryanma01, chapmre01, johnske02, mannida01, williho01",5,1997,PHO
C. Ceballos | K. Johnson | J. Kidd | L. Meyer | H. Williams PHO 1997,33.53333333333333,-3.9,-7.3,-3.2,-0.067,-1.2,-6.5,0.10800000000000001,-0.07200000000000001,11.8,7.7,0.233,3.2,7.6,3.4,7.6,3.5,8.2,0.7,1.2,-4.3,3.3,-0.7,"cebalce01, johnske02, kiddja01, meyerlo01, williho01",5,1997,PHO
M. Bryant | R. Chapman | J. Kidd | A. McDyess | C. Robinson PHO 1998,280.5,9.5,1.0,0.0,0.011000000000000001,2.6,2.4,0.138,0.025,5.0,2.7,0.17,-2.0,-1.3,3.0,-1.3,0.3,0.7,3.7,2.3,2.1,-2.9,-0.5,"bryanma01, chapmre01, kiddja01, mcdyean01, robincl02",5,1998,PHO
R. Chapman | J. Kidd | A. McDyess | C. Robinson | H. Williams PHO 1998,199.31666666666666,-1.0,0.2,-3.0,0.016,-1.4,-1.5,-0.062,0.009000000000000001,0.0,-0.9,0.04,-4.6,-7.3,-1.4,-7.3,-2.8,-5.4,0.4,1.1,3.5,-1.6,-3.3,"chapmre01, kiddja01, mcdyean01, robincl02, williho01",5,1998,PHO
R. Chapman | J. Kidd | D. Manning | A. McDyess | C. Robinson PHO 1998,123.61666666666666,4.7,1.7,1.9,0.01,-0.4,-0.7,-0.011000000000000001,0.006999999999999999,1.6,1.3,0.027000000000000003,3.2,8.5,3.4,8.5,3.3,8.7,2.5,2.7,1.6,0.1,0.8,"chapmre01, kiddja01, mannida01, mcdyean01, robincl02",5,1998,PHO
R. Chapman | K. Johnson | J. Kidd | A. McDyess | C. Robinson PHO 1998,114.0,-5.6,-2.8,0.7,-0.035,-4.2,-4.4,-0.16,-0.059000000000000004,4.1,4.8,0.024,-1.2,-4.1,-3.3,-4.1,-2.5,-5.5,1.2,4.2,-3.0,-4.8,-1.3,"chapmre01, johnske02, kiddja01, mcdyean01, robincl02",5,1998,PHO
C. Ceballos | R. Chapman | J. Kidd | A. McDyess | C. Robinson PHO 1998,109.08333333333333,3.0,3.8,-2.2,0.054000000000000006,-0.5,3.2,-0.138,0.051,-4.1,-2.3,-0.114,-3.1,-2.4,2.9,-2.4,-0.2,-0.5,12.2,-6.1,5.4,2.2,-2.9,"cebalce01, chapmre01, kiddja01, mcdyean01, robincl02",5,1998,PHO
J. Kidd | D. Manning | A. McDyess | S. Nash | C. Robinson PHO 1998,67.96666666666667,1.7,1.3,-0.4,0.016,-4.9,-2.1,-0.24,-0.012,4.0,2.3,0.083,1.8,2.7,0.2,2.7,0.8,1.6,7.9,1.9,5.0,0.2,-2.7,"kiddja01, mannida01, mcdyean01, nashst01, robincl02",5,1998,PHO
R. Chapman | J. Kidd | G. McCloud | A. McDyess | C. Robinson PHO 1998,64.1,-15.5,-6.9,-4.2,-0.057999999999999996,2.3,-0.4,0.17600000000000002,-0.043,-3.9,-4.1,-0.023,-6.0,-15.9,-7.1,-15.9,-6.8,-17.2,-0.1,-1.2,3.3,1.9,-2.8,"chapmre01, kiddja01, mccloge01, mcdyean01, robincl02",5,1998,PHO
R. Chapman | J. Kidd | G. McCloud | A. McDyess | H. Williams PHO 1998,59.516666666666666,7.0,0.2,12.7,-0.068,9.7,16.9,0.16699999999999998,-0.019,-3.2,-3.1,-0.054000000000000006,2.9,-3.6,-12.0,-3.6,-4.3,-10.2,12.8,2.2,2.5,-6.4,-3.9,"chapmre01, kiddja01, mccloge01, mcdyean01, williho01",5,1998,PHO
R. Chapman | J. Kidd | D. Manning | A. McDyess | H. Williams PHO 1998,56.65,-19.1,-10.0,-13.6,-0.049,-3.6,0.0,-0.28600000000000003,-0.067,4.5,5.5,0.036000000000000004,-8.2,-10.0,5.5,-10.0,-1.4,-2.9,-6.4,-0.9,6.4,1.8,0.0,"chapmre01, kiddja01, mannida01, mcdyean01, williho01",5,1998,PHO
M. Bryant | R. Chapman | J. Kidd | D. Manning | C. Robinson PHO 1998,48.31666666666667,0.0,0.0,12.8,-0.059000000000000004,-1.1,3.2,-0.135,-0.068,1.1,5.3,-0.073,11.7,11.2,-7.4,11.2,2.1,4.0,-2.1,-2.1,-5.3,-3.2,-2.1,"bryanma01, chapmre01, kiddja01, mannida01, robincl02",5,1998,PHO
J. Kidd | D. Manning | A. McDyess | S. Nash | H. Williams PHO 1998,46.43333333333333,29.6,12.7,-13.2,0.18600000000000003,1.7,2.4,0.053,0.198,2.6,4.1,-0.043,-6.6,-3.5,9.1,-3.5,2.3,4.1,9.1,-7.8,3.9,8.1,-4.7,"kiddja01, mannida01, mcdyean01, nashst01, williho01",5,1998,PHO
K. Johnson | J. Kidd | A. McDyess | C. Robinson | H. Williams PHO 1998,44.75,9.8,0.7,-13.5,0.083,1.2,-1.4,0.136,0.094,7.3,8.5,-0.02,-5.1,-4.6,6.6,-4.6,0.6,1.6,7.0,-4.9,1.3,4.8,-4.3,"johnske02, kiddja01, mcdyean01, robincl02, williho01",5,1998,PHO
J. Kidd | G. McCloud | A. McDyess | S. Nash | C. Robinson PHO 1998,44.71666666666667,7.1,9.5,22.6,-0.013000000000000001,-6.0,3.6,-0.433,-0.053,-6.0,-11.9,0.11699999999999999,11.9,15.5,-4.8,15.5,3.6,8.8,17.9,-1.2,-2.4,-4.8,0.0,"kiddja01, mccloge01, mcdyean01, nashst01, robincl02",5,1998,PHO
R. Chapman | J. Kidd | A. McDyess | S. Nash | C. Robinson PHO 1998,44.31666666666667,-14.8,-3.5,18.6,-0.124,6.3,23.8,-0.048,-0.09699999999999999,-14.1,-11.3,-0.20199999999999999,2.6,-9.7,-13.5,-9.7,-5.3,-10.6,4.9,6.5,-4.0,-9.7,7.1,"chapmre01, kiddja01, mcdyean01, nashst01, robincl02",5,1998,PHO
C. Ceballos | R. Chapman | J. Kidd | A. McDyess | H. Williams PHO 1998,42.38333333333333,3.5,-2.2,2.2,-0.037000000000000005,-7.2,-7.8,-0.2,-0.078,15.0,27.3,-0.18100000000000002,2.8,4.3,-0.4,4.3,0.6,1.5,-9.2,7.1,3.0,-12.6,-6.5,"cebalce01, chapmre01, kiddja01, mcdyean01, williho01",5,1998,PHO
R. Chapman | J. Kidd | D. Manning | G. McCloud | H. Williams PHO 1998,38.93333333333333,25.3,18.4,29.4,0.091,2.8,12.6,0.045,0.102,-14.4,-16.9,-0.064,9.8,15.7,4.3,15.7,7.4,13.9,8.6,6.6,-2.8,-7.7,-3.4,"chapmre01, kiddja01, mannida01, mccloge01, williho01",5,1998,PHO
