lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
K. Anderson | I. Rider | C. Robinson | A. Sabonis | R. Wallace POR 1997,681.55,5.6,2.1,-1.9,0.035,1.1,4.7,-0.043,0.042,-0.3,2.6,-0.087,-0.5,1.0,3.0,1.0,1.0,2.3,1.3,-0.3,0.4,0.5,-0.2,"anderke01, rideris01, robincl02, sabonar01, wallara01",5,1997,POR
K. Anderson | C. Dudley | I. Rider | C. Robinson | G. Trent POR 1997,318.75,-10.9,-4.1,0.4,-0.049,1.3,2.9,0.01,-0.040999999999999995,-4.0,-2.9,-0.073,4.1,6.8,-0.1,6.8,2.0,4.7,-6.0,-3.4,-1.9,5.2,-0.6,"anderke01, dudlech02, rideris01, robincl02, trentga01",5,1997,POR
K. Anderson | I. Rider | C. Robinson | A. Sabonis | G. Trent POR 1997,267.73333333333335,11.7,5.7,1.7,0.055,2.2,1.4,0.095,0.067,-1.9,-5.6,0.083,-0.8,2.6,5.2,2.6,2.1,4.9,4.1,0.5,-0.8,-0.4,1.9,"anderke01, rideris01, robincl02, sabonar01, trentga01",5,1997,POR
K. Anderson | C. Dudley | I. Rider | C. Robinson | R. Wallace POR 1997,204.0,-0.3,0.2,7.6,-0.034,0.2,6.0,-0.087,-0.035,-1.0,4.9,-0.156,8.8,11.7,-0.6,11.7,4.5,9.1,0.1,1.5,2.4,-0.9,3.4,"anderke01, dudlech02, rideris01, robincl02, wallara01",5,1997,POR
K. Anderson | A. McKie | C. Robinson | A. Sabonis | R. Wallace POR 1997,110.18333333333334,18.3,4.6,-0.2,0.055,2.1,6.2,0.0,0.067,7.0,10.3,-0.019,1.7,6.0,6.0,6.0,3.3,6.9,1.6,3.2,3.2,-4.1,-3.5,"anderke01, mckieaa01, robincl02, sabonar01, wallara01",5,1997,POR
K. Anderson | S. Augmon | C. Robinson | A. Sabonis | R. Wallace POR 1997,97.51666666666667,12.9,2.7,0.2,0.032,3.3,3.5,0.147,0.052000000000000005,4.1,5.3,0.006999999999999999,0.2,-0.3,-1.1,-0.3,-0.3,-0.6,1.4,2.0,4.2,-2.4,-1.1,"anderke01, augmost01, robincl02, sabonar01, wallara01",5,1997,POR
K. Anderson | C. Dudley | A. McKie | C. Robinson | G. Trent POR 1997,84.0,0.7,4.4,7.4,0.017,3.5,11.2,0.021,0.035,-11.5,-12.5,-0.069,1.9,4.4,2.3,4.4,2.3,4.9,1.8,2.4,3.7,-1.4,3.0,"anderke01, dudlech02, mckieaa01, robincl02, trentga01",5,1997,POR
K. Anderson | I. Rider | C. Robinson | G. Trent | R. Wallace POR 1997,83.53333333333333,10.3,8.0,9.1,0.05,0.7,-0.3,0.057999999999999996,0.051,-6.6,-8.1,-0.012,5.0,8.8,-0.8,8.8,2.4,5.6,-3.7,2.2,1.6,-1.4,0.0,"anderke01, rideris01, robincl02, trentga01, wallara01",5,1997,POR
K. Anderson | S. Augmon | C. Dudley | C. Robinson | G. Trent POR 1997,63.96666666666667,12.5,4.1,0.1,0.05,-3.6,-7.4,-0.055,0.027999999999999997,7.9,17.3,-0.196,1.2,4.4,5.0,4.4,2.4,5.5,-1.0,5.4,1.1,-7.2,-5.7,"anderke01, augmost01, dudlech02, robincl02, trentga01",5,1997,POR
K. Anderson | C. Dudley | A. McKie | C. Robinson | R. Wallace POR 1997,51.63333333333333,17.5,9.8,3.8,0.098,1.9,2.6,0.04,0.107,-4.1,-4.4,-0.03,2.8,10.9,12.1,10.9,7.1,14.3,8.1,-0.9,-1.9,1.8,1.1,"anderke01, dudlech02, mckieaa01, robincl02, wallara01",5,1997,POR
K. Anderson | S. Augmon | C. Dudley | G. Trent | R. Wallace POR 1997,44.75,31.5,14.6,1.7,0.16899999999999998,-0.4,-14.0,0.349,0.166,-4.2,-0.2,-0.146,5.9,22.7,13.8,22.7,9.2,25.0,6.0,-2.2,-0.8,4.1,-5.7,"anderke01, augmost01, dudlech02, trentga01, wallara01",5,1997,POR
K. Anderson | A. McKie | C. Robinson | A. Sabonis | G. Trent POR 1997,43.083333333333336,-17.9,-4.8,2.4,-0.07400000000000001,-3.6,0.0,-0.17600000000000002,-0.09699999999999999,-4.8,-9.5,0.12,-1.2,-3.9,-2.4,-3.9,-1.8,-4.8,2.4,-2.4,-2.4,1.2,5.4,"anderke01, mckieaa01, robincl02, sabonar01, trentga01",5,1997,POR
K. Anderson | C. Dudley | I. Rider | C. Robinson | D. Wingfield POR 1997,42.7,5.0,-0.8,11.9,-0.077,1.3,2.7,0.017,-0.077,5.2,3.0,0.07400000000000001,7.4,9.2,-2.8,9.2,2.4,5.1,-5.8,2.4,-2.5,-4.7,0.0,"anderke01, dudlech02, rideris01, robincl02, wingfdo01",5,1997,POR
K. Anderson | C. Dudley | I. Rider | C. Robinson | A. Sabonis POR 1997,41.55,11.6,-0.4,-7.0,0.04,-3.4,7.8,-0.36700000000000005,0.021,15.7,18.2,0.061,3.8,8.8,2.8,8.8,3.8,9.7,2.0,-3.1,1.1,1.4,2.5,"anderke01, dudlech02, rideris01, robincl02, sabonar01",5,1997,POR
K. Anderson | S. Augmon | C. Dudley | C. Robinson | R. Wallace POR 1997,36.21666666666667,53.7,21.1,8.9,0.21,5.0,1.9,0.2,0.235,6.5,13.0,-0.064,5.0,18.1,10.9,18.1,8.7,23.6,9.1,7.6,1.8,-9.6,-1.3,"anderke01, augmost01, dudlech02, robincl02, wallara01",5,1997,POR
S. Augmon | C. Dudley | C. Robinson | R. Robinson | G. Trent POR 1997,34.7,-15.4,-1.6,-19.2,0.085,1.7,-2.3,0.257,0.098,-13.8,-17.9,-0.012,-6.3,2.2,14.4,2.2,4.5,10.0,0.0,-5.5,1.2,16.8,5.3,"augmost01, dudlech02, robincl02, robinru01, trentga01",5,1997,POR
K. Anderson | C. Dudley | I. Rider | A. Sabonis | G. Trent POR 1997,33.25,10.8,-0.5,-2.7,0.009000000000000001,6.1,2.8,0.33299999999999996,0.05,5.9,5.7,0.079,4.4,16.9,9.5,16.9,6.9,19.1,-1.8,-7.4,0.0,4.2,-3.1,"anderke01, dudlech02, rideris01, sabonar01, trentga01",5,1997,POR
K. Anderson | C. Dudley | I. Rider | G. Trent | D. Wingfield POR 1997,32.65,3.4,6.7,-4.8,0.11699999999999999,-1.1,-6.1,0.019,0.111,-8.8,-14.2,0.034,-7.2,-16.5,-4.2,-16.5,-4.2,-10.6,-4.0,-0.9,-0.2,5.7,3.4,"anderke01, dudlech02, rideris01, trentga01, wingfdo01",5,1997,POR
K. Anderson | C. Dudley | I. Rider | G. Trent | R. Wallace POR 1997,31.883333333333333,8.9,4.9,-0.3,0.055,-1.5,-6.1,0.026000000000000002,0.047,0.6,-6.0,0.22899999999999998,0.5,10.7,11.0,10.7,5.9,14.3,-2.6,-0.3,-1.7,0.5,11.0,"anderke01, dudlech02, rideris01, trentga01, wallara01",5,1997,POR
C. Dudley | A. McKie | I. Rider | C. Robinson | G. Trent POR 1997,26.65,-21.2,-9.1,-25.6,0.006999999999999999,-3.8,0.8,-0.222,-0.005,0.8,5.4,-0.078,-1.6,5.4,13.0,5.4,6.1,14.3,2.8,-0.4,-0.1,19.3,-4.1,"dudlech02, mckieaa01, rideris01, robincl02, trentga01",5,1997,POR
K. Anderson | B. Grant | I. Rider | A. Sabonis | R. Wallace POR 1998,216.58333333333334,23.6,9.1,2.2,0.092,3.4,4.7,0.113,0.111,2.0,0.6,0.063,4.8,14.6,11.7,14.6,8.1,17.3,3.9,-1.1,-1.4,2.5,0.9,"anderke01, grantbr01, rideris01, sabonar01, wallara01",5,1998,POR
K. Anderson | I. Rider | A. Sabonis | G. Trent | R. Wallace POR 1998,182.16666666666666,-1.2,-2.3,-6.8,0.006999999999999999,-0.6,-0.2,-0.05,0.005,4.0,5.1,0.009000000000000001,-1.7,0.1,3.6,0.1,0.9,1.9,-2.7,-4.8,-2.2,2.1,-0.9,"anderke01, rideris01, sabonar01, trentga01, wallara01",5,1998,POR
B. Grant | I. Rider | A. Sabonis | R. Wallace | A. Williams POR 1998,110.61666666666666,12.4,4.5,-0.6,0.059000000000000004,-0.6,-1.7,0.003,0.055,4.0,4.8,0.017,4.6,13.3,7.7,13.3,6.0,15.0,1.9,-2.6,0.1,2.5,-0.5,"grantbr01, rideris01, sabonar01, wallara01, willial02",5,1998,POR
B. Grant | I. Rider | A. Sabonis | D. Stoudamire | R. Wallace POR 1998,109.05,26.2,9.4,4.1,0.084,0.9,0.1,0.048,0.087,6.5,5.0,0.131,-0.2,1.9,3.5,1.9,1.5,3.4,7.3,4.1,-0.9,-7.1,-2.7,"grantbr01, rideris01, sabonar01, stoudda01, wallara01",5,1998,POR
K. Anderson | S. Augmon | I. Rider | A. Sabonis | R. Wallace POR 1998,89.36666666666666,-10.8,-2.6,0.3,-0.031,-2.5,-0.3,-0.151,-0.046,-3.3,-10.3,0.14800000000000002,-2.9,-2.2,4.0,-2.2,0.0,0.0,-1.2,-1.1,0.3,0.8,2.7,"anderke01, augmost01, rideris01, sabonar01, wallara01",5,1998,POR
S. Augmon | R. Brunson | I. Rider | A. Sabonis | R. Wallace POR 1998,83.28333333333333,30.6,15.8,-2.8,0.18,1.4,-1.0,0.099,0.188,-2.4,-2.3,-0.028999999999999998,-3.8,2.9,14.9,2.9,5.8,11.7,8.0,-2.1,2.6,-1.1,2.4,"augmost01, brunsri01, rideris01, sabonar01, wallara01",5,1998,POR
K. Anderson | V. Askew | I. Rider | A. Sabonis | R. Wallace POR 1998,75.5,4.8,5.8,-0.1,0.07,0.7,-1.3,0.11800000000000001,0.075,-7.4,-8.7,-0.036000000000000004,4.2,14.4,12.8,14.4,8.6,19.4,6.4,-2.8,0.0,7.0,2.7,"anderke01, askewvi01, rideris01, sabonar01, wallara01",5,1998,POR
R. Brunson | B. Grant | I. Rider | A. Sabonis | R. Wallace POR 1998,68.15,10.7,-1.9,-7.0,0.019,-1.5,-0.4,-0.099,0.012,16.0,15.5,0.161,-2.1,0.6,6.3,0.6,2.4,6.1,1.7,-1.1,-0.1,-1.9,-3.2,"brunsri01, grantbr01, rideris01, sabonar01, wallara01",5,1998,POR
K. Anderson | S. Augmon | B. Grant | A. Sabonis | R. Wallace POR 1998,61.333333333333336,13.0,4.6,0.3,0.049,-1.8,0.5,-0.209,0.039,5.6,7.1,0.066,4.6,12.6,10.5,12.6,7.2,14.5,2.5,-3.1,2.0,2.0,-1.3,"anderke01, augmost01, grantbr01, sabonar01, wallara01",5,1998,POR
K. Anderson | K. Cato | I. Rider | G. Trent | R. Wallace POR 1998,58.45,-1.9,0.1,2.0,-0.01,-2.8,-7.3,0.017,-0.026000000000000002,0.6,3.1,-0.065,4.2,9.5,3.2,9.5,3.5,8.5,1.4,1.9,-1.7,0.6,-0.4,"anderke01, catoke01, rideris01, trentga01, wallara01",5,1998,POR
I. Rider | A. Sabonis | G. Trent | R. Wallace | A. Williams POR 1998,57.666666666666664,-5.5,0.3,-11.0,0.053,-0.9,5.6,-0.105,0.05,-5.2,-2.4,-0.098,-2.6,1.8,10.6,1.8,4.1,9.3,7.4,-8.2,2.7,10.1,-1.8,"rideris01, sabonar01, trentga01, wallara01, willial02",5,1998,POR
K. Anderson | A. Sabonis | G. Trent | R. Wallace | A. Williams POR 1998,46.516666666666666,5.4,0.4,3.1,-0.011000000000000001,-2.1,0.1,-0.25,-0.024,6.6,1.4,0.20800000000000002,-3.0,-7.0,-3.5,-7.0,-3.2,-7.0,0.3,6.3,-1.1,-8.4,-1.1,"anderke01, sabonar01, trentga01, wallara01, willial02",5,1998,POR
S. Augmon | B. Grant | I. Rider | D. Stoudamire | R. Wallace POR 1998,44.15,24.4,8.6,-7.7,0.14800000000000002,-8.9,-7.3,-0.429,0.09699999999999999,16.1,12.9,0.18899999999999997,3.0,24.6,20.7,24.6,12.1,29.6,3.4,-1.7,2.1,5.4,-4.6,"augmost01, grantbr01, rideris01, stoudda01, wallara01",5,1998,POR
B. Grant | J. O'Neal | I. Rider | D. Stoudamire | R. Wallace POR 1998,42.2,-8.3,-0.4,-8.8,0.046,-4.2,-0.5,-0.33299999999999996,0.025,-3.3,-6.1,0.063,0.8,9.2,10.4,9.2,5.3,12.9,-3.7,-6.3,1.5,11.3,-1.3,"grantbr01, onealje01, rideris01, stoudda01, wallara01",5,1998,POR
S. Augmon | J. Crotty | B. Grant | A. Sabonis | R. Wallace POR 1998,40.31666666666667,6.8,-1.8,-15.9,0.062,-1.4,-6.9,0.067,0.059000000000000004,11.9,11.7,0.175,2.5,11.7,11.2,11.7,6.7,14.7,3.7,-9.2,4.1,11.8,-2.7,"augmost01, crottjo01, grantbr01, sabonar01, wallara01",5,1998,POR
B. Grant | J. O'Neal | I. Rider | A. Sabonis | D. Stoudamire POR 1998,40.083333333333336,-8.3,-1.4,-5.6,0.011000000000000001,0.0,6.9,-0.22699999999999998,0.013000000000000001,-5.6,-8.3,-0.025,-2.8,5.0,12.5,5.0,4.9,9.9,-9.7,-5.6,4.2,5.6,5.6,"grantbr01, onealje01, rideris01, sabonar01, stoudda01",5,1998,POR
S. Augmon | I. Rider | A. Sabonis | D. Stoudamire | R. Wallace POR 1998,39.56666666666667,6.4,7.2,-5.0,0.113,-0.1,-0.2,0.0,0.115,-7.9,-5.3,-0.33799999999999997,-6.6,-9.1,8.1,-9.1,0.6,1.8,9.9,-2.4,-1.2,-0.2,3.2,"augmost01, rideris01, sabonar01, stoudda01, wallara01",5,1998,POR
K. Anderson | K. Cato | I. Rider | A. Sabonis | R. Wallace POR 1998,39.21666666666667,1.1,0.9,-8.0,0.059000000000000004,0.1,0.4,0.0,0.061,-0.7,0.7,-0.042,-1.0,0.6,4.2,0.6,1.9,4.8,-6.9,-1.6,4.8,4.1,2.5,"anderke01, catoke01, rideris01, sabonar01, wallara01",5,1998,POR
K. Cato | B. Grant | I. Rider | D. Stoudamire | R. Wallace POR 1998,36.733333333333334,13.3,8.0,-1.5,0.09,1.5,6.1,-0.067,0.099,-4.3,-10.2,0.218,-1.2,8.1,14.3,8.1,6.7,12.0,9.3,-7.6,4.3,6.2,3.7,"catoke01, grantbr01, rideris01, stoudda01, wallara01",5,1998,POR
R. Brunson | I. Rider | A. Sabonis | R. Wallace | W. Williams POR 1998,35.38333333333333,-16.5,-10.1,-9.7,-0.071,4.8,19.2,-0.18100000000000002,-0.034,-1.2,3.9,-0.11599999999999999,0.4,-0.1,-1.3,-0.1,-1.4,-3.0,-4.7,-1.9,3.2,7.3,-5.6,"brunsri01, rideris01, sabonar01, wallara01, williwa02",5,1998,POR
S. Augmon | B. Grant | I. Rider | A. Sabonis | D. Stoudamire POR 1999,196.33333333333334,-0.3,-1.7,1.0,-0.023,-2.2,-5.0,-0.078,-0.036000000000000004,5.2,6.4,0.006,1.2,1.0,-1.4,1.0,0.0,0.0,-2.9,4.4,0.2,-3.5,2.1,"augmost01, grantbr01, rideris01, sabonar01, stoudda01",5,1999,POR
B. Grant | I. Rider | A. Sabonis | D. Stoudamire | R. Wallace POR 1999,183.85,6.0,3.8,-4.2,0.061,0.9,-3.7,0.21100000000000002,0.068,-2.4,-2.4,-0.033,-1.5,3.8,10.5,3.8,4.0,8.8,3.3,-2.8,-1.7,2.8,0.0,"grantbr01, rideris01, sabonar01, stoudda01, wallara01",5,1999,POR
B. Grant | I. Rider | A. Sabonis | D. Stoudamire | W. Williams POR 1999,172.4,-0.5,-6.0,-6.6,-0.031,2.1,3.5,0.055999999999999994,-0.018000000000000002,9.3,9.5,0.09,1.2,5.4,5.0,5.4,2.9,6.2,-0.7,-3.4,-0.1,3.5,-0.5,"grantbr01, rideris01, sabonar01, stoudda01, williwa02",5,1999,POR
S. Augmon | I. Rider | A. Sabonis | D. Stoudamire | R. Wallace POR 1999,108.98333333333333,0.9,6.6,0.9,0.071,-2.3,-7.3,0.02,0.057999999999999996,-10.0,-11.7,-0.033,-0.5,-0.6,0.4,-0.6,0.5,1.1,2.4,-4.3,4.1,3.6,0.7,"augmost01, rideris01, sabonar01, stoudda01, wallara01",5,1999,POR
B. Grant | I. Rider | D. Stoudamire | R. Wallace | W. Williams POR 1999,73.03333333333333,9.6,0.4,-1.2,0.011000000000000001,1.0,-2.4,0.125,0.017,7.8,6.0,0.124,2.8,8.2,5.4,8.2,3.5,8.2,0.0,-3.1,-2.3,1.2,-4.8,"grantbr01, rideris01, stoudda01, wallara01, williwa02",5,1999,POR
B. Grant | J. Jackson | A. Sabonis | D. Stoudamire | R. Wallace POR 1999,72.55,19.2,2.2,-13.7,0.092,2.1,-1.8,0.287,0.105,12.6,13.2,0.111,-4.3,3.2,10.6,3.2,3.0,6.6,3.5,0.4,1.7,4.6,-4.8,"grantbr01, jacksji01, sabonar01, stoudda01, wallara01",5,1999,POR
G. Anthony | K. Cato | J. Jackson | R. Wallace | W. Williams POR 1999,68.23333333333333,10.9,4.0,4.8,0.026000000000000002,3.2,10.1,-0.081,0.043,-0.4,-1.5,0.028999999999999998,0.1,3.2,5.8,3.2,2.2,4.8,0.3,12.5,4.9,-5.5,0.0,"anthogr01, catoke01, jacksji01, wallara01, williwa02",5,1999,POR
G. Anthony | B. Grant | J. Jackson | R. Wallace | W. Williams POR 1999,67.4,51.2,14.9,4.4,0.16,-0.1,2.2,-0.05,0.157,21.5,24.7,0.076,4.7,16.0,12.7,16.0,8.5,19.6,9.4,3.4,5.0,-8.4,-6.9,"anthogr01, grantbr01, jacksji01, wallara01, williwa02",5,1999,POR
S. Augmon | B. Grant | J. Jackson | A. Sabonis | D. Stoudamire POR 1999,65.78333333333333,19.6,6.2,3.6,0.054000000000000006,0.1,-1.4,0.061,0.054000000000000006,7.2,4.9,0.139,7.8,16.4,8.6,16.4,8.6,17.6,1.5,4.7,-0.2,-0.3,0.4,"augmost01, grantbr01, jacksji01, sabonar01, stoudda01",5,1999,POR
S. Augmon | B. Grant | I. Rider | D. Stoudamire | R. Wallace POR 1999,54.233333333333334,15.3,7.5,1.9,0.08,-3.0,-1.9,-0.16899999999999998,0.062,3.3,3.4,0.022000000000000002,1.2,9.8,8.9,9.8,5.1,12.5,-0.8,0.9,-2.1,-0.9,3.0,"augmost01, grantbr01, rideris01, stoudda01, wallara01",5,1999,POR
I. Rider | A. Sabonis | D. Stoudamire | R. Wallace | W. Williams POR 1999,46.7,1.1,-6.6,-18.1,0.004,0.7,2.7,0.009000000000000001,0.012,13.7,15.5,0.156,-4.8,-2.6,10.8,-2.6,1.1,2.1,3.6,-4.3,1.7,4.5,-2.7,"rideris01, sabonar01, stoudda01, wallara01, williwa02",5,1999,POR
B. Grant | J. Jackson | A. Sabonis | D. Stoudamire | W. Williams POR 1999,45.93333333333333,11.4,2.9,-5.6,0.057,-1.5,-1.3,-0.067,0.051,7.0,6.9,0.048,1.2,10.4,10.3,10.4,5.4,12.0,6.8,-1.7,5.0,3.8,-7.1,"grantbr01, jacksji01, sabonar01, stoudda01, williwa02",5,1999,POR
G. Anthony | K. Cato | B. Grant | J. Jackson | W. Williams POR 1999,45.2,26.8,4.9,8.5,0.004,3.7,4.9,0.071,0.021,13.4,9.8,0.218,13.4,39.2,17.1,39.2,15.2,41.0,-2.4,-3.7,0.0,0.0,-2.4,"anthogr01, catoke01, grantbr01, jacksji01, williwa02",5,1999,POR
G. Anthony | S. Augmon | B. Grant | J. Jackson | R. Wallace POR 1999,44.56666666666667,34.6,12.1,4.0,0.132,2.6,0.5,0.16699999999999998,0.147,7.9,4.7,0.154,0.5,7.4,7.5,7.4,4.2,10.8,4.3,5.5,3.5,-5.2,-4.2,"anthogr01, augmost01, grantbr01, jacksji01, wallara01",5,1999,POR
B. Grant | J. Jackson | I. Rider | D. Stoudamire | R. Wallace POR 1999,35.2,-12.7,-8.9,-19.4,-0.012,-4.3,-11.5,-0.055,-0.028999999999999998,9.4,12.1,0.001,-8.6,-12.4,1.9,-12.4,-3.5,-7.5,1.1,-2.7,-2.7,5.5,-4.9,"grantbr01, jacksji01, rideris01, stoudda01, wallara01",5,1999,POR
