lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
J. Hornacek | K. Malone | B. Russell | J. Stockton UTA 1997,1485.4333333333334,21.0,8.5,2.0,0.09,-1.6,-6.7,0.059000000000000004,0.079,5.4,5.7,0.034,-1.2,1.0,4.4,1.0,1.6,3.7,12.7,4.5,1.0,-5.0,-2.9,"hornaje01, malonka01, russebr01, stockjo01",4,1997,UTA
J. Hornacek | K. Malone | G. Ostertag | B. Russell UTA 1997,1324.7833333333333,21.5,9.3,0.0,0.109,-1.8,-6.8,0.065,0.098,4.5,5.7,0.008,-0.7,3.6,6.8,3.6,3.1,7.2,12.7,2.8,1.9,-2.3,-2.5,"hornaje01, malonka01, ostergr01, russebr01",4,1997,UTA
J. Hornacek | K. Malone | G. Ostertag | J. Stockton UTA 1997,1061.1833333333334,24.6,11.0,1.7,0.11900000000000001,-1.8,-7.1,0.08,0.10800000000000001,4.4,5.5,0.015,-0.4,4.3,7.2,4.3,3.3,7.8,14.9,2.9,1.6,-3.7,-3.1,"hornaje01, malonka01, ostergr01, stockjo01",4,1997,UTA
K. Malone | G. Ostertag | B. Russell | J. Stockton UTA 1997,1026.1333333333334,23.0,9.7,0.4,0.11,-2.2,-7.7,0.081,0.09699999999999999,5.5,6.3,0.031,-0.8,3.5,6.9,3.5,3.0,7.1,14.0,3.0,1.5,-3.1,-3.3,"malonka01, ostergr01, russebr01, stockjo01",4,1997,UTA
J. Hornacek | G. Ostertag | B. Russell | J. Stockton UTA 1997,994.9833333333333,25.5,10.6,1.1,0.11800000000000001,-1.7,-7.2,0.094,0.107,5.5,6.3,0.028999999999999998,-0.8,3.7,7.2,3.7,3.2,7.5,14.9,3.4,1.7,-3.8,-3.5,"hornaje01, ostergr01, russebr01, stockjo01",4,1997,UTA
H. Eisley | J. Hornacek | K. Malone | B. Russell UTA 1997,638.7,9.4,4.7,-1.3,0.067,-1.0,-5.6,0.062,0.061,1.0,0.2,0.022000000000000002,-1.5,0.3,4.1,0.3,1.3,3.2,6.1,1.8,0.8,0.4,1.1,"eisleho01, hornaje01, malonka01, russebr01",4,1997,UTA
H. Eisley | K. Malone | G. Ostertag | B. Russell UTA 1997,379.31666666666666,9.1,6.3,-0.7,0.081,-2.4,-5.5,-0.026000000000000002,0.066,-1.1,1.7,-0.066,0.4,3.7,4.1,3.7,2.3,5.4,8.5,1.7,2.4,1.1,0.0,"eisleho01, malonka01, ostergr01, russebr01",4,1997,UTA
H. Eisley | J. Hornacek | K. Malone | G. Ostertag UTA 1997,371.21666666666664,8.8,6.3,-1.5,0.083,-2.6,-5.1,-0.042,0.069,-0.6,0.8,-0.035,0.5,5.4,6.6,5.4,3.7,8.3,6.5,0.7,2.7,2.5,0.4,"eisleho01, hornaje01, malonka01, ostergr01",4,1997,UTA
H. Eisley | J. Hornacek | G. Ostertag | B. Russell UTA 1997,355.28333333333336,7.6,5.4,-2.0,0.077,-2.8,-5.3,-0.047,0.061,-0.4,1.0,-0.034,-0.6,2.6,5.0,2.6,2.3,5.3,7.3,0.9,2.6,1.8,0.7,"eisleho01, hornaje01, ostergr01, russebr01",4,1997,UTA
G. Foster | J. Hornacek | K. Malone | B. Russell UTA 1997,349.65,3.5,0.6,-0.2,0.008,-0.1,-3.6,0.066,0.006999999999999999,2.5,-0.8,0.113,-3.2,-5.7,-0.1,-5.7,-1.8,-4.3,6.0,3.0,-2.8,-2.8,0.2,"fostegr01, hornaje01, malonka01, russebr01",4,1997,UTA
S. Anderson | A. Carr | C. Morris | J. Stockton UTA 1997,319.23333333333335,-18.5,0.0,-2.0,0.012,-4.6,-8.4,-0.06,-0.013999999999999999,-3.1,-5.0,0.026000000000000002,-2.9,-1.9,3.5,-1.9,0.4,0.8,3.3,-1.8,2.3,2.6,-0.7,"andersh01, carran01, morrich01, stockjo01",4,1997,UTA
