player,player_id,height,weight,salary,nationality,year
Mahmoud Abdul-Rauf 1991,abdulma02,6-1,162,1660000.0,United States of America,1991
Mahmoud Abdul-Rauf 1992,abdulma02,6-1,162,2008000.0,United States of America,1992
Mahmoud Abdul-Rauf 1993,abdulma02,6-1,162,2358000.0,United States of America,1993
Mahmoud Abdul-Rauf 1994,abdulma02,6-1,162,1825000.0,United States of America,1994
Mahmoud Abdul-Rauf 1995,abdulma02,6-1,162,2200000.0,United States of America,1995
Mahmoud Abdul-Rauf 1996,abdulma02,6-1,162,2600000.0,United States of America,1996
Mahmoud Abdul-Rauf 1997,abdulma02,6-1,162,3100000.0,United States of America,1997
Mahmoud Abdul-Rauf 1998,abdulma02,6-1,162,3300000.0,United States of America,1998
Mahmoud Abdul-Rauf 2001,abdulma02,6-1,162,798500.0,United States of America,2001
Mahmoud Abdul-Rauf Caer,abdulma02,6-1,162,19849500.0,United States of America,Caer
Shareef Abdur-Rahim 1997,abdursh01,6-9,225,2186000.0,United States of America,1997
Shareef Abdur-Rahim 1998,abdursh01,6-9,225,2513760.0,United States of America,1998
Shareef Abdur-Rahim 1999,abdursh01,6-9,225,2842000.0,United States of America,1999
Shareef Abdur-Rahim 2000,abdursh01,6-9,225,9000000.0,United States of America,2000
Shareef Abdur-Rahim 2001,abdursh01,6-9,225,10130000.0,United States of America,2001
Shareef Abdur-Rahim 2002,abdursh01,6-9,225,11250000.0,United States of America,2002
Shareef Abdur-Rahim 2003,abdursh01,6-9,225,12375000.0,United States of America,2003
Shareef Abdur-Rahim 2004,abdursh01,6-9,225,13500000.0,United States of America,2004
Shareef Abdur-Rahim 2005,abdursh01,6-9,225,14625000.0,United States of America,2005
Shareef Abdur-Rahim 2006,abdursh01,6-9,225,5000000.0,United States of America,2006
Shareef Abdur-Rahim 2007,abdursh01,6-9,225,5400000.0,United States of America,2007
Shareef Abdur-Rahim 2008,abdursh01,6-9,225,5800000.0,United States of America,2008
Shareef Abdur-Rahim Caer,abdursh01,6-9,225,101221760.0,United States of America,Caer
Shareef Abdur-Rahim 2010,abdursh01,6-9,225,6600000.0,United States of America,2010
Rafael Addison 1987,addisra01,6-7,215,,United States of America,1987
Rafael Addison 1992,addisra01,6-7,215,311000.0,United States of America,1992
Rafael Addison 1993,addisra01,6-7,215,522000.0,United States of America,1993
Rafael Addison 1995,addisra01,6-7,215,250000.0,United States of America,1995
Rafael Addison 1996,addisra01,6-7,215,360000.0,United States of America,1996
Rafael Addison 1997,addisra01,6-7,215,290000.0,United States of America,1997
Rafael Addison Caer,addisra01,6-7,215,1733000.0,United States of America,Caer
Cory Alexander 1996,alexaco01,6-1,185,490000.0,United States of America,1996
Cory Alexander 1997,alexaco01,6-1,185,521000.0,United States of America,1997
Cory Alexander 1998,alexaco01,6-1,185,562380.0,United States of America,1998
Cory Alexander 1999,alexaco01,6-1,185,,United States of America,1999
Cory Alexander 2000,alexaco01,6-1,185,1980000.0,United States of America,2000
Cory Alexander 2001,alexaco01,6-1,185,2160000.0,United States of America,2001
Cory Alexander 2005,alexaco01,6-1,185,,United States of America,2005
Cory Alexander Caer,alexaco01,6-1,185,12161158.0,United States of America,Caer
Cory Alexander 2002,alexaco01,6-1,185,1995741.0,United States of America,2002
Cory Alexander 2003,alexaco01,6-1,185,2149259.0,United States of America,2003
Cory Alexander 2004,alexaco01,6-1,185,2302778.0,United States of America,2004
Jerome Allen 1996,allenje01,6-4,184,200000.0,United States of America,1996
Jerome Allen 1997,allenje01,6-4,184,247500.0,United States of America,1997
Jerome Allen Caer,allenje01,6-4,184,992500.0,United States of America,Caer
Jerome Allen 1998,allenje01,6-4,184,35000.0,United States of America,1998
Jerome Allen 2000,allenje01,6-4,184,510000.0,United States of America,2000
Ray Allen 1997,allenra02,6-5,205,1785000.0,United States of America,1997
Ray Allen 1998,allenra02,6-5,205,2052360.0,United States of America,1998
Ray Allen 1999,allenra02,6-5,205,2320000.0,United States of America,1999
Ray Allen 2000,allenra02,6-5,205,9000000.0,United States of America,2000
Ray Allen 2001,allenra02,6-5,205,10130000.0,United States of America,2001
Ray Allen 2002,allenra02,6-5,205,11250000.0,United States of America,2002
Ray Allen 2003,allenra02,6-5,205,12375000.0,United States of America,2003
Ray Allen 2004,allenra02,6-5,205,13500000.0,United States of America,2004
Ray Allen 2005,allenra02,6-5,205,14625000.0,United States of America,2005
Ray Allen 2006,allenra02,6-5,205,13223140.0,United States of America,2006
Ray Allen 2007,allenra02,6-5,205,14611570.0,United States of America,2007
Ray Allen 2008,allenra02,6-5,205,16000000.0,United States of America,2008
Ray Allen 2009,allenra02,6-5,205,18388430.0,United States of America,2009
Ray Allen 2010,allenra02,6-5,205,18776860.0,United States of America,2010
Ray Allen 2011,allenra02,6-5,205,10000000.0,United States of America,2011
Ray Allen 2012,allenra02,6-5,205,10000000.0,United States of America,2012
Ray Allen 2013,allenra02,6-5,205,3090000.0,United States of America,2013
Ray Allen 2014,allenra02,6-5,205,3229050.0,United States of America,2014
Ray Allen Caer,allenra02,6-5,205,184356410.0,United States of America,Caer
Derrick Alston 1995,alstode01,6-11,225,150000.0,United States of America,1995
Derrick Alston 1996,alstode01,6-11,225,350000.0,United States of America,1996
Derrick Alston 1997,alstode01,6-11,225,,United States of America,1997
