lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
M. Blaylock | T. Corbin | C. Laettner | D. Mutombo | S. Smith ATL 1997,1189.85,15.8,3.7,-2.6,0.054000000000000006,1.5,3.7,0.011,0.064,6.9,8.0,0.039,-0.7,1.3,3.6,1.3,1.8,3.8,1.6,3.4,2.3,-1.9,-1.1,"blaylmo01, corbity01, laettch01, mutomdi01, smithst01",5,1997,ATL
M. Blaylock | H. James | C. Laettner | D. Mutombo | S. Smith ATL 1997,357.36666666666673,9.7,0.3,-6.8,0.037000000000000005,1.9,8.3,-0.064,0.051,7.2,5.7,0.13,-5.8,-7.1,1.2,-7.1,-2.2,-4.7,-3.6,1.8,3.7,-1.0,-1.4,"blaylmo01, jameshe01, laettch01, mutomdi01, smithst01",5,1997,ATL
J. Barry | M. Blaylock | T. Corbin | C. Laettner | D. Mutombo ATL 1997,146.86666666666667,23.6,4.9,1.8,0.045,8.6,12.5,0.16399999999999998,0.09,5.3,7.2,0.03,-0.9,0.1,2.6,0.1,0.9,1.8,3.2,3.6,2.1,-5.4,-1.7,"barryjo01, blaylmo01, corbity01, laettch01, mutomdi01",5,1997,ATL
M. Blaylock | T. Corbin | C. Laettner | I. Newbill | S. Smith ATL 1997,136.23333333333332,7.5,4.2,16.2,-0.027000000000000003,2.3,8.5,-0.015,-0.023,-3.2,-5.4,0.038,7.0,8.5,-2.0,8.5,2.8,6.0,2.9,5.2,-5.3,-7.3,2.4,"blaylmo01, corbity01, laettch01, newbiiv01, smithst01",5,1997,ATL
J. Barry | T. Corbin | C. Laettner | D. Mutombo | E. Recasner ATL 1997,118.71666666666668,21.8,4.3,-2.2,0.061,1.6,0.4,0.081,0.071,11.5,13.6,0.097,5.2,10.9,5.0,10.9,5.3,11.3,-0.9,3.2,4.2,-1.0,1.2,"barryjo01, corbity01, laettch01, mutomdi01, recasel01",5,1997,ATL
M. Blaylock | W. Burton | C. Laettner | D. Mutombo | S. Smith ATL 1997,70.93333333333334,14.0,3.0,3.8,0.018000000000000002,4.1,14.6,-0.011,0.041,4.0,0.6,0.116,3.6,4.7,-1.6,4.7,1.5,3.2,1.5,-0.3,5.0,-0.1,-2.3,"blaylmo01, burtowi01, laettch01, mutomdi01, smithst01",5,1997,ATL
M. Blaylock | C. Laettner | D. Mutombo | E. Recasner | S. Smith ATL 1997,67.46666666666667,-0.1,-15.5,-12.6,-0.113,5.0,12.5,0.107,-0.08199999999999999,25.9,24.2,0.184,-0.1,-1.9,-2.3,-1.9,-1.3,-2.7,-6.1,1.7,0.9,0.7,-5.5,"blaylmo01, laettch01, mutomdi01, recasel01, smithst01",5,1997,ATL
M. Blaylock | T. Corbin | A. Henderson | D. Mutombo | S. Smith ATL 1997,59.46666666666667,-14.5,-8.9,-7.2,-0.062,0.5,-5.2,0.149,-0.057,2.8,6.0,-0.064,1.8,4.7,1.5,4.7,1.0,2.6,-12.8,-1.1,-2.5,5.4,-4.8,"blaylmo01, corbity01, hendeal01, mutomdi01, smithst01",5,1997,ATL
M. Blaylock | T. Corbin | C. Laettner | D. Mutombo | E. Recasner ATL 1997,48.08333333333334,13.0,-0.3,-2.0,0.006999999999999999,3.4,6.4,0.051,0.027000000000000003,10.2,13.6,0.006999999999999999,4.2,14.0,10.8,14.0,7.3,15.4,3.0,10.1,1.4,-1.8,-1.8,"blaylmo01, corbity01, laettch01, mutomdi01, recasel01",5,1997,ATL
H. James | C. Laettner | D. Mutombo | E. Recasner | S. Smith ATL 1997,45.66666666666666,6.6,1.3,1.3,0.008,3.9,19.7,-0.277,0.03,0.0,5.3,-0.154,10.5,27.3,15.8,27.3,13.2,30.3,-1.3,-6.6,3.9,6.6,-3.9,"jameshe01, laettch01, mutomdi01, recasel01, smithst01",5,1997,ATL
M. Blaylock | T. Corbin | H. James | D. Mutombo | S. Smith ATL 1997,43.63333333333333,-9.3,-0.1,9.1,-0.054000000000000006,7.5,14.6,0.071,-0.015,-16.7,-18.3,-0.066,5.2,11.3,1.7,11.3,2.4,6.3,2.7,-2.9,2.8,5.8,4.3,"blaylmo01, corbity01, jameshe01, mutomdi01, smithst01",5,1997,ATL
