player,player_id,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,year,avg_dist,fg3_heave,fg3a_heave,fg_dunk,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_corner3,fg_pct_fg2a,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fg3a_corner3,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_dunk,pct_fga_fg2a,pct_fga_fg3a,and1s,astd_pts,drawn_shooting,fouls_offensive,fouls_shooting,own_shots_blk,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_net,plus_minus_on,tov_bad_pass,tov_lost_ball,ast_per_poss,blk_per_poss,def_rtg,drb_per_poss,fg2_pct,fg2_per_poss,fg2a_per_poss,fg3_pct,fg3_per_poss,fg3a_per_poss,fg_per_poss,fga_per_poss,ft_pct,ft_per_poss,fta_per_poss,gs,off_rtg,orb_per_poss,pf_per_poss,pts_per_poss,stl_per_poss,tov_per_poss,trb_per_poss
Tariq Abdul-Wahad 2002,abdulta01,SG,27,TOT,24,441,9.8,.418,.014,.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0.0,-0.003,-3.4,-0.3,-3.7,-0.2,2002,8.1,0,0,8,.374,.552,.438,.211,.111,,.372,.500,.667,1.000,.000,.395,.218,.129,.245,.068,.986,.014,5,54,18,5,26,19,,63%,36%,1%,,-5.0,-5.6,10,10,2.9,1.2,107,5.2,.372,6.5,17.4,.500,0.1,0.2,6.6,17.7,.727,2.9,4.0,12,90,4.9,6.7,16.2,2.4,3.2,10.1
Shareef Abdur-Rahim 2002,abdursh01,PF,25,ATL,77,2980,19.8,.536,.054,.403,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,4.1,3.1,7.2,.116,1.9,-0.2,1.7,2.8,2002,8.6,0,1,99,.461,.578,.442,.384,.378,.304,.470,.300,.501,1.000,.329,.347,.271,.133,.196,.085,.946,.054,48,560,222,35,100,113,,,6%,91%,3%,0.3,-4.8,100,84,4.2,1.4,105,8.7,.470,10.1,21.5,.300,0.4,1.2,10.5,22.7,.801,7.3,9.2,77,105,3.5,3.8,28.7,1.7,4.4,12.2
Courtney Alexander 2002,alexaco02,SG,24,WAS,56,1325,13.6,.521,.038,.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,1.6,0.6,2.2,.080,-0.9,-1.3,-2.2,-0.1,2002,12.6,0,0,20,.470,.689,.283,.470,.443,.250,.478,.278,.642,.800,.222,.190,.127,.278,.367,.042,.962,.038,5,185,47,14,41,33,2%,41%,56%,1%,,-6.9,-6.0,30,13,3.5,0.3,109,4.3,.478,8.9,18.7,.278,0.2,0.7,9.1,19.4,.810,4.0,5.0,28,106,1.8,4.6,22.5,1.4,2.5,6.1
Victor Alexander 2002,alexavi01,C,32,DET,15,97,9.2,.367,.039,.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,-0.3,0.1,-0.1,-0.073,-5.3,-3.5,-8.8,-0.2,2002,15.4,0,0,0,.353,1.000,1.000,.286,.212,.000,.367,.000,.778,,1.000,.118,.059,.137,.647,.000,.961,.039,0,15,4,1,2,0,,,4%,50%,46%,1.7,4.3,4,0,3.3,0.5,103,12.1,.367,9.9,26.9,.000,0.0,1.1,9.9,28.0,.500,2.2,4.4,0,80,3.8,3.3,22.0,0.0,2.7,15.9
Malik Allen 2002,allenma01,PF,23,MIA,12,161,15.0,.469,.020,.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.2,0.3,0.5,.141,-1.4,0.3,-1.1,0.0,2002,11.6,0,0,2,.431,.778,.455,.182,.421,,.440,.000,.591,,.000,.176,.216,.216,.373,.039,.980,.020,2,12,4,0,8,4,,,19%,69%,12%,-3.6,-5.2,2,0,1.7,2.7,99,7.8,.440,7.5,17.1,.000,0.0,0.3,7.5,17.4,.800,2.7,3.4,2,108,5.1,5.5,17.7,1.0,0.7,13.0
Ray Allen* 2002,allenra02,SG,26,MIL,69,2525,21.6,.598,.460,.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,7.6,1.3,8.9,.169,6.0,-1.1,4.9,4.4,2002,16.9,0,8,27,.462,.547,.461,.455,.460,.447,.485,.434,.449,.769,.250,.167,.089,.176,.108,.028,.540,.460,17,616,81,23,72,56,15%,84%,1%,,,2.2,0.6,77,52,5.7,0.4,109,4.9,.485,6.3,13.1,.434,4.8,11.1,11.2,24.2,.873,4.5,5.2,67,116,1.7,3.3,31.7,1.9,3.4,6.6
Rafer Alston 2002,alstora01,PG,25,MIL,50,600,13.9,.434,.372,.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,0.3,0.5,0.7,.059,-0.4,-0.3,-0.7,0.2,2002,15.8,0,0,0,.346,.455,.250,.176,.275,.409,.325,.380,.231,.926,.310,.230,.042,.089,.267,.000,.628,.372,0,333,12,1,18,10,95%,5%,,,,-4.5,-4.0,19,14,12.7,0.2,106,5.5,.325,3.5,10.6,.380,2.4,6.3,5.9,16.9,.621,1.6,2.6,7,99,0.9,3.7,15.7,2.8,3.5,6.4
John Amaechi 2002,amaecjo01,PF,31,UTA,54,586,5.4,.412,.000,.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,-1.0,0.3,-0.7,-0.056,-5.4,-2.8,-8.2,-0.9,2002,6.3,0,0,4,.325,.462,.156,.154,.300,,.325,,.630,,,.470,.271,.078,.181,.030,1.000,.000,7,63,44,13,29,38,,,,14%,86%,-16.4,-12.7,18,15,2.6,0.9,109,5.2,.325,4.9,15.1,,0.0,0.0,4.9,15.1,.638,6.1,9.5,0,83,4.7,5.8,15.9,0.6,5.0,9.9
Chris Andersen 2002,anderch01,C,23,DEN,24,262,13.8,.417,.054,.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,0.0,0.3,0.3,.058,-3.3,0.3,-3.0,-0.1,2002,5.5,0,1,14,.338,.460,.143,.000,.111,.000,.357,.000,.600,,.250,.676,.095,.054,.122,.230,.946,.054,4,15,14,0,24,6,,,,31%,69%,13.5,6.0,6,7,1.4,5.7,103,7.7,.357,5.1,14.2,.000,0.0,0.8,5.1,15.0,.786,4.5,5.7,1,96,7.7,7.1,14.6,1.4,2.6,15.4
Derek Anderson 2002,anderde01,SG,27,POR,70,1860,15.5,.538,.373,.340,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,3.8,1.5,5.3,.137,1.4,0.2,1.6,1.7,2002,16.2,0,0,27,.404,.536,.233,.357,.376,.455,.422,.373,.654,.882,.241,.229,.049,.069,.283,.049,.627,.373,13,481,70,17,32,32,17%,78%,5%,,,3.6,5.5,41,21,6.2,0.2,107,4.1,.422,4.7,11.1,.373,2.5,6.6,7.1,17.7,.856,5.1,6.0,27,114,1.4,3.3,21.9,2.0,2.5,5.5
Kenny Anderson 2002,anderke01,PG,31,BOS,76,2430,13.6,.472,.046,.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,1.7,3.5,5.2,.103,-2.3,1.9,-0.4,1.0,2002,11.6,0,1,0,.436,.553,.308,.351,.444,.500,.444,.273,.406,.889,.121,.288,.127,.155,.384,.000,.954,.046,12,960,50,6,103,52,100%,,,,,6.7,4.9,71,33,8.6,0.2,101,4.7,.444,6.5,14.6,.273,0.2,0.7,6.7,15.3,.742,2.1,2.8,76,103,1.2,4.5,15.6,3.0,2.5,5.9
Nick Anderson 2002,anderni01,SG,34,MEM,15,219,4.9,.375,.632,.118,0.5,16.3,8.4,10.2,1.4,1.9,14.9,19.5,-0.6,0.2,-0.4,-0.080,-5.2,-0.6,-5.9,-0.2,2002,20.8,0,1,0,.276,.600,.333,.333,.143,.222,.286,.271,1.000,.923,.188,.066,.039,.079,.184,.000,.368,.632,1,30,4,1,6,2,,63%,36%,1%,,-6.4,-14.2,11,2,3.4,1.4,106,7.7,.286,1.9,6.7,.271,3.1,11.5,5.1,18.3,.556,1.2,2.2,0,74,0.2,4.1,14.4,1.4,3.4,7.9
Shandon Anderson 2002,andersh01,SG,28,NYK,82,1596,8.0,.489,.378,.287,4.1,13.9,9.0,7.7,1.6,0.7,18.8,15.1,-0.9,1.3,0.4,.013,-3.0,0.3,-2.8,-0.3,2002,12.3,0,0,6,.399,.551,.429,.357,.290,.324,.474,.277,.682,.974,.723,.370,.094,.075,.083,.019,.622,.378,10,168,51,4,71,26,,53%,46%,1%,,1.3,-3.5,64,22,2.5,0.5,106,6.4,.474,3.7,7.8,.277,1.3,4.7,5.0,12.5,.692,2.5,3.6,6,90,1.9,4.5,13.8,1.6,3.3,8.3
Greg Anthony 2002,anthogr01,PG,34,TOT,60,1514,12.6,.460,.343,.192,1.7,8.5,5.1,30.8,2.7,0.2,15.4,18.6,0.2,0.9,1.1,.036,-1.4,-0.4,-1.9,0.1,2002,16.6,0,0,0,.385,.519,.263,.517,.396,.265,.433,.294,.496,.854,.209,.162,.080,.122,.293,.000,.657,.343,3,601,30,3,56,16,100%,,,,,-5.5,-9.3,69,17,9.9,0.2,108,3.9,.433,4.7,10.9,.294,1.7,5.7,6.4,16.7,.659,2.1,3.2,38,97,0.8,4.0,16.6,2.7,3.3,4.6
Gilbert Arenas 2002,arenagi01,PG,20,GSW,47,1155,17.0,.562,.294,.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,2.1,0.7,2.7,.114,1.0,0.0,1.0,0.9,2002,13.5,0,1,11,.453,.626,.154,.286,.462,.300,.498,.345,.289,.795,.088,.341,.068,.055,.242,.036,.706,.294,10,390,60,14,36,30,96%,4%,,,,-0.6,-6.4,58,17,7.7,0.5,108,4.0,.498,5.9,11.9,.345,1.7,5.0,7.7,16.9,.775,5.5,7.0,30,110,1.8,5.1,22.5,3.0,4.3,5.8
Brandon Armstrong 2002,armstbr01,SG,21,NJN,35,196,3.8,.358,.200,.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,-0.4,0.2,-0.2,-0.054,-7.2,-1.5,-8.8,-0.3,2002,16.2,0,0,1,.318,.273,.333,.375,.326,.286,.324,.294,.682,.800,.412,.129,.071,.094,.506,.012,.800,.200,0,17,4,2,9,4,17%,82%,1%,,,-15.3,-10.2,4,2,2.1,0.3,104,1.6,.324,5.9,18.1,.294,1.3,4.5,7.2,22.7,.500,1.3,2.7,0,79,2.7,6.9,17.1,1.9,2.1,4.3
Darrell Armstrong 2002,armstda01,PG,33,ORL,82,2730,16.7,.553,.481,.248,3.4,9.7,6.5,25.5,3.0,0.3,16.0,17.9,5.0,2.6,7.6,.134,1.6,0.8,2.4,3.0,2002,17.0,0,0,10,.419,.638,.308,.440,.411,.413,.484,.349,.433,.820,.274,.184,.063,.101,.170,.012,.519,.481,7,1031,46,2,53,38,100%,,,,,4.8,3.2,114,43,8.5,0.2,105,4.5,.484,3.9,8.1,.349,2.6,7.5,6.5,15.6,.888,3.4,3.9,79,112,1.6,3.1,19.1,3.0,3.3,6.0
Carlos Arroyo 2002,arroyca01,PG,22,TOT,37,371,12.4,.467,.018,.162,3.5,9.0,6.2,31.2,1.6,0.2,16.2,17.2,0.2,0.1,0.4,.047,-1.8,-1.1,-2.9,-0.1,2002,11.7,0,0,0,.441,.514,.200,.571,.439,.000,.450,.000,.510,,.500,.315,.090,.063,.514,.000,.982,.018,0,147,5,3,13,13,80%,20%,,,,-1.3,-4.9,13,4,10.1,0.1,110,4.0,.450,7.0,15.7,.000,0.0,0.3,7.0,16.0,.722,1.9,2.6,1,101,1.7,4.3,16.0,1.6,3.3,5.8
Chucky Atkins 2002,atkinch01,PG,27,DET,79,2285,14.5,.568,.425,.152,1.6,6.5,4.1,20.5,1.7,0.3,13.2,20.0,3.3,1.8,5.1,.107,0.8,-0.6,0.2,1.3,2002,16.4,1,4,0,.466,.562,.419,.358,.506,.434,.507,.411,.335,.949,.295,.246,.039,.067,.223,.000,.575,.425,11,587,39,10,67,37,100%,,,,,-4.0,1.0,77,28,6.1,0.3,106,3.0,.507,5.4,10.6,.411,3.2,7.8,8.6,18.4,.692,1.9,2.8,62,108,0.7,4.1,22.3,1.7,3.0,3.7
Stacey Augmon 2002,augmost01,SG,33,CHH,77,1319,11.5,.479,.009,.308,5.1,14.3,9.7,12.5,2.3,0.7,12.7,14.8,0.7,1.6,2.3,.084,-2.3,1.2,-1.0,0.3,2002,10.2,0,1,18,.427,.546,.377,.373,.396,.000,.431,.000,.736,,.333,.296,.162,.229,.308,.058,.991,.009,6,233,41,8,44,15,1%,58%,40%,1%,,6.1,5.1,24,16,4.2,0.5,103,6.7,.431,5.7,13.2,.000,0.0,0.1,5.7,13.3,.762,3.1,4.1,3,102,2.4,4.7,14.5,2.3,2.2,9.1
Isaac Austin 2002,austiis01,C,32,MEM,21,307,7.8,.405,.033,.043,4.0,21.8,12.9,7.0,1.5,1.1,10.5,15.5,-0.3,0.3,0.0,.003,-5.7,0.3,-5.4,-0.3,2002,15.3,0,0,0,.391,.273,.200,.563,.404,.000,.404,.000,.917,,.333,.120,.054,.174,.620,.000,.967,.033,0,28,1,1,24,3,,,,78%,22%,-6.4,-14.1,8,1,2.2,0.9,104,10.3,.404,6.2,15.3,.000,0.0,0.5,6.2,15.8,1.000,0.7,0.7,8,85,1.9,6.2,13.0,1.5,1.9,12.2
William Avery 2002,averywi01,PG,22,MIN,28,258,5.4,.361,.389,.211,1.8,8.8,5.4,19.9,1.4,0.0,16.2,20.6,-0.5,0.1,-0.4,-0.067,-4.8,-1.5,-6.3,-0.3,2002,16.6,0,1,0,.289,.571,.400,.000,.240,.250,.364,.171,.300,.333,.114,.233,.056,.044,.278,.000,.611,.389,2,79,9,1,5,9,100%,,,,,-5.5,-1.4,14,3,7.4,0.0,108,4.1,.364,4.1,11.3,.171,1.2,7.2,5.3,18.5,.684,2.7,3.9,0,81,0.8,3.5,14.6,1.4,3.9,4.9
Dalibor Bagarić 2002,bagarda01,C,21,CHI,50,638,8.6,.443,.006,.393,9.8,20.1,14.8,6.0,1.4,2.8,18.1,18.4,-0.7,0.6,-0.1,-0.011,-5.7,-1.5,-7.2,-0.8,2002,7.0,0,0,21,.404,.608,.195,.359,.217,,.407,.000,.611,,.000,.416,.230,.219,.129,.124,.994,.006,8,53,31,9,49,19,,,,9%,91%,-2.4,-11.6,15,12,1.9,2.0,105,8.9,.407,6.0,14.7,.000,0.0,0.1,6.0,14.8,.586,3.4,5.8,0,86,4.6,9.0,15.4,1.4,3.8,13.5
Vin Baker 2002,bakervi01,C,30,SEA,55,1710,14.1,.517,.012,.348,11.8,12.3,12.1,7.0,0.7,1.6,14.5,23.8,1.3,0.9,2.2,.061,-1.4,-2.3,-3.7,-0.7,2002,6.8,0,3,34,.485,.626,.367,.400,.372,.500,.490,.125,.650,1.000,.250,.453,.256,.092,.186,.054,.988,.012,33,171,110,38,84,60,,,,19%,81%,-7.2,-0.7,16,47,2.3,1.1,109,5.7,.490,9.9,20.2,.125,0.0,0.3,9.9,20.5,.633,4.5,7.1,41,101,5.3,6.2,24.4,0.7,4.0,11.0
Erick Barkley 2002,barkler01,PG,23,POR,19,228,9.8,.401,.103,.147,2.5,6.8,4.6,22.9,4.0,0.3,14.2,16.9,-0.1,0.3,0.2,.044,-4.9,1.9,-3.0,-0.1,2002,12.6,0,0,0,.353,.545,.500,.750,.172,1.000,.377,.143,.609,1.000,.143,.324,.088,.059,.426,.000,.897,.103,0,73,5,1,8,4,97%,3%,,,,-2.5,1.2,9,1,8.0,0.2,103,3.1,.377,5.4,14.4,.143,0.2,1.6,5.7,16.0,.900,2.1,2.4,4,93,1.2,6.8,13.7,4.0,2.8,4.2
Dana Barros 2002,barroda01,PG,34,DET,29,582,10.5,.473,.370,.141,0.2,11.3,5.8,22.5,1.3,0.2,13.9,19.2,0.0,0.5,0.5,.040,-2.0,-0.7,-2.7,-0.1,2002,17.1,0,0,0,.385,.516,.385,.357,.381,.444,.413,.338,.340,.958,.127,.161,.068,.073,.328,.000,.630,.370,4,166,11,3,14,6,100%,,,,,-2.4,0.6,20,7,7.1,0.2,106,5.1,.413,4.6,11.1,.338,2.2,6.5,6.8,17.6,.778,1.9,2.5,20,96,0.1,3.4,17.7,1.3,3.0,5.2
Brent Barry 2002,barrybr01,SG,30,SEA,81,3040,19.3,.652,.490,.296,2.3,14.6,8.6,21.3,2.6,0.9,15.6,16.2,8.8,3.3,12.1,.191,3.8,1.6,5.5,5.8,2002,16.2,0,0,26,.508,.663,.494,.538,.553,.516,.588,.424,.565,.939,.165,.225,.105,.049,.130,.033,.510,.490,18,912,85,15,81,32,,90%,9%,,,-0.1,3.4,103,39,7.6,0.7,104,6.8,.588,4.2,7.1,.424,2.9,6.9,7.1,14.0,.846,3.5,4.1,81,124,1.0,3.2,20.6,2.6,2.9,7.8
Jon Barry 2002,barryjo01,SG,32,DET,82,1985,17.7,.645,.494,.222,2.5,11.3,6.9,23.2,2.5,0.7,16.2,16.2,5.0,2.5,7.5,.180,2.6,1.3,3.9,3.0,2002,17.7,0,0,1,.489,.633,.333,.439,.444,.474,.508,.469,.552,.777,.295,.188,.034,.079,.207,.002,.506,.494,10,609,26,4,53,13,1%,99%,1%,,,3.7,4.5,79,24,7.4,0.5,103,5.2,.508,3.6,7.1,.469,3.3,6.9,6.8,14.0,.931,2.9,3.1,6,120,1.1,3.6,19.9,2.5,3.0,6.3
Mengke Bateer 2002,bateeme01,C,26,DEN,27,408,8.0,.469,.091,.280,8.5,18.8,13.4,8.9,1.3,0.9,17.8,19.8,-0.2,0.3,0.1,.007,-6.3,-1.1,-7.4,-0.6,2002,9.9,0,0,0,.402,.460,.316,.556,.303,,.408,.333,.694,1.000,.000,.379,.144,.136,.250,.000,.909,.091,8,46,20,15,33,14,,,,,100%,-1.4,-7.8,12,2,2.9,0.7,107,8.3,.408,6.4,15.6,.333,0.5,1.6,6.9,17.2,.784,3.8,4.8,10,92,4.2,12.2,18.1,1.3,4.2,12.5
Tony Battie 2002,battito01,C,25,BOS,74,1819,14.5,.570,.005,.333,10.8,18.4,14.5,3.2,1.7,2.9,10.2,12.5,3.2,3.0,6.2,.164,-1.4,0.8,-0.7,0.6,2002,7.7,0,1,76,.541,.736,.281,.385,.437,,.544,.000,.730,,.000,.467,.146,.200,.182,.200,.995,.005,10,82,57,4,136,27,,,,1%,99%,4.7,4.8,15,23,1.0,1.9,99,8.5,.544,6.0,11.1,.000,0.0,0.1,6.0,11.1,.677,2.5,3.7,73,118,5.2,6.2,14.6,1.7,1.5,13.7
Shane Battier 2002,battish01,SF,23,MEM,78,3097,13.9,.518,.287,.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,2.7,2.1,4.8,.074,0.2,0.3,0.5,1.9,2002,13.5,0,2,32,.429,.568,.375,.403,.389,.394,.451,.373,.618,.922,.377,.246,.125,.160,.182,.035,.713,.287,18,467,102,24,120,73,,43%,55%,2%,,14.1,-5.2,73,48,3.7,1.4,107,4.0,.451,5.3,11.7,.373,1.8,4.7,7.0,16.3,.700,3.4,4.8,78,104,3.1,3.7,19.1,2.1,2.6,7.1
Charlie Bell 2002,bellch01,SG,22,TOT,7,44,-1.8,.337,.545,.182,5.1,7.7,6.4,6.4,0.0,0.0,29.6,17.2,-0.2,0.0,-0.2,-0.172,-8.3,-4.0,-12.3,-0.1,2002,21.4,0,0,0,.273,,,1.000,.500,.000,.600,.000,.333,,.167,.000,.000,.091,.364,.000,.455,.545,0,4,0,0,1,0,38%,62%,,,,-19.9,-17.8,3,2,2.4,0.0,111,3.6,.600,3.6,6.0,.000,0.0,7.2,3.6,13.1,1.000,2.4,2.4,0,61,2.4,3.6,9.5,0.0,6.0,6.0
Raja Bell 2002,bellra01,SG,25,PHI,74,890,8.6,.486,.183,.200,4.0,10.1,7.1,13.4,1.3,0.3,15.5,15.9,0.1,1.0,1.1,.059,-3.6,0.3,-3.3,-0.3,2002,12.6,0,0,4,.429,.581,.464,.476,.344,.316,.464,.273,.659,1.000,.432,.258,.117,.175,.267,.017,.817,.183,1,156,18,7,37,16,1%,60%,38%,1%,,-8.8,-4.8,20,13,4.3,0.2,104,4.9,.464,5.5,11.9,.273,0.7,2.7,6.2,14.6,.750,2.2,2.9,12,97,1.9,6.6,15.4,1.3,2.9,6.7
Jonathan Bender 2002,bendejo01,SF,21,IND,78,1647,10.6,.538,.272,.393,4.5,12.0,8.4,6.1,0.6,2.1,15.1,17.5,0.8,1.3,2.0,.059,-1.5,-0.7,-2.2,-0.1,2002,12.9,0,0,47,.430,.607,.416,.317,.384,.406,.457,.360,.634,.978,.256,.233,.220,.089,.187,.111,.728,.272,13,135,83,26,62,46,,13%,72%,15%,,-3.2,-1.8,22,37,2.0,1.6,107,5.7,.457,4.9,10.6,.360,1.4,4.0,6.3,14.6,.773,4.4,5.7,17,101,2.0,4.7,18.4,0.6,3.0,7.7
Travis Best 2002,besttr01,PG,29,TOT,74,1747,14.3,.511,.114,.224,1.3,8.7,5.0,31.3,2.7,0.3,14.8,17.5,1.9,1.4,3.4,.093,-1.1,0.3,-0.8,0.6,2002,13.4,0,0,0,.440,.606,.429,.403,.372,.750,.451,.356,.275,.810,.068,.264,.068,.139,.415,.000,.886,.114,10,712,43,17,80,22,100%,,,,,0.4,-4.4,49,30,9.8,0.2,106,3.9,.451,6.2,13.8,.356,0.6,1.8,6.9,15.6,.897,3.1,3.5,21,106,0.6,5.2,17.5,2.7,3.0,4.5
Mike Bibby 2002,bibbymi01,PG,23,SAC,80,2659,14.9,.513,.140,.196,1.5,7.3,4.5,23.0,1.6,0.4,11.1,19.7,3.7,2.6,6.3,.113,0.3,0.0,0.4,1.6,2002,14.7,0,0,4,.453,.638,.352,.455,.417,.333,.466,.370,.557,.882,.261,.191,.072,.125,.472,.004,.860,.140,16,893,74,13,49,39,78%,22%,,,,-1.9,7.3,80,36,7.6,0.3,105,3.5,.466,7.5,16.0,.370,1.0,2.6,8.4,18.6,.803,2.9,3.6,80,107,0.7,2.5,20.7,1.6,2.5,4.2
Chauncey Billups 2002,billuch01,PG,25,MIN,82,2355,17.6,.555,.383,.284,1.7,9.2,5.5,29.2,1.5,0.5,13.0,20.4,6.1,1.5,7.6,.156,3.1,-0.6,2.5,2.7,2002,16.6,0,3,3,.423,.550,.353,.354,.409,.354,.441,.394,.397,.621,.152,.194,.062,.079,.282,.004,.617,.383,11,969,85,15,67,44,98%,2%,,,,-0.9,3.4,78,30,10.1,0.4,108,4.3,.441,5.0,11.4,.394,2.8,7.1,7.8,18.5,.885,4.7,5.3,54,116,0.8,3.8,23.1,1.5,3.1,5.1
Mookie Blaylock 2002,blaylmo01,PG,34,GSW,35,599,9.2,.398,.288,.055,1.4,8.1,4.7,28.2,2.0,0.5,19.8,13.1,-0.2,0.1,-0.1,-0.004,-2.1,-0.7,-2.8,-0.1,2002,16.9,0,1,0,.342,.571,.125,.333,.278,.308,.337,.357,.343,.867,.310,.144,.055,.144,.370,.000,.712,.288,1,241,1,1,13,6,100%,,,,,-1.9,-7.5,28,8,9.7,0.3,111,3.7,.337,3.0,8.8,.357,1.3,3.6,4.2,12.4,.500,0.3,0.7,0,92,0.7,1.7,10.1,2.0,3.1,4.4
Corie Blount 2002,blounco01,PF,33,PHI,72,1426,10.2,.478,.004,.179,12.0,17.2,14.6,4.9,1.9,1.4,16.1,10.4,0.7,2.4,3.1,.104,-2.7,0.9,-1.9,0.1,2002,7.5,0,0,11,.458,.587,.308,.377,.421,,.460,.000,.678,,.000,.414,.155,.275,.151,.060,.996,.004,5,96,18,12,78,18,,,1%,89%,10%,-8.6,-3.5,21,8,1.7,1.0,100,8.3,.460,4.4,9.5,.000,0.0,0.0,4.4,9.5,.644,1.1,1.7,21,103,5.6,6.7,9.8,1.9,2.0,13.9
