player,pos,age,team_id,g,mp,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_on,plus_minus_net,tov_bad_pass,tov_lost_ball,fouls_shooting,fouls_offensive,drawn_shooting,astd_pts,and1s,own_shots_blk,player_id,year
Tariq Abdul-Wahad 2002,SG,27,TOT,24,441,,63%,36%,1%,,-5.6,-5.0,10,10,26,5,18,54,5,19,abdulta01,2002
Shareef Abdur-Rahim 2002,PF,25,ATL,77,2980,,,6%,91%,3%,-4.8,0.3,100,84,100,35,222,560,48,113,abdursh01,2002
Courtney Alexander 2002,SG,24,WAS,56,1325,2%,41%,56%,1%,,-6.0,-6.9,30,13,41,14,47,185,5,33,alexaco02,2002
Victor Alexander 2002,C,32,DET,15,97,,,4%,50%,46%,4.3,1.7,4,0,2,1,4,15,0,0,alexavi01,2002
Malik Allen 2002,PF,23,MIA,12,161,,,19%,69%,12%,-5.2,-3.6,2,0,8,0,4,12,2,4,allenma01,2002
Ray Allen* 2002,SG,26,MIL,69,2525,15%,84%,1%,,,0.6,2.2,77,52,72,23,81,616,17,56,allenra02,2002
Rafer Alston 2002,PG,25,MIL,50,600,95%,5%,,,,-4.0,-4.5,19,14,18,1,12,333,0,10,alstora01,2002
John Amaechi 2002,PF,31,UTA,54,586,,,,14%,86%,-12.7,-16.4,18,15,29,13,44,63,7,38,amaecjo01,2002
Chris Andersen 2002,C,23,DEN,24,262,,,,31%,69%,6.0,13.5,6,7,24,0,14,15,4,6,anderch01,2002
Derek Anderson 2002,SG,27,POR,70,1860,17%,78%,5%,,,5.5,3.6,41,21,32,17,70,481,13,32,anderde01,2002
Kenny Anderson 2002,PG,31,BOS,76,2430,100%,,,,,4.9,6.7,71,33,103,6,50,960,12,52,anderke01,2002
Nick Anderson 2002,SG,34,MEM,15,219,,63%,36%,1%,,-14.2,-6.4,11,2,6,1,4,30,1,2,anderni01,2002
Shandon Anderson 2002,SG,28,NYK,82,1596,,53%,46%,1%,,-3.5,1.3,64,22,71,4,51,168,10,26,andersh01,2002
Greg Anthony 2002,PG,34,TOT,60,1514,100%,,,,,-9.3,-5.5,69,17,56,3,30,601,3,16,anthogr01,2002
Gilbert Arenas 2002,PG,20,GSW,47,1155,96%,4%,,,,-6.4,-0.6,58,17,36,14,60,390,10,30,arenagi01,2002
Brandon Armstrong 2002,SG,21,NJN,35,196,17%,82%,1%,,,-10.2,-15.3,4,2,9,2,4,17,0,4,armstbr01,2002
Darrell Armstrong 2002,PG,33,ORL,82,2730,100%,,,,,3.2,4.8,114,43,53,2,46,1031,7,38,armstda01,2002
Carlos Arroyo 2002,PG,22,TOT,37,371,80%,20%,,,,-4.9,-1.3,13,4,13,3,5,147,0,13,arroyca01,2002
Chucky Atkins 2002,PG,27,DET,79,2285,100%,,,,,1.0,-4.0,77,28,67,10,39,587,11,37,atkinch01,2002
Stacey Augmon 2002,SG,33,CHH,77,1319,1%,58%,40%,1%,,5.1,6.1,24,16,44,8,41,233,6,15,augmost01,2002
Isaac Austin 2002,C,32,MEM,21,307,,,,78%,22%,-14.1,-6.4,8,1,24,1,1,28,0,3,austiis01,2002
William Avery 2002,PG,22,MIN,28,258,100%,,,,,-1.4,-5.5,14,3,5,1,9,79,2,9,averywi01,2002
Dalibor Bagarić 2002,C,21,CHI,50,638,,,,9%,91%,-11.6,-2.4,15,12,49,9,31,53,8,19,bagarda01,2002
Vin Baker 2002,C,30,SEA,55,1710,,,,19%,81%,-0.7,-7.2,16,47,84,38,110,171,33,60,bakervi01,2002
Erick Barkley 2002,PG,23,POR,19,228,97%,3%,,,,1.2,-2.5,9,1,8,1,5,73,0,4,barkler01,2002
Dana Barros 2002,PG,34,DET,29,582,100%,,,,,0.6,-2.4,20,7,14,3,11,166,4,6,barroda01,2002
Brent Barry 2002,SG,30,SEA,81,3040,,90%,9%,,,3.4,-0.1,103,39,81,15,85,912,18,32,barrybr01,2002
Jon Barry 2002,SG,32,DET,82,1985,1%,99%,1%,,,4.5,3.7,79,24,53,4,26,609,10,13,barryjo01,2002
Mengke Bateer 2002,C,26,DEN,27,408,,,,,100%,-7.8,-1.4,12,2,33,15,20,46,8,14,bateeme01,2002
Tony Battie 2002,C,25,BOS,74,1819,,,,1%,99%,4.8,4.7,15,23,136,4,57,82,10,27,battito01,2002
Shane Battier 2002,SF,23,MEM,78,3097,,43%,55%,2%,,-5.2,14.1,73,48,120,24,102,467,18,73,battish01,2002
Charlie Bell 2002,SG,22,TOT,7,44,38%,62%,,,,-17.8,-19.9,3,2,1,0,0,4,0,0,bellch01,2002
Raja Bell 2002,SG,25,PHI,74,890,1%,60%,38%,1%,,-4.8,-8.8,20,13,37,7,18,156,1,16,bellra01,2002
Jonathan Bender 2002,SF,21,IND,78,1647,,13%,72%,15%,,-1.8,-3.2,22,37,62,26,83,135,13,46,bendejo01,2002
Travis Best 2002,PG,29,TOT,74,1747,100%,,,,,-4.4,0.4,49,30,80,17,43,712,10,22,besttr01,2002
Mike Bibby 2002,PG,23,SAC,80,2659,78%,22%,,,,7.3,-1.9,80,36,49,13,74,893,16,39,bibbymi01,2002
Chauncey Billups 2002,PG,25,MIN,82,2355,98%,2%,,,,3.4,-0.9,78,30,67,15,85,969,11,44,billuch01,2002
Mookie Blaylock 2002,PG,34,GSW,35,599,100%,,,,,-7.5,-1.9,28,8,13,1,1,241,1,6,blaylmo01,2002
Corie Blount 2002,PF,33,PHI,72,1426,,,1%,89%,10%,-3.5,-8.6,21,8,78,12,18,96,5,18,blounco01,2002
Mark Blount 2002,C,26,BOS,44,415,,,,,100%,-6.9,-10.3,6,7,32,3,15,24,3,10,blounma01,2002
Calvin Booth 2002,C,25,SEA,15,279,,,,57%,44%,-8.5,-12.8,3,7,24,5,12,33,2,4,boothca01,2002
Ruben Boumtje-Boumtje 2002,C,23,POR,33,245,,,,,100%,-14.6,-19.4,4,3,15,5,12,10,4,5,boumtru01,2002
Cal Bowdler 2002,PF,24,ATL,52,585,,,1%,41%,58%,-1.6,3.8,2,5,43,1,22,23,3,13,bowdlca01,2002
Bruce Bowen 2002,SF,30,SAS,59,1699,,9%,91%,,,10.3,5.5,32,21,48,9,33,201,5,20,bowenbr01,2002
Ryan Bowen 2002,SF,26,DEN,75,1686,,8%,61%,30%,1%,1.7,14.4,13,15,88,7,46,115,12,35,bowenry01,2002
Ira Bowman 2002,SG,28,PHI,3,29,14%,71%,16%,,,-9.0,-11.0,0,0,1,0,0,2,0,1,bowmair01,2002
Earl Boykins 2002,PG,25,LAC,68,761,100%,,,,,0.2,0.9,30,11,12,1,10,316,2,15,boykiea01,2002
Michael Bradley 2002,PF,22,TOR,26,118,,,13%,69%,18%,-20.5,-20.6,3,3,4,0,3,6,0,2,bradlmi01,2002
Shawn Bradley 2002,C,29,DAL,53,757,,,,,100%,5.5,1.1,10,7,67,3,28,41,6,19,bradlsh01,2002
