player,pos,age,team_id,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fg3a_corner3,fg_pct_corner3,fg3a_heave,fg3_heave,player_id,year
Quincy Acy 2015,PF,24,NYK,68,1287,.459,12.8,.819,.296,.094,.133,.296,.181,.494,.673,.419,.409,.378,.300,.724,1.000,.106,33,.383,.261,1,0,acyqu01,2015
Jordan Adams 2015,SG,20,MEM,30,248,.407,13.1,.709,.267,.174,.081,.186,.291,.410,.565,.267,.714,.188,.400,.600,.900,.000,0,.360,.222,0,0,adamsjo01,2015
Steven Adams 2015,C,21,OKC,70,1771,.544,3.3,.995,.599,.356,.038,.003,.005,.547,.644,.408,.333,.000,.000,.650,,.213,72,.000,,1,0,adamsst01,2015
Jeff Adrien 2015,PF,28,MIN,17,215,.432,5.3,1.000,.523,.250,.114,.114,.000,.432,.522,.273,.400,.400,,.632,,.068,2,,,0,0,adrieje01,2015
Arron Afflalo 2015,SG,29,TOT,78,2502,.424,16.3,.623,.124,.136,.161,.202,.377,.466,.573,.375,.486,.447,.354,.549,.958,.000,0,.387,.341,0,0,afflaar01,2015
Alexis Ajinça 2015,C,26,NOP,68,957,.550,7.2,1.000,.340,.353,.198,.106,.000,.550,.616,.552,.508,.429,,.613,,.088,28,,,0,0,ajincal01,2015
Furkan Aldemir 2015,PF,23,PHI,41,540,.513,5.9,.936,.628,.167,.013,.128,.064,.548,.694,.154,1.000,.300,.000,.450,,.128,10,.000,,0,0,aldemfu01,2015
Cole Aldrich 2015,C,26,NYK,61,976,.478,4.7,1.000,.349,.571,.060,.007,.000,.478,.695,.366,.333,.000,,.653,,.093,26,,,0,0,aldrico01,2015
LaMarcus Aldridge 2015,PF,29,POR,71,2512,.466,12.8,.926,.192,.164,.206,.365,.074,.475,.701,.448,.392,.415,.352,.468,.919,.020,27,.295,.355,1,0,aldrila01,2015
Lavoy Allen 2015,C,25,IND,63,1070,.472,10.3,1.000,.308,.224,.090,.378,.000,.472,.707,.403,.259,.372,,.674,,.030,8,,,0,0,allenla01,2015
Tony Allen 2015,SG,33,MEM,63,1648,.495,4.7,.936,.690,.165,.031,.051,.064,.505,.564,.333,.500,.261,.345,.595,1.000,.053,22,.621,.333,0,0,allento01,2015
Al-Farouq Aminu 2015,SF,24,DAL,74,1366,.412,11.4,.653,.406,.140,.036,.070,.347,.485,.628,.240,.538,.120,.274,.673,1.000,.132,42,.500,.306,0,0,aminual01,2015
Lou Amundson 2015,PF,32,TOT,53,937,.427,5.3,.996,.494,.318,.122,.055,.004,.429,.468,.358,.387,.500,.000,.670,,.071,16,.000,,1,0,amundlo01,2015
Chris Andersen 2015,C,36,MIA,60,1132,.580,5.5,.937,.705,.082,.043,.097,.063,.598,.671,.412,.333,.400,.308,.784,1.000,.271,52,.538,.571,3,0,anderch01,2015
Alan Anderson 2015,SG,32,BRK,74,1744,.443,16.1,.523,.230,.111,.095,.086,.477,.530,.683,.449,.452,.289,.348,.541,.822,.025,10,.362,.434,5,0,anderal01,2015
Kyle Anderson 2015,SF,21,SAS,33,358,.348,11.4,.876,.258,.213,.180,.225,.124,.359,.565,.316,.250,.250,.273,.357,1.000,.022,2,.545,.500,0,0,anderky01,2015
Ryan Anderson 2015,PF,26,NOP,61,1675,.399,17.0,.508,.211,.095,.082,.119,.492,.457,.558,.464,.333,.356,.340,.379,.943,.010,6,.148,.340,3,0,anderry01,2015
Giannis Antetokounmpo 2015,SG,20,MIL,81,2541,.491,7.6,.944,.506,.178,.067,.192,.056,.511,.646,.288,.423,.393,.159,.519,.857,.129,95,.159,.143,1,0,antetgi01,2015
Carmelo Anthony 2015,SF,30,NYK,40,1428,.444,14.4,.778,.221,.089,.184,.284,.222,.474,.584,.417,.412,.445,.341,.380,.787,.020,15,.089,.625,1,0,anthoca01,2015
Joel Anthony 2015,C,32,DET,49,406,.581,4.0,1.000,.516,.371,.113,.000,.000,.581,.813,.304,.429,,,.722,,.161,10,,,0,0,anthojo01,2015
Pero Antić 2015,C,32,ATL,63,1037,.365,17.8,.416,.240,.034,.037,.105,.584,.455,.549,.400,.273,.323,.301,.714,1.000,.020,6,.173,.167,0,0,anticpe01,2015
Trevor Ariza 2015,SF,29,HOU,82,2930,.402,17.6,.390,.225,.047,.035,.081,.610,.485,.615,.349,.188,.338,.350,.581,.933,.056,47,.377,.421,0,0,arizatr01,2015
Darrell Arthur 2015,PF,26,DEN,58,988,.404,16.8,.714,.138,.063,.138,.375,.286,.471,.623,.458,.434,.431,.236,.791,.962,.034,11,.173,.158,1,0,arthuda01,2015
Ömer Aşık 2015,C,28,NOP,76,1982,.517,1.8,1.000,.896,.090,.012,.002,.000,.517,.553,.216,.200,.000,,.690,,.223,81,,,0,0,asikom01,2015
D.J. Augustin 2015,PG,27,TOT,82,1964,.399,14.2,.620,.250,.209,.057,.104,.380,.436,.599,.319,.324,.343,.337,.154,.590,.000,0,.179,.386,6,0,augusdj01,2015
Jeff Ayres 2015,PF,27,SAS,51,383,.579,4.2,1.000,.653,.189,.116,.042,.000,.579,.710,.389,.273,.250,,.727,,.221,17,,,0,0,pendeje02,2015
Luke Babbitt 2015,SF,25,NOP,63,830,.479,18.3,.401,.094,.135,.099,.073,.599,.429,.500,.423,.368,.429,.513,.515,1.000,.005,1,.426,.551,0,0,babbilu01,2015
Cameron Bairstow 2015,PF,24,CHI,18,64,.214,10.4,1.000,.357,.143,.071,.429,.000,.214,.200,.000,.000,.333,,.667,,.000,0,,,0,0,bairsca01,2015
Leandro Barbosa 2015,SG,32,GSW,66,982,.474,12.2,.710,.368,.137,.088,.114,.290,.511,.655,.377,.294,.386,.384,.643,.884,.000,0,.259,.483,1,0,barbole01,2015
J.J. Barea 2015,PG,30,DAL,77,1362,.420,12.8,.688,.257,.243,.088,.101,.312,.463,.551,.415,.404,.407,.323,.152,.648,.000,0,.156,.538,1,0,bareajo01,2015
Andrea Bargnani 2015,C,29,NYK,29,785,.454,13.2,.886,.147,.188,.202,.330,.114,.466,.604,.441,.452,.445,.366,.685,1.000,.019,7,.000,,0,0,bargnan01,2015
