player,pos,age,team_id,g,mp,pct_1,pct_2,pct_3,pct_4,pct_5,plus_minus_on,plus_minus_net,tov_bad_pass,tov_lost_ball,fouls_shooting,fouls_offensive,drawn_shooting,drawn_offensive,astd_pts,and1s,own_shots_blk,player_id,year
Álex Abrines 2019,SG,25,OKC,31,588,,63%,37%,,,1.6,-1.7,4,6,33,2,4,10,52,0,6,abrinal01,2019
Quincy Acy 2019,PF,28,PHO,10,123,,,,33%,67%,1.5,10.8,1,1,12,1,2,6,21,0,0,acyqu01,2019
Jaylen Adams 2019,PG,22,ATL,34,428,97%,3%,,,,-4.9,1.1,19,7,24,2,3,3,164,1,7,adamsja01,2019
Steven Adams 2019,C,25,OKC,80,2669,,,,,100%,6.2,9.9,44,41,73,31,110,13,297,20,50,adamsst01,2019
Bam Adebayo 2019,C,21,MIA,82,1913,,,,1%,99%,0.7,1.6,35,35,91,33,98,8,458,30,31,adebaba01,2019
Deng Adel 2019,SF,21,CLE,19,194,,5%,47%,47%,,-8.0,2.2,2,3,9,0,2,4,12,0,1,adelde01,2019
DeVaughn Akoon-Purcell 2019,SG,25,DEN,7,22,,73%,27%,,,9.7,6.0,0,1,1,1,1,0,14,0,1,akoonde01,2019
LaMarcus Aldridge 2019,C,33,SAS,81,2687,,,,5%,95%,1.5,-1.8,28,55,102,39,183,5,459,49,45,aldrila01,2019
Rawle Alkins 2019,SG,21,CHI,10,120,,11%,85%,4%,,-7.1,1.5,1,4,5,0,6,0,31,2,4,alkinra01,2019
Grayson Allen 2019,SG,23,UTA,38,416,38%,57%,5%,,,-11.8,-19.2,12,5,25,5,20,4,58,3,6,allengr01,2019
Jarrett Allen 2019,C,20,BRK,80,2096,,,,,100%,-2.5,-5.0,38,26,112,26,125,11,283,22,48,allenja01,2019
Kadeem Allen 2019,SG,26,NYK,19,416,71%,29%,1%,,,-3.6,6.3,13,6,24,3,22,7,187,1,6,allenka01,2019
Al-Farouq Aminu 2019,PF,28,POR,81,2292,,,,99%,1%,8.1,10.0,29,15,58,14,72,15,243,13,29,aminual01,2019
Justin Anderson 2019,SF,25,ATL,48,463,,5%,46%,48%,1%,-6.1,-0.2,9,6,23,4,17,4,57,4,9,anderju01,2019
Kyle Anderson 2019,SF,25,MEM,43,1281,,,74%,25%,1%,-2.6,-0.1,28,11,37,9,31,8,295,9,14,anderky01,2019
Ryan Anderson 2019,PF,30,TOT,25,322,,,,97%,4%,-11.8,-7.5,6,1,13,2,8,3,45,1,7,anderry01,2019
