,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24
A.C. Green 1996,5.0298436469323295,-2.835884996812863,-0.4149330387129228,-0.492938833115432,2.69801734394488,1.0617248053400135,0.177164354057119,1.3748627105745894,-3.067314197980998,0.7227526205834922,0.5063099657943645,0.992266056000232,-0.47936554808719667,-1.4729737717935079,-1.6224344683155194,-0.884452741154065,-1.0108009398197708,-0.2078175662587017,-0.5476301272459297,0.806682400328416,1.022561156116576,-0.04735317246244028,-0.14778154411161312,0.3444987911243611,0.1327925816535784
Aaron McKie 1996,-2.6000828413754635,-1.9255554386878548,-2.84397355664885,-1.042675276606934,0.6035034556191029,-2.175522870641423,1.2787061601493814,1.5252223006721692,-0.09569591281348512,-0.9746926936254405,0.376053231038232,-0.7414571830020272,-1.6400094812044845,-0.12707061677822443,-0.05657224668276065,-0.524675393366911,0.8321223398213136,-0.8310461049768771,1.4825152675435789,0.1112912666944215,0.3965493264432187,-0.026602175541898528,-0.0858531675448662,-0.09306826477459597,0.2953144778532751
Adam Keefe 1996,6.500730084005899,-3.01596109419755,-1.444161285924165,-0.12425901209518497,2.182096766211421,-2.2168055381691727,-1.1096484045770925,2.042180809107095,1.1267846619647681,1.1711748832181748,-0.14369735834177433,1.4681138263669502,-0.5504455994541895,-0.5050055508184581,-1.3925583665545263,-0.18196334446122148,-0.954723339214247,-0.4778918151644972,0.17870797237231423,0.6550302161728733,-0.20901294437690032,-0.07378445238053065,-0.16715435945426768,-0.13638369363890662,-0.2412751027771531
Allan Houston 1996,-4.164673492065165,0.3169823982150622,1.9977167162352756,1.762262866791846,-0.26067150986391935,0.949600094951513,-1.450103832740672,0.7980785965219558,0.17488524371884953,-2.8818611474633253,-0.2016375261313982,0.9157923106979908,-1.0775472276961606,0.3732668946022008,-0.09851346524844486,-0.013647695385937365,0.28833589238998253,0.23680810332128382,-0.8907445480274293,0.17871980178434047,0.2746648804638888,0.2649780661180364,-0.034637405713573106,0.07924694019262074,-0.011079378882295345
Allen Iverson 1996,-5.596374562392654,6.694431361785735,-1.7426785951742612,-0.4920140854393397,0.00018041271075234697,-1.436437119117813,0.07307034581596585,-1.0721946992322022,-1.2507827617556158,-1.4874396654436617,-0.06482089267516886,0.08371882452599849,2.2828375292206657,0.2425576279771531,-0.40180044316445535,0.04780545718138219,-0.1663071118656002,0.8771103500901971,-1.3072600390972964,1.1753081619807026,0.0878911780857354,-0.2400827444931173,-0.358131896938058,-0.45008911261917833,0.05808576023463406
Alonzo Mourning 1996,6.914497601584455,7.118922039221697,1.4282921298363496,0.02482708211572112,0.09436133683648447,-1.492187053881917,0.3224395130850532,1.2418915802966468,1.3337762527228114,-1.030498205535802,-0.6474108499590348,1.1689202682360091,-0.05128165024671944,1.0172479353585484,1.5648346898709191,0.2747608985929696,0.3434561247375308,1.1715932085952292,0.34064662308700516,-0.8277699800589702,0.48669866796566824,-0.23581564103653052,1.2918939950434123,-0.4731302717457121,0.3287371771263592
Andrew DeClercq 1996,8.638173134708605,0.3766970882031005,-2.008237024989973,-0.09243818814969208,-1.6349608001084848,-1.8763983624069074,-1.3977845353037222,0.49422754620208126,1.4072560992821717,-1.2572812521231305,1.2960726070073219,-0.8014103651182333,0.37130055522551725,-0.30403851555318234,-0.557770905040988,-0.7382015847503922,-0.8291583892623017,1.1163396670006394,-0.2864438035434689,-0.40682937155519544,0.008885962946647959,0.28237928527470035,-0.3056967972278652,-0.16025827466259568,0.09566314758497509
Andrew Lang 1996,7.121034556142042,-3.8211628414217453,-1.4034846949916633,0.8142805024993661,-0.17579652435792925,0.3398816722309831,-1.1677163464797233,-0.8914945967875989,-1.967861302780902,0.9424572933893112,1.0167434062862424,0.7528897101458322,0.6613292124044261,-0.8439008573014656,0.060632392032307136,0.11659382714752789,0.9211537638372715,-1.184272484285873,-0.5104449637268145,-0.2519963762924164,-0.7525871057979883,0.5237354188629758,-0.2934032351290561,-0.04031662909683326,0.3157933210495073
Anfernee Hardaway 1996,-3.8493879584314867,5.574599346918323,0.05319652851435856,-0.7777541914523494,0.6919103260411571,-0.9402189217153518,-0.20963199806431215,-0.40758139172605484,-0.7477949173442682,1.3075530925677077,0.02023615602924784,-0.08296995154349383,0.8783930471998493,0.8592386793458181,0.20108480689029393,0.2585091934042824,0.9692717648960456,0.8980200472296554,-0.15875505068801982,1.1667560165944815,0.02371155839719064,0.0326059339242606,-0.2065954054675795,-0.06163471565286104,-0.09524833173393167
Anthony Goldwire 1996,-7.515818464678808,-1.8360727837796422,-3.092795657355859,-0.8171120437716012,-1.187515022876285,-0.8183539748944187,-1.9542051728295484,-0.3612044493619964,0.3366707345667489,0.313666013410035,-0.12093861475540145,-0.19587587109278817,0.023525182215356995,-0.4129919226316895,-0.22724755107422392,0.5934555248352993,0.21738853140833628,1.2737281219902303,-0.1785550544436924,-0.5213479989145914,-0.22844134068985666,-0.34823322281785835,0.0734718069569663,-0.4978297806739948,0.44911326989653794
