,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24
A.C. Green 96,4.455118640087516,-2.9833591216833484,0.18193597403989265,-0.9675969780769528,0.8524767131974654,-2.900565002568564,0.9556017278090009,1.8268498560019144,-2.567097992275683,0.36380413851380117,-0.8460181243229214,-0.28057700930145624,0.3011167684042921,-1.0307784613525002,2.111109735374209,0.0821930831010007,0.9027401874082176,-0.1480111765866218,-0.14906445839757712,-0.5763361371650281,1.084740878493154,1.3808548288754017,0.08172296130334385,0.017004343167588396,-0.6545797985170314
Aaron McKie 96,-2.622212309119608,-2.236078747162509,-2.6298796054249673,-1.2033830239494026,-1.605217099773675,-0.12861749951382692,1.7703320865544998,1.8067292077556174,0.5099377872067942,-0.9106752243180712,0.020384248004652234,-1.4070260216923003,-0.8496671002915744,-0.17100524544440765,0.6841961539327285,0.1604508263327834,-1.3253314751739658,-0.8768176279938108,1.0216080336312126,0.2818813368225382,0.5710220430596352,-0.07405901247264121,0.1835984802286077,0.1709117039929504,0.2905941333823106
Adam Keefe 96,6.00027021834875,-3.2498782985360317,-1.4747089198793402,-0.3933413562220947,-2.323436586304666,-1.8934561645749994,-0.16594981413533555,2.1234086532733323,1.2703236209377318,1.0560593098385163,-1.7892889362277724,-0.14171788662463464,0.1838010967984856,-0.24856842692334452,0.6590539831745337,0.2217901740137087,1.1498418944516338,-0.5623392472334253,0.5300335963642704,0.1787607430474383,-0.16160686180891945,0.49693677166542577,-0.13196481375744396,-0.16923498656878272,-0.32352015878841317
Allan Houston 96,-4.2069841733692215,0.3152209136024337,1.8012206860118545,2.2351280759514167,0.7493527979803479,-0.5364856702048034,-1.1688555681618982,0.8558547111816183,0.6597883074075104,-3.0582272640386687,-0.8902396937641739,-0.103656234911671,-0.8639272983631443,0.2771827853547159,0.21351792814810894,0.03409457859506108,-0.13976951571857218,0.3712168853963084,-0.763497843515317,-0.2700376076405336,0.026574546437627838,0.3956800623167809,0.1374367848327337,0.02428282344194313,-0.24566264116966366
Allen Iverson 96,-5.257438340469405,6.088374738182888,-2.221097534028124,0.2938104949301683,-1.3822273104599518,-0.22524796626600607,0.8210829768518109,-0.8971607056611172,-1.331013065842145,-2.180341421646234,0.31326795749731856,0.8592417412518067,0.43497580863190427,-1.6217634064274162,-1.2729066997876526,-1.1703429165258523,1.0736836914328185,0.8828099718607036,-0.21493119848870387,0.08798270797624579,-0.015257222729434205,0.13864220228992674,-0.4673017522293781,-0.3727337325062243,-0.0584451232791387
Alonzo Mourning 96,7.183227043189552,7.229395868444033,0.1045660606216944,0.4357274199671424,-0.9001895007743576,-0.2697360730197107,0.43203579201825193,1.2786181288092706,1.679730375398866,-1.2684113711717058,-1.412002031068851,1.2008122248636208,-0.9621248055547418,0.07070134785709581,-1.1243821527623035,-0.39479624809431924,-0.16843001083725243,1.029303740352547,0.04850606527934704,1.082663933938327,0.8091280604368568,-0.38943328040403463,-0.3703669714419675,0.8718538385572515,0.17344294340857133
Andrew DeClercq 96,8.526301913129078,-0.5335033026707161,-1.9675353323418519,0.8747857210027948,-1.9372518482319516,1.2446696052480908,-0.8823317030220266,0.46380410299081376,1.7017394922209494,-1.4358081350894973,1.0957147518691515,-0.26874346646138125,-0.2094304759180702,-1.354790981570881,0.4559862197473429,-0.28425228324555835,1.1736331598669454,1.0133320279290994,-0.2693957906425351,0.8216196049306393,0.2950862116008165,-0.15482284273426467,0.41903562522633875,0.02225288732302768,-0.22784665635170737
Andrew Lang 96,6.884591170882489,-4.546861380710143,-0.5062268337608844,1.0945676418486872,0.10232420474248045,-0.679851579493034,-0.4227003704709934,-0.5453597464936166,-1.5587801517522926,0.7056266339944984,-0.12048287727085032,0.9488888820002079,-0.03303847656766655,-0.8827818646855896,0.539451326196376,-1.2840079343783668,-0.497529510372874,-1.2921800195721713,-0.7638409624291008,0.6416500774387632,-0.5860494874718756,-0.02767206374411746,0.39927072043723094,0.016394747180686967,-0.008024116261095894
Anfernee Hardaway 96,-3.6801232215658137,5.568030418750808,-0.4006585122280579,-0.5337582927522719,-0.9246379151772839,-0.7675789733312043,0.4702135678180835,-0.2270203717183419,-0.7847081702447635,0.6803835098525404,-0.46314133097461274,0.1643524646771461,-0.7485364069041298,-1.2974627522838074,-1.4748428542163896,-1.6248139110512263,-0.3005565078225026,0.8076436144035662,0.4967168934193264,0.3414484928052496,0.17761900380733303,0.38968370803056573,0.013010053682622771,0.02399842403851291,-0.37604008500089553
Anthony Goldwire 96,-7.258814293289975,-2.319595639897849,-2.4553646332947676,-0.4928720953668444,-1.1361607004325665,0.8423334676690827,-1.6667983672060827,-0.4353242358755238,0.3221911916768811,0.00903789660255437,-0.4270437854067815,-0.35841891436479745,-0.02377938433852351,-0.3013190402728587,0.05001286129587563,-1.2638550794602785,0.30705211289966916,1.0291107943340805,-0.2317535101740947,1.1779658698510134,0.23466853284167022,-0.13325182643840922,-0.3525258808964699,0.07422316826186555,0.7309675687423014
Anthony Mason 96,3.338810470996181,3.1172204064983693,-1.4939528313442707,-3.8731663123139604,2.346939657385896,-1.2585454729774936,-0.9481812860933402,1.8688091430088594,-1.9883114813681029,0.7523989480225769,-1.055832823155539,-1.2205671978141512,-0.017479618953422718,-1.5186177221829995,-0.06001335927954743,-0.8456529462536722,-0.028266972559493692,0.481299123082202,-1.0232368943766614,0.5668091192746142,0.9914564703374802,-0.2825716677511472,0.1858898276714169,0.7392896109634046,0.8750917413251514
Anthony Peeler 96,-4.892366736113849,1.1728317267630908,0.48756605924642077,1.3118643667623628,1.3706198624830108,0.0795482473658685,1.997427935133255,-1.2087966916488535,0.04189126689318282,-1.1678063557684728,0.35911941046572365,0.5517708201558932,1.7512331553606357,-1.4640602099506335,-1.0068935109755537,0.03389212966092171,0.6940897186413495,-0.1630240784005047,0.25438426968281436,0.4262207905563351,-0.03732239501138257,0.15935197572886559,-0.20841517554090797,-0.4274809872791005,0.060767743064119674
Antoine Carr 96,3.7686154483035788,-0.4865430273789718,-0.45871210798813294,3.18308425890803,1.9135502410238938,-2.062650072791194,-1.517972310703211,-0.36560028004397227,2.4460709023142004,-1.3362513602614488,0.9256283568562544,-0.03740567031413084,-0.6449428423152509,1.254195244418168,-0.5037583293212538,-0.8691594662310446,-0.5581111766499987,0.5538635820362553,0.651209764915744,0.939953938167877,-0.40152839742981844,0.09368321423950372,-0.015731886909337817,-0.5265143534899402,-0.1623602815546775
Antoine Walker 96,1.5298325212743882,4.01808571103598,-0.37866859649989065,0.21361990110149504,-0.36090465191582843,0.24248740637325852,2.797879496924427,-2.0103050574207226,-3.636311965813839,-1.9494607952390204,-0.701222658072331,-0.5635625480992916,1.4876984889144198,-0.6442899321205776,-0.7767007064040523,-1.792355583551288,0.6023941076803876,1.1744304710980455,-0.16953726801479374,0.13833130288527212,0.20760441385482262,-0.20113523947355813,0.1869010120547958,-0.2819859321121558,0.2748009591075711
Antonio Davis 96,6.672184039908158,0.9488518685740267,0.13319931261197088,1.2972505310354976,-0.6189698995100665,-1.082421862015929,0.09298226660488756,2.3932954666793806,-0.21113900739581715,-1.7182361276500264,-1.1690947889640357,-0.36589108580212204,-0.6047539039202585,0.1798547474708691,-0.26023728903327165,0.35113313712771543,-0.02090189472962787,0.056833540527132693,0.09151557130218495,0.2873558176862035,0.43168908534894407,0.04826047906737177,0.0626646905479721,-0.3336308081801948,-0.02416977942539874
