,hard_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
A.C. Green 96,12,7.29586508627272e-22,0.0,1.226255533736331e-39,0.0,0.0,1.7057790810916518e-239,1.4732322270537771e-115,7.532419048517928e-70,3.6365481705935835e-214,1.47362861636121e-66,4.099678360981596e-193,0.0011872573610176176,0.9988127426389821,1.415476936024168e-98,5.705917025420182e-299
Aaron McKie 96,7,6.815669866682341e-10,0.0,1.5683894046623514e-49,0.0,0.0,4.851184850233165e-05,2.503158958789175e-10,0.9999514561773317,2.9673674461167364e-17,2.9179079383360575e-08,1.686949067678451e-15,2.5412753785864816e-85,2.0018622261652025e-28,1.8632009364435675e-09,1.422639953199062e-22
Adam Keefe 96,3,1.490449141387987e-10,6.262326637344661e-29,1.6655088901317451e-72,0.9997784240036851,0.00022157582736136717,0.0,2.2795453864495505e-227,1.947662405367584e-125,0.0,3.471898294794644e-125,3.604203055914253e-306,1.971334071226861e-11,1.9640936242605743e-13,1.2949903766434525e-217,0.0
Allan Houston 96,7,3.082195732101175e-30,0.0,9.996866745294026e-12,0.0,0.0,6.699612908514126e-05,1.1476112774842893e-20,0.9999285069121641,7.236654955607874e-18,1.1912661378730764e-27,1.4483859240591174e-14,7.807107560449414e-145,2.8126658589801577e-74,4.496948738328992e-06,2.973958223869508e-27
Allen Iverson 96,7,1.1928925354122622e-33,0.0,2.019271244933479e-07,0.0,0.0,7.790823039774159e-12,5.2853316376133356e-52,0.9999997980648301,1.892024523932603e-50,2.4864397316497506e-19,4.121715963470302e-40,8.604183493060973e-110,2.6895711287825906e-41,2.557751780893534e-13,8.179079513966184e-68
Alonzo Mourning 96,4,4.586528432403996e-41,1.1296976192103741e-95,2.182355225299203e-44,1.0654447938530989e-73,0.9958068368632259,0.0,6.9426094536e-313,3.3201956268682136e-111,0.0,3.750297933914851e-157,2.1792548598174607e-301,0.0041931628924285385,2.443468594117413e-10,2.0706633960781056e-201,0.0
Andrew DeClercq 96,3,3.6990875556459923e-19,1.8069583748306164e-41,3.233526564686707e-73,0.9999596629597955,4.0334185923033876e-05,0.0,8.439662405588202e-262,2.769587187397017e-140,0.0,9.532856959107166e-162,0.0,2.8542604643926202e-09,2.1374604185678018e-14,1.4809451551936756e-247,0.0
Andrew Lang 96,3,2.9121405853458752e-18,9.824952595049965e-11,3.556694745195622e-69,0.9999969562677927,3.0436339544154075e-06,0.0,1.949918358149344e-211,1.5299915500518052e-138,0.0,3.7403722872718977e-141,0.0,1.195538710118105e-15,1.4448474157394256e-15,3.287477085728504e-215,0.0
Anfernee Hardaway 96,7,5.356725999427143e-28,0.0,2.6453509813187807e-07,0.0,0.0,2.4354387219946344e-20,5.490651287174153e-55,0.9999996661802466,9.817427009023543e-51,4.606450967297229e-18,8.057303574270284e-36,1.7544681595145441e-62,4.171277647512367e-23,6.928465425105604e-08,1.517197368165024e-76
Anthony Goldwire 96,7,8.16783668397995e-48,0.0,7.62382618729083e-47,0.0,0.0,0.40481700947787624,1.4793881077967654e-23,0.5951829905219957,1.5964129790687938e-15,1.6620265068402367e-37,1.260455485576718e-13,0.0,2.4943867053357676e-145,1.0278758750885249e-24,9.565858902550517e-25
Anthony Mason 96,12,2.1442847054573666e-26,0.0,7.730304154436961e-26,0.0,0.0,1.5070826828150524e-272,1.8449536788622897e-166,2.2166794006901373e-60,9.42518287312557e-263,8.213466334753337e-54,8.497103067718663e-172,2.4573028435797203e-13,0.9999999999997513,3.715319910379171e-138,0.0
Anthony Peeler 96,7,1.3858310704209125e-26,0.0,8.281735089825695e-15,0.0,0.0,0.00019857559169377383,4.071657944434517e-17,0.9998014234097448,4.3148783851010885e-15,7.460935786150755e-25,5.382154765069562e-18,4.894951887663442e-139,2.6165208907666994e-80,9.985488398669307e-10,1.0028999481826638e-22
Antoine Carr 96,3,1.2558574074058576e-19,5.817662202314444e-18,1.39721610353708e-59,0.9963074622856107,0.00369253769205505,0.0,6.100788359473196e-242,7.630091150559343e-133,0.0,2.1665161907863578e-134,1.470263779377508e-303,2.2324248685979812e-11,8.852326548113421e-15,5.6580337330434226e-220,0.0
Antoine Walker 96,7,1.5372334963453464e-36,0.0,1.8201445133405732e-10,0.0,0.0,1.6195865221474114e-28,3.3849911529612397e-31,0.9999885773590943,6.312896978560942e-39,1.2311723282288906e-24,4.101542936097201e-35,6.36510297222964e-10,1.1395152780402809e-05,2.666960085722108e-08,3.176756592074477e-59
