,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20
A.C. Green 96,2.287779155895845,-0.7597647753933058,-0.8340368040455639,1.0505900752874182,-1.71832952554312,-1.916075060087715,1.2529694957685118,1.0657714905967282,0.9797179451771593,0.9156586319765407,0.25654660718141337,0.675848314466144,1.228399292364482,0.4583742824857574,-0.41679076289015216,1.676290798613382,-0.9904578504431725,-0.5844924716997134,0.8237478616242051,-0.724647069897344,0.48138991915536533
Aaron McKie 96,-1.1921522339761925,-1.5119237974479816,2.0004253825457345,1.0735804923002337,-2.2437871668842773,0.9018050049804723,-0.9600457593798465,0.5800252103117868,-0.8982223428644489,-0.05428615767897247,-0.37309773397029605,1.0126742214257154,0.6072026989006379,-0.687582412673847,0.6444796441405998,0.33218248147331103,-0.003901496795154885,0.794639975983312,-0.17596377115638565,-0.2842772172551972,0.39952095255532893
Adam Keefe 96,4.181718244414699,-1.0088459421011873,1.4566146432318852,0.120231569375103,-1.8363683880827384,1.865486953813902,0.31718511642865765,1.7644229022047324,1.4001953069131123,-0.19882512109647035,0.14674377034414732,-0.2319865038309618,0.4405590442087959,0.0699417939602577,-0.9295335007014524,0.2602605445741581,0.2912540562428944,-0.30906991098647624,0.7911597657830142,-0.30938671023645753,0.32493243842033004
Allan Houston 96,-2.736333350514912,-0.40068914500004654,-0.16389250025741225,2.395373761170204,0.4311802509131266,0.222615479920926,0.2138369572510597,0.3159038144366581,-1.951598949793061,0.1432670290537179,1.3348640599568398,-1.0305646630601606,-0.8087609889478836,-0.12370303681552601,-0.007744317788891849,0.37860281971682747,-0.24784248344209714,-0.41636804761179563,0.3734674920211627,0.06332761658989662,0.10867926987570864
Allen Iverson 96,-4.28121614572701,4.102107699140015,0.49857920579317194,-2.292835784325941,-0.6512799778493175,-2.0757544642926993,0.5926795766290583,0.08273055253807528,-1.04044370992089,0.630842165404788,-0.9134772881292635,-0.55557802871203,-0.893530540319434,0.46012590431689526,-0.3336557165322947,-0.4714907531077507,-0.389636278745757,-0.26989439569301577,0.06771585764452247,0.06635696252862396,0.0839505035434949
Alonzo Mourning 96,3.330589008909188,6.037443942071895,0.6026718494965112,1.4151831034546047,-0.09464029778425105,1.3680145518186293,-0.5794423030272049,-0.6845339774038262,-0.32666577873143887,0.47136978045847366,0.0710054791810233,-1.296161643362482,-0.4465116648206531,-0.2155228947760184,0.06898731857622392,-1.0586670767743969,-0.2490034829480351,-0.27935615203160014,-0.593289066117707,-0.2769141802407291,0.018976875705754324
Andrew DeClercq 96,5.892689255116093,0.7004441915535392,1.1184543237438238,-1.158674531181783,0.3789569610326366,0.11879134376527094,-1.2745021775725445,1.2508348210268319,-1.6419477375077975,-0.552484873353877,-1.114136679175407,-0.09331428623613719,-1.0521402333906082,0.8172483117349174,-0.7695341021102903,0.45862311786161264,0.3215572456591177,-0.22754935700495355,0.36826624811528696,-0.029899827704539684,0.24084838879036283
Andrew Lang 96,4.758967475181066,-1.73870202208925,-0.18244733502221291,-1.2730163568117414,0.03014894249788262,-0.6038804078803008,0.9136585844142552,0.2195216758090769,0.9309389983190525,0.4167781798326607,0.19008120637702405,0.15282805394249271,-0.12898495634176319,-0.09161293200310078,1.5167187140974119,0.3126833949287147,0.38843333148453346,-0.6393559472294036,0.029940851665113406,0.10346858812684562,-0.18813544895543902
Anfernee Hardaway 96,-3.177156980327647,3.629498617134213,0.08307003071949777,-1.0259635453765708,-0.5037388983449564,0.20133173868882565,-0.3480419883456941,-0.2157741663123213,0.8428280754212203,0.7023559996585671,-0.05134271988290715,0.4419054230185124,-0.009982836640458848,0.49582940896511,0.5567761545268575,-0.7472041452627777,-0.7535309061578881,-0.4484926303115321,0.1533703726055833,0.405083619597014,-0.3977835434222267
Anthony Goldwire 96,-3.319399813836511,-2.243199462069856,1.057716106748505,-1.7613702890753649,-0.014816365420308463,-0.3163028076749048,-1.5312923375401248,0.7910506806796938,-0.12785970096263635,-0.6145326619552076,0.5427351429649663,-0.4502625388639307,0.16492068151843892,-0.201530570873117,0.04735777934290622,-0.14048401245091613,-0.1534618985942755,-0.6652063028060009,-0.7748230701192558,0.17033692471008938,-0.3853541523222449
