,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26
A.C. Green 96,2.2877791558959624,-0.759764775393279,-0.8340368040456356,1.050590075287303,-1.7183295255431867,-1.9160750600876868,1.2529694957684752,1.0657714905967257,0.9797179451771569,0.9156586319765243,0.2565466071814068,0.6758483144661281,1.2283992923644924,0.45837428248575757,-0.4167907628901555,1.6762907986134126,-0.9904578504432124,-0.5844924716996838,0.8237478616241348,-0.7246470698973366,0.4813899191553961,-0.13691778782980957,-0.21132935597881852,0.12188964455560945,0.03779238552490365,0.016401663051900994,0.00039015866705153466
Aaron McKie 96,-1.1921522339762773,-1.5119237974480204,2.0004253825457194,1.0735804923002426,-2.2437871668842795,0.9018050049804934,-0.9600457593798477,0.5800252103117857,-0.8982223428644552,-0.05428615767896583,-0.3730977339703162,1.0126742214257098,0.6072026989006328,-0.6875824126738527,0.6444796441405902,0.33218248147331725,-0.0039014967951488356,0.7946399759833072,-0.17596377115639947,-0.28427721725518734,0.3995209525553273,0.36724989957086485,0.14457298405759283,0.08106913746386107,-0.08842035880270747,-0.00894501289580965,-0.0370768260068176
Adam Keefe 96,4.181718244414744,-1.0088459421012075,1.456614643231859,0.12023156937512094,-1.8363683880827049,1.8654869538138885,0.3171851164286235,1.7644229022047337,1.4001953069131068,-0.19882512109646103,0.14674377034414451,-0.23198650383096078,0.4405590442087987,0.0699417939602511,-0.9295335007014509,0.2602605445741565,0.29125405624289324,-0.30906991098647607,0.7911597657830134,-0.30938671023645675,0.32493243842033126,-0.11397763661972339,0.012833523265686209,-0.18443871570407686,-0.0766460034219734,0.10857516421632425,0.2249236735127848
Allan Houston 96,-2.7363333505149483,-0.4006891449999836,-0.16389250025740365,2.395373761170215,0.4311802509131284,0.2226154799209349,0.21383695725104443,0.3159038144366628,-1.951598949793064,0.1432670290537215,1.3348640599568369,-1.03056466306016,-0.8087609889478848,-0.12370303681552372,-0.007744317788902692,0.3786028197168321,-0.24784248344210622,-0.4163680476117965,0.3734674920211575,0.06332761658988335,0.10867926987571791,0.04013889768925278,-0.05347531461041913,-0.05940656433379073,0.14533053513646615,-0.05251453142090187,-0.056696161309817666
Allen Iverson 96,-4.281216145727016,4.102107699140027,0.4985792057931723,-2.2928357843259453,-0.6512799778493159,-2.0757544642927006,0.5926795766290585,0.08273055253807438,-1.0404437099208896,0.6308421654047872,-0.9134772881292661,-0.5555780287120329,-0.8935305403194321,0.46012590431689704,-0.3336557165322957,-0.47149075310775224,-0.3896362787457589,-0.26989439569302354,0.06771585764452244,0.06635696252862838,0.08395050354349987,-0.7653306569533012,-0.021601725272230057,0.06130906231507795,0.012433246144366032,0.025331734165309452,0.003758839466018653
Alonzo Mourning 96,3.330589008909241,6.037443942071873,0.6026718494964804,1.4151831034546145,-0.09464029778425678,1.368014551818655,-0.5794423030271918,-0.6845339774038239,-0.3266657787314375,0.47136978045848815,0.07100547918101657,-1.2961616433624807,-0.44651166482064936,-0.21552289477601094,0.06898731857623937,-1.058667076774391,-0.24900348294802607,-0.2793561520316037,-0.5932890661177316,-0.27691418024072684,0.018976875705765298,0.14417689361764485,0.1582548351657042,0.44166983116869857,-0.03183834544495997,-0.18201312689240587,0.0914090000052971
Andrew DeClercq 96,5.892689255116077,0.7004441915535605,1.118454323743825,-1.1586745311817852,0.3789569610326419,0.11879134376527173,-1.2745021775725454,1.2508348210268274,-1.6419477375077918,-0.5524848733538832,-1.1141366791754068,-0.09331428623613629,-1.052140233390609,0.8172483117349207,-0.769534102110297,0.45862311786160753,0.32155724565912147,-0.22754935700495177,0.3682662481152884,-0.029899827704541235,0.24084838879036202,0.08082996956570593,-0.05100417014337826,-0.045880775665425894,-0.2873137200554755,0.22678199009336802,-0.1311600850708956
Andrew Lang 96,4.758967475181066,-1.7387020220892515,-0.18244733502221722,-1.2730163568117414,0.030148942497876162,-0.6038804078803071,0.913658584414258,0.2195216758090814,0.930938998319053,0.41677817983265886,0.19008120637702497,0.152828053942492,-0.12898495634176613,-0.0916129320030981,1.5167187140974132,0.3126833949287131,0.3884333314845329,-0.6393559472294053,0.029940851665112945,0.10346858812684014,-0.1881354489554376,0.21195016666638283,0.14531826288017355,-0.1722978726590911,0.26454569171295317,-0.03570622389547661,0.017017924700599214
Anfernee Hardaway 96,-3.177156980327649,3.6294986171342085,0.083070030719505,-1.0259635453765739,-0.503738898344958,0.20133173868882812,-0.3480419883456956,-0.21577416631231994,0.8428280754212202,0.702355999658563,-0.05134271988290867,0.4419054230185138,-0.00998283664045502,0.4958294089651124,0.5567761545268559,-0.7472041452627839,-0.753530906157889,-0.448492630311534,0.1533703726055827,0.4050836195970135,-0.39778354342222727,-0.4744997294960971,-0.22627438096143146,0.09878269830533272,0.08216497786009438,-0.10969410046024601,0.07036193422925792
Anthony Goldwire 96,-3.319399813836537,-2.243199462069834,1.0577161067485077,-1.7613702890753518,-0.014816365420321255,-0.31630280767490837,-1.5312923375401384,0.7910506806796842,-0.12785970096261404,-0.61453266195521,0.5427351429649656,-0.4502625388639258,0.16492068151842923,-0.2015305708731162,0.04735777934289564,-0.1404840124509266,-0.15346189859427284,-0.6652063028060089,-0.7748230701192453,0.17033692471007975,-0.3853541523222268,-0.13525722240109395,0.3828840025003169,0.18191800089206103,0.03434471767245948,-0.08436175782488829,-0.19787224184572946
Anthony Mason 96,0.7749917227466175,3.1998026271104596,-1.5542746932549825,0.7598759241186819,-1.2183259331787273,-2.251210392931614,-1.379517006362717,1.238547701812857,1.5983424338287104,0.7597833549628253,0.24309834128541585,0.5207266745867983,-0.16075755228210167,-0.6118902167611674,-0.5533264055333076,0.8368707915117441,-0.6307754330733022,-0.1421234888025769,-0.6318261799496812,0.5861569041188397,-0.30939571443918373,0.5849966656502495,0.6981656690995031,-0.21210134992702268,-0.16186058165226808,-0.06319376020217593,-0.05150008694735419
Anthony Peeler 96,-3.5103099898162125,0.14820614667758222,-0.2378646120003221,-0.15657137144829705,1.0887177770025123,-1.3861083117332558,1.4913163757215802,-0.8827437938192203,-0.25944955305933776,-0.07862639732516054,-1.6653406971260871,0.19129595524625162,-0.631123574169741,-0.24783829144837569,-0.16583926443084612,-0.7896579842929573,-0.21777383810680598,-0.30167398191550976,0.2785850100915333,-0.3639238718717996,-0.02821072742522946,-0.3613412251242396,0.13218697318798447,-0.21183338282828854,0.1877807076938808,0.008906215817416447,0.04828486388317508
Antoine Carr 96,3.142857423800887,0.10060174694416138,0.8580141131044032,1.9671517201053084,1.6879897166391307,-0.002568627958546367,1.0644912362846946,0.7221394374088299,-1.1731926922684415,-1.9563243496766847,0.29528865015125744,-0.9724654601715749,-0.4275198280648062,0.7530877357759216,0.6590256604210006,-0.247715490683808,0.7760113748754509,0.7402232593338925,0.23135737375992804,-0.03945735754300407,-0.4765658668552142,-0.15313958901542934,-0.018352397772593548,-0.11706753029855872,-0.12374657594728261,-0.08248258711462794,-0.05746808001457897
Antoine Walker 96,-0.5360151305027153,3.552213715149232,-1.0506222847146387,-2.9559852053877633,-0.6191495829974927,-2.6171755951944573,1.9127940376873165,-0.8865016510039758,-1.4906386184028844,0.8209800164294018,-1.093155120126087,0.14265068105751233,0.010029380266878246,-0.7645067513888537,-0.23327662592934248,-0.13745119532800812,-0.6449223757479512,-0.7745097022363735,-0.20732864882384694,0.7656124329676647,-0.08834797041408378,-0.1531621985329784,0.07887568879076128,-0.00019859922560773598,-0.19215955620599912,-0.036627488888986974,0.0052374070251672185
Antonio Davis 96,4.014077068856631,2.122527980492723,0.27232865457153654,1.6761125428963637,-0.7462649564038007,0.4566877039604706,0.44189137133035455,1.2286485714561612,-1.1197240392307346,0.8222643569739713,0.5828172712282578,-0.44763311090435537,-0.04941581394269251,-0.4716473788558653,-0.35288753433983217,0.002704537520500207,-0.08288408021564563,0.13580285318956256,0.16361032148730734,-0.3567952219764246,0.028243213474633287,-0.02999467907208277,0.01684263840117471,0.1188029879442466,0.14991536383496873,-0.16928763826196336,0.03910858808930163
Antonio Lang 96,4.559665421002378,-2.5449190821900074,3.2016402825472077,1.2300234483901396,0.40197660033685634,0.14074292183155931,0.013231939476889875,0.6313442722589303,-0.5267034967210985,-0.09468392162442746,-0.582473389034087,0.5124958333769308,-0.6417995640473734,0.3641125843746833,0.6464372985976069,-1.0628195242318148,-0.09046645660628685,0.28168518210359994,0.6485369488568665,-0.3276903847274962,0.44835226497883074,-0.2666483665783024,-0.15978077727908363,-0.12447337131373158,0.10588566893091704,-0.0021824154782591094,0.12873670715862517
Antonio McDyess 96,1.4777179928582056,3.5305543368164827,-0.6335901496012607,0.26975178812946216,1.2441631537842577,-0.9506357886657328,2.2616835369646178,-0.09127858303991278,-0.4629304008274498,0.28468520459958124,-0.9646698813225116,-1.2669187919905043,-0.6149351495240852,-0.21284558972583167,-0.03949240901106476,-0.8600763635058641,0.14147332287741962,0.05784940725230488,-0.20240783907251733,-0.10554448891920074,0.1475229173628206,0.15085354731888775,0.12919463991453875,-0.060687540146894266,-0.04021764469170795,-0.12627766384208683,0.025241290134060613
Armen Gilliam 96,3.0921419556726173,0.8561940589759975,-0.730435198789235,0.08368031784614308,-0.6808456551527807,-1.069927447605789,0.8361711735004334,2.177651241232695,1.1218296814474575,-0.10048288525128768,-1.1409917785617831,-0.4787250521525691,0.7516858630585512,0.2915808325617602,-0.2865458534950304,-0.4636999260406918,0.5713239685620197,-1.5399344855182593,0.3203466609780812,-0.0807828764649041,0.2818925089441323,0.5128450785443883,0.10654720039840862,0.06757737851412478,0.06646119471922385,-0.1392009550430597,0.09695737508282208
Arvydas Sabonis 96,1.8722595520288556,3.3372591194926384,-1.0720690349160726,0.9679469235998642,0.431283663896867,1.6882527982764888,-2.606284075512325,-0.7361642793622961,-0.25403550490040366,-0.05759352039198034,-1.7196065270540846,0.17313495270908497,-0.1280194912777822,-0.7736277770067018,-0.9873074739393267,-1.5146792853675048,-0.1564446217502283,0.2831486589767173,0.18943830756698538,0.7058952677919433,-0.1518052684866674,0.5290577498405306,-0.15064687201121027,0.3668436369523836,0.23440099971574577,0.43622121400705893,-0.10520384219664332
Avery Johnson 96,-1.4171272389290694,0.4538788691076799,1.0005939642371013,-0.8016824669593625,-1.447008055575778,-2.8617924268313324,1.1524644327885931,0.7911801060567707,1.0546804721775815,-0.8941190964022026,0.6691707740407135,0.13382238055232257,-1.0842432621432145,0.5171019849716758,-0.6707601267336021,-0.799777867777047,0.6322707005316783,0.9262128371537534,-1.1102224382391508,0.26694585936726967,-0.42507609570349997,-0.008058274682026932,0.24314944790750292,0.14428189780398232,0.4077980613024122,-0.045655563474551054,-0.15974573086775826
B.J. Armstrong 96,-2.530872828168698,-1.4717436948851468,0.3138650500246939,-1.089738930285695,1.4579889311217669,-0.02580988690949455,0.2778620160335233,1.1317461115557028,1.706354372174148,-0.7005725193820616,0.851964898002738,0.10818373434863317,0.07816705440044094,0.22756990846836458,-0.23809219793592953,-0.1406421865502948,0.11527836451258683,0.800308803046037,0.23791314613317446,-0.19157039121010694,0.01260351637213783,0.1345300209327919,-0.40528267539508894,0.08242180209169264,0.2685363345584779,-0.10948566607345209,-0.07740274045227576
