player,label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
Tariq Abdul-Wahad 2000,8,0.0,1e-06,1e-06,0.0,0.0,0.0,0.007414,0.0,0.760366,0.0,0.232218,0.0
Shareef Abdur-Rahim 2000,2,0.0,0.0,0.999987,1.1e-05,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0
Ray Allen 2000,3,0.0,0.0,0.0,0.999204,0.0,0.0,0.0,0.0,0.0,0.000796,0.0,0.0
John Amaechi 2000,8,0.018299,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.981615,0.0,8.5e-05,0.0
Derek Anderson 2000,6,0.0,3.4e-05,0.0,0.0,0.0,0.0,0.999915,0.0,0.0,0.0,5.1e-05,0.0
Kenny Anderson 2000,3,0.0,0.0,0.0,0.999867,0.0,0.000131,1e-06,0.0,0.0,0.0,0.0,0.0
Nick Anderson 2000,8,0.0,0.004627,0.0,0.0,0.0,0.0,0.0,0.0,0.995373,0.0,0.0,0.0
Shandon Anderson 2000,3,0.0,0.181792,0.0,0.817605,0.0,0.0,0.000588,0.0,1.5e-05,0.0,0.0,0.0
Chris Anstey 2000,0,0.995763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001897,0.0,0.00234,0.0
Greg Anthony 2000,5,0.0,1e-06,0.0,0.0,0.0,0.996576,0.002295,0.0,0.0,0.0,0.0,0.001129
Darrell Armstrong 2000,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chucky Atkins 2000,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacey Augmon 2000,7,0.017439,0.0,0.0,0.0,0.0,0.0,0.0,0.98254,0.0,0.0,2.2e-05,0.0
Isaac Austin 2000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991027,0.0,0.008973,0.0
Vin Baker 2000,2,0.07534,0.0,0.924612,0.0,0.0,0.0,0.0,0.0,4.4e-05,0.0,4e-06,0.0
