lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
M. Blaylock | C. Laettner | D. Mutombo | S. Smith ATL 1997,1768.966666666667,12.9,2.1,-3.2,0.04,1.8,5.3,-0.002,0.051,6.9,6.9,0.069,-1.4,-0.5,2.4,-0.5,0.7,1.4,-0.1,2.8,2.6,-1.5,-1.3,"blaylmo01, laettch01, mutomdi01, smithst01",4,1997,ATL
M. Blaylock | T. Corbin | C. Laettner | D. Mutombo ATL 1997,1418.5166666666669,15.1,3.3,-2.2,0.048,2.1,4.2,0.026,0.061,6.5,7.5,0.038,-0.8,0.8,3.3,0.8,1.5,3.1,1.8,3.5,2.2,-2.2,-1.0,"blaylmo01, corbity01, laettch01, mutomdi01",4,1997,ATL
M. Blaylock | T. Corbin | C. Laettner | S. Smith ATL 1997,1384.1,16.4,4.3,-0.3,0.049,1.9,4.0,0.022,0.06,6.0,6.6,0.039,0.1,2.3,3.4,2.3,2.0,4.3,2.3,3.6,1.8,-2.9,-0.9,"blaylmo01, corbity01, laettch01, smithst01",4,1997,ATL
M. Blaylock | T. Corbin | D. Mutombo | S. Smith ATL 1997,1350.25,13.8,3.1,-1.9,0.045,1.8,4.1,0.018000000000000002,0.056,5.8,6.8,0.025,-0.4,1.5,3.4,1.5,1.6,3.6,1.0,3.3,2.3,-1.9,-1.0,"blaylmo01, corbity01, mutomdi01, smithst01",4,1997,ATL
T. Corbin | C. Laettner | D. Mutombo | S. Smith ATL 1997,1231.4833333333333,15.6,3.2,-3.0,0.051,1.7,3.7,0.018000000000000002,0.062,7.4,8.4,0.045,-0.6,1.5,3.8,1.5,1.9,4.0,1.3,3.0,2.3,-1.7,-0.9,"corbity01, laettch01, mutomdi01, smithst01",4,1997,ATL
M. Blaylock | H. James | D. Mutombo | S. Smith ATL 1997,442.6,5.5,-0.7,-5.2,0.018000000000000002,2.8,10.7,-0.062,0.037000000000000005,4.0,3.4,0.062,-4.1,-5.4,0.7,-5.4,-1.7,-3.7,-3.5,0.4,3.3,0.2,-0.7,"blaylmo01, jameshe01, mutomdi01, smithst01",4,1997,ATL
M. Blaylock | H. James | C. Laettner | S. Smith ATL 1997,424.41666666666674,8.6,0.1,-5.4,0.028,3.0,8.6,-0.015,0.048,5.3,3.5,0.105,-5.1,-6.1,1.4,-6.1,-2.0,-4.2,-3.4,1.5,3.7,-1.1,-1.3,"blaylmo01, jameshe01, laettch01, smithst01",4,1997,ATL
H. James | C. Laettner | D. Mutombo | S. Smith ATL 1997,413.1,8.2,0.1,-5.7,0.029,2.1,9.5,-0.084,0.043,6.0,5.2,0.098,-3.7,-3.3,2.8,-3.3,-0.4,-0.9,-3.1,0.8,3.7,-0.1,-1.5,"jameshe01, laettch01, mutomdi01, smithst01",4,1997,ATL
M. Blaylock | H. James | C. Laettner | D. Mutombo ATL 1997,404.83333333333326,10.9,1.1,-5.4,0.039,1.8,7.9,-0.052000000000000005,0.051,6.9,5.1,0.135,-4.5,-4.8,2.1,-4.8,-1.2,-2.5,-3.5,1.9,3.2,-1.0,-1.6,"blaylmo01, jameshe01, laettch01, mutomdi01",4,1997,ATL
M. Blaylock | T. Corbin | D. Mutombo | S. Smith ATL 1998,1317.95,14.5,2.5,-3.5,0.045,-0.1,-0.7,0.005,0.045,9.0,11.6,0.017,1.0,4.9,5.0,4.9,3.1,6.6,0.4,1.9,3.2,-1.0,-2.2,"blaylmo01, corbity01, mutomdi01, smithst01",4,1998,ATL
T. Corbin | C. Laettner | D. Mutombo | S. Smith ATL 1998,947.8666666666667,11.7,2.2,-5.8,0.053,-0.3,-1.8,0.018000000000000002,0.053,7.2,8.2,0.044,-0.9,2.1,5.0,2.1,2.2,4.7,1.1,0.9,3.7,0.9,-0.6,"corbity01, laettch01, mutomdi01, smithst01",4,1998,ATL
