lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
B. Coles | A. Henderson | J. Jackson | D. Mutombo | I. Rider ATL 2000,869.0,-1.2,-0.8,-3.5,0.008,-1.7,-4.0,-0.002,0.0,2.0,3.3,-0.027000000000000003,1.3,2.6,1.1,2.6,1.4,2.9,-3.7,-2.1,2.2,3.1,-0.4,"colesbi01, hendeal01, jacksji01, mutomdi01, rideris01",5,2000,ATL
A. Henderson | J. Jackson | R. McLeod | D. Mutombo | J. Terry ATL 2000,294.0,-16.1,-7.2,-3.8,-0.057999999999999996,-2.1,-3.0,-0.09,-0.069,0.3,1.0,-0.027999999999999997,2.1,2.0,-2.2,2.0,-0.1,-0.2,-5.9,-4.2,2.1,4.9,-1.0,"hendeal01, jacksji01, mcleoro01, mutomdi01, terryja01",5,2000,ATL
L. Ellis | A. Henderson | J. Jackson | D. Mutombo | J. Terry ATL 2000,217.86666666666667,-4.0,-3.5,-2.4,-0.026000000000000002,1.0,1.4,0.045,-0.02,2.1,5.7,-0.09,1.6,3.1,0.7,3.1,1.1,2.5,-0.7,-3.6,0.5,1.4,-0.7,"ellisla01, hendeal01, jacksji01, mutomdi01, terryja01",5,2000,ATL
M. Maloney | R. McLeod | D. Mutombo | J. Terry | L. Wright ATL 2001,238.56666666666663,9.4,4.5,3.6,0.031,-1.2,-5.6,0.053,0.024,1.7,-0.5,0.11199999999999999,3.1,6.7,4.7,6.7,3.8,7.0,-0.7,1.3,-1.1,-0.4,-2.8,"malonma01, mcleoro01, mutomdi01, terryja01, wrighlo02",5,2001,ATL
S. Abdur-Rahim | D. Johnson | N. Mohammed | I. Newble | J. Terry ATL 2002,450.98333333333335,1.4,-1.2,-0.9,-0.009000000000000001,0.6,0.1,0.040999999999999995,-0.006,3.2,1.3,0.111,-1.2,-2.5,-0.9,-2.5,-1.0,-2.1,-1.8,0.2,-3.0,-0.9,0.4,"abdursh01, johnsde03, mohamna01, newblir01, terryja01",5,2002,ATL
S. Abdur-Rahim | E. Davis | D. Glover | N. Mohammed | J. Terry ATL 2002,151.38333333333333,-7.1,-1.0,-3.0,0.005,-1.1,-0.6,-0.051,0.0,-4.0,-8.6,0.11900000000000001,-2.4,-3.4,1.3,-3.4,-0.3,-0.8,-6.4,-0.2,-1.1,3.1,2.5,"abdursh01, davisem01, glovedi01, mohamna01, terryja01",5,2002,ATL
S. Abdur-Rahim | D. Glover | T. Ratliff | G. Robinson | J. Terry ATL 2003,667.8833333333333,4.1,-1.6,-10.5,0.034,0.9,-0.9,0.078,0.043,6.5,6.0,0.081,-4.4,-4.5,4.6,-4.5,0.0,-0.1,-0.3,-0.8,4.2,2.2,-0.9,"abdursh01, glovedi01, ratlith01, robingl01, terryja01",5,2003,ATL
S. Abdur-Rahim | I. Newble | T. Ratliff | G. Robinson | J. Terry ATL 2003,576.7,-9.5,-4.5,-7.0,-0.015,-0.8,-0.5,-0.042,-0.017,0.4,1.1,-0.022000000000000002,-0.8,-0.8,0.6,-0.8,-0.1,-0.2,-2.9,-1.8,1.4,4.7,1.2,"abdursh01, newblir01, ratlith01, robingl01, terryja01",5,2003,ATL
S. Abdur-Rahim | D. Glover | I. Newble | T. Ratliff | J. Terry ATL 2003,220.28333333333333,-2.6,-4.8,-15.8,0.023,1.8,0.3,0.114,0.039,5.1,2.7,0.139,-10.0,-16.1,-1.6,-16.1,-6.0,-12.1,-1.5,-2.7,2.7,2.6,-1.2,"abdursh01, glovedi01, newblir01, ratlith01, terryja01",5,2003,ATL
S. Abdur-Rahim | D. Glover | S. Jackson | T. Ratliff | J. Terry ATL 2004,564.4,2.6,-0.6,-7.9,0.028999999999999998,1.1,0.5,0.059000000000000004,0.038,2.7,2.9,0.02,-5.8,-7.4,1.2,-7.4,-2.4,-4.8,-0.9,-0.4,3.1,0.9,0.1,"abdursh01, glovedi01, jacksst02, ratlith01, terryja01",5,2004,ATL
S. Abdur-Rahim | B. Diaw | S. Jackson | T. Ratliff | J. Terry ATL 2004,380.11666666666673,-5.3,-1.0,-10.4,0.042,-1.7,-3.1,-0.044000000000000004,0.036000000000000004,-1.5,0.2,-0.077,-2.5,-0.4,5.7,-0.4,1.6,3.6,0.2,-3.9,2.3,6.7,0.5,"abdursh01, diawbo01, jacksst02, ratlith01, terryja01",5,2004,ATL
