lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team,cluster_0_bpm,cluster_1_bpm,cluster_2_bpm,cluster_3_bpm,cluster_4_bpm,cluster_5_bpm,cluster_6_bpm,cluster_7_bpm,cluster_8_bpm,cluster_9_bpm,cluster_10_bpm,cluster_11_bpm,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
B. Coles | A. Henderson | J. Jackson | D. Mutombo | I. Rider ATL 2000,869.0,-1.2,-0.8,-3.5,0.008,-1.7,-4.0,-0.002,0.0,2.0,3.3,-0.027000000000000003,1.3,2.6,1.1,2.6,1.4,2.9,-3.7,-2.1,2.2,3.1,-0.4,"colesbi01, hendeal01, jacksji01, mutomdi01, rideris01",5,2000,ATL,-0.13691199999999998,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-0.0007884000000000003,-2.199564,2.4,-4.0000000000000015e-06,0.0,-2.1992294000000006,0.0,0.08557000000000001,0.000257,0.914418,0.000282,0.0,0.00035900000000000005,1.999455,1.0,5e-06,0.0,0.999653,0.0
A. Henderson | J. Jackson | R. McLeod | D. Mutombo | J. Terry ATL 2000,294.0,-16.1,-7.2,-3.8,-0.058,-2.1,-3.0,-0.09,-0.069,0.3,1.0,-0.028,2.1,2.0,-2.2,2.0,-0.1,-0.2,-5.9,-4.2,2.1,4.9,-1.0,"hendeal01, jacksji01, mcleoro01, mutomdi01, terryja01",5,2000,ATL,-0.15843529999999997,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-0.9600058,-0.836484,2.4,-4.0000000000000015e-06,0.0,-5.2815549,-1.6e-05,0.089631,0.000257,0.914418,0.000282,0.0,0.960006,1.036375,1.0,5e-06,0.0,0.9990100000000001,1.6e-05
L. Ellis | A. Henderson | J. Jackson | D. Mutombo | J. Terry ATL 2000,217.86666666666667,-4.0,-3.5,-2.4,-0.026,1.0,1.4,0.045,-0.02,2.1,5.7,-0.09,1.6,3.1,0.7,3.1,1.1,2.5,-0.7,-3.6,0.5,1.4,-0.7,"ellisla01, hendeal01, jacksji01, mutomdi01, terryja01",5,2000,ATL,-0.13691199999999998,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-0.9600058,-0.836484,2.4,-0.0117365,0.0,-1.8913457,-1.6e-05,0.08557000000000001,0.000257,0.914418,0.000282,0.0,0.960006,1.036375,1.0,0.00618,0.0,0.996896,1.6e-05
M. Maloney | R. McLeod | D. Mutombo | J. Terry | L. Wright ATL 2001,238.56666666666663,9.4,4.5,3.6,0.031,-1.2,-5.6,0.053,0.024,1.7,-0.5,0.112,3.1,6.7,4.7,6.7,3.8,7.0,-0.7,1.3,-1.1,-0.4,-2.8,"malonma01, mcleoro01, mutomdi01, terryja01, wrighlo02",5,2001,ATL,-1.7999964,0.0,-3.6000000000000003e-06,0.0,0.0,-0.8977076999999999,1.2999865,1.7,0.0,0.0,-3.4000008999999998,-0.0022779,0.999998,0.0,2e-06,0.0,0.0,0.997453,1.000015,1.0,0.0,0.0,1.000001,0.002531
S. Abdur-Rahim | D. Johnson | N. Mohammed | I. Newble | J. Terry ATL 2002,450.98333333333335,1.4,-1.2,-0.9,-0.009000000000000001,0.6,0.1,0.041,-0.006,3.2,1.3,0.111,-1.2,-2.5,-0.9,-2.5,-1.0,-2.1,-1.8,0.2,-3.0,-0.9,0.4,"abdursh01, johnsde03, mohamna01, newblir01, terryja01",5,2002,ATL,0.0,-1.2948,1.6886014999999999,3.0649054,-3e-06,0.0,-5.570000000000001e-05,-3.8,-1.4944392000000002,0.14632320000000001,-0.0105101,-2.21e-05,0.0,0.996,0.993295,0.9578720000000001,2e-06,0.0,7.400000000000001e-05,1.0,0.996992,0.048741,0.007007,1.7e-05
S. Abdur-Rahim | E. Davis | D. Glover | N. Mohammed | J. Terry ATL 2002,151.38333333333333,-7.1,-1.0,-3.0,0.005,-1.1,-0.6,-0.051,0.0,-4.0,-8.6,0.119,-2.4,-3.4,1.3,-3.4,-0.3,-0.8,-6.4,-0.2,-1.1,3.1,2.5,"abdursh01, davisem01, glovedi01, mohamna01, terryja01",5,2002,ATL,0.0,-0.0044498,1.6886014999999999,3.0649054,0.0,0.0,-1.8498036,-3.8,-0.0037026,0.14632320000000001,-0.029505699999999996,-4.5123684,0.0,0.0023420000000000003,0.993295,0.9578720000000001,0.0,0.0,0.973605,1.0,0.0021060000000000002,0.048741,0.015517,1.006522
S. Abdur-Rahim | D. Glover | T. Ratliff | G. Robinson | J. Terry ATL 2003,667.8833333333333,4.1,-1.6,-10.5,0.034,0.9,-0.9,0.078,0.043,6.5,6.0,0.081,-4.4,-4.5,4.6,-4.5,0.0,-0.1,-0.3,-0.8,4.2,2.2,-0.9,"abdursh01, glovedi01, ratlith01, robingl01, terryja01",5,2003,ATL,0.0,-0.033768,0.3788544,1.7287628,0.0,0.0,-2.1931025999999996,-0.7,-0.0001659,1.2199728,-0.0005430000000000001,-1.05e-05,0.0,0.022512,0.236784,1.087759,0.0,0.0,1.887861,1.0,0.00017099999999999998,0.764544,0.000362,7.000000000000002e-06
S. Abdur-Rahim | I. Newble | T. Ratliff | G. Robinson | J. Terry ATL 2003,576.7,-9.5,-4.5,-7.0,-0.015,-0.8,-0.5,-0.042,-0.017,0.4,1.1,-0.022,-0.8,-0.8,0.6,-0.8,-0.1,-0.2,-2.9,-1.8,1.4,4.7,1.2,"abdursh01, newblir01, ratlith01, robingl01, terryja01",5,2003,ATL,0.0,-0.7368431999999999,0.3788544,1.7287628,0.0,0.0,-0.7276355999999999,-0.7,-0.46168200000000004,1.2199728,-0.001428,0.0,0.0,0.6140359999999999,0.236784,1.087759,0.0,0.0,0.910883,1.0,0.38480299999999995,0.764544,0.00119,0.0
S. Abdur-Rahim | D. Glover | I. Newble | T. Ratliff | J. Terry ATL 2003,220.28333333333333,-2.6,-4.8,-15.8,0.023,1.8,0.3,0.114,0.039,5.1,2.7,0.139,-10.0,-16.1,-1.6,-16.1,-6.0,-12.1,-1.5,-2.7,2.7,2.6,-1.2,"abdursh01, glovedi01, newblir01, ratlith01, terryja01",5,2003,ATL,0.0,-0.7706111999999999,0.3788544,1.799286,0.0,0.0,-1.4647258,-0.7,-0.4618927,1.2210720000000002,-0.001971,-1.05e-05,0.0,0.6365479999999999,0.236784,0.999605,0.0,0.0,0.97739,1.0,0.384943,0.76317,0.001552,7.000000000000002e-06
S. Abdur-Rahim | D. Glover | S. Jackson | T. Ratliff | J. Terry ATL 2004,564.4,2.6,-0.6,-7.9,0.029,1.1,0.5,0.059,0.038,2.7,2.9,0.02,-5.8,-7.4,1.2,-7.4,-2.4,-4.8,-0.9,-0.4,3.1,0.9,0.1,"abdursh01, glovedi01, jacksst02, ratlith01, terryja01",5,2004,ATL,0.0,0.07268340000000001,1.5848143999999997,0.005800600000000001,0.0,0.00031560000000000003,-1.7304353999999997,0.3,-0.0062235000000000025,6.4e-06,-0.024483900000000003,-0.002478,0.0,0.732862,0.990509,0.05549800000000001,0.0,0.001052,2.187445,1.0,0.019733999999999998,6.4e-05,0.011659,0.00118
S. Abdur-Rahim | B. Diaw | S. Jackson | T. Ratliff | J. Terry ATL 2004,380.11666666666673,-5.3,-1.0,-10.4,0.042,-1.7,-3.1,-0.044,0.036000000000000004,-1.5,0.2,-0.077,-2.5,-0.4,5.7,-0.4,1.6,3.6,0.2,-3.9,2.3,6.7,0.5,"abdursh01, diawbo01, jacksst02, ratlith01, terryja01",5,2004,ATL,0.0,0.07325880000000001,1.5848143999999997,0.005800600000000001,0.0,0.00031560000000000003,0.3206157,0.3,0.0110203,6.4e-06,-2.2958117000000002,-2.07e-05,0.0,0.732588,0.990509,0.05549800000000001,0.0,0.001052,1.210754,1.0,0.011349999999999999,6.4e-05,0.998179,9e-06
