lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
M. Blaylock | T. Corbin | C. Laettner | D. Mutombo | S. Smith ATL 1997,1189.85,15.8,3.7,-2.6,0.054000000000000006,1.5,3.7,0.011,0.064,6.9,8.0,0.039,-0.7,1.3,3.6,1.3,1.8,3.8,1.6,3.4,2.3,-1.9,-1.1,"blaylmo01, corbity01, laettch01, mutomdi01, smithst01",5,1997,ATL
M. Blaylock | H. James | C. Laettner | D. Mutombo | S. Smith ATL 1997,357.36666666666673,9.7,0.3,-6.8,0.037000000000000005,1.9,8.3,-0.064,0.051,7.2,5.7,0.13,-5.8,-7.1,1.2,-7.1,-2.2,-4.7,-3.6,1.8,3.7,-1.0,-1.4,"blaylmo01, jameshe01, laettch01, mutomdi01, smithst01",5,1997,ATL
M. Blaylock | T. Corbin | C. Laettner | D. Mutombo | S. Smith ATL 1998,726.9833333333332,13.9,2.6,-5.2,0.055,-0.1,-2.1,0.037000000000000005,0.056,8.6,10.1,0.036000000000000004,-0.3,3.5,5.9,3.5,2.8,6.2,2.2,1.9,4.4,-0.2,-1.5,"blaylmo01, corbity01, laettch01, mutomdi01, smithst01",5,1998,ATL
M. Blaylock | T. Corbin | A. Henderson | D. Mutombo | S. Smith ATL 1998,560.2833333333333,17.0,2.7,-2.3,0.04,-0.2,1.2,-0.035,0.04,10.8,14.8,0.008,2.4,6.4,4.5,6.4,3.5,7.2,-1.7,1.9,2.2,-1.9,-3.6,"blaylmo01, corbity01, hendeal01, mutomdi01, smithst01",5,1998,ATL
T. Corbin | C. Laettner | D. Mutombo | E. Recasner | S. Smith ATL 1998,201.66666666666663,2.2,-0.2,-6.1,0.026,0.0,0.9,-0.019,0.028,1.5,-0.9,0.092,-2.6,-2.8,1.1,-2.8,-0.7,-1.4,-2.6,-2.6,0.8,4.5,2.3,"corbity01, laettch01, mutomdi01, recasel01, smithst01",5,1998,ATL
M. Blaylock | L. Ellis | A. Henderson | D. Mutombo | S. Smith ATL 1999,221.03333333333333,15.9,5.9,-6.8,0.099,0.3,-1.8,0.101,0.102,3.8,8.9,-0.115,-1.8,1.8,6.2,1.8,2.3,4.8,6.5,-3.5,3.1,0.9,-2.8,"blaylmo01, ellisla01, hendeal01, mutomdi01, smithst01",5,1999,ATL
M. Blaylock | C. Crawford | A. Henderson | D. Mutombo | S. Smith ATL 1999,191.26666666666668,-5.8,-3.3,-7.5,-0.001,-0.3,2.3,-0.073,-0.001,1.1,3.7,-0.076,-0.9,-0.2,1.5,-0.2,0.3,0.6,-9.1,-2.0,1.8,4.9,-1.0,"blaylmo01, crawfch01, hendeal01, mutomdi01, smithst01",5,1999,ATL
M. Blaylock | C. Crawford | G. Long | D. Mutombo | S. Smith ATL 1999,155.88333333333333,13.1,4.9,-0.9,0.063,4.2,3.4,0.209,0.08800000000000001,-0.9,-2.0,0.024,-3.7,-3.8,4.6,-3.8,0.4,0.8,-1.6,-0.6,1.8,-1.2,-1.8,"blaylmo01, crawfch01, longgr01, mutomdi01, smithst01",5,1999,ATL
B. Coles | A. Henderson | J. Jackson | D. Mutombo | I. Rider ATL 2000,869.0,-1.2,-0.8,-3.5,0.008,-1.7,-4.0,-0.002,0.0,2.0,3.3,-0.027000000000000003,1.3,2.6,1.1,2.6,1.4,2.9,-3.7,-2.1,2.2,3.1,-0.4,"colesbi01, hendeal01, jacksji01, mutomdi01, rideris01",5,2000,ATL
A. Henderson | J. Jackson | R. McLeod | D. Mutombo | J. Terry ATL 2000,294.0,-16.1,-7.2,-3.8,-0.058,-2.1,-3.0,-0.09,-0.069,0.3,1.0,-0.028,2.1,2.0,-2.2,2.0,-0.1,-0.2,-5.9,-4.2,2.1,4.9,-1.0,"hendeal01, jacksji01, mcleoro01, mutomdi01, terryja01",5,2000,ATL
L. Ellis | A. Henderson | J. Jackson | D. Mutombo | J. Terry ATL 2000,217.86666666666667,-4.0,-3.5,-2.4,-0.026,1.0,1.4,0.045,-0.02,2.1,5.7,-0.09,1.6,3.1,0.7,3.1,1.1,2.5,-0.7,-3.6,0.5,1.4,-0.7,"ellisla01, hendeal01, jacksji01, mutomdi01, terryja01",5,2000,ATL
