lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team,cluster_0_bpm,cluster_1_bpm,cluster_2_bpm,cluster_3_bpm,cluster_4_bpm,cluster_5_bpm,cluster_6_bpm,cluster_7_bpm,cluster_8_bpm,cluster_9_bpm,cluster_10_bpm,cluster_11_bpm,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
B. Coles | A. Henderson | J. Jackson | D. Mutombo ATL 2000,1139.8166666666666,-2.1,-0.8,-2.6,0.004,-1.8,-4.2,-0.011,-0.005,1.2,2.8,-0.048,2.1,4.2,1.9,4.2,2.1,4.3,-4.0,-2.0,1.6,3.2,-0.2,"colesbi01, hendeal01, jacksji01, mutomdi01",4,2000,ATL,-0.13691199999999998,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-0.0007884000000000003,-0.799564,2.4,-4.0000000000000015e-06,0.0,-2.1992294000000006,0.0,0.08557000000000001,0.000257,0.914418,0.000282,0.0,0.00035900000000000005,0.999455,1.0,5e-06,0.0,0.999653,0.0
A. Henderson | J. Jackson | D. Mutombo | I. Rider ATL 2000,1075.6666666666667,-1.3,-1.6,-3.5,0.0,-1.4,-2.6,-0.031,-0.006999999999999999,3.2,4.9,-0.027000000000000003,2.0,3.6,1.1,3.6,1.7,3.7,-4.2,-2.5,2.8,3.1,-0.7,"hendeal01, jacksji01, mutomdi01, rideris01",4,2000,ATL,-0.13691199999999998,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-8e-07,-2.199564,2.4,-4.0000000000000015e-06,0.0,-1.9200000000000006e-05,0.0,0.08557000000000001,0.000257,0.914418,0.000282,0.0,1e-06,1.999455,1.0,5e-06,0.0,1.2e-05,0.0
B. Coles | A. Henderson | D. Mutombo | I. Rider ATL 2000,996.6333333333333,-1.1,-0.3,-3.2,0.012,-1.5,-3.9,-0.002,0.005,1.0,1.8,-0.019,0.8,1.9,1.1,1.9,1.2,2.4,-3.9,-2.1,1.9,2.8,0.1,"colesbi01, hendeal01, mutomdi01, rideris01",4,2000,ATL,-0.13691199999999998,0.0,-1.4630688000000005,0.0,0.0,-0.0007876000000000003,-1.4,2.4,0.0,0.0,-2.1992294000000006,0.0,0.08557000000000001,0.0,0.914418,0.0,0.0,0.00035800000000000003,1.0,1.0,0.0,0.0,0.999653,0.0
B. Coles | J. Jackson | D. Mutombo | I. Rider ATL 2000,929.7,-1.6,-1.1,-3.9,0.006999999999999999,-1.3,-3.4,0.001,0.001,2.0,3.3,-0.029,1.1,2.5,1.4,2.5,1.4,2.9,-4.0,-2.1,2.0,3.3,-0.4,"colesbi01, jacksji01, mutomdi01, rideris01",4,2000,ATL,0.0,-0.0002056,0.0,-0.0002256,0.0,-0.0007884000000000003,-2.199564,2.4,-4.0000000000000015e-06,0.0,-2.1992102000000004,0.0,0.0,0.000257,0.0,0.000282,0.0,0.00035900000000000005,1.999455,1.0,5e-06,0.0,0.999641,0.0
B. Coles | A. Henderson | J. Jackson | I. Rider ATL 2000,922.35,-1.5,-1.3,-4.3,0.008,-1.3,-3.9,0.024,0.002,2.2,3.7,-0.033,0.7,1.7,1.1,1.7,1.1,2.2,-3.9,-2.5,2.1,3.2,-0.4,"colesbi01, hendeal01, jacksji01, rideris01",4,2000,ATL,-0.13691199999999998,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-0.0007884000000000003,-2.199564,0.0,-4.0000000000000015e-06,0.0,-2.1992294000000006,0.0,0.08557000000000001,0.000257,0.914418,0.000282,0.0,0.00035900000000000005,1.999455,0.0,5e-06,0.0,0.999653,0.0
A. Henderson | J. Jackson | D. Mutombo | J. Terry ATL 2000,732.35,-11.3,-6.0,-3.1,-0.051,-1.2,-0.5,-0.084,-0.056,1.8,4.1,-0.057,2.6,3.4,-0.7,3.4,0.9,1.9,-4.2,-4.0,2.0,3.2,-1.0,"hendeal01, jacksji01, mutomdi01, terryja01",4,2000,ATL,-0.13691199999999998,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-0.9600058,-0.836484,2.4,-4.0000000000000015e-06,0.0,-0.0030782,-1.6e-05,0.08557000000000001,0.000257,0.914418,0.000282,0.0,0.960006,1.036375,1.0,5e-06,0.0,0.003071,1.6e-05
A. Henderson | J. Jackson | R. McLeod | D. Mutombo ATL 2000,413.9666666666666,-14.8,-5.9,-2.2,-0.054000000000000006,-2.1,-3.5,-0.083,-0.065,-0.8,0.5,-0.066,3.5,5.0,-0.6,5.0,1.4,2.8,-6.2,-3.9,1.0,5.2,-0.9,"hendeal01, jacksji01, mcleoro01, mutomdi01",4,2000,ATL,-0.15843529999999997,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-8e-07,-0.799564,2.4,-4.0000000000000015e-06,0.0,-5.278495899999999,0.0,0.089631,0.000257,0.914418,0.000282,0.0,1e-06,0.999455,1.0,5e-06,0.0,0.995951,0.0
J. Jackson | R. McLeod | D. Mutombo | J. Terry ATL 2000,340.81666666666666,-10.2,-5.2,-4.5,-0.035,-2.1,-4.3,-0.059,-0.045,1.8,3.0,-0.027000000000000003,2.0,3.8,1.3,3.8,1.6,3.4,-4.9,-3.8,2.7,4.5,-1.4,"jacksji01, mcleoro01, mutomdi01, terryja01",4,2000,ATL,-0.0215233,-0.0002056,0.0,-0.0002256,0.0,-0.9600058,-0.836484,2.4,-4.0000000000000015e-06,0.0,-5.2815357,-1.6e-05,0.004061,0.000257,0.0,0.000282,0.0,0.960006,1.036375,1.0,5e-06,0.0,0.998998,1.6e-05
A. Henderson | R. McLeod | D. Mutombo | J. Terry ATL 2000,326.4,-11.6,-5.3,-3.0,-0.043,-1.6,-2.6,-0.047,-0.051,0.7,1.7,-0.034,2.1,2.6,-1.3,2.6,0.5,1.0,-5.9,-3.7,1.6,4.0,-1.0,"hendeal01, mcleoro01, mutomdi01, terryja01",4,2000,ATL,-0.15843529999999997,0.0,-1.4630688000000005,0.0,0.0,-0.960005,-0.03692,2.4,0.0,0.0,-5.2815549,-1.6e-05,0.089631,0.0,0.914418,0.0,0.0,0.960005,0.03692,1.0,0.0,0.0,0.9990100000000001,1.6e-05
A. Henderson | J. Jackson | R. McLeod | J. Terry ATL 2000,321.4166666666667,-16.9,-7.5,-3.4,-0.064,-2.2,-2.7,-0.115,-0.075,0.3,1.5,-0.047,1.9,1.5,-2.8,1.5,-0.4,-0.8,-5.7,-3.1,2.1,3.9,-1.0,"hendeal01, jacksji01, mcleoro01, terryja01",4,2000,ATL,-0.15843529999999997,-0.0002056,-1.4630688000000005,-0.0002256,0.0,-0.9600058,-0.836484,0.0,-4.0000000000000015e-06,0.0,-5.2815549,-1.6e-05,0.089631,0.000257,0.914418,0.000282,0.0,0.960006,1.036375,0.0,5e-06,0.0,0.9990100000000001,1.6e-05
L. Ellis | J. Jackson | D. Mutombo | J. Terry ATL 2000,317.35,-0.7,-1.8,-0.2,-0.019,-0.8,1.5,-0.107,-0.023,3.1,5.6,-0.044,4.1,8.5,3.5,8.5,3.8,8.2,-0.8,-2.7,1.2,1.4,-1.6,"ellisla01, jacksji01, mutomdi01, terryja01",4,2000,ATL,0.0,-0.0002056,0.0,-0.0002256,0.0,-0.9600058,-0.836484,2.4,-0.0117365,0.0,-1.8913265,-1.6e-05,0.0,0.000257,0.0,0.000282,0.0,0.960006,1.036375,1.0,0.00618,0.0,0.996884,1.6e-05
