lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
R. Fox | A. Walker | D. Wesley | E. Williams BOS 1997,1036.8833333333334,-8.6,-5.0,4.3,-0.084,-0.5,0.4,-0.042,-0.08900000000000001,1.7,0.7,0.046,0.8,-4.0,-7.5,-4.0,-3.3,-8.1,-4.5,3.2,-3.3,-3.8,0.4,"foxri01, walkean02, wesleda01, willier01",4,1997,BOS
T. Day | R. Fox | A. Walker | D. Wesley BOS 1997,693.3833333333333,-11.0,-4.9,5.8,-0.094,1.2,2.8,0.008,-0.09,-2.4,-2.9,-0.008,0.3,-6.7,-9.7,-6.7,-4.8,-11.9,-5.3,4.7,-3.5,-4.7,0.5,"dayto01, foxri01, walkean02, wesleda01",4,1997,BOS
T. Day | A. Walker | D. Wesley | E. Williams BOS 1997,623.9666666666667,-12.3,-7.4,2.3,-0.10099999999999999,-1.5,-0.3,-0.08,-0.111,4.0,4.8,0.013999999999999999,-0.2,-8.2,-11.0,-8.2,-5.7,-13.7,-7.4,4.0,-3.0,-5.2,-1.3,"dayto01, walkean02, wesleda01, willier01",4,1997,BOS
M. Conlon | T. Day | A. Walker | D. Wesley BOS 1997,568.3833333333333,-3.2,-2.2,4.6,-0.051,1.9,2.6,0.051,-0.042,-0.7,-1.9,0.022000000000000002,1.6,-0.6,-4.6,-0.6,-1.7,-4.0,-3.2,1.3,-3.8,-2.5,0.7,"conloma01, dayto01, walkean02, wesleda01",4,1997,BOS
T. Day | R. Fox | D. Wesley | E. Williams BOS 1997,513.7166666666667,-10.8,-5.8,4.6,-0.099,-1.3,-0.3,-0.07,-0.109,1.7,1.0,0.032,-0.6,-8.4,-9.9,-8.4,-5.3,-13.4,-5.5,5.3,-3.6,-5.8,-0.6,"dayto01, foxri01, wesleda01, willier01",4,1997,BOS
T. Day | R. Fox | A. Walker | E. Williams BOS 1997,467.0,-12.3,-7.2,2.2,-0.1,-1.1,0.9,-0.08800000000000001,-0.107,3.2,2.1,0.057,-0.2,-7.7,-9.6,-7.7,-4.8,-12.1,-6.6,4.1,-2.7,-3.6,-0.9,"dayto01, foxri01, walkean02, willier01",4,1997,BOS
M. Conlon | R. Fox | A. Walker | D. Wesley BOS 1997,426.55,-9.5,-6.5,3.8,-0.09699999999999999,2.1,2.3,0.07400000000000001,-0.086,0.9,0.4,0.021,1.9,-3.2,-8.4,-3.2,-3.3,-7.7,-5.6,2.0,-4.2,-2.6,0.6,"conloma01, foxri01, walkean02, wesleda01",4,1997,BOS
M. Conlon | A. Walker | D. Wesley | E. Williams BOS 1997,311.71666666666664,-12.8,-8.2,2.6,-0.10800000000000001,-1.4,-0.2,-0.071,-0.11699999999999999,4.4,5.0,0.021,0.9,-5.6,-9.8,-5.6,-4.4,-10.0,-7.5,-0.5,-4.3,-4.1,0.5,"conloma01, walkean02, wesleda01, willier01",4,1997,BOS
M. Conlon | T. Day | R. Fox | D. Wesley BOS 1997,305.3833333333333,-2.6,-2.0,6.8,-0.064,3.4,3.5,0.128,-0.047,-2.6,-4.8,0.034,0.9,-2.9,-6.0,-2.9,-2.9,-7.2,-2.4,1.9,-3.7,-3.9,0.1,"conloma01, dayto01, foxri01, wesleda01",4,1997,BOS
M. Conlon | R. Fox | D. Wesley | E. Williams BOS 1997,285.3666666666667,-3.7,-3.8,4.0,-0.068,-0.8,-2.6,0.01,-0.075,3.3,2.1,0.063,0.8,-3.9,-7.1,-3.9,-3.1,-7.5,-1.8,1.5,-4.2,-3.5,0.8,"conloma01, foxri01, wesleda01, willier01",4,1997,BOS
R. Fox | D. Radja | D. Wesley | E. Williams BOS 1997,282.3666666666667,7.8,3.5,1.4,0.032,0.1,-2.2,0.067,0.033,0.6,-2.1,0.094,0.4,0.5,-0.3,0.5,0.4,0.9,-0.6,-0.1,-0.6,-0.4,0.2,"foxri01, radjadi01, wesleda01, willier01",4,1997,BOS
