lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
K. Gill | K. Kittles | T. Massenburg | R. Pack | J. Williams NJN 1997,231.63333333333333,-3.3,-2.5,0.8,-0.033,-2.5,-5.2,-0.05,-0.048,4.1,5.8,-0.011000000000000001,5.2,9.0,2.1,9.0,3.6,7.9,-1.7,-2.1,-2.3,2.1,-2.0,"gillke01, kittlke01, masseto01, packro01, willija01",5,1997,NJN
S. Cassell | K. Gill | J. Jackson | T. Massenburg | E. Montross NJN 1997,209.28333333333333,-1.2,0.8,4.4,-0.012,-3.2,-5.2,-0.040999999999999995,-0.031,0.4,0.0,0.022000000000000002,4.5,5.9,0.0,5.9,2.5,5.0,-6.7,1.1,-0.9,-0.9,0.0,"cassesa01, gillke01, jacksji01, masseto01, montrer01",5,1997,NJN
S. Bradley | K. Gill | K. Kittles | R. Pack | J. Williams NJN 1997,195.01666666666668,5.3,0.1,10.1,-0.046,0.4,4.8,-0.099,-0.047,4.8,5.5,0.05,9.8,11.1,-2.3,11.1,4.0,7.7,-0.3,1.8,4.2,-2.9,-1.9,"bradlsh01, gillke01, kittlke01, packro01, willija01",5,1997,NJN
S. Bradley | K. Gill | K. Kittles | K. Reeves | J. Williams NJN 1997,150.53333333333333,-16.5,-5.9,7.3,-0.096,1.1,4.0,-0.03,-0.092,-5.9,-5.9,-0.10099999999999999,6.2,4.2,-7.0,4.2,-0.4,-0.7,-4.0,-1.5,4.0,0.0,3.1,"bradlsh01, gillke01, kittlke01, reevekh01, willija01",5,1997,NJN
K. Gill | J. Jackson | K. Kittles | T. Massenburg | E. Montross NJN 1997,150.23333333333332,-0.1,-0.1,5.1,-0.027000000000000003,1.5,-1.7,0.11800000000000001,-0.021,-1.4,-2.6,0.017,7.0,13.3,4.9,13.3,6.1,12.9,-2.9,-3.3,-1.9,1.0,1.9,"gillke01, jacksji01, kittlke01, masseto01, montrer01",5,1997,NJN
K. Gill | K. Kittles | T. Massenburg | K. Reeves | J. Williams NJN 1997,112.31666666666666,-3.7,-5.6,-0.8,-0.055999999999999994,3.2,8.5,-0.002,-0.038,4.3,2.4,0.10099999999999999,-0.1,-0.7,-1.0,-0.7,0.0,0.0,-4.3,-1.2,-4.7,-1.4,0.9,"gillke01, kittlke01, masseto01, reevekh01, willija01",5,1997,NJN
S. Bradley | K. Gill | K. Kittles | T. Massenburg | R. Pack NJN 1997,97.61666666666666,-0.5,1.5,3.8,-0.001,0.4,-0.2,0.027000000000000003,-0.001,-3.8,-3.6,-0.040999999999999995,-2.7,-7.1,-5.4,-7.1,-3.6,-7.1,5.4,3.7,2.8,-5.4,2.9,"bradlsh01, gillke01, kittlke01, masseto01, packro01",5,1997,NJN
S. Bradley | K. Gill | K. Kittles | T. Massenburg | K. Reeves NJN 1997,97.6,-1.3,-3.1,8.5,-0.078,1.5,2.9,0.011000000000000001,-0.07400000000000001,1.3,2.8,-0.043,4.6,3.6,-3.8,3.6,0.3,0.6,-7.8,0.8,5.7,-6.4,-1.1,"bradlsh01, gillke01, kittlke01, masseto01, reevekh01",5,1997,NJN
S. Cassell | K. Gill | J. Jackson | X. McDaniel | E. Montross NJN 1997,88.95,-7.2,-4.5,6.2,-0.078,-1.5,-0.2,-0.07,-0.08900000000000001,3.2,4.2,0.081,5.8,4.5,-6.7,4.5,-0.9,-1.8,-7.4,-1.3,-2.0,-3.1,0.6,"cassesa01, gillke01, jacksji01, mcdanxa01, montrer01",5,1997,NJN
S. Cassell | K. Gill | K. Kittles | T. Massenburg | E. Montross NJN 1997,54.71666666666667,27.9,7.5,6.0,0.051,4.4,1.0,0.20800000000000002,0.071,8.6,10.2,0.061,3.9,5.6,0.5,5.6,1.9,3.9,-5.1,6.2,-0.7,-7.3,1.9,"cassesa01, gillke01, kittlke01, masseto01, montrer01",5,1997,NJN
K. Gill | J. Jackson | K. Kittles | X. McDaniel | E. Montross NJN 1997,53.416666666666664,7.0,4.2,7.2,0.01,-5.3,-12.7,0.011000000000000001,-0.024,3.8,1.3,0.109,9.4,20.8,12.3,20.8,10.5,20.8,6.0,-0.3,-4.6,0.1,1.4,"gillke01, jacksji01, kittlke01, mcdanxa01, montrer01",5,1997,NJN
