lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
R. Harper | M. Jordan | L. Longley | S. Pippen | D. Rodman CHI 1997,428.4166666666667,10.7,5.1,2.4,0.042,-1.1,-1.0,-0.035,0.035,1.2,-0.1,0.075,3.1,8.8,6.6,8.8,4.9,9.9,7.1,-0.6,0.7,1.2,0.0,"harpero01, jordami01, longllu01, pippesc01, rodmade01",5,1997,CHI
R. Harper | M. Jordan | S. Pippen | D. Rodman | B. Wennington CHI 1997,228.1,-8.8,-3.5,5.8,-0.062,-2.1,-1.7,-0.07,-0.075,0.3,0.0,0.015,6.5,8.2,-0.2,8.2,3.0,5.9,-1.4,-0.6,0.8,0.3,-1.1,"harpero01, jordami01, pippesc01, rodmade01, wennibi01",5,1997,CHI
J. Caffey | R. Harper | M. Jordan | L. Longley | S. Pippen CHI 1997,211.35,14.7,6.3,6.3,0.037000000000000005,1.5,0.1,0.07400000000000001,0.042,0.6,1.6,-0.034,5.9,12.5,5.7,12.5,5.9,12.5,6.5,0.7,1.7,-1.9,1.1,"caffeja01, harpero01, jordami01, longllu01, pippesc01",5,1997,CHI
M. Jordan | S. Kerr | T. Kukoč | S. Pippen | D. Rodman CHI 1997,134.16666666666666,38.7,13.0,6.3,0.11800000000000001,6.7,5.5,0.254,0.153,5.9,6.2,0.052000000000000005,1.8,5.5,4.7,5.5,2.6,5.5,12.2,5.7,3.6,-8.6,-4.1,"jordami01, kerrst01, kukocto01, pippesc01, rodmade01",5,1997,CHI
R. Harper | M. Jordan | T. Kukoč | L. Longley | S. Pippen CHI 1997,117.0,11.8,4.1,1.6,0.037000000000000005,0.7,3.2,-0.032,0.040999999999999995,1.0,1.4,0.002,-5.3,-10.4,-3.2,-10.4,-4.4,-10.0,5.1,3.4,-0.3,-8.9,0.0,"harpero01, jordami01, kukocto01, longllu01, pippesc01",5,1997,CHI
R. Harper | M. Jordan | R. Parish | S. Pippen | D. Rodman CHI 1997,81.56666666666666,33.7,14.0,22.9,0.055999999999999994,1.4,-0.4,0.083,0.057,4.3,2.3,0.11699999999999999,14.5,20.6,7.6,20.6,11.1,19.3,11.8,6.6,6.0,-9.2,-4.1,"harpero01, jordami01, parisro01, pippesc01, rodmade01",5,1997,CHI
M. Jordan | S. Kerr | L. Longley | S. Pippen | D. Rodman CHI 1997,77.63333333333334,20.6,13.9,12.6,0.08800000000000001,2.5,1.8,0.07400000000000001,0.095,-8.9,-7.0,-0.115,8.0,18.2,6.9,18.2,7.1,16.9,8.2,-1.2,1.6,-1.2,0.4,"jordami01, kerrst01, longllu01, pippesc01, rodmade01",5,1997,CHI
R. Brown | M. Jordan | T. Kukoč | S. Pippen | D. Rodman CHI 1997,74.0,35.2,13.1,17.5,0.051,3.7,6.8,0.052000000000000005,0.063,5.2,0.8,0.20600000000000002,4.6,8.1,1.7,8.1,3.4,7.6,6.9,10.6,2.7,-12.5,1.4,"brownra02, jordami01, kukocto01, pippesc01, rodmade01",5,1997,CHI
J. Caffey | M. Jordan | S. Kerr | L. Longley | S. Pippen CHI 1997,71.61666666666666,-1.4,-5.0,-11.4,0.001,-3.0,-2.1,-0.12,-0.011000000000000001,11.5,13.0,0.06,-5.1,-8.6,-2.5,-8.6,-3.8,-7.7,3.2,-0.1,2.2,-0.7,-4.5,"caffeja01, jordami01, kerrst01, longllu01, pippesc01",5,1997,CHI
R. Brown | J. Buechler | J. Caffey | S. Kerr | D. Simpkins CHI 1997,71.41666666666667,-27.9,-11.5,-7.9,-0.08900000000000001,-6.3,-13.2,-0.022000000000000002,-0.12,1.4,3.1,-0.027999999999999997,2.0,0.7,-3.5,0.7,-0.3,-0.7,-6.1,-1.8,-7.0,7.4,1.7,"brownra02, buechju01, caffeja01, kerrst01, simpkdi01",5,1997,CHI
R. Harper | M. Jordan | T. Kukoč | S. Pippen | D. Rodman CHI 1997,66.06666666666666,23.7,8.3,5.1,0.063,0.7,0.5,0.028999999999999998,0.066,6.3,6.2,0.07200000000000001,5.5,17.7,10.3,17.7,7.9,18.4,13.6,2.6,0.8,-3.6,-3.7,"harpero01, jordami01, kukocto01, pippesc01, rodmade01",5,1997,CHI
M. Jordan | T. Kukoč | L. Longley | S. Pippen | D. Rodman CHI 1997,64.0,9.4,4.3,9.4,-0.005,-5.5,-5.3,-0.212,-0.042,6.2,11.3,-0.102,6.0,7.7,-4.0,7.7,1.2,2.9,7.9,7.1,-3.4,-8.6,-3.7,"jordami01, kukocto01, longllu01, pippesc01, rodmade01",5,1997,CHI
