lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
M. Bogues | V. Divac | A. Mason | G. Rice CHH 1997,1117.5666666666666,11.3,3.1,-3.7,0.054000000000000006,1.8,-0.2,0.109,0.065,3.4,3.1,0.047,-4.0,-5.8,0.9,-5.8,-1.5,-3.3,6.7,1.8,1.6,-1.8,-1.3,"boguemu01, divacvl01, masonan01, ricegl01",4,1997,CHH
D. Curry | V. Divac | A. Mason | G. Rice CHH 1997,1033.65,7.7,0.8,-4.4,0.033,2.0,-1.0,0.122,0.046,3.9,3.1,0.055999999999999994,-2.9,-5.0,-0.5,-5.0,-1.7,-3.7,4.2,1.3,-0.1,-0.4,-0.9,"curryde01, divacvl01, masonan01, ricegl01",4,1997,CHH
V. Divac | A. Mason | G. Rice | T. Smith CHH 1997,832.1833333333333,7.0,0.9,-1.8,0.019,2.8,3.6,0.07200000000000001,0.036000000000000004,2.3,2.8,0.008,-2.0,-4.2,-1.8,-4.2,-1.7,-3.8,5.1,1.7,0.7,-2.3,-1.0,"divacvl01, masonan01, ricegl01, smithto02",4,1997,CHH
M. Bogues | D. Curry | A. Mason | G. Rice CHH 1997,646.1666666666666,4.9,0.5,-2.4,0.019,0.1,-3.2,0.076,0.021,3.7,2.8,0.065,-2.9,-5.0,-0.6,-5.0,-1.7,-3.9,4.7,2.1,0.2,-2.0,0.2,"boguemu01, curryde01, masonan01, ricegl01",4,1997,CHH
M. Bogues | D. Curry | V. Divac | G. Rice CHH 1997,632.9666666666667,9.0,1.5,-5.1,0.045,0.6,-3.7,0.11,0.051,5.4,4.6,0.075,-3.9,-5.9,0.8,-5.9,-1.6,-3.6,6.7,1.7,0.9,-1.4,-1.0,"boguemu01, curryde01, divacvl01, ricegl01",4,1997,CHH
M. Bogues | D. Curry | V. Divac | A. Mason CHH 1997,595.2333333333333,6.9,1.3,-3.5,0.034,0.8,-2.8,0.10800000000000001,0.040999999999999995,3.4,2.9,0.049,-2.9,-5.0,-0.4,-5.0,-1.6,-3.7,6.0,1.7,0.8,-1.0,-0.8,"boguemu01, curryde01, divacvl01, masonan01",4,1997,CHH
M. Bogues | V. Divac | G. Rice | T. Smith CHH 1997,364.0833333333333,9.5,1.9,-1.5,0.027999999999999997,2.8,6.0,0.018000000000000002,0.044000000000000004,2.9,4.9,-0.054000000000000006,-2.2,-4.7,-1.9,-4.7,-1.8,-4.1,5.9,2.3,2.4,-3.1,-1.8,"boguemu01, divacvl01, ricegl01, smithto02",4,1997,CHH
M. Bogues | A. Mason | G. Rice | T. Smith CHH 1997,357.5833333333333,10.9,2.7,-1.4,0.037000000000000005,2.5,5.7,0.006999999999999999,0.051,2.9,5.0,-0.05,-2.5,-5.3,-2.2,-5.3,-2.0,-4.5,6.2,2.2,3.2,-3.5,-2.0,"boguemu01, masonan01, ricegl01, smithto02",4,1997,CHH
M. Bogues | V. Divac | A. Mason | T. Smith CHH 1997,352.96666666666664,10.7,2.6,-1.1,0.034,2.6,5.5,0.019,0.049,2.8,4.5,-0.043,-2.5,-5.2,-1.8,-5.2,-1.9,-4.3,6.3,2.2,2.9,-3.6,-1.3,"boguemu01, divacvl01, masonan01, smithto02",4,1997,CHH
D. Curry | A. Mason | G. Rice | T. Smith CHH 1997,338.3,1.6,1.5,3.8,-0.002,3.2,4.0,0.079,0.013999999999999999,-4.5,-6.7,0.017,-0.3,-1.5,-1.5,-1.5,-0.9,-1.9,6.4,2.0,-0.8,-1.6,0.9,"curryde01, masonan01, ricegl01, smithto02",4,1997,CHH
D. Curry | V. Divac | A. Mason | T. Smith CHH 1997,279.6333333333333,10.0,4.0,1.1,0.040999999999999995,4.4,2.9,0.177,0.065,-2.5,-4.2,0.021,0.2,1.3,1.5,1.3,0.9,1.8,7.1,1.1,-0.4,0.4,-0.3,"curryde01, divacvl01, masonan01, smithto02",4,1997,CHH
V. Divac | A. Mason | R. Pierce | G. Rice CHH 1997,275.65,-2.4,-3.6,-7.2,-0.001,0.8,-0.5,0.064,0.006,3.9,2.9,0.071,-5.5,-9.0,-0.4,-9.0,-3.1,-7.0,-0.3,0.6,2.0,-1.2,-2.6,"divacvl01, masonan01, piercri01, ricegl01",4,1997,CHH
T. Delk | V. Divac | A. Mason | G. Rice CHH 1997,273.68333333333334,0.3,-2.3,-8.1,0.017,-1.8,-5.2,0.013999999999999999,0.011000000000000001,6.6,6.2,0.064,-5.7,-10.8,-3.0,-10.8,-4.4,-9.8,2.5,1.0,1.4,-0.7,-3.4,"delkto01, divacvl01, masonan01, ricegl01",4,1997,CHH
M. Bogues | V. Divac | R. Pierce | G. Rice CHH 1997,273.53333333333336,5.7,2.2,1.7,0.015,2.9,0.6,0.166,0.031,-1.6,-3.8,0.07400000000000001,-4.1,-8.8,-2.3,-8.8,-3.3,-8.0,4.1,4.3,0.2,-4.8,-1.5,"boguemu01, divacvl01, piercri01, ricegl01",4,1997,CHH
D. Curry | V. Divac | G. Rice | T. Smith CHH 1997,270.1333333333333,10.0,3.5,1.5,0.032,4.9,3.8,0.17800000000000002,0.06,-1.9,-3.0,0.013000000000000001,-0.1,0.4,0.9,0.4,0.4,0.8,5.9,1.5,-0.8,-0.7,-0.4,"curryde01, divacvl01, ricegl01, smithto02",4,1997,CHH
V. Divac | A. Goldwire | A. Mason | G. Rice CHH 1997,266.4166666666667,3.5,-3.9,-11.6,0.013000000000000001,3.1,0.5,0.14300000000000002,0.036000000000000004,7.3,9.5,0.012,-3.8,-6.6,-0.9,-6.6,-2.0,-4.4,-3.4,-1.1,-1.4,2.1,0.9,"divacvl01, goldwan01, masonan01, ricegl01",4,1997,CHH
D. Curry | M. Geiger | A. Mason | G. Rice CHH 1997,224.08333333333334,-4.2,-3.5,-2.2,-0.027999999999999997,-2.2,0.0,-0.11900000000000001,-0.039,5.0,3.0,0.107,-2.6,-5.8,-2.7,-5.8,-2.8,-6.3,2.8,2.7,0.1,-3.0,-0.2,"curryde01, geigema01, masonan01, ricegl01",4,1997,CHH
D. Curry | A. Goldwire | A. Mason | G. Rice CHH 1997,221.88333333333333,0.1,-5.1,-9.7,-0.006999999999999999,1.1,1.9,0.02,0.005,8.1,6.4,0.124,-2.3,-6.0,-3.4,-6.0,-2.6,-6.0,-2.3,-1.4,-2.7,3.0,-0.6,"curryde01, goldwan01, masonan01, ricegl01",4,1997,CHH
D. Curry | T. Delk | A. Mason | G. Rice CHH 1997,194.65,-3.4,-8.9,-12.3,-0.038,1.8,0.1,0.08800000000000001,-0.022000000000000002,12.7,14.2,0.07200000000000001,-6.9,-15.0,-6.6,-15.0,-6.6,-14.5,-2.3,0.4,-0.1,-1.7,-2.9,"curryde01, delkto01, masonan01, ricegl01",4,1997,CHH
D. Curry | V. Divac | A. Goldwire | A. Mason CHH 1997,188.81666666666666,-3.8,-7.0,-11.4,-0.025,3.0,4.7,0.061,-0.002,6.1,8.9,0.004,-2.2,-5.8,-4.1,-5.8,-2.6,-5.5,-5.4,-1.8,-3.4,3.1,-1.0,"curryde01, divacvl01, goldwan01, masonan01",4,1997,CHH
A. Mason | B. Phills | G. Rice | D. Wesley CHH 1998,1314.7,4.9,-0.3,-4.5,0.022000000000000002,-0.4,-4.0,0.09,0.021,5.9,6.5,0.047,-0.8,0.4,2.8,0.4,1.0,2.3,2.3,1.0,-0.3,-0.1,-2.4,"masonan01, phillbo01, ricegl01, wesleda01",4,1998,CHH
V. Divac | A. Mason | G. Rice | D. Wesley CHH 1998,1075.7833333333333,8.2,1.7,-1.3,0.027000000000000003,-0.7,-3.4,0.046,0.023,5.5,4.9,0.081,-1.7,-1.2,2.5,-1.2,0.4,0.9,3.2,3.0,-0.9,-2.7,-2.7,"divacvl01, masonan01, ricegl01, wesleda01",4,1998,CHH
M. Geiger | A. Mason | G. Rice | D. Wesley CHH 1998,1067.6833333333334,1.9,-1.4,-3.9,0.005,-1.1,-2.8,-0.002,0.0,5.7,7.1,0.012,0.5,2.2,2.2,2.2,1.3,2.8,0.1,0.8,-1.0,0.0,-1.9,"geigema01, masonan01, ricegl01, wesleda01",4,1998,CHH
V. Divac | A. Mason | B. Phills | G. Rice CHH 1998,844.5166666666667,9.4,2.0,-0.5,0.026000000000000002,0.1,-4.3,0.14400000000000002,0.027000000000000003,5.3,4.6,0.07400000000000001,0.2,2.4,3.3,2.4,1.8,4.2,5.2,2.1,-0.6,-1.8,-2.3,"divacvl01, masonan01, phillbo01, ricegl01",4,1998,CHH
V. Divac | B. Phills | G. Rice | D. Wesley CHH 1998,781.3333333333334,9.0,1.6,-1.9,0.03,0.1,-3.7,0.11800000000000001,0.031,5.6,5.6,0.067,-0.6,1.3,3.7,1.3,1.6,3.6,5.0,2.2,-0.9,-1.6,-2.5,"divacvl01, phillbo01, ricegl01, wesleda01",4,1998,CHH
V. Divac | A. Mason | B. Phills | D. Wesley CHH 1998,754.3666666666667,9.2,1.4,-1.8,0.026000000000000002,-0.3,-4.6,0.111,0.025,6.6,5.9,0.09699999999999999,-0.5,1.7,3.9,1.7,1.8,4.1,4.6,2.3,-0.7,-1.7,-2.6,"divacvl01, masonan01, phillbo01, wesleda01",4,1998,CHH
