lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
T. Brandon | D. Ferry | T. Hill | C. Mills | B. Phills CLE 1997,613.85,5.6,4.8,7.3,0.013999999999999999,0.8,2.3,-0.008,0.015,-4.7,-3.9,-0.07400000000000001,0.0,-1.6,-2.2,-1.6,-1.3,-3.2,2.5,2.7,-1.0,-4.8,0.5,"brandte01, ferryda01, hillty01, millsch01, phillbo01",5,1997,CLE
T. Brandon | D. Ferry | T. Hill | C. Mills | B. Sura CLE 1997,445.4,9.1,2.4,6.4,-0.006,1.9,5.8,-0.017,0.002,2.5,0.9,0.057999999999999996,2.8,3.7,-1.2,3.7,0.5,1.2,0.9,2.7,0.5,-4.5,-0.3,"brandte01, ferryda01, hillty01, millsch01, surabo01",5,1997,CLE
T. Brandon | T. Hill | C. Mills | B. Phills | M. West CLE 1997,315.45,10.2,6.3,1.8,0.063,-0.9,-3.1,0.01,0.057,-1.5,-0.7,-0.047,-0.3,1.1,2.9,1.1,1.8,3.7,5.1,1.7,-0.3,-1.4,3.5,"brandte01, hillty01, millsch01, phillbo01, westma01",5,1997,CLE
D. Ferry | T. Hill | C. Mills | B. Phills | B. Sura CLE 1997,204.71666666666667,3.5,0.4,2.5,-0.008,0.2,1.4,-0.02,-0.009000000000000001,2.0,6.3,-0.094,2.1,2.5,-1.1,2.5,0.7,1.6,0.0,0.6,-1.6,-1.9,-2.8,"ferryda01, hillty01, millsch01, phillbo01, surabo01",5,1997,CLE
T. Brandon | D. Ferry | C. Mills | B. Phills | M. West CLE 1997,147.46666666666667,-1.1,-0.3,-1.3,0.004,0.5,-2.2,0.069,0.006999999999999999,-1.0,-3.3,0.077,-5.0,-10.3,-4.0,-10.3,-4.3,-9.4,-4.4,1.9,0.3,-3.8,1.6,"brandte01, ferryda01, millsch01, phillbo01, westma01",5,1997,CLE
T. Brandon | D. Ferry | C. Mills | V. Potapenko | B. Sura CLE 1997,119.78333333333333,-5.5,1.3,1.3,0.008,-1.3,-5.5,0.051,0.0,-6.9,-10.1,0.038,-3.2,-6.8,-2.1,-6.8,-2.6,-6.1,-1.2,-0.1,0.0,-0.8,2.8,"brandte01, ferryda01, millsch01, potapvi01, surabo01",5,1997,CLE
T. Brandon | D. Ferry | C. Mills | B. Phills | V. Potapenko CLE 1997,113.8,0.5,6.1,18.3,-0.021,1.1,3.8,-0.013000000000000001,-0.022000000000000002,-12.9,-16.7,0.036000000000000004,4.7,2.9,-6.5,2.9,-0.7,-1.7,1.9,1.7,1.4,-6.0,5.1,"brandte01, ferryda01, millsch01, phillbo01, potapvi01",5,1997,CLE
T. Brandon | T. Hill | C. Mills | V. Potapenko | B. Sura CLE 1997,90.53333333333333,2.7,2.5,-8.6,0.073,-3.3,-11.1,0.055999999999999994,0.057,-0.9,0.2,-0.043,-4.1,-2.6,6.3,-2.6,1.0,2.1,1.5,-1.8,-3.1,4.1,0.0,"brandte01, hillty01, millsch01, potapvi01, surabo01",5,1997,CLE
T. Brandon | T. Hill | C. Mills | B. Sura | M. West CLE 1997,86.85,4.1,4.3,6.0,0.019,-2.0,0.1,-0.16699999999999998,0.005,-2.6,-9.2,0.114,2.1,5.2,3.2,5.2,2.7,5.6,-2.5,0.6,-9.5,-0.6,3.7,"brandte01, hillty01, millsch01, surabo01, westma01",5,1997,CLE
T. Brandon | T. Hill | C. Mills | B. Phills | V. Potapenko CLE 1997,81.88333333333334,9.3,11.4,9.4,0.084,1.6,1.8,0.078,0.09,-15.0,-17.7,-0.063,-1.8,-0.8,4.6,-0.8,1.8,4.3,2.4,3.2,-0.7,-3.7,5.3,"brandte01, hillty01, millsch01, phillbo01, potapvi01",5,1997,CLE
T. Brandon | D. Ferry | C. Mills | B. Sura | M. West CLE 1997,81.18333333333334,-5.1,4.0,7.0,0.008,-1.0,2.0,-0.107,-0.002,-12.0,-20.7,0.163,-4.0,-8.9,-3.0,-8.9,-3.9,-9.2,3.1,1.2,1.6,-1.4,1.8,"brandte01, ferryda01, millsch01, surabo01, westma01",5,1997,CLE
D. Ferry | C. Mills | B. Phills | V. Potapenko | B. Sura CLE 1997,69.78333333333333,13.2,8.9,7.3,0.069,4.1,-0.8,0.18100000000000002,0.08800000000000001,-8.7,-8.9,-0.151,2.8,7.3,7.4,7.3,6.2,11.7,5.4,4.0,4.9,-3.5,4.0,"ferryda01, millsch01, phillbo01, potapvi01, surabo01",5,1997,CLE
D. Ferry | T. Hill | A. Lang | B. Phills | B. Sura CLE 1997,47.266666666666666,23.3,12.3,8.3,0.099,0.9,1.9,-0.005,0.098,-2.1,0.1,-0.07400000000000001,-1.7,-1.1,2.1,-1.1,0.0,0.0,12.7,7.9,2.7,-10.8,-0.6,"ferryda01, hillty01, langan02, phillbo01, surabo01",5,1997,CLE
T. Brandon | T. Hill | C. Mills | B. Phills | B. Sura CLE 1997,45.05,48.7,12.0,1.1,0.16,1.8,2.6,0.033,0.172,22.9,22.2,0.065,3.1,20.6,14.1,20.6,9.0,27.6,9.7,6.3,4.3,-9.1,-4.0,"brandte01, hillty01, millsch01, phillbo01, surabo01",5,1997,CLE
T. Brandon | D. Ferry | T. Hill | A. Lang | B. Sura CLE 1997,44.516666666666666,-4.7,2.8,19.4,-0.09300000000000001,2.5,1.0,0.136,-0.08900000000000001,-12.8,-18.5,0.013000000000000001,10.5,19.9,0.8,19.9,5.4,13.3,3.3,-1.2,-3.9,1.0,3.4,"brandte01, ferryda01, hillty01, langan02, surabo01",5,1997,CLE
D. Ferry | C. Mills | B. Phills | B. Sura | M. West CLE 1997,39.9,-29.8,-13.2,-7.8,-0.11900000000000001,1.2,13.1,-0.2,-0.109,-4.5,4.7,-0.258,5.1,10.3,5.1,10.3,4.8,9.6,-8.9,-1.2,-1.2,10.5,-2.7,"ferryda01, millsch01, phillbo01, surabo01, westma01",5,1997,CLE
T. Brandon | D. Ferry | A. Lang | V. Potapenko | B. Sura CLE 1997,39.71666666666667,6.5,7.9,6.1,0.061,-1.5,3.5,-0.19399999999999998,0.05,-7.7,-11.8,0.10400000000000001,-3.1,-3.6,3.9,-3.6,0.0,0.0,4.4,1.7,4.3,-2.0,-0.7,"brandte01, ferryda01, langan02, potapvi01, surabo01",5,1997,CLE
T. Brandon | T. Hill | B. Phills | B. Sura | M. West CLE 1997,36.416666666666664,22.5,14.1,5.4,0.132,1.1,0.3,0.064,0.136,-6.9,-10.6,-0.071,-1.2,7.5,15.2,7.5,6.2,12.1,5.8,5.4,-2.6,-1.4,0.8,"brandte01, hillty01, phillbo01, surabo01, westma01",5,1997,CLE
D. Ferry | A. Lang | C. Mills | V. Potapenko | B. Sura CLE 1997,33.43333333333333,49.8,22.0,5.5,0.281,1.7,-2.8,0.20600000000000002,0.292,4.1,-5.4,0.243,-9.4,-15.3,10.5,-15.3,0.8,2.4,15.2,-0.4,7.9,-5.7,-4.0,"ferryda01, langan02, millsch01, potapvi01, surabo01",5,1997,CLE
D. Ferry | T. Hill | D. Marshall | B. Phills | B. Sura CLE 1997,33.083333333333336,-7.3,-6.5,13.6,-0.135,-1.6,5.7,-0.122,-0.152,7.3,12.7,-0.009000000000000001,7.1,7.5,-9.4,7.5,-0.9,-1.6,-4.9,5.1,-5.4,-11.9,-4.3,"ferryda01, hillty01, marshdo02, phillbo01, surabo01",5,1997,CLE
C. Henderson | Z. Ilgauskas | S. Kemp | B. Knight | W. Person CLE 1998,978.05,6.5,3.0,0.6,0.031,-1.3,-5.8,0.11699999999999999,0.023,1.9,1.4,0.038,1.0,4.2,4.0,4.2,2.5,5.7,2.2,1.8,-0.3,-0.3,1.1,"hendece02, ilgauzy01, kempsh01, knighbr01, persowe01",5,1998,CLE
D. Anderson | Z. Ilgauskas | S. Kemp | B. Knight | W. Person CLE 1998,204.75,9.2,3.1,-1.7,0.046,0.5,2.6,-0.038,0.049,2.5,2.2,0.03,-2.2,-0.8,3.4,-0.8,0.5,1.2,2.2,6.4,2.7,-3.0,0.5,"anderde01, ilgauzy01, kempsh01, knighbr01, persowe01",5,1998,CLE
