lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
S. Bradley | M. Finley | A. Green | D. Harper DAL 1997,423.96666666666664,-7.9,-4.0,-6.0,-0.015,-3.5,-7.8,-0.049,-0.032,3.5,4.5,0.01,-2.0,-2.1,0.8,-2.1,-0.8,-1.7,-3.6,-1.7,1.1,1.3,-1.7,"bradlsh01, finlemi01, greenac01, harpede01",4,1997,DAL
S. Bradley | M. Finley | A. Green | E. Strickland DAL 1997,314.05,-7.0,-2.6,-3.4,-0.012,-3.6,-6.7,-0.062,-0.031,1.7,1.6,0.026000000000000002,0.3,2.4,2.9,2.4,1.3,2.9,-2.0,-2.3,0.0,3.3,-1.4,"bradlsh01, finlemi01, greenac01, stricer01",4,1997,DAL
J. Jackson | J. Kidd | G. McCloud | E. Montross DAL 1997,296.3,-3.8,1.2,0.7,0.01,-0.3,0.5,-0.027000000000000003,0.006999999999999999,-5.8,-8.9,0.035,-2.7,-4.5,-0.5,-4.5,-1.4,-3.2,1.6,-0.4,-1.8,0.2,5.1,"jacksji01, kiddja01, mccloge01, montrer01",4,1997,DAL
S. Bradley | M. Finley | A. Green | R. Pack DAL 1997,289.8,-3.4,-1.7,-2.3,-0.006999999999999999,-1.1,-3.1,-0.002,-0.012,1.0,-0.1,0.046,-3.0,-6.2,-3.0,-6.2,-3.2,-6.7,-2.8,-2.0,0.6,-0.8,-1.8,"bradlsh01, finlemi01, greenac01, packro01",4,1997,DAL
C. Gatling | D. Harper | J. Jackson | O. Miller DAL 1997,216.95,-8.7,-1.8,-4.3,0.003,-4.9,-10.2,-0.087,-0.024,-1.3,-3.5,0.042,-2.4,-2.8,0.8,-2.8,-0.6,-1.3,-0.3,0.5,0.3,2.6,2.4,"gatlich01, harpede01, jacksji01, milleol01",4,1997,DAL
S. Bradley | M. Finley | A. Green | K. Reeves DAL 1997,203.91666666666666,-12.3,-4.7,-0.4,-0.05,-1.9,-3.7,-0.022000000000000002,-0.06,-1.1,-0.9,-0.018000000000000002,3.2,4.6,-0.6,4.6,0.9,2.0,-3.8,-3.1,-1.4,3.7,-0.5,"bradlsh01, finlemi01, greenac01, reevekh01",4,1997,DAL
J. Jackson | J. Kidd | L. Meyer | E. Montross DAL 1997,199.46666666666667,-9.1,0.3,0.6,0.001,-1.5,5.3,-0.192,-0.008,-8.9,-10.1,-0.052000000000000005,-4.3,-8.2,-3.1,-8.2,-3.5,-7.4,-0.8,-0.5,-3.4,-0.2,5.3,"jacksji01, kiddja01, meyerlo01, montrer01",4,1997,DAL
M. Finley | A. Green | D. Harper | E. Strickland DAL 1997,199.08333333333334,-5.9,-3.8,-3.6,-0.025,-4.0,-7.6,-0.10099999999999999,-0.047,5.7,5.3,0.053,-0.9,-1.6,-0.3,-1.6,-0.7,-1.5,-4.4,-0.2,1.4,0.7,-1.3,"finlemi01, greenac01, harpede01, stricer01",4,1997,DAL
M. Finley | A. Green | K. Reeves | E. Strickland DAL 1997,198.0,-7.6,-2.1,1.0,-0.028999999999999998,-1.4,-2.6,-0.024,-0.038,-2.1,-2.2,-0.012,2.9,6.2,2.1,6.2,2.0,4.7,-4.1,-2.2,-1.2,2.3,1.2,"finlemi01, greenac01, reevekh01, stricer01",4,1997,DAL
S. Bradley | S. Danilović | M. Finley | A. Green DAL 1997,195.48333333333332,-10.1,-1.6,1.8,-0.025,-2.3,-5.8,-0.023,-0.039,-4.7,-2.5,-0.134,-0.2,-4.2,-6.9,-4.2,-3.6,-7.5,-3.6,-0.2,-1.1,-1.0,-1.7,"bradlsh01, danilsa01, finlemi01, greenac01",4,1997,DAL
M. Finley | A. Green | D. Harper | R. Pack DAL 1997,191.36666666666667,-8.6,-4.6,-1.2,-0.047,0.1,2.1,-0.034,-0.046,0.6,-1.8,0.07400000000000001,-2.5,-6.4,-3.8,-6.4,-3.4,-7.4,-4.6,-0.7,-1.4,-0.6,1.2,"finlemi01, greenac01, harpede01, packro01",4,1997,DAL
C. Gatling | D. Harper | G. McCloud | O. Miller DAL 1997,183.63333333333333,23.9,8.7,3.2,0.08900000000000001,0.3,0.1,0.013999999999999999,0.08900000000000001,2.9,3.2,0.016,-2.3,-3.5,0.2,-3.5,-0.7,-1.6,6.2,4.9,2.5,-7.1,1.3,"gatlich01, harpede01, mccloge01, milleol01",4,1997,DAL
C. Gatling | D. Harper | J. Jackson | G. McCloud DAL 1997,177.55,0.8,-2.6,-16.0,0.055999999999999994,-0.6,-8.4,0.111,0.06,5.2,5.9,0.027999999999999997,-9.4,-12.3,1.4,-12.3,-4.1,-8.9,1.5,-2.2,1.2,2.7,0.0,"gatlich01, harpede01, jacksji01, mccloge01",4,1997,DAL
S. Bradley | M. Finley | K. Reeves | E. Strickland DAL 1997,176.55,-11.8,-4.3,-0.5,-0.045,-2.4,-3.9,-0.048,-0.057999999999999996,-0.8,-1.2,0.011000000000000001,2.8,4.2,0.1,4.2,1.1,2.3,-6.1,-2.0,-1.0,3.3,-0.2,"bradlsh01, finlemi01, reevekh01, stricer01",4,1997,DAL
A. Green | J. Jackson | J. Mashburn | E. Montross DAL 1997,171.76666666666668,-5.3,-0.5,-3.8,0.013000000000000001,-2.5,-9.3,0.07200000000000001,0.001,-1.8,-3.1,0.021,0.4,2.9,3.9,2.9,2.2,4.5,-2.1,-5.3,-4.1,4.4,-0.5,"greenac01, jacksji01, mashbja01, montrer01",4,1997,DAL
J. Jackson | J. Kidd | G. McCloud | L. Meyer DAL 1997,161.98333333333332,-2.9,2.1,0.1,0.023,-0.2,4.6,-0.12300000000000001,0.022000000000000002,-6.9,-9.1,0.011000000000000001,-4.0,-6.8,-1.3,-6.8,-2.5,-5.5,4.2,1.1,-2.1,-0.3,6.6,"jacksji01, kiddja01, mccloge01, meyerlo01",4,1997,DAL
D. Harper | J. Jackson | G. McCloud | E. Montross DAL 1997,159.28333333333333,-30.8,-11.8,-3.9,-0.11199999999999999,-0.3,-2.0,0.021,-0.11199999999999999,-6.9,-8.5,-0.043,-4.9,-13.7,-9.8,-13.7,-7.4,-15.4,-8.9,-2.0,-2.3,3.0,4.9,"harpede01, jacksji01, mccloge01, montrer01",4,1997,DAL
S. Bradley | A. Green | K. Reeves | E. Strickland DAL 1997,159.03333333333333,-9.8,-3.0,-0.1,-0.033,-2.4,-4.1,-0.045,-0.047,-1.4,-0.8,-0.042,2.4,4.5,1.3,4.5,1.4,3.0,-4.3,-3.2,-1.1,2.8,0.2,"bradlsh01, greenac01, reevekh01, stricer01",4,1997,DAL
S. Danilović | M. Finley | A. Green | R. Pack DAL 1997,155.91666666666666,-9.9,-2.2,1.7,-0.034,0.1,-1.3,0.028999999999999998,-0.034,-5.6,-5.0,-0.071,-2.1,-6.8,-5.7,-6.8,-4.2,-9.3,-1.4,0.3,-1.2,-1.8,-0.8,"danilsa01, finlemi01, greenac01, packro01",4,1997,DAL
C. Gatling | D. Harper | J. Jackson | J. Mashburn DAL 1997,154.5,-7.5,0.8,9.9,-0.040999999999999995,-4.0,-6.2,-0.071,-0.07,-5.1,-7.1,-0.005,4.2,-0.8,-8.3,-0.8,-1.9,-4.1,-0.9,0.9,-1.5,-0.1,2.6,"gatlich01, harpede01, jacksji01, mashbja01",4,1997,DAL
S. Bradley | H. Davis | M. Finley | A. Green DAL 1998,562.4666666666667,-11.2,-5.9,-3.5,-0.047,-1.8,-2.6,-0.059000000000000004,-0.055999999999999994,2.5,2.5,0.025,-1.6,-5.3,-4.5,-5.3,-3.1,-6.6,-5.1,-0.8,3.5,-0.1,-2.3,"bradlsh01, davishu01, finlemi01, greenac01",4,1998,DAL
M. Finley | A. Green | K. Reeves | D. Scott DAL 1998,529.9666666666667,-11.5,-7.4,-5.5,-0.053,1.6,4.8,-0.005,-0.043,1.6,-1.2,0.111,-5.3,-10.0,-3.7,-10.0,-4.7,-9.9,-7.9,-0.5,0.2,0.8,-0.9,"finlemi01, greenac01, reevekh01, scottde01",4,1998,DAL
S. Bradley | M. Finley | A. Green | K. Reeves DAL 1998,505.55,-4.7,-4.1,-4.2,-0.024,0.3,-0.1,0.025,-0.021,3.2,3.1,0.049,-2.6,-6.4,-4.2,-6.4,-3.2,-6.6,-2.0,-1.5,2.6,-0.6,-0.5,"bradlsh01, finlemi01, greenac01, reevekh01",4,1998,DAL
H. Davis | M. Finley | A. Green | K. Reeves DAL 1998,424.25,-6.2,-6.1,-4.1,-0.048,0.4,-1.3,0.063,-0.045,6.0,5.7,0.064,-3.9,-9.9,-6.0,-9.9,-5.0,-10.8,-5.2,1.2,-1.1,-2.2,-0.8,"davishu01, finlemi01, greenac01, reevekh01",4,1998,DAL
S. Bradley | M. Finley | A. Green | D. Scott DAL 1998,367.0833333333333,-13.2,-6.5,-3.4,-0.054000000000000006,0.1,1.8,-0.039,-0.052000000000000005,0.1,-1.3,0.051,-0.6,-3.0,-3.3,-3.0,-1.7,-3.4,-8.5,-3.3,3.1,2.8,-0.3,"bradlsh01, finlemi01, greenac01, scottde01",4,1998,DAL
H. Davis | M. Finley | A. Green | E. Strickland DAL 1998,346.56666666666666,-9.2,-8.3,-3.7,-0.073,0.5,1.4,-0.001,-0.068,4.5,6.3,-0.005,-2.3,-8.2,-6.9,-8.2,-4.9,-11.1,-7.3,2.8,2.3,-3.0,-3.2,"davishu01, finlemi01, greenac01, stricer01",4,1998,DAL
H. Davis | M. Finley | A. Green | D. Scott DAL 1998,311.95,-14.3,-6.6,-1.4,-0.066,-0.4,4.1,-0.094,-0.067,-1.8,-0.4,-0.066,-2.2,-8.0,-7.3,-8.0,-5.0,-10.7,-11.0,1.0,-0.7,-1.1,-1.6,"davishu01, finlemi01, greenac01, scottde01",4,1998,DAL
S. Bradley | H. Davis | M. Finley | E. Strickland DAL 1998,307.68333333333334,-3.2,-1.4,-1.3,-0.009000000000000001,0.1,0.6,-0.006999999999999999,-0.006999999999999999,-3.3,-6.1,0.057999999999999996,-5.4,-12.9,-6.9,-12.9,-6.2,-13.6,-1.5,1.0,4.5,-2.1,-1.1,"bradlsh01, davishu01, finlemi01, stricer01",4,1998,DAL
M. Finley | A. Green | D. Scott | S. Walker DAL 1998,301.05,-21.7,-10.6,0.1,-0.11599999999999999,0.6,2.9,-0.034,-0.113,-1.1,-4.4,0.094,-0.2,-6.2,-8.6,-6.2,-4.4,-9.4,-8.8,-1.6,-2.1,2.0,0.9,"finlemi01, greenac01, scottde01, walkesa01",4,1998,DAL
S. Bradley | M. Finley | K. Reeves | D. Scott DAL 1998,279.68333333333334,3.4,0.1,-6.9,0.035,1.8,3.6,0.023,0.048,1.3,-0.5,0.083,-5.5,-5.6,3.0,-5.6,-1.4,-2.8,-4.3,-3.0,4.6,1.9,0.0,"bradlsh01, finlemi01, reevekh01, scottde01",4,1998,DAL
S. Bradley | H. Davis | M. Finley | K. Reeves DAL 1998,270.8666666666667,-6.5,-3.9,-2.9,-0.027999999999999997,0.6,0.4,0.036000000000000004,-0.024,0.3,0.7,-0.01,-4.2,-10.3,-6.8,-10.3,-5.5,-11.2,-2.2,-1.4,3.0,-1.3,0.5,"bradlsh01, davishu01, finlemi01, reevekh01",4,1998,DAL
S. Bradley | H. Davis | M. Finley | D. Scott DAL 1998,249.98333333333332,-16.2,-1.4,1.8,-0.023,0.0,2.4,-0.053,-0.024,-13.0,-13.2,-0.136,-4.9,-11.1,-7.1,-11.1,-6.2,-12.4,-9.1,-0.2,3.2,-1.9,2.2,"bradlsh01, davishu01, finlemi01, scottde01",4,1998,DAL
S. Bradley | H. Davis | A. Green | K. Reeves DAL 1998,236.43333333333334,-12.2,-8.6,-2.0,-0.084,0.8,0.7,0.048,-0.079,4.6,5.8,0.017,0.2,-5.4,-8.6,-5.4,-4.0,-8.1,-6.7,-2.2,2.3,-0.5,-0.3,"bradlsh01, davishu01, greenac01, reevekh01",4,1998,DAL
S. Bradley | M. Finley | A. Green | E. Strickland DAL 1998,231.55,-0.6,1.7,3.5,0.001,-1.5,-2.3,-0.04,-0.008,-3.8,-4.7,-0.013000000000000001,-0.9,-4.9,-5.1,-4.9,-2.9,-6.4,1.4,2.8,6.0,-2.7,-0.9,"bradlsh01, finlemi01, greenac01, stricer01",4,1998,DAL
M. Finley | A. Green | K. Reeves | E. Strickland DAL 1998,230.25,-13.1,-5.7,-4.4,-0.040999999999999995,0.1,0.6,-0.005,-0.039,-2.3,-2.8,-0.009000000000000001,-3.4,-8.1,-4.8,-8.1,-4.3,-9.0,-6.5,-0.1,-1.5,1.1,-0.3,"finlemi01, greenac01, reevekh01, stricer01",4,1998,DAL
S. Bradley | A. Green | K. Reeves | D. Scott DAL 1998,213.75,-10.3,-8.6,-11.5,-0.036000000000000004,2.0,6.6,-0.034,-0.021,4.9,3.6,0.122,-5.1,-7.6,-0.3,-7.6,-2.8,-5.8,-8.0,-4.7,2.3,4.4,-1.0,"bradlsh01, greenac01, reevekh01, scottde01",4,1998,DAL
H. Davis | M. Finley | K. Reeves | D. Scott DAL 1998,212.33333333333334,-9.1,0.5,1.4,-0.001,1.1,4.2,-0.013999999999999999,0.005,-11.3,-14.0,0.006999999999999999,-5.6,-10.1,-1.8,-10.1,-4.5,-10.1,-3.0,0.0,0.1,0.3,2.0,"davishu01, finlemi01, reevekh01, scottde01",4,1998,DAL
M. Finley | K. Reeves | D. Scott | S. Walker DAL 1998,209.7,-12.4,-6.4,0.9,-0.073,1.7,3.0,0.051,-0.064,-1.4,-7.8,0.183,-3.7,-7.3,-3.4,-7.3,-3.7,-7.6,-7.2,0.2,-0.4,-0.6,0.8,"finlemi01, reevekh01, scottde01, walkesa01",4,1998,DAL
H. Davis | M. Finley | D. Scott | S. Walker DAL 1998,207.61666666666667,-16.5,-7.9,-7.2,-0.052000000000000005,1.0,0.7,0.04,-0.044000000000000004,-1.6,2.4,-0.135,-1.7,-3.4,-1.5,-3.4,-2.0,-4.2,-4.2,-2.7,-0.3,3.2,-3.3,"davishu01, finlemi01, scottde01, walkesa01",4,1998,DAL
M. Finley | A. Green | K. Reeves | E. Riley DAL 1998,207.4,2.1,-1.2,-0.5,-0.01,3.1,3.1,0.152,0.006999999999999999,1.3,1.6,0.004,-1.5,-4.5,-3.1,-4.5,-2.3,-5.3,1.6,-1.3,1.5,-1.5,0.0,"finlemi01, greenac01, reevekh01, rileyer01",4,1998,DAL
S. Bradley | M. Finley | S. Nash | G. Trent DAL 1999,416.71666666666664,11.4,2.2,-1.3,0.031,1.3,-0.7,0.133,0.038,5.7,7.2,0.018000000000000002,2.5,7.7,6.8,7.7,4.4,9.1,0.6,-0.7,1.9,0.1,-1.7,"bradlsh01, finlemi01, nashst01, trentga01",4,1999,DAL
S. Bradley | M. Finley | A. Green | S. Nash DAL 1999,355.48333333333335,-2.9,-3.1,1.6,-0.04,-1.6,-4.0,-0.015,-0.049,4.9,6.8,-0.001,3.2,4.2,-0.4,4.2,1.2,2.4,-1.7,-0.4,1.9,-1.7,-1.8,"bradlsh01, finlemi01, greenac01, nashst01",4,1999,DAL
S. Bradley | H. Davis | M. Finley | G. Trent DAL 1999,332.1333333333333,14.0,3.9,1.3,0.037000000000000005,1.1,-0.1,0.09,0.042,5.2,8.4,-0.027000000000000003,3.2,5.4,1.2,5.4,2.4,5.0,0.4,0.4,6.1,-2.0,-1.7,"bradlsh01, davishu01, finlemi01, trentga01",4,1999,DAL
H. Davis | M. Finley | D. Nowitzki | G. Trent DAL 1999,232.36666666666667,7.6,3.4,-2.2,0.05,1.6,-4.7,0.251,0.06,-0.8,-0.9,-0.006,-5.9,-9.5,-0.2,-9.5,-3.1,-7.0,-3.2,2.1,1.4,-2.4,-0.2,"davishu01, finlemi01, nowitdi01, trentga01",4,1999,DAL
