lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Ellis | M. Jackson | E. Johnson | A. McDyess | B. Stith DEN 1997,365.98333333333335,-4.7,-1.8,-0.9,-0.016,-0.3,2.3,-0.07200000000000001,-0.017,-0.5,-1.3,0.026000000000000002,0.8,0.8,-0.6,0.8,0.1,0.3,5.3,-1.0,-0.3,2.2,1.8,"ellisda01, jacksma01, johnser02, mcdyean01, stithbr01",5,1997,DEN
L. Ellis | M. Jackson | E. Johnson | A. McDyess | B. Stith DEN 1997,196.58333333333334,3.6,-0.3,-3.4,0.013999999999999999,1.7,2.5,0.047,0.025,2.5,2.4,0.03,-0.1,2.4,3.8,2.4,2.1,4.7,4.4,-1.5,0.8,1.9,-1.2,"ellisla01, jacksma01, johnser02, mcdyean01, stithbr01",5,1997,DEN
D. Ellis | A. Goldwire | T. Hammonds | E. Johnson | A. McDyess DEN 1997,166.3,-2.2,-3.3,-10.4,0.013999999999999999,1.2,1.1,0.047,0.025,1.2,6.4,-0.18,-3.5,-4.3,1.1,-4.3,-1.2,-2.5,2.3,-5.5,-1.5,3.9,-1.2,"ellisda01, goldwan01, hammoto01, johnser02, mcdyean01",5,1997,DEN
D. Ellis | L. Ellis | M. Jackson | E. Johnson | B. Stith DEN 1997,155.11666666666667,-4.4,-5.2,-3.1,-0.043,3.3,7.1,0.040999999999999995,-0.022000000000000002,2.6,4.1,-0.036000000000000004,1.5,3.7,1.9,3.7,1.5,3.4,3.1,-2.6,-0.2,1.7,-0.3,"ellisda01, ellisla01, jacksma01, johnser02, stithbr01",5,1997,DEN
L. Ellis | A. Goldwire | E. Johnson | A. McDyess | B. Stith DEN 1997,139.2,11.4,4.9,-3.5,0.07200000000000001,1.9,0.1,0.106,0.084,-0.2,-0.2,-0.003,0.5,5.8,9.2,5.8,4.9,10.5,8.1,-4.2,0.7,6.5,-1.9,"ellisla01, goldwan01, johnser02, mcdyean01, stithbr01",5,1997,DEN
D. Ellis | L. Ellis | M. Jackson | E. Johnson | R. Pierce DEN 1997,127.48333333333333,13.5,-2.9,-16.3,0.046,5.7,4.5,0.21100000000000002,0.08199999999999999,13.5,11.4,0.18899999999999997,-11.9,-14.1,4.1,-14.1,-4.1,-8.7,2.3,-1.8,3.8,-1.9,-4.5,"ellisda01, ellisla01, jacksma01, johnser02, piercri01",5,1997,DEN
L. Ellis | M. Jackson | E. Johnson | A. McDyess | R. Pierce DEN 1997,98.61666666666666,-13.0,-2.1,-2.6,-0.009000000000000001,-4.7,-3.1,-0.28800000000000003,-0.033,-4.1,-3.1,-0.092,1.6,2.8,0.5,2.8,1.0,2.3,-5.2,-5.7,6.7,6.2,-0.8,"ellisla01, jacksma01, johnser02, mcdyean01, piercri01",5,1997,DEN
D. Ellis | T. Hammonds | M. Jackson | E. Johnson | B. Stith DEN 1997,92.15,-15.8,-11.0,-11.8,-0.07,-1.2,1.0,-0.095,-0.073,6.1,7.8,0.009000000000000001,-0.6,0.9,3.0,0.9,1.1,2.4,-2.4,-3.4,2.9,5.0,-1.1,"ellisda01, hammoto01, jacksma01, johnser02, stithbr01",5,1997,DEN
D. Ellis | T. Hammonds | M. Jackson | A. McDyess | B. Stith DEN 1997,87.56666666666666,-0.5,-8.5,-15.6,-0.019,2.9,3.7,0.106,0.004,13.5,14.2,0.10099999999999999,-2.6,-2.3,2.9,-2.3,0.3,0.6,-2.4,-5.3,-0.6,5.9,-3.1,"ellisda01, hammoto01, jacksma01, mcdyean01, stithbr01",5,1997,DEN
D. Ellis | L. Ellis | E. Johnson | A. McDyess | B. Thompson DEN 1997,84.68333333333334,-4.3,-5.6,-8.6,-0.016,2.9,15.1,-0.19,0.006,3.9,3.0,0.081,-1.8,-4.6,-2.4,-4.6,-1.5,-3.5,3.9,-5.4,7.0,5.6,2.1,"ellisda01, ellisla01, johnser02, mcdyean01, thompbr01",5,1997,DEN
D. Ellis | L. Ellis | T. Hammonds | M. Jackson | B. Stith DEN 1997,78.21666666666667,-20.9,-8.3,10.5,-0.146,0.6,12.7,-0.225,-0.147,-4.9,-5.0,-0.026000000000000002,6.3,0.4,-11.3,0.4,-2.6,-5.8,-2.3,-2.5,-1.2,-1.4,-2.9,"ellisda01, ellisla01, hammoto01, jacksma01, stithbr01",5,1997,DEN
