lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Martin | M. Sealy | L. Vaught | L. Wright LAC 1997,842.75,-9.5,-2.4,2.4,-0.04,-1.6,-2.3,-0.045,-0.05,-3.0,-3.3,-0.024,1.2,-0.6,-3.3,-0.6,-0.9,-2.2,-2.5,-0.1,-1.4,0.7,2.2,"martida01, sealyma01, vaughlo01, wrighlo02",4,1997,LAC
D. Martin | R. Rogers | M. Sealy | L. Vaught LAC 1997,767.0166666666667,-10.1,-2.0,2.7,-0.038,-2.4,-2.6,-0.092,-0.053,-3.7,-5.2,0.002,0.7,-0.7,-2.7,-0.7,-1.0,-2.2,-2.8,0.6,-1.8,0.6,3.0,"martida01, rogerro01, sealyma01, vaughlo01",4,1997,LAC
D. Martin | R. Rogers | M. Sealy | L. Wright LAC 1997,565.0,-12.6,-3.1,2.2,-0.048,-2.1,-0.6,-0.11699999999999999,-0.061,-4.4,-5.2,-0.025,1.0,-0.5,-2.8,-0.5,-0.9,-2.0,-3.7,-1.3,-0.8,1.8,2.8,"martida01, rogerro01, sealyma01, wrighlo02",4,1997,LAC
R. Rogers | M. Sealy | L. Vaught | L. Wright LAC 1997,556.3333333333334,-12.2,-3.6,1.0,-0.047,-2.1,-1.5,-0.099,-0.06,-2.8,-3.0,-0.027999999999999997,0.9,-1.0,-3.3,-1.0,-1.1,-2.7,-3.2,-0.3,-0.7,2.1,2.2,"rogerro01, sealyma01, vaughlo01, wrighlo02",4,1997,LAC
D. Martin | B. Outlaw | M. Sealy | L. Vaught LAC 1997,514.4666666666667,-4.5,0.7,2.4,-0.005,-2.9,-7.6,-0.013999999999999999,-0.022000000000000002,-2.9,-2.4,-0.05,0.9,0.1,-1.8,0.1,-0.5,-1.0,-0.6,0.8,-2.3,-0.6,0.1,"martida01, outlabo01, sealyma01, vaughlo01",4,1997,LAC
D. Martin | R. Rogers | L. Vaught | L. Wright LAC 1997,483.8833333333333,-9.1,-2.6,0.4,-0.031,-1.5,-0.6,-0.085,-0.04,-2.5,-3.1,-0.01,0.3,-1.1,-2.0,-1.1,-0.8,-1.8,-2.8,-0.5,-0.4,2.2,3.2,"martida01, rogerro01, vaughlo01, wrighlo02",4,1997,LAC
D. Martin | B. Outlaw | M. Sealy | L. Wright LAC 1997,463.65,-8.9,-0.5,5.1,-0.034,-2.5,-4.9,-0.040999999999999995,-0.05,-5.3,-5.1,-0.061,2.3,0.7,-3.7,0.7,-0.7,-1.6,-2.6,-0.9,-1.4,-0.5,0.2,"martida01, outlabo01, sealyma01, wrighlo02",4,1997,LAC
B. Outlaw | M. Sealy | L. Vaught | L. Wright LAC 1997,391.65,-7.2,-0.2,4.0,-0.023,-1.9,-5.6,0.008,-0.035,-5.5,-4.8,-0.079,1.8,-0.2,-3.8,-0.2,-0.9,-2.2,-2.1,-0.4,-1.7,-0.1,0.3,"outlabo01, sealyma01, vaughlo01, wrighlo02",4,1997,LAC
D. Martin | B. Outlaw | L. Vaught | L. Wright LAC 1997,367.3833333333333,-1.6,1.7,3.2,0.002,-1.8,-5.6,0.018000000000000002,-0.009000000000000001,-3.2,-2.4,-0.055,2.2,1.8,-1.9,1.8,0.2,0.5,-1.6,-0.4,-1.3,-0.1,-0.1,"martida01, outlabo01, vaughlo01, wrighlo02",4,1997,LAC
P. Richardson | R. Rogers | M. Sealy | L. Vaught LAC 1997,314.2,-18.6,-6.0,-1.0,-0.063,-2.5,-2.7,-0.10400000000000001,-0.077,-4.2,-5.6,0.003,-2.0,-6.8,-5.6,-6.8,-3.7,-8.1,-1.9,-0.8,-0.4,1.5,2.3,"richapo01, rogerro01, sealyma01, vaughlo01",4,1997,LAC
K. Duckworth | R. Rogers | M. Sealy | L. Vaught LAC 1997,269.28333333333336,-21.5,-5.8,-1.1,-0.06,-1.3,-1.3,-0.069,-0.068,-8.5,-10.9,0.009000000000000001,-3.6,-9.4,-5.2,-9.4,-4.3,-9.9,-1.6,-0.7,-1.6,1.3,4.5,"duckwke01, rogerro01, sealyma01, vaughlo01",4,1997,LAC
B. Outlaw | R. Rogers | M. Sealy | L. Vaught LAC 1997,261.81666666666666,6.2,3.9,-3.0,0.06,-3.7,-7.8,-0.054000000000000006,0.04,2.1,3.7,-0.016,-1.6,-1.3,1.8,-1.3,0.3,0.6,2.9,0.2,-0.1,0.3,-1.6,"outlabo01, rogerro01, sealyma01, vaughlo01",4,1997,LAC
D. Martin | B. Outlaw | R. Rogers | M. Sealy LAC 1997,248.51666666666668,-1.5,3.0,3.6,0.013999999999999999,-2.9,-5.5,-0.051,-0.004,-4.5,-4.9,-0.04,-0.4,0.1,1.0,0.1,0.2,0.5,1.3,0.3,-1.6,-1.8,-0.2,"martida01, outlabo01, rogerro01, sealyma01",4,1997,LAC
K. Duckworth | P. Richardson | M. Sealy | L. Vaught LAC 1997,199.76666666666668,-21.7,-6.5,-4.4,-0.051,-0.2,-0.4,-0.006,-0.051,-8.4,-10.2,-0.021,-6.0,-12.4,-4.9,-12.4,-5.4,-11.8,0.5,-1.4,-1.1,2.1,4.0,"duckwke01, richapo01, sealyma01, vaughlo01",4,1997,LAC
B. Outlaw | R. Rogers | M. Sealy | L. Wright LAC 1997,191.41666666666666,1.3,1.6,6.0,-0.013000000000000001,-0.1,1.2,-0.031,-0.017,-1.9,-3.3,0.031,0.0,-2.2,-3.1,-2.2,-1.7,-4.0,-1.9,-0.1,0.4,-4.5,-0.1,"outlabo01, rogerro01, sealyma01, wrighlo02",4,1997,LAC
K. Duckworth | P. Richardson | R. Rogers | M. Sealy LAC 1997,187.38333333333333,-19.9,-7.5,-6.4,-0.052000000000000005,-0.5,0.7,-0.055999999999999994,-0.053,-4.2,-6.2,0.033,-7.1,-14.2,-5.1,-14.2,-6.1,-13.3,1.0,-0.9,-1.2,1.5,3.9,"duckwke01, richapo01, rogerro01, sealyma01",4,1997,LAC
B. Barry | B. Outlaw | R. Rogers | L. Vaught LAC 1997,186.46666666666667,8.6,1.7,-2.9,0.037000000000000005,-1.1,-6.5,0.044000000000000004,0.032,6.3,10.0,-0.015,1.2,2.0,0.0,2.0,0.7,1.6,0.2,-1.8,0.8,0.4,-3.2,"barrybr01, outlabo01, rogerro01, vaughlo01",4,1997,LAC
K. Duckworth | P. Richardson | R. Rogers | L. Vaught LAC 1997,183.35,-21.0,-7.3,-6.3,-0.049,-0.6,0.3,-0.05,-0.051,-5.9,-7.6,0.003,-6.8,-13.1,-4.5,-13.1,-5.6,-12.2,0.1,-1.2,-1.2,2.1,3.9,"duckwke01, richapo01, rogerro01, vaughlo01",4,1997,LAC
D. Martin | B. Outlaw | R. Rogers | L. Vaught LAC 1997,179.61666666666667,4.4,3.5,-1.8,0.048,-4.7,-7.3,-0.109,0.023,1.5,2.6,-0.019,-1.8,0.0,3.8,0.0,1.0,2.2,3.5,1.5,-1.2,-1.5,-0.7,"martida01, outlabo01, rogerro01, vaughlo01",4,1997,LAC
B. Barry | B. Outlaw | R. Rogers | M. Sealy LAC 1997,149.73333333333332,12.3,2.7,-1.5,0.04,-1.3,-3.6,-0.001,0.033,8.3,7.4,0.122,-2.3,-3.7,0.5,-3.7,-0.9,-2.0,-0.5,3.0,2.7,-4.3,-2.1,"barrybr01, outlabo01, rogerro01, sealyma01",4,1997,LAC
D. Martin | L. Murray | E. Piatkowski | R. Rogers LAC 1998,488.75,-3.2,-4.4,-4.7,-0.025,3.7,11.3,-0.034,-0.002,1.0,2.9,-0.038,-2.4,-6.6,-4.0,-6.6,-3.2,-7.1,-2.4,0.5,-2.3,0.9,-1.1,"martida01, murrala01, piatker01, rogerro01",4,1998,LAC
