lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
D. Martin | R. Rogers | M. Sealy | L. Vaught | L. Wright LAC 1997,463.55,-11.6,-3.4,0.5,-0.042,-1.7,-0.2,-0.10400000000000001,-0.051,-3.1,-3.7,-0.021,0.1,-2.0,-2.8,-2.0,-1.3,-3.0,-3.4,-0.4,-0.6,2.1,3.4,"martida01, rogerro01, sealyma01, vaughlo01, wrighlo02",5,1997,LAC
D. Martin | B. Outlaw | M. Sealy | L. Vaught | L. Wright LAC 1997,332.95,-6.1,-0.2,3.8,-0.022000000000000002,-2.1,-6.0,0.013999999999999999,-0.035,-3.7,-3.6,-0.038,2.1,0.5,-3.5,0.5,-0.6,-1.4,-2.3,-0.3,-2.1,-0.1,0.3,"martida01, outlabo01, sealyma01, vaughlo01, wrighlo02",5,1997,LAC
K. Duckworth | P. Richardson | R. Rogers | M. Sealy | L. Vaught LAC 1997,178.95,-21.8,-7.8,-6.7,-0.053,-0.6,0.7,-0.057999999999999996,-0.054000000000000006,-5.7,-7.5,0.006,-6.9,-13.4,-4.6,-13.4,-5.8,-12.5,0.4,-1.5,-1.2,2.5,3.6,"duckwke01, richapo01, rogerro01, sealyma01, vaughlo01",5,1997,LAC
D. Martin | B. Outlaw | R. Rogers | M. Sealy | L. Vaught LAC 1997,131.55,4.6,4.2,0.1,0.045,-4.4,-7.7,-0.085,0.021,0.6,1.4,-0.013000000000000001,-2.1,-0.9,3.5,-0.9,0.6,1.2,4.8,5.2,-2.3,-3.7,-0.8,"martida01, outlabo01, rogerro01, sealyma01, vaughlo01",5,1997,LAC
D. Martin | B. Outlaw | R. Rogers | M. Sealy | L. Wright LAC 1997,95.25,-16.1,0.4,12.6,-0.067,-2.7,-0.8,-0.134,-0.08900000000000001,-14.2,-17.4,-0.01,3.9,3.8,-3.7,3.8,0.0,0.0,-2.9,-4.5,-0.4,-0.3,1.0,"martida01, outlabo01, rogerro01, sealyma01, wrighlo02",5,1997,LAC
K. Duckworth | D. Martin | R. Rogers | M. Sealy | L. Vaught LAC 1997,79.51666666666667,-11.6,0.6,8.9,-0.046,-2.5,-5.1,0.0,-0.063,-10.1,-12.7,0.022000000000000002,1.4,-0.2,-4.9,-0.2,-1.6,-4.2,-5.5,0.5,-3.3,-2.4,4.9,"duckwke01, martida01, rogerro01, sealyma01, vaughlo01",5,1997,LAC
P. Richardson | S. Roberts | R. Rogers | M. Sealy | L. Vaught LAC 1997,73.7,-20.8,-7.7,11.6,-0.154,-3.6,-4.5,-0.14300000000000002,-0.18,-1.7,-6.8,0.131,4.1,2.0,-8.1,2.0,-2.1,-5.0,-7.5,3.0,0.1,-3.1,1.1,"richapo01, roberst01, rogerro01, sealyma01, vaughlo01",5,1997,LAC
B. Barry | B. Outlaw | R. Rogers | M. Sealy | L. Wright LAC 1997,70.98333333333333,22.9,4.9,0.3,0.055,3.4,5.3,0.083,0.075,9.7,8.2,0.187,-5.3,-7.7,1.4,-7.7,-2.2,-4.9,2.4,7.4,2.3,-10.4,-0.4,"barrybr01, outlabo01, rogerro01, sealyma01, wrighlo02",5,1997,LAC
B. Barry | B. Outlaw | R. Rogers | M. Sealy | L. Vaught LAC 1997,68.56666666666666,6.8,0.1,-9.1,0.051,-4.2,-13.3,0.017,0.031,10.7,11.8,0.073,-0.3,1.2,3.1,1.2,1.9,4.4,-2.7,-2.7,2.8,4.5,-4.1,"barrybr01, outlabo01, rogerro01, sealyma01, vaughlo01",5,1997,LAC
B. Barry | R. Rogers | M. Sealy | L. Vaught | L. Wright LAC 1997,55.4,-22.3,-6.3,0.0,-0.08,-3.6,-6.3,-0.033,-0.102,-6.3,-1.8,-0.14300000000000002,3.6,3.1,-5.4,3.1,-0.9,-2.2,-5.4,-2.7,0.0,4.5,-0.9,"barrybr01, rogerro01, sealyma01, vaughlo01, wrighlo02",5,1997,LAC
T. Dehere | P. Richardson | R. Rogers | L. Vaught | L. Wright LAC 1997,50.36666666666667,-40.0,-20.0,-12.4,-0.162,-1.9,-2.6,-0.067,-0.16899999999999998,2.0,3.4,-0.019,-6.8,-18.3,-12.2,-18.3,-9.2,-19.1,-14.2,-1.4,1.0,2.9,1.6,"deherte01, richapo01, rogerro01, vaughlo01, wrighlo02",5,1997,LAC
