lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
E. Campbell | E. Jones | S. O'Neal | N. Van Exel LAL 1997,940.7666666666667,5.9,2.5,-1.7,0.038,-0.2,-0.6,0.001,0.037000000000000005,1.1,4.3,-0.07,-0.5,0.6,1.9,0.6,0.7,1.5,1.7,1.0,5.0,-0.1,-1.0,"campbel01, jonesed02, onealsh01, vanexni01",4,1997,LAL
E. Campbell | E. Jones | J. Kersey | N. Van Exel LAL 1997,810.85,-1.4,1.8,5.3,-0.006,-0.8,-0.5,-0.033,-0.013000000000000001,-4.3,-2.7,-0.095,2.0,2.3,-1.1,2.3,0.4,0.9,0.2,1.3,3.1,-1.8,0.8,"campbel01, jonesed02, kerseje01, vanexni01",4,1997,LAL
E. Jones | J. Kersey | S. O'Neal | N. Van Exel LAL 1997,561.3333333333334,1.8,2.5,3.4,0.011000000000000001,-0.2,-0.9,0.01,0.009000000000000001,-3.0,1.6,-0.132,3.3,5.2,0.4,5.2,1.7,3.7,0.2,2.6,4.4,-0.6,-1.5,"jonesed02, kerseje01, onealsh01, vanexni01",4,1997,LAL
E. Campbell | J. Kersey | S. O'Neal | N. Van Exel LAL 1997,443.3333333333333,2.4,3.9,6.0,0.013000000000000001,-1.0,-1.1,-0.031,0.005,-4.5,-2.5,-0.109,3.5,5.5,0.2,5.5,1.8,3.9,1.2,1.6,5.3,-0.8,0.1,"campbel01, kerseje01, onealsh01, vanexni01",4,1997,LAL
E. Campbell | E. Jones | J. Kersey | S. O'Neal LAL 1997,421.71666666666664,-0.5,2.2,4.5,0.002,-0.9,-1.6,-0.013999999999999999,-0.005,-4.0,0.3,-0.158,3.4,3.8,-1.9,3.8,0.8,1.6,0.2,1.5,4.5,-0.7,-0.4,"campbel01, jonesed02, kerseje01, onealsh01",4,1997,LAL
E. Campbell | E. Jones | B. Scott | N. Van Exel LAL 1997,361.9166666666667,16.6,3.0,-8.5,0.083,3.0,1.2,0.124,0.105,7.7,7.7,0.066,-6.2,-6.8,4.2,-6.8,-0.9,-2.0,6.4,0.1,3.8,-0.3,-1.4,"campbel01, jonesed02, scottby01, vanexni01",4,1997,LAL
E. Campbell | E. Jones | T. Knight | N. Van Exel LAL 1997,356.35,1.3,0.4,1.5,-0.003,1.7,3.7,0.009000000000000001,0.006,-1.3,-2.0,0.012,-0.9,-2.9,-2.1,-2.9,-1.4,-3.1,-3.0,0.2,2.9,-1.7,1.3,"campbel01, jonesed02, knightr01, vanexni01",4,1997,LAL
E. Jones | S. O'Neal | B. Scott | N. Van Exel LAL 1997,337.8,10.3,2.3,-9.5,0.08,2.0,0.6,0.08800000000000001,0.096,3.7,10.1,-0.10300000000000001,-4.8,-5.7,2.9,-5.7,-1.1,-2.6,6.1,1.4,5.6,0.7,-3.4,"jonesed02, onealsh01, scottby01, vanexni01",4,1997,LAL
C. Blount | E. Campbell | E. Jones | N. Van Exel LAL 1997,269.6666666666667,2.5,0.4,2.9,-0.009000000000000001,-1.6,-3.1,-0.032,-0.019,3.3,5.0,-0.006999999999999999,1.4,0.5,-1.9,0.5,-0.3,-0.6,0.6,2.9,1.7,-4.3,0.0,"blounco01, campbel01, jonesed02, vanexni01",4,1997,LAL
E. Campbell | S. O'Neal | B. Scott | N. Van Exel LAL 1997,247.46666666666667,11.6,4.2,-5.8,0.078,0.0,-0.8,0.017,0.08,3.3,6.4,-0.04,-3.7,-3.5,3.5,-3.5,-0.1,-0.2,6.7,-0.4,5.2,1.0,-2.4,"campbel01, onealsh01, scottby01, vanexni01",4,1997,LAL
C. Blount | E. Jones | J. Kersey | N. Van Exel LAL 1997,243.81666666666666,-1.1,0.8,2.7,-0.004,-1.7,-2.1,-0.057,-0.015,-1.0,0.1,-0.038,2.3,4.4,1.8,4.4,1.9,3.8,-1.4,3.1,1.3,0.0,0.0,"blounco01, jonesed02, kerseje01, vanexni01",4,1997,LAL
