lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
E. Campbell | E. Jones | J. Kersey | S. O'Neal | N. Van Exel LAL 1997,394.76666666666665,-1.0,2.2,4.8,0.0,-0.7,-0.9,-0.02,-0.006999999999999999,-4.5,-1.1,-0.146,3.5,4.8,-0.8,4.8,1.3,2.7,0.4,1.3,4.6,-0.2,-0.3,"campbel01, jonesed02, kerseje01, onealsh01, vanexni01",5,1997,LAL
E. Campbell | E. Jones | S. O'Neal | B. Scott | N. Van Exel LAL 1997,184.15,14.4,3.6,-9.1,0.091,1.7,0.8,0.07400000000000001,0.105,5.5,9.4,-0.037000000000000005,-4.7,-4.9,3.9,-4.9,-0.4,-1.0,8.9,-0.3,5.0,1.4,-2.9,"campbel01, jonesed02, onealsh01, scottby01, vanexni01",5,1997,LAL
C. Blount | E. Campbell | E. Jones | J. Kersey | N. Van Exel LAL 1997,151.1,-0.4,0.2,2.9,-0.011000000000000001,-2.6,-6.3,-0.046,-0.025,1.8,4.4,-0.057,2.4,2.6,-1.0,2.6,0.5,1.0,-0.8,3.0,1.9,-2.7,0.2,"blounco01, campbel01, jonesed02, kerseje01, vanexni01",5,1997,LAL
E. Campbell | E. Jones | J. Kersey | T. Knight | N. Van Exel LAL 1997,132.71666666666667,2.4,3.9,8.3,0.002,2.1,3.8,0.022000000000000002,0.009000000000000001,-7.4,-7.7,-0.077,1.8,0.8,-2.9,0.8,-0.4,-0.8,0.1,-0.9,3.7,-3.2,3.6,"campbel01, jonesed02, kerseje01, knightr01, vanexni01",5,1997,LAL
E. Campbell | C. Ceballos | E. Jones | S. O'Neal | N. Van Exel LAL 1997,117.25,5.1,0.4,-9.2,0.05,-1.1,-6.9,0.084,0.049,5.4,7.7,0.012,-4.0,-2.7,4.2,-2.7,0.0,0.0,-3.7,-2.7,3.4,1.2,-0.9,"campbel01, cebalce01, jonesed02, onealsh01, vanexni01",5,1997,LAL
E. Campbell | R. Horry | E. Jones | S. O'Neal | N. Van Exel LAL 1997,104.23333333333333,28.6,11.7,-3.3,0.156,1.7,-0.5,0.11699999999999999,0.16699999999999998,3.5,2.7,0.05,-4.9,0.9,11.6,0.9,3.6,8.7,3.1,4.5,7.5,-1.5,1.7,"campbel01, horryro01, jonesed02, onealsh01, vanexni01",5,1997,LAL
E. Campbell | R. Horry | E. Jones | T. Knight | N. Van Exel LAL 1997,73.9,14.3,5.1,6.7,0.02,-0.5,5.0,-0.138,0.013000000000000001,4.6,5.0,0.051,2.2,5.8,3.0,5.8,2.0,5.0,-2.2,6.5,3.9,-6.1,-1.4,"campbel01, horryro01, jonesed02, knightr01, vanexni01",5,1997,LAL
K. Bryant | E. Campbell | E. Jones | S. O'Neal | N. Van Exel LAL 1997,70.1,-6.5,-2.1,5.7,-0.054000000000000006,-1.0,9.4,-0.245,-0.062,-1.4,2.2,-0.098,4.1,4.5,-1.4,4.5,1.2,2.5,-3.9,1.1,4.7,-2.8,0.8,"bryanko01, campbel01, jonesed02, onealsh01, vanexni01",5,1997,LAL
E. Campbell | E. Jones | T. Knight | B. Scott | N. Van Exel LAL 1997,67.61666666666666,13.8,1.0,-10.7,0.076,6.2,5.4,0.196,0.12,5.6,2.3,0.095,-9.1,-14.2,0.2,-14.2,-3.9,-9.3,3.6,-0.6,4.5,-0.6,0.4,"campbel01, jonesed02, knightr01, scottby01, vanexni01",5,1997,LAL
E. Campbell | E. Jones | J. Kersey | B. Scott | N. Van Exel LAL 1997,59.68333333333333,18.3,9.0,0.5,0.09699999999999999,-1.5,-4.5,0.006999999999999999,0.08900000000000001,1.9,-2.5,0.113,-7.7,-3.6,8.3,-3.6,0.5,1.1,8.3,2.6,1.7,-5.1,0.5,"campbel01, jonesed02, kerseje01, scottby01, vanexni01",5,1997,LAL
K. Bryant | E. Campbell | E. Jones | T. Knight | N. Van Exel LAL 1997,54.233333333333334,-18.0,-6.7,-9.4,-0.034,-1.1,-2.3,-0.018000000000000002,-0.036000000000000004,-3.5,-1.4,-0.069,-2.3,-2.8,0.3,-2.8,-1.1,-2.1,-12.9,-3.1,2.2,8.3,-2.1,"bryanko01, campbel01, jonesed02, knightr01, vanexni01",5,1997,LAL
E. Jones | J. Kersey | T. Knight | S. O'Neal | N. Van Exel LAL 1997,53.1,8.0,8.2,11.1,0.038,-2.6,0.6,-0.188,0.018000000000000002,-5.8,-5.4,-0.062,8.3,13.1,1.8,13.1,5.3,11.6,-0.1,1.7,10.3,-2.3,1.4,"jonesed02, kerseje01, knightr01, onealsh01, vanexni01",5,1997,LAL
R. Horry | E. Jones | T. Knight | S. O'Neal | N. Van Exel LAL 1997,46.65,28.2,15.7,11.7,0.114,5.4,10.6,0.07200000000000001,0.138,-8.6,-6.6,-0.15,5.1,10.4,4.4,10.4,4.6,10.0,9.4,0.2,4.8,-4.0,-1.7,"horryro01, jonesed02, knightr01, onealsh01, vanexni01",5,1997,LAL
E. Jones | T. Knight | S. O'Neal | B. Scott | N. Van Exel LAL 1997,46.416666666666664,13.0,5.6,2.1,0.055999999999999994,6.1,2.2,0.247,0.091,-4.4,0.4,-0.14300000000000002,-1.8,-4.7,-2.7,-4.7,-2.8,-6.3,8.6,7.1,6.0,-4.2,-5.0,"jonesed02, knightr01, onealsh01, scottby01, vanexni01",5,1997,LAL
C. Blount | E. Jones | S. O'Neal | B. Scott | N. Van Exel LAL 1997,41.63333333333333,-14.9,0.2,-15.8,0.09699999999999999,-7.8,-6.3,-0.243,0.06,-7.5,-0.2,-0.27899999999999997,-4.3,-1.4,8.4,-1.4,2.3,5.9,4.6,-5.1,6.8,12.3,4.7,"blounco01, jonesed02, onealsh01, scottby01, vanexni01",5,1997,LAL
E. Campbell | R. Horry | E. Jones | J. Kersey | N. Van Exel LAL 1997,41.55,-37.8,-8.7,15.4,-0.18899999999999997,0.9,14.2,-0.17300000000000001,-0.19,-21.3,-23.2,-0.08900000000000001,9.6,12.5,-7.2,12.5,0.6,1.6,-2.9,-0.7,-3.3,1.8,1.9,"campbel01, horryro01, jonesed02, kerseje01, vanexni01",5,1997,LAL
C. Blount | K. Bryant | E. Campbell | J. Kersey | N. Van Exel LAL 1997,38.96666666666667,6.7,-2.7,0.0,-0.03,1.3,8.0,-0.036000000000000004,-0.022000000000000002,10.7,17.3,-0.096,0.0,-1.0,-1.3,-1.0,-0.7,-1.4,0.0,5.3,-4.0,-9.3,-6.0,"blounco01, bryanko01, campbel01, kerseje01, vanexni01",5,1997,LAL
C. Blount | E. Jones | J. Kersey | S. Rooks | N. Van Exel LAL 1997,36.5,-18.2,-4.5,-8.2,-0.009000000000000001,-5.4,3.8,-0.41700000000000004,-0.033,-3.8,-5.8,-0.028999999999999998,0.1,9.3,10.0,9.3,4.9,9.7,-0.1,-7.6,3.9,13.5,0.0,"blounco01, jonesed02, kerseje01, rooksse01, vanexni01",5,1997,LAL
E. Campbell | E. Jones | S. O'Neal | R. Robinson | N. Van Exel LAL 1997,34.4,-13.5,-6.6,-24.4,0.017,-4.7,-5.0,-0.122,0.003,4.4,8.9,-0.075,-17.1,-19.8,0.7,-19.8,-8.4,-13.6,1.2,4.7,0.1,5.9,-3.8,"campbel01, jonesed02, onealsh01, robinru01, vanexni01",5,1997,LAL
