lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
S. Abdur-Rahim | L. Mayberry | A. Peeler | B. Reeves VAN 1997,684.25,-3.6,-1.6,0.8,-0.023,-0.1,-1.6,0.028999999999999998,-0.023,-1.2,-1.2,-0.013000000000000001,-0.7,-3.6,-3.6,-3.6,-2.1,-4.6,-1.3,0.6,-1.1,-2.4,1.9,"abdursh01, maybele01, peelean01, reevebr01",4,1997,VAN
S. Abdur-Rahim | G. Anthony | A. Peeler | B. Reeves VAN 1997,616.9833333333333,-8.9,-3.2,-2.0,-0.026000000000000002,-1.8,-3.0,-0.040999999999999995,-0.035,-0.7,-1.5,0.016,-0.4,-1.2,-0.9,-1.2,-0.7,-1.5,-0.9,-2.8,-1.3,1.2,0.0,"abdursh01, anthogr01, peelean01, reevebr01",4,1997,VAN
S. Abdur-Rahim | G. Lynch | A. Peeler | B. Reeves VAN 1997,464.3833333333333,-5.4,-3.6,0.2,-0.040999999999999995,-0.9,-3.0,0.013000000000000001,-0.046,1.1,1.8,-0.008,-0.7,-2.8,-2.7,-2.8,-1.7,-3.5,-3.7,1.7,-3.5,-2.9,1.4,"abdursh01, lynchge01, peelean01, reevebr01",4,1997,VAN
S. Abdur-Rahim | G. Lynch | L. Mayberry | A. Peeler VAN 1997,443.05,-3.8,-1.9,-0.1,-0.021,-0.6,-1.8,0.005,-0.024,-1.0,-0.2,-0.038,-1.8,-4.5,-2.9,-4.5,-2.3,-4.8,-1.0,2.6,-2.8,-3.6,2.0,"abdursh01, lynchge01, maybele01, peelean01",4,1997,VAN
S. Abdur-Rahim | G. Lynch | L. Mayberry | B. Reeves VAN 1997,411.1666666666667,-5.9,-3.5,-0.9,-0.035,-0.9,-1.8,-0.01,-0.04,0.4,2.3,-0.061,-0.9,-4.1,-3.8,-4.1,-2.3,-5.1,-2.5,2.1,-3.1,-2.6,1.3,"abdursh01, lynchge01, maybele01, reevebr01",4,1997,VAN
G. Lynch | L. Mayberry | A. Peeler | B. Reeves VAN 1997,410.4166666666667,-0.3,0.1,3.9,-0.02,-0.3,-0.2,-0.009000000000000001,-0.023,-1.9,-1.1,-0.054000000000000006,-1.0,-4.3,-4.3,-4.3,-2.7,-5.7,-0.1,3.4,-2.7,-5.5,1.8,"lynchge01, maybele01, peelean01, reevebr01",4,1997,VAN
S. Abdur-Rahim | G. Anthony | B. Reeves | R. Rogers VAN 1997,404.8833333333333,-12.3,-6.2,-10.6,-0.011000000000000001,-2.1,-4.3,-0.033,-0.019,2.1,3.0,0.0,-5.2,-7.8,-0.5,-7.8,-2.8,-6.1,-1.0,-3.5,-0.3,2.3,-1.7,"abdursh01, anthogr01, reevebr01, rogerro02",4,1997,VAN
S. Abdur-Rahim | A. Peeler | B. Reeves | R. Rogers VAN 1997,388.5833333333333,-14.7,-5.3,-9.1,-0.01,-0.6,-3.9,0.049,-0.01,-3.6,-2.5,-0.08800000000000001,-3.0,-4.0,0.7,-4.0,-1.0,-2.2,-2.3,-5.9,1.3,5.0,0.3,"abdursh01, peelean01, reevebr01, rogerro02",4,1997,VAN
G. Anthony | A. Peeler | B. Reeves | R. Rogers VAN 1997,342.8,-6.5,-2.8,-8.0,0.011000000000000001,-2.3,-5.2,-0.024,0.001,1.4,2.1,-0.006,-4.5,-5.8,1.2,-5.8,-1.5,-3.3,1.3,-2.3,1.1,1.4,-0.7,"anthogr01, peelean01, reevebr01, rogerro02",4,1997,VAN
S. Abdur-Rahim | G. Anthony | A. Peeler | R. Rogers VAN 1997,337.6,-8.8,-4.1,-10.9,0.012,-1.4,-2.9,-0.016,0.009000000000000001,0.9,2.3,-0.04,-5.6,-6.5,2.3,-6.5,-1.6,-3.4,1.4,-4.2,1.7,2.6,-1.1,"abdursh01, anthogr01, peelean01, rogerro02",4,1997,VAN
S. Abdur-Rahim | L. Mayberry | A. Peeler | R. Rogers VAN 1997,283.95,-25.3,-7.7,-5.3,-0.057999999999999996,-1.1,-4.0,0.021,-0.062,-8.9,-10.6,-0.051,-3.4,-8.4,-5.4,-8.4,-4.3,-8.8,-4.4,-4.7,0.5,4.8,1.7,"abdursh01, maybele01, peelean01, rogerro02",4,1997,VAN
