lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
K. Askins | P. Brown | T. Hardaway | V. Lenard | A. Mourning MIA 1997,296.53333333333336,15.1,4.7,-3.6,0.076,4.1,8.4,0.031,0.10300000000000001,1.7,4.0,-0.043,-3.3,-4.4,2.4,-4.4,-0.4,-0.8,9.8,2.6,3.5,-1.8,-0.2,"askinke01, brownpj01, hardati01, lenarvo01, mournal01",5,1997,MIA
P. Brown | T. Hardaway | V. Lenard | J. Mashburn | A. Mourning MIA 1997,272.3333333333333,15.4,5.3,1.4,0.051,4.9,13.5,-0.027000000000000003,0.077,-0.1,1.9,-0.076,-0.7,1.2,3.6,1.2,1.4,3.0,7.0,1.6,1.0,-4.2,-0.4,"brownpj01, hardati01, lenarvo01, mashbja01, mournal01",5,1997,MIA
P. Brown | S. Danilović | T. Hardaway | D. Majerle | A. Mourning MIA 1997,260.05,12.9,1.9,-12.5,0.084,3.9,6.6,0.078,0.113,5.0,9.5,-0.08,-6.4,-6.0,5.4,-6.0,-0.6,-1.4,3.2,-1.3,3.3,2.5,-3.2,"brownpj01, danilsa01, hardati01, majerda01, mournal01",5,1997,MIA
I. Austin | P. Brown | T. Hardaway | V. Lenard | J. Mashburn MIA 1997,242.73333333333332,-8.4,-6.0,0.2,-0.068,1.2,10.1,-0.14400000000000002,-0.062,2.4,-0.3,0.138,-2.0,-5.1,-3.6,-5.1,-3.0,-6.3,-0.9,2.1,-1.2,-2.9,2.7,"austiis01, brownpj01, hardati01, lenarvo01, mashbja01",5,1997,MIA
K. Askins | I. Austin | P. Brown | T. Hardaway | V. Lenard MIA 1997,150.16666666666666,8.8,1.5,-2.1,0.027999999999999997,7.0,13.9,0.049,0.068,-1.3,-3.5,0.052000000000000005,-4.2,-5.4,1.0,-5.4,-1.7,-3.6,8.3,-1.4,0.4,-1.6,1.5,"askinke01, austiis01, brownpj01, hardati01, lenarvo01",5,1997,MIA
S. Danilović | T. Hardaway | D. Majerle | A. Mourning | K. Thomas MIA 1997,141.65,-4.5,-1.7,2.0,-0.028999999999999998,2.5,11.9,-0.091,-0.016,-3.6,0.4,-0.175,2.8,2.8,-2.8,2.8,-0.2,-0.4,4.5,-0.6,-2.5,0.1,-1.1,"danilsa01, hardati01, majerda01, mournal01, thomaku01",5,1997,MIA
K. Askins | P. Brown | S. Danilović | T. Hardaway | A. Mourning MIA 1997,129.11666666666667,-10.5,-2.7,-0.7,-0.027000000000000003,-5.6,5.2,-0.385,-0.057999999999999996,0.6,3.0,-0.078,1.9,1.9,-1.5,1.9,0.0,0.0,-2.5,-0.3,4.8,1.0,0.6,"askinke01, brownpj01, danilsa01, hardati01, mournal01",5,1997,MIA
K. Askins | P. Brown | T. Hardaway | D. Majerle | A. Mourning MIA 1997,88.6,30.6,5.2,0.1,0.057,8.0,7.3,0.278,0.10300000000000001,12.2,15.9,0.001,2.3,4.4,1.7,4.4,1.9,3.8,-1.5,2.6,-2.4,-8.3,-7.2,"askinke01, brownpj01, hardati01, majerda01, mournal01",5,1997,MIA
I. Austin | S. Danilović | T. Hardaway | D. Majerle | A. Mourning MIA 1997,67.43333333333334,7.4,1.3,4.2,-0.009000000000000001,6.5,14.0,0.059000000000000004,0.027999999999999997,-1.7,3.4,-0.12300000000000001,1.2,-1.4,-4.9,-1.4,-1.6,-3.6,2.4,2.1,-0.2,-3.5,2.0,"austiis01, danilsa01, hardati01, majerda01, mournal01",5,1997,MIA
I. Austin | P. Brown | S. Danilović | T. Hardaway | D. Majerle MIA 1997,66.35,-13.2,-5.0,2.7,-0.07,8.0,16.6,0.09300000000000001,-0.027000000000000003,-11.2,-8.9,-0.15,2.9,4.1,0.1,4.1,1.2,2.4,0.3,0.2,0.2,0.5,0.4,"austiis01, brownpj01, danilsa01, hardati01, majerda01",5,1997,MIA
K. Askins | I. Austin | T. Hardaway | V. Lenard | J. Mashburn MIA 1997,66.28333333333333,7.7,5.4,9.0,0.02,12.3,24.4,0.062,0.085,-15.5,-21.2,-0.019,-0.3,-0.4,0.0,-0.4,-0.4,-0.8,5.8,-1.4,-4.6,-0.3,3.5,"askinke01, austiis01, hardati01, lenarvo01, mashbja01",5,1997,MIA
