lineup,mp,diff_pts,diff_fg,diff_fga,diff_fg_pct,diff_fg3,diff_fg3a,diff_fg3_pct,diff_efg_pct,diff_ft,diff_fta,diff_ft_pct,diff_orb,diff_orb_pct,diff_drb,diff_drb_pct,diff_trb,diff_trb_pct,diff_ast,diff_stl,diff_blk,diff_tov,diff_pf,player_ids,number_players,year,team
R. Allen | V. Baker | S. Douglas | A. Lang | G. Robinson MIL 1997,746.9333333333333,4.3,2.4,-1.4,0.034,-0.5,-2.6,0.042,0.032,-0.1,-0.1,0.002,-1.7,-2.6,0.0,-2.6,-0.8,-1.7,-1.7,0.2,-1.6,0.1,0.9,"allenra02, bakervi01, douglsh01, langan01, robingl01",5,1997,MIL
R. Allen | V. Baker | S. Douglas | A. Gilliam | G. Robinson MIL 1997,540.2666666666667,-8.8,-4.4,-6.3,-0.016,-1.1,-2.2,-0.023,-0.021,1.1,1.0,0.015,-2.5,-3.1,1.4,-3.1,-0.7,-1.7,-4.9,-1.9,-1.6,2.6,-1.1,"allenra02, bakervi01, douglsh01, gilliar01, robingl01",5,1997,MIL
V. Baker | A. Gilliam | J. Newman | E. Perry | G. Robinson MIL 1997,264.06666666666666,-3.1,-1.6,-6.4,0.018000000000000002,-1.5,-2.6,-0.064,0.011000000000000001,1.7,0.6,0.042,-3.2,-5.8,-0.4,-5.8,-1.7,-4.2,0.5,-1.5,0.5,3.4,0.1,"bakervi01, gilliar01, newmajo01, perryel01, robingl01",5,1997,MIL
V. Baker | S. Douglas | A. Gilliam | J. Newman | G. Robinson MIL 1997,223.03333333333333,8.5,3.6,-4.5,0.069,-0.3,-6.3,0.163,0.069,1.6,-0.8,0.073,0.8,9.0,11.3,9.0,5.9,13.6,-2.7,-7.0,2.2,5.7,-0.1,"bakervi01, douglsh01, gilliar01, newmajo01, robingl01",5,1997,MIL
R. Allen | V. Baker | A. Gilliam | J. Newman | E. Perry MIL 1997,137.48333333333332,-18.4,-5.8,-1.4,-0.057,-0.3,-1.4,0.008,-0.059000000000000004,-6.5,-6.4,-0.049,-0.2,-3.9,-5.4,-3.9,-2.6,-6.1,-0.8,0.3,-1.7,3.0,4.9,"allenra02, bakervi01, gilliar01, newmajo01, perryel01",5,1997,MIL
R. Allen | V. Baker | A. Gilliam | E. Perry | G. Robinson MIL 1997,106.36666666666666,4.0,-4.7,2.8,-0.078,2.5,5.9,0.084,-0.063,11.0,8.1,0.16699999999999998,0.4,0.7,-0.1,0.7,-0.7,-1.7,-0.5,4.1,0.9,-6.7,-2.5,"allenra02, bakervi01, gilliar01, perryel01, robingl01",5,1997,MIL
C. Brown | A. Gilliam | J. Newman | E. Perry | G. Robinson MIL 1997,87.86666666666666,3.5,-2.8,-1.5,-0.024,0.5,-3.9,0.182,-0.021,8.7,8.0,0.113,0.4,0.0,-1.1,0.0,-0.6,-1.5,-1.2,0.2,0.2,-3.3,-3.0,"brownch01, gilliar01, newmajo01, perryel01, robingl01",5,1997,MIL
V. Baker | C. Brown | J. Newman | E. Perry | G. Robinson MIL 1997,84.95,4.2,4.1,1.3,0.042,0.1,-8.4,0.214,0.042,-4.2,-3.3,-0.055999999999999994,-0.7,-0.6,0.4,-0.6,0.0,0.0,-0.5,-1.7,-0.2,3.3,1.9,"bakervi01, brownch01, newmajo01, perryel01, robingl01",5,1997,MIL
V. Baker | S. Douglas | A. Lang | J. Newman | G. Robinson MIL 1997,75.71666666666667,-17.7,-9.8,-9.7,-0.064,-3.6,-7.8,-0.028999999999999998,-0.083,5.4,2.7,0.102,0.4,0.4,-0.4,0.4,0.4,0.9,-10.5,-7.0,-0.2,8.0,0.7,"bakervi01, douglsh01, langan01, newmajo01, robingl01",5,1997,MIL
R. Allen | V. Baker | S. Douglas | G. Robinson | J. Wolf MIL 1997,71.91666666666667,-20.4,-3.2,2.5,-0.05,-2.4,-2.6,-0.079,-0.064,-11.5,-13.1,-0.107,-0.3,-1.1,-0.9,-1.1,-0.7,-1.8,3.2,-4.3,-2.2,3.4,4.1,"allenra02, bakervi01, douglsh01, robingl01, wolfjo01",5,1997,MIL
R. Allen | V. Baker | C. Brown | S. Douglas | G. Robinson MIL 1997,63.71666666666667,-5.6,4.0,7.3,0.006,0.8,1.6,0.013999999999999999,0.006999999999999999,-14.5,-12.1,-0.182,8.1,9.0,-3.2,9.0,2.4,5.1,-7.3,-4.0,0.0,7.3,3.6,"allenra02, bakervi01, brownch01, douglsh01, robingl01",5,1997,MIL
